id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0, 35.3431      46.98268     42.230976    54.244587    45.02151  49.872158    60.703823    60.13388     64.06756     84.23814  83.47268     82.54006     91.36769    107.06757     98.83407 100.15779    106.88601    109.86355    121.518776   127.25654 132.58296    131.21626    128.62614    135.12735    135.14194 153.1682     145.8375     151.16422    160.08064    158.90192 154.75125    163.81964    156.8621     170.18507    160.36134 158.94041    169.52072    169.88557    167.94472    179.08719 168.12723    163.371      170.85503    159.97807    160.79623 171.07747    176.04813    162.48785    170.17766    173.67918 166.79662    159.18703    158.58954    154.39075    145.59355 153.39342    150.84886    141.74199    146.60114    148.05206 129.40326    128.55003    131.86185    120.39004    120.26682 118.27615    103.87644     94.69584    108.76853     95.15885  87.34181     94.71585     97.19704     97.24068    103.74921  83.65199     82.17784     79.84721     68.8398      66.439545  84.13858     68.18019     71.95524     69.80094     61.057487  57.447353    56.83312     53.30781     51.032578    58.274544  49.695873    42.05646     38.26518     41.54885     28.517998  30.241049    28.371065    33.456474    34.009647    33.99861  36.255       22.348259    17.971981    17.04181     16.212593  20.799318     0.           0.           0.25317484   0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.        ,4161.005057,64.50585289,1.00E+16,rolling3,3,0.382987829,-0.045648
1, 19.059683  30.103577  23.844168  37.36991   25.28689   30.140245  41.15071   38.396194  42.986187  63.27112   61.90547   59.22171  68.19259   83.12469   74.966484  75.79919   81.663376  83.92314  95.66686  101.4555   105.44439  105.185905 102.20905  106.58471 108.33927  125.57071  117.62614  122.08299  132.439    129.49384 124.77146  136.09346  126.92689  142.6904   131.86009  128.82172 141.54762  141.86743  139.0153   151.5805   141.50308  135.58997 145.85484  134.82971  133.86205  149.05322  153.28572  138.67522 150.38239  155.29633  146.81319  142.37817  143.06207  138.45856 132.69046  141.45772  138.93591  131.48358  136.31123  138.50743 120.20637  120.62822  124.16814  112.868546 114.768135 112.49424  97.5095    90.54621  105.35429   90.73103   84.71055   93.064804  93.77733   94.642555 102.01094   81.66428   79.28699   78.32762  67.85305   64.39205   83.099556  66.650215  69.72859   68.30905  59.911285  55.518883  55.54444   52.57969   48.569347  57.232185  48.103825  39.965412  36.35271   39.77628   27.769224  29.366024  26.695919  32.095932  33.20739   31.631136  34.473198  20.077408  14.416688  16.031996  15.396654  17.607813   0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.      ,2145.569283,46.32029019,1.09E+16,rolling3,3,0.58005876,-0.1430424
2,  9.859107  20.290646  13.21622   27.712593  13.728916  18.558758  29.809505  25.378841  30.65717   50.925293  49.14444   45.319912  54.50524   68.70314   60.62087   61.168877  66.21199   67.85046  79.72291   85.21083   88.2079    88.861984  85.49297   87.9435  90.84136  107.320755  98.83728  102.16899  113.49804  109.05968 103.708435 116.49949  105.48675  122.61239  111.13217  106.59449 120.52441  120.75713  117.05019  130.10237  120.70299  113.738686 125.65368  114.56469  112.16137  130.3479   134.05525  118.785416 133.1609   138.63039  129.12863  127.00009  128.25308  123.569855 119.91231  129.33855  126.93648  120.66517  125.52984  128.46555 110.3139   111.87301  115.902885 104.4595   108.09161  105.81999  90.09686   84.86528  100.52088   84.87755   80.33855   89.81171  89.07403   90.557846  98.87261   78.18614   75.27066   75.606155  65.34074   61.189762  80.802345  63.98052   66.41662   65.995255  57.736736  52.572086  53.38471   51.021088  45.590527  55.258095  46.18119   37.35727   34.03729   37.766518  26.493052  27.961319  24.893368  30.29019   31.840288  29.49139   32.722034  17.83923  11.679204  14.991577  14.52715   15.220722   0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.      ,1155.779648,33.99675937,1.06E+16,rolling3,3,0.713779378,0.021096
3,  1.6705127  11.7285595   3.4261987  19.164682    2.8313658   7.8028502  19.211184   13.138003   19.188723   39.44485    37.087517   32.044846  41.20528    55.078026   47.243107   47.002186   51.622463   52.83198  64.59664    70.09707    72.219894   73.264496   69.74472    70.842606  74.6621     90.67875    81.54418    84.09272    96.464554   90.62447  84.374794   98.84467    85.95982   104.87668    92.51539    86.478806 101.934326  101.96446    97.172295  111.36337   102.3157     94.086525 108.21916    96.3051     92.23361   114.64224   117.304665  100.69214 118.342155  124.56491   113.34003   113.92254   115.88188   110.42755 109.129684  118.92322   116.09681   111.3751    116.03157   119.342155 101.53234   104.096405  108.101585   96.73279   101.92715    99.43648  83.08118    79.713135   96.08859    79.4019     76.52426    86.87432  84.6198     86.99523    96.31474    75.07003    71.64443    73.45902  63.44884    58.71516    79.752426   62.46299    64.64422    65.18892  57.240173   51.50934    53.36626    51.509716   45.108562   56.100212  46.8018     37.52855    34.475857   38.567295   27.997196   29.643532  26.393635   32.041824   34.31726    31.033697   34.889904   19.533415  12.625415   17.926014   17.499493   16.65328     0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,642.9328173,25.35611992,7.78E+15,rolling3,3,0.819165362,-0.212238
4,  1.0067708  10.638206    2.095186   18.093855    1.2545955   6.1456833  17.683695   10.986152   17.337376   37.437103   35.015884   29.570854  38.852985   52.384182   44.611393   44.22223    48.446175   49.30885  61.201286   66.347      68.12524    69.5342     65.89998    66.05614  70.08512    85.842896   76.322815   78.13431    90.87475    84.39337  77.687065   92.655266   78.9227     97.9322     85.40084    78.61531  94.090294   94.09986    88.86989   102.77854    93.95274    85.17719  99.55053    87.58623    82.871025  105.87695   108.264656   91.48193 109.89805   115.80454   104.27904   105.75346   107.42149   102.01649 101.463806  111.2655    108.50874   104.28248   108.8087    112.457535  94.79456    97.69545   102.1018     90.61137    96.52134    94.1659  77.4261     74.71796    91.532104   74.429504   72.14936    83.26428  80.36666    83.01291    92.96509    71.544044   68.15901    70.65524  60.618607   55.733467   77.32564    59.833706   61.87162    63.206997  55.1856     49.2013     51.784225   50.149845   43.162464   54.74369  45.796906   36.192593   33.533302   37.81357    27.553698   29.35223  26.121395   31.602425   34.144226   30.906586   34.828167   19.396744  12.725637   18.485165   18.217733   17.122849    0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,512.150357,22.63073921,6.78E+15,rolling3,3,0.862965782,-0.061128
5,0.0000000e+00 6.2639217e+00 0.0000000e+00 1.3603298e+01 0.0000000e+00 1.0173265e-01 1.1735484e+01 3.9971409e+00 1.0811402e+01 3.0871597e+01 2.8054390e+01 2.1750795e+01 3.0953291e+01 4.4438614e+01 3.6883045e+01 3.5777332e+01 3.9863239e+01 4.0473877e+01 5.2260536e+01 5.7504169e+01 5.8773178e+01 6.0253239e+01 5.6706547e+01 5.6141781e+01 6.0590424e+01 7.6253807e+01 6.6169075e+01 6.7548134e+01 8.1059082e+01 7.3708649e+01 6.6232246e+01 8.2441376e+01 6.7438950e+01 8.7638290e+01 7.4506020e+01 6.6733513e+01 8.3153824e+01 8.3048859e+01 7.7009094e+01 9.1773773e+01 8.3047935e+01 7.3331032e+01 8.9238060e+01 7.6457268e+01 7.0546280e+01 9.6601654e+01 9.8067200e+01 8.0190773e+01 1.0090932e+02 1.0717898e+02 9.4299171e+01 9.7725121e+01 9.9691849e+01 9.3535973e+01 9.4620575e+01 1.0440874e+02 1.0114292e+02 9.8124184e+01 1.0233035e+02 1.0605400e+02 8.8764687e+01 9.2178093e+01 9.6391586e+01 8.5058060e+01 9.1913475e+01 8.9310249e+01 7.2218727e+01 7.0757103e+01 8.7958458e+01 7.0202545e+01 6.9059586e+01 8.0732353e+01 7.6781975e+01 8.0142029e+01 9.0830414e+01 6.8942436e+01 6.5348244e+01 6.8916267e+01 5.9010323e+01 5.3828026e+01 7.6629204e+01 5.8744766e+01 6.0844543e+01 6.2941746e+01 5.5100224e+01 4.8881054e+01 5.2439373e+01 5.1021645e+01 4.3550694e+01 5.6277996e+01 4.7158787e+01 3.7372963e+01 3.5020687e+01 3.9521137e+01 2.9727728e+01 3.1897161e+01 2.8666477e+01 3.4361904e+01 3.7555542e+01 3.3733269e+01 3.8103630e+01 2.2494221e+01 1.5362004e+01 2.2488104e+01 2.2248238e+01 2.0256756e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00,618.2119275,24.86386791,6.62E+15,rolling3,3,0.853605564,-0.08336592
6,  4.1347337  12.962488    4.421305   20.249445    3.771311    8.314201  19.938421   12.952576   19.228962   38.946423   36.799873   31.064661  40.55922    53.54899    45.735497   45.422115   49.096115   49.413666  61.62187    66.105865   67.6935     69.63133    65.89321    64.98087  68.82759    84.47315    74.53445    75.402954   88.37702    81.59255  74.47342    89.63986    75.436966   93.47175    81.08931    73.87503  88.338585   88.524994   83.29503    95.90194    87.37175    78.42537  91.86181    80.380844   75.45389    97.04896    99.513405   83.325775 101.28487   106.13384    95.04845    96.6633     97.17743    92.31058  91.92845   101.38201    99.10457    94.9375     99.04815   103.09398  85.75351    88.33271    93.547455   82.0463     88.2495     86.23031  69.34068    66.71355    83.733475   66.78807    64.51151    76.57636  73.40337    75.986626   86.50083    65.37972    62.457035   65.187096  55.18134    50.247326   71.97791    54.378254   56.467125   58.662506  50.39701    44.547874   47.914577   46.309433   38.73911    50.9472  42.73435    33.079834   31.19478    35.52013    25.658669   27.860481  24.685158   29.816519   32.519863   29.844305   33.533382   18.53253  12.745228   18.340416   18.542778   17.922127    0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,610.4870775,24.7080367,4.83E+15,rolling3,3,0.850204823,-0.12462696
7, 14.485286   22.518173   14.129586   29.93031    14.997865   19.225092  30.592012   24.459295   30.091726   49.457195   47.88624    41.710976  51.32615    63.79178    55.645596   55.404774   59.067863   58.365337  70.695465   74.47227    75.89436    77.68887    72.71644    71.854095  75.689      90.81836    81.034546   81.85047    93.99509    87.42533  80.97512    94.62405    81.45396    98.14996    85.44121    78.602875  91.705696   91.408005   87.47002    98.83767    90.11584    82.39447  93.898674   82.972176   78.94846    97.45742   100.7794     85.8903 101.60915   106.82529    96.26777    95.35738    95.792564   91.2995  89.170784   98.67708    97.98519    91.789825   95.19743    99.96862  82.19161    82.67487    89.236435   77.91272    82.14151    81.54363  65.06886    60.509964   77.51556    61.877026   57.709034   69.91816  68.13867    69.10044    79.57752    60.242435   57.069023   58.298035  49.732655   44.182167   64.4695     47.652996   49.898857   50.68054  43.41641    38.59155    40.517586   39.133907   31.944902   43.538666  35.535065   27.194427   25.482748   29.810001   20.464296   22.900497  19.726788   25.192995   27.75956    25.687616   29.43431    15.2567215  10.143574   14.89099    16.02806    16.654634    0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,636.4109219,25.22718617,6.05E+15,rolling3,3,0.83765018,-0.16841808
8, 23.919924  30.920185  21.802427  38.32726   23.91011   27.763842  38.86569   33.062874  37.92446   57.013878  55.676025  48.239048  57.912502  69.83224   61.342827  60.620743  64.31997   62.220177  74.53409   77.79713   78.6828    80.094604  73.86955   72.90415  76.97949   91.57969   81.6236    82.433014  94.16147   87.47579  81.32841   94.13542   81.58056   97.65322   84.22673   77.47913  89.719635  88.873474  86.11179   96.94704   88.09517   81.39449  91.80804   80.98708   77.4572    94.7117    98.42892   84.3468  99.06528  105.38782   94.51037   91.8005    92.72889   88.06823  84.92084   94.49454   95.253975  87.432755  89.81623   95.309074  77.25587   75.47404   83.13866   72.3159    74.625565  75.32024  59.293156  53.17468   70.12975   55.74572   49.94425   62.23224  61.53739   61.02413   71.54996   54.11806   50.338364  50.240177  43.647808  37.044735  56.1988    40.201157  42.664444  41.86729  36.137268  32.445827  32.965946  31.99857   25.097282  36.643177  28.552984  21.896667  20.39052   24.7878    16.397646  19.375544  16.217934  22.489176  25.334017  23.320335  27.599094  14.430114   9.437368  14.444853  16.682425  18.005314   0.         0.   0.         0.         0.         0.         0.         0.   0.         0.         0.         0.         0.         0.      ,632.1903049,25.14339486,5.76E+15,rolling3,3,0.853254658,0.1033236
9, 48.42213    53.332554   46.612114   60.608677   50.888023   53.148388  64.38501    60.194542   62.67331    81.290565   80.92636    74.49364  85.11226    95.44133    85.866264   87.09239    89.60571    86.3019  99.44096   100.9286    102.54256   104.517006   98.06569    96.37403  98.422516  113.11278   103.54227   103.04176   113.48292   108.8223 103.08211   113.4768    103.57434   113.357056  102.47385    97.881065 104.37679   104.74717   104.757835  109.76584   101.94151    97.831024 101.307884   94.36987    94.21975    99.45321   106.006294   96.99683 104.10736   107.39195   101.70892    93.63964    91.387535   90.48323  83.12358    91.80113    95.298195   84.16349    86.4331     92.52995  74.17367    70.06295    79.693886   68.725075   69.096306   70.7717  55.415157   46.074627   61.886696   49.785824   40.67189    52.93353  54.54893    51.797737   60.72565    45.7103     43.25145    40.245514  33.939877   27.50087    42.921593   28.426214   30.389528   29.094032  23.071354   20.288845   19.326729   18.53835    11.506945   21.204403  15.767516    9.867895    9.155451   13.279137    5.079895    8.040944   5.434642   10.894664   12.497826   13.189528   16.367313    5.2494926   3.262862    5.601133    9.134212   13.71315     0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,514.8585869,22.69049552,5.32E+15,rolling3,3,0.863733216,-0.043632
