predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
86.31169  77.557434 45.94881  52.737537 33.07357  57.48021  40.486404 40.288563 43.557594 56.03293  97.517944 34.721504,1197.1385,34.59969002,0.42760623,raw,6,-0.536529148,0
70.21419  67.4603   21.702822 57.94806  33.322968 58.860226 10.926552 27.273724 64.10672  58.341213 66.908875 24.195976,834.25665,28.88350139,0.38356283,raw,6,0.212437407,0
97.3611    58.08229   47.48348   81.50157   31.922834  24.24738 -1.8810163 61.216373  79.024895  71.57249   49.511555  32.238712 ,643.2406,25.3621884,0.41182688,raw,6,0.611662567,0
112.82393   74.280945  65.193306  77.59736   44.403465  44.043617  39.178608  28.788832  90.70702   72.50498   94.0103    56.944942,816.2246,28.56964489,0.44852778,raw,6,-0.082212701,0
 87.348274  102.56164    34.060043   61.667637   71.954704   45.730106   3.4651108  54.501286   63.401066   28.533937   72.07779    35.892826 ,848.04,29.12112597,0.40259102,raw,6,-0.331265703,0
 92.43775   116.3976     -5.448796   55.65019    58.58464    56.055542   5.2067294  65.22804    74.9577     34.05174   113.13641    27.573513 ,1438.6478,37.9295113,0.5393423,raw,6,-0.081290109,0
 91.411026 114.97456   15.0734    59.140697  47.06746   50.984215  29.340553  59.190075  75.64667   28.996702 118.77983   24.919817,1249.3556,35.34622456,0.4635639,raw,6,-0.024451024,0
101.96253   98.99204   27.413933  58.348557  26.47226   48.722626  26.59966   67.61312   82.875565  36.380413 121.56976   34.751266,1414.4349,37.60897415,0.4489886,raw,6,-0.385305214,0
 96.835625  108.281      10.617403   50.497696   38.803314   40.1157  37.597244   48.47844    74.33023     8.4653015 104.43205    33.36967  ,1900.4847,43.59454944,0.47457698,raw,6,-0.273241985,0
111.66013   107.66222     1.6729891  60.90234    31.506493   39.218452   2.3870533  57.38117    86.05765    29.024248  104.94664    22.251997 ,2056.2861,45.34629128,0.52412593,raw,6,-0.00967872,0
119.09939  101.89391   13.369209  53.239845  46.014507  43.361137  22.033016  59.22154   73.78092   22.367258 108.513245  28.240807,1677.6255,40.95882674,0.45156303,raw,6,0.100685277,0
104.7067    98.54809   30.213316  54.598003  21.788725  38.759373  27.890377  63.010494  84.607185  28.415024 107.29504   36.414406,2714.7163,52.10293954,0.4773235,raw,6,-0.284651437,0
98.50393  87.4181   14.394158 53.265068 29.67116  39.734444 19.718025 53.016293 74.39426  25.53289  91.83602  24.65592 ,4051.1338,63.64851757,0.5196106,raw,6,-0.078407235,0
72.77837   70.50897   -2.2049656 42.29254   35.8358    62.71721 10.564073  50.74723   60.78882   -1.7736125 60.673195  22.01884  ,3634.826,60.28951756,0.55689496,raw,6,0.12876805,0
 98.398834  98.3873   -12.57754   71.19545   27.818624  17.395357  20.504547  96.99148   53.613304  39.926983  83.61128   36.35924 ,2354.1558,48.51964305,0.4886961,raw,6,0.16361778,0
101.60999   64.17692   35.802578  71.257126  -7.629414  21.999445  45.48704   56.49254  101.80337   44.911503 131.19344   54.254917,3495.4285,59.1221487,0.47801518,raw,6,0.036272247,0
87.1668   71.38702  60.332874 72.78736  18.959627 38.980694 14.378096 32.80399  73.06401  43.66072  70.51928  27.98707 ,5207.283,72.16150777,0.55728555,raw,6,-0.46798923,0
 57.044662 100.75883   18.979116  35.18367   72.21769   66.76096  24.07766   46.98843   74.95254   29.14217   80.44065   35.67299 ,3280.5422,57.27601799,0.47294047,raw,6,0.137044544,0
56.070328 55.474167 40.75755  53.93873  52.218822 57.413013 29.028318 94.03629  92.33689  45.44339  59.758026 62.88915 ,2375.9172,48.74338146,0.41626486,raw,6,0.229201666,0
117.80652   55.08979   49.228096  78.83739   13.153064  50.742523  53.85103   60.218834 115.036255  32.09388   91.77728   34.92634 ,5313.597,72.89442481,0.52561563,raw,6,-0.306801698,0
 66.24118   94.135254 112.0059    35.22034   33.044758  58.634983  64.4376    66.187935  95.21506   31.072119  90.8386    43.584095,3899.3992,62.44516931,0.45137966,raw,6,0.036576729,0
 51.43777   79.460945  62.90051    9.270377  96.82027  109.64046  44.976143  42.320545  96.150246  21.380499  84.114006  31.684048,2402.783,49.01819008,0.40756652,raw,6,0.176567829,0
