predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
76.65961  60.821198 70.14553  51.196377 39.18717  76.39182  68.8112 70.52363  45.28488  76.31971  49.90322  39.61498 ,539.9086,23.23593403,0.2528709,rolling12,1,0.054473454,0
79.51786  67.36475  69.357666 32.483253 43.21648  74.5969   70.273186 69.19488  26.985619 82.35698  48.25306  50.125183,764.57513,27.65095178,0.2741454,rolling12,1,-0.142402459,0
83.78413  66.74457  73.220726 22.903612 44.824448 69.2026   69.538895 79.49196  44.422314 81.554726 53.575596 44.291397,758.59344,27.54257513,0.25996605,rolling12,1,-0.193991364,0
77.05267  72.57312  78.67116  15.291592 51.811436 63.809196 70.8335 76.78035  42.83496  84.146515 57.863213 39.927788,750.0612,27.38724554,0.25121093,rolling12,1,-0.032744112,0
87.97062  67.282326 75.541626 40.56257  49.2727   51.856846 68.59514 61.70984  54.957405 55.797695 58.07309  47.310677,386.3048,19.65463837,0.16254951,rolling12,1,0.370009027,0
80.07549  46.216724 54.083523 46.294567 33.345047 26.924057 70.56767 58.19316  73.01544  43.130154 58.066208 51.264023,713.6966,26.71510049,0.29092327,rolling12,1,-0.019887942,0
73.21942  48.557106 43.5589   53.906822 29.898726 49.48977  75.09 60.767685 72.637764 48.857983 73.99249  50.51123 ,566.0096,23.7909559,0.29878867,rolling12,1,-0.204481173,0
73.13049  59.85036  51.03601  48.50856  43.830173 45.156136 77.79102 42.424496 69.874535 43.34335  48.4993   80.848274,354.66293,18.83249674,0.2797344,rolling12,1,0.083028508,0
92.492775 49.744846 66.500046 69.47532  57.09698  37.844707 73.24449 56.273808 65.585175 17.510284 44.916172 57.54342 ,242.48181,15.57182749,0.22709256,rolling12,1,0.524014594,0
59.941883 58.030518 59.203064 52.580242 72.90176  53.35     72.91569 55.548702 50.537018 31.43179  44.893967 58.958138,144.79335,12.03301085,0.18158108,rolling12,1,0.243345348,0
49.66643  55.506588 63.85667  46.893936 71.6717   67.26198  54.841908 53.723133 47.54363  49.58399  69.854866 47.78374 ,140.39983,11.84904325,0.17541195,rolling12,1,-0.121586804,0
45.44706  49.00024  63.486843 52.968018 64.84058  47.386345 35.379078 49.823315 58.944065 36.931824 56.207024 45.98149 ,96.712944,9.834273945,0.15703245,rolling12,1,0.021125167,0
48.739666 52.0084   71.571915 72.25066  58.112698 60.223125 47.303425 41.563408 57.939137 34.154205 61.422928 53.444675,148.92258,12.20338383,0.2047971,rolling12,1,-0.160501748,0
57.609417 59.985363 74.66206  58.54967  68.788246 56.799408 39.100037 56.440952 61.04391  46.504364 55.42453  65.69699 ,153.97015,12.40847105,0.21245849,rolling12,1,-0.144027761,0
70.93697  56.4445   79.07322  54.54135  79.10315  51.800713 47.40573 67.01921  65.23029  54.61732  37.862083 65.14737 ,271.26746,16.47019903,0.27210572,rolling12,1,-0.324778734,0
74.03045  53.583813 72.90111  39.50149  84.129456 54.108315 60.74579 67.34399  55.653847 63.382774 40.373795 75.50469 ,315.4617,17.76124152,0.30225563,rolling12,1,-0.037964219,0
80.44397  42.84996  75.942924 33.070076 89.856285 58.842297 69.29312 79.4485   74.895454 66.16756  45.351814 75.56899 ,513.1558,22.65294292,0.4016947,rolling12,1,0.131851778,0
75.28871  48.19885  96.860344 32.139095 90.53622  55.253345 78.526215 77.1787   81.91976  69.38077  52.23424  67.51442 ,644.0567,25.37827224,0.41615203,rolling12,1,-0.074781837,0
 76.81181   56.275013 101.25324   59.703613  82.08302   59.207222  78.60531   68.46686   79.494995  61.972073  55.926525  64.78888 ,537.55554,23.18524406,0.36487582,rolling12,1,-0.308573508,0
 77.94793   72.49339  103.16813   52.22186   78.35517   54.787582  77.72638   76.33614   81.86632   58.862305  50.420414  84.33337 ,628.19653,25.06384913,0.39634,rolling12,1,-0.111292777,0
 73.87677   83.18498  101.35963   60.179398  78.624306  65.09899  66.383896  78.57005   61.52524   61.001232  51.912945  80.833374,540.6025,23.25085973,0.37020388,rolling12,1,-0.303249723,0
 66.24021   89.47747  102.90986   66.51079   79.64764   62.44318  69.98822   61.103268  60.285076  47.564445  38.56364   90.682274,603.5877,24.56802205,0.38186693,rolling12,1,-0.315094472,0
82.1178   83.79726  98.182594 75.16983  98.960205 71.67373  76.85844 66.985695 50.33462  43.621815 37.52437  78.446236,766.60345,27.68760471,0.45231664,rolling12,1,-0.578713785,0
72.323845 75.89458  94.67914  66.66472  96.03172  80.540886 82.15191 57.11127  58.736977 48.845955 34.644573 75.76885 ,665.94885,25.80598482,0.39428782,rolling12,1,-0.740548152,0
75.99011  72.245865 94.521065 62.099567 94.846535 81.17926  79.763824 57.090347 57.4955   59.23755  38.420662 76.2638  ,570.4576,23.88425382,0.37238407,rolling12,1,-0.674101804,0
81.59587  71.981186 99.903885 59.488873 84.96377  79.02863  79.82742 54.57451  70.705505 55.949398 30.715143 84.56902 ,570.57245,23.88665838,0.36575198,rolling12,1,-0.340115739,0
82.85424  73.99268  97.35454  61.213696 84.39398  79.58998  83.381355 57.48281  67.44459  57.849483 30.561745 85.29342 ,522.37775,22.85558458,0.34119797,rolling12,1,-0.098067574,0
84.8626   74.30446  94.76771  63.922394 82.57801  83.46802  87.371544 59.54278  64.851906 61.308456 32.10126  84.04111 ,451.61548,21.25124652,0.32328942,rolling12,1,0.283037448,0
87.58333  73.98247  93.28585  62.844456 79.309425 84.44553  91.981606 58.744675 64.60708  63.294834 30.819855 86.188614,450.95972,21.23581213,0.31441516,rolling12,1,0.451804029,0
92.40529  72.16315  92.93977  65.238045 76.38014  86.05612  95.44196 60.811096 65.18252  64.052055 33.13594  83.504326,493.4269,22.21321477,0.3297989,rolling12,1,0.366600451,0
91.46727 73.43968 93.94975 64.6382  71.95851 86.88467 98.7307  60.82587 66.2984  65.88615 35.05585 83.10289,536.62195,23.16510195,0.3523283,rolling12,1,0.208575051,0
 92.21869   74.261955  93.5577    65.50778   68.47213   88.99375 100.9744    63.066174  64.39137   69.218124  40.709686  78.69414 ,522.8516,22.865949,0.3341188,rolling12,1,0.205729764,0
 94.08394   75.557915  92.85036   64.36511   64.38026   88.85383 103.24575   64.70544   64.01676   69.804245  43.443134  79.02835 ,554.11475,23.53964201,0.334438,rolling12,1,0.058705563,0
 97.08226  76.56281  92.49323  66.49841  61.23986  87.83369 105.74531  66.71659  63.14407  69.74622  47.87228  78.87938,610.3591,24.70544616,0.344442,rolling12,1,-0.095847236,0
 98.03022   77.22887   91.97473   69.21223   57.529705  85.99945 107.67794   69.17447   64.67593   69.61649   52.303974  77.12909 ,672.15717,25.92599401,0.35601127,rolling12,1,-0.282863218,0
 99.08956   78.5532    88.99309   69.64612   57.27763   87.51884 111.044365  72.47631   63.016262  73.139175  55.86875   75.88441 ,736.33496,27.13549264,0.38120666,rolling12,1,-0.384379544,0
101.4282    78.9916    87.31052   65.7313    57.137177  89.62111 112.93975   74.69781   61.356777  78.02353   58.793385  75.18775 ,725.388,26.93302806,0.3622698,rolling12,1,-0.297839238,0
104.56441   80.8782    90.278046  61.10809   59.17969   87.72174 112.639595  78.08076   62.85155   78.26434   59.37324   75.61791 ,670.0004,25.88436646,0.3316605,rolling12,1,-0.191719844,0
103.887695  82.747086  95.02524   58.631073  62.13059   85.20957 113.261215  80.13036   65.25362   78.77935   61.946354  73.21646 ,618.6283,24.87223946,0.29892242,rolling12,1,-0.193715447,0
102.170456  82.80835   94.72016   57.597687  63.163124  83.37225 113.05333   82.367355  68.43517   79.4427    67.586235  68.21627 ,551.56036,23.4853223,0.2854644,rolling12,1,-0.279508835,0
101.80033   82.76138   90.98373   53.740612  63.81466   82.28723 113.81873   84.06825   71.331726  81.5684    71.2601    69.380905,494.74707,22.24291056,0.26705554,rolling12,1,-0.357972739,0
102.157646  81.51144   89.329605  53.822887  62.384697  80.28809 113.03161   82.47647   74.65925   80.83472   74.3204    71.03381 ,405.38242,20.13411075,0.2204055,rolling12,1,-0.401699364,0
102.91516   83.43889   89.055786  55.97583   65.98153   78.89992 114.31176   83.19055   77.64404   78.42863   73.653915  72.82438 ,327.77887,18.10466431,0.17870955,rolling12,1,-0.433338441,0
104.09473   87.01724   89.26518   54.364883  74.5534    81.758415 117.31736   85.1888    75.419815  81.31842   72.75892   73.48372 ,293.5181,17.13236986,0.1639911,rolling12,1,-0.371833271,0
103.68035  86.06488  87.33262  49.98475  80.94797  81.26151 114.94317  86.7455   73.69513  83.45744  73.03932  71.6091 ,278.75922,16.69608386,0.16170253,rolling12,1,-0.306273607,0
