predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
54.812164 51.020275 13.277165 18.736431 27.549578 14.869306 15.471303 67.48929  32.495525 33.81679  49.91775  39.662014,2218.887,47.10506303,0.5051834,weighted12,12,-0.396763022,0
79.89219  62.128014 43.32047  57.578213 91.01157  23.38502  29.75112 60.95216  61.318085 51.02225  89.82041  52.40388 ,439.17734,20.95655834,0.32562003,weighted12,12,0.343499491,0
 54.10083    58.489353   36.670284   97.12448    22.509354   42.415165  30.184357  104.50333     1.2970048  51.8533     29.37165    89.112404 ,1076.5828,32.81132066,0.46891215,weighted12,12,-0.189249101,0
73.85693  44.51201   8.83256  64.210464 31.042374 25.959042 32.852333 84.323746 40.11994  44.14674  41.55957  59.76467 ,741.5124,27.23072511,0.39816466,weighted12,12,0.239507129,0
85.646065  45.874847  12.8114605 65.0158    38.875793  32.161064 20.336555  95.05974   46.6847    39.269768  57.144115  46.037994 ,1652.7798,40.65439441,0.44308493,weighted12,12,-0.024417216,0
83.02369  34.525578 18.90558  77.190796 45.923004 32.36091  27.25706 85.53964  40.58584  42.24702  43.365646 37.85349 ,1544.1854,39.29612481,0.43035612,weighted12,12,0.007152911,0
77.42752  42.579193 21.687635 61.33983  46.084    26.435762 33.54352 85.42797  44.40853  50.196793 43.285275 28.906635,3976.344,63.05825873,0.56284124,weighted12,12,0.181923824,0
76.84888  36.444458 29.241234 48.04858  54.046886 18.975367 33.98251 33.39675  64.233826 52.284584 48.928017 53.592518,1829.9222,42.77759041,0.46629933,weighted12,12,0.397112622,0
43.3212   47.916016 10.229326 36.866226 26.336134 25.831049 11.138592 63.33223  10.016133 56.18158  26.336401 44.39882 ,7494.3647,86.56999911,0.71051246,weighted12,12,-0.285433371,0
57.254505 29.468616 34.53074  81.79413  58.322006 53.22049  34.14614 25.429811 56.866585 96.62484  60.630806 48.54203 ,2828.929,53.18767672,0.47178662,weighted12,12,0.349540936,0
38.58665  41.272343 47.691727 17.356482 57.771233 23.340761 43.114292 71.7832   19.442818 67.38497  20.57437  40.510105,7041.4688,83.91345989,0.6574438,weighted12,12,-0.150817197,0
 76.636734  43.827606  30.977337  66.27205   50.010773  41.60827  48.44659   20.994026  64.831085 114.48787   44.262093  34.022152,2216.7917,47.08281797,0.45817113,weighted12,12,0.188112913,0
51.857388 61.0222   23.707932 18.045614 64.29302  25.246225 48.268494 23.70201  33.29435  70.040985 46.39427  39.93794 ,7020.8027,83.79023054,0.655866,weighted12,12,-0.130125057,0
 66.78922   30.163792  36.97381   41.695213  38.64093   57.336124  37.979527  37.771797  63.446136 102.924446  58.44573   45.27289 ,1830.0734,42.77935675,0.45190096,weighted12,12,0.267362229,0
41.590065 16.19134  26.259964 33.02013  49.76294  46.68943  40.86043 15.09807  27.254942 85.155136 40.51812  70.03645 ,14114.552,118.804679,0.72796565,weighted12,12,0.179026016,0
34.43837  42.558884 14.418734 29.996113 35.880116 55.982704 28.00403 19.487144 32.592754 84.67154  33.63934  65.41846 ,8748.867,93.53537934,0.6979497,weighted12,12,0.20026116,0
65.998474 36.318996 30.179754 15.058416 53.95198  29.482328 42.088135 47.202965 36.168297 89.16748  34.910362 31.666683,11955.465,109.3410483,0.7175851,weighted12,12,0.305008697,0
80.78601  36.986725 40.97693  60.12219  98.77381  33.8004   55.88062 52.60853  59.342567 95.79378  54.735867 15.284846,3486.3076,59.04496267,0.47636178,weighted12,12,-0.180591814,0
81.02465  48.40059  33.397694 42.989758 57.71907  33.7002   59.435993 73.9052   63.488583 87.60455  40.736095  9.335835,8184.5845,90.46869333,0.62630457,weighted12,12,0.193953549,0
 80.26275   35.975723  43.69008   74.44103   62.976864  51.340992  59.351883  38.96749   61.71138  122.100266  55.118908  41.87299 ,741.5743,27.23186148,0.27153158,weighted12,12,0.047333466,0
 48.45441   32.47541   20.740145  36.816483  41.45953   60.24421  49.05821   37.65303   48.489166 103.01971   38.99648   69.40452 ,454.49045,21.31878158,0.2920882,weighted12,12,0.564161835,0
46.459152  28.2292    29.14258   26.196028  36.513176  41.809933 41.590366  48.133778   2.5425391 58.728836  33.53494   57.493813 ,928.0756,30.46433361,0.40404665,weighted12,12,0.228446544,0
67.62359  56.531803 25.24237  17.894753 44.95139  25.705883 26.544186 85.80069  38.368095 52.58749  52.237495 26.712828,3886.6956,62.34336818,0.56624776,weighted12,12,-0.099771122,0
80.519455 51.993027 29.244684 58.225784 51.96431  45.48509  40.641186 37.53644  74.958626 95.248024 65.120995 38.90881 ,4239.068,65.10812446,0.5269191,weighted12,12,0.242475381,0
38.22464  44.725967 30.268393 27.735125 44.159218 26.803293 39.3403 51.946877 13.493048 57.421677 32.360573 36.842697,19065.998,138.0796801,0.78547287,weighted12,12,0.040045628,0
 49.575672  38.478893  38.882694  93.32273   45.947277  73.43002  57.458324  64.658806  44.48543  109.954544  48.405163  44.989914,15271.333,123.577235,0.63692963,weighted12,12,0.083387979,0
 67.484535  38.54108   35.997547  17.368393  65.63074   27.572102  61.66064   51.709114  29.792738 104.20052   35.189823  27.69987 ,32863.645,181.2833267,0.78956574,weighted12,12,0.023293092,0
 78.51434   47.097645  38.977943  79.94132  106.2358    53.018536  70.57703   31.454268  79.08346  143.18576   69.32121   43.392403,1666.7816,40.82623686,0.5599424,weighted12,12,-0.113912323,0
 53.97951   33.6214    36.209404  34.731644  43.892452  55.89368  69.43853   42.059532  31.544216 130.0818    37.53242   56.91121 ,789.0175,28.08945562,0.3452965,weighted12,12,0.372822587,0
40.714825 20.914244 35.834354 33.76564  40.061916 55.69219  46.985306 34.763344 11.049548 89.19153  39.321667 65.48652 ,618.3552,24.86674938,0.35122553,weighted12,12,0.406556645,0
34.06435  34.088184 40.364155 70.40559  30.717884 65.69883  32.65571 63.010277 22.048784 80.88879  41.81675  53.448784,17674.203,132.944361,0.7262254,weighted12,12,0.315801579,0
53.314747 68.49555  31.300798 68.49943  96.99283  48.77173  46.03079 26.968845 38.53264  65.3051   66.25357  59.38016 ,3058.7595,55.30605321,0.4624726,weighted12,12,0.073645785,0
76.56283  28.387812 32.445034 53.755314 17.61185  44.23142  32.624966 98.522415 42.5491   79.97148  28.335026 25.800732,5831.721,76.36570691,0.60988253,weighted12,12,0.254740542,0
62.577057 44.524906 20.53278  92.42907  70.411705 52.85947  70.89308 68.79568  33.37362  81.044014 48.558506 33.12443 ,3119.7092,55.85435729,0.4413322,weighted12,12,-0.282196561,0
63.739666 50.125275 33.459167 16.11135  32.393044 21.348848 55.152576 54.39134  62.0523   73.952034 42.408512 28.319082,8844.364,94.04448021,0.67683953,weighted12,12,0.338056093,0
82.79584  46.070526 36.90316  56.485214 68.1075   29.933872 63.52721 63.298492 89.002235 64.661804 63.789223 29.011036,3837.5393,61.94787572,0.511326,weighted12,12,0.492157836,0
57.689648 25.958687 53.99162  45.734127 34.54556  32.332455 64.509125 52.758553 39.07352  77.736626 36.380196 26.084156,5311.8506,72.88244361,0.6078526,weighted12,12,0.013578718,0
 39.602776  32.855564  73.0663   101.29798   91.48398   55.238438  67.14362   52.724834  51.98561  118.22145   70.2133    73.45555 ,3545.0176,59.5400502,0.4328916,weighted12,12,-0.241549876,0
 12.654225   13.5210705  45.794464   43.91978     8.617544   44.39866  47.334904   75.26438   -11.335151   69.6571      8.248088   66.537476 ,8378.174,91.53236492,0.69936156,weighted12,12,-0.445751553,0
 51.73124  -13.397723  84.64914   94.741714  98.00916   31.282541  76.211464  56.75346   45.6996   102.60824   60.02802   46.822647,1249.4845,35.348048,0.48058,weighted12,12,-0.294316983,0
54.637386  9.027285 70.3721   31.619638 62.732838 16.492554 77.648796 51.629673 38.88377  69.476776 42.575928 68.22314 ,8031.732,89.61993045,0.60705763,weighted12,12,0.245620132,0
17.355007 27.337963 47.53729  83.56219  44.19045  63.76179  43.940277 45.708057 28.613735 82.69606  51.430405 95.68528 ,8145.86,90.25441742,0.612804,weighted12,12,-0.451883802,0
42.232292  37.88178   29.533943  51.11899   54.44801   44.49832 28.281443  83.77981    0.5159709 85.37585   34.85167   45.838284 ,3802.8486,61.66724116,0.5412105,weighted12,12,-0.095525045,0
 74.71723     6.4660454  64.9213     74.10403    75.72634    51.71059  61.49966    59.76303    48.08029   101.29506    58.553574   34.396133 ,549.76263,23.4470176,0.37939894,weighted12,12,0.217239496,0
51.318794 43.222404 36.705406 28.51178  49.479492 38.671043 40.744835 97.693825 18.292454 52.875706 54.682045 46.370846,626.8241,25.03645535,0.68099284,weighted12,12,-0.054332504,0
79.95414  32.36678  54.606907 70.78939  61.024788 52.63901  33.406284 76.23676  40.12953  66.9919   77.20124  55.188915,2233.2603,47.25738306,3.5881882,weighted12,12,0.181138677,0
44.358173  32.344425  -0.7089463 39.702778  32.888527  64.44173 27.847929  37.0319    48.993538  69.65681   45.261784  89.72901  ,459.702,21.44066221,0.48842573,weighted12,12,0.431172449,0
41.253616  19.13901   15.2545    20.311596   6.7863283 46.890163 10.517768  47.093388  19.417192  33.322594  31.81665   65.99623  ,290.3016,17.0382395,0.46846983,weighted12,12,0.140162502,0
66.49487  35.629093 24.973646 20.866568 40.55722  30.192621 10.237627 62.360096 33.259884 37.34874  54.001904 41.21032 ,278.4546,16.68695868,0.35505328,weighted12,12,-0.104394798,0
79.30552  39.83464  40.216423 63.9148   61.241093 45.287357 27.80117 67.31286  39.710995 57.650166 78.66416  48.08896 ,1120.0834,33.46764668,1.5014874,weighted12,12,0.222435808,0
54.90098  36.55001  26.312588 32.18948  32.365425 38.50222  43.01833 20.66761  51.723667 56.84044  56.44948  73.222664,5548.4653,74.4880214,0.594978,weighted12,12,-0.620412059,0
42.718178   48.379303   -3.3882613  43.337296   34.38564    65.912766 27.78108    -0.70170814 28.379911   63.359695   61.547478   97.452805  ,784.6372,28.01137639,0.4143884,weighted12,12,0.611650772,0
44.715363 39.77028  17.566841 22.829346 52.586594 34.796963 20.115023 55.72089  11.751001 37.53529  54.35382  44.857025,7666.086,87.55618732,0.699466,weighted12,12,0.079998481,0
76.522896 43.499245 25.85638  72.60374  93.43949  52.866207 48.68092 43.37109  91.55792  68.597206 79.65579  38.654133,1266.0042,35.58095207,0.33966973,weighted12,12,-0.090045284,0
56.09374  57.256413 31.85784  35.6395   22.405033 38.073368 43.777607 47.75001  30.814278 58.103596 30.56012  24.654789,2437.318,49.36920209,0.5271478,weighted12,12,-0.026041712,0
80.38018  30.89426  65.51553  68.05025  80.22348  58.756294 62.289505 69.999374 58.26243  98.36215  76.21898  47.410515,371.0161,19.26177856,0.22296429,weighted12,12,0.053888063,0
57.57173  30.955835 35.41217  24.298365 39.03535  20.18687  45.4067 77.39144  23.91321  57.887234 45.170876 44.74579 ,5892.9067,76.76527039,0.6301672,weighted12,12,0.208830756,0
74.44525  36.03103  50.615585 82.9762   84.32815  57.29888  54.53782 45.944878 43.83192  53.525578 95.86454  49.342438,5519.5703,74.29381073,0.50484365,weighted12,12,-0.087166736,0
26.553534 26.460583 60.27112  48.866695 55.507404 52.71076  49.20449 51.416695 58.652657 52.846607 54.612427 43.142265,16230.755,127.3999799,0.72514033,weighted12,12,0.497062776,0
40.90677  32.654797 45.522095 92.842    64.22276  35.454845 80.88989 75.32939  47.528156 73.392975 37.603317 36.448982,4656.7065,68.24006553,0.4876971,weighted12,12,-0.445060707,0
 49.512077  15.22951   78.41446   76.90341   59.555923  29.695848 105.557106  74.73502   45.059494  82.24251   33.61188   20.805145,4651.988,68.20548213,0.5274435,weighted12,12,-0.083164684,0
 47.32666   10.884369  65.12374   67.521095  78.798355  43.251476  96.72789   49.986526  64.94179  107.046524  53.543518  53.248238,4134.559,64.30053718,0.45207694,weighted12,12,0.051797118,0
45.658894 26.1134   70.64018  65.569885 99.65886  13.008567 67.39856 71.34983  15.72223  81.68451  62.404568 40.77119 ,28033.13,167.4309734,0.7513539,weighted12,12,0.241361384,0
 59.94784   46.355366  45.60144  113.26163   84.64327   27.518572  81.35107   87.01681   36.541843  75.20883   46.124027  51.784306,6727.1504,82.01920745,0.5265611,weighted12,12,-0.062743615,0
 77.98018   51.447994  30.957413  85.33946   60.090603  30.47033  92.47502   92.592354  59.797024 101.45826   37.446705  23.052786,5856.0293,76.5246973,0.54828477,weighted12,12,0.580243957,0
 91.03924   49.18147   69.81788   64.22948   90.07282   41.598373 102.62384    7.903387  77.00269   87.9899    77.8978    22.319218,2026.4501,45.01610904,0.35751593,weighted12,12,-0.124851858,0
57.743565 30.961351 86.53406  31.165926 57.752125 30.724218 64.921684 84.00115  51.47825  77.30336  64.66723  45.556023,4193.6455,64.75836245,0.5204974,weighted12,12,0.00342736,0
50.18101  20.849953 50.208817 58.016045 63.57695  34.563362 75.330215 62.339626 64.71433  77.29485  55.475147 41.48035 ,6192.644,78.6933545,0.5690779,weighted12,12,0.477934041,0
47.237877 24.214272 92.2106   76.775665 93.39147  16.1594   80.04192 64.55419  26.991318 88.24588  57.08254  51.299015,7072.277,84.09683023,0.56443995,weighted12,12,-0.112701695,0
 39.428032  55.31602   45.14271   97.84907   48.867912  47.815403  71.86952  117.13435   47.208824 100.856514  23.843174  55.168133,1235.8602,35.15480379,0.38491014,weighted12,12,-0.159329656,0
