id,predict_data,mse,rmse,smooth,skip,result_corr
0,55.1006   55.31089  51.876305 60.9517   51.47308  53.24319  58.106426 56.547207 50.372868 54.611637 47.4196   59.668385,585.94324,24.20626442,raw,1,-0.03564716640999019
1,55.199406 55.59869  52.304214 61.45155  52.291367 51.797096 56.324722 57.999443 49.595985 54.014965 47.139805 60.345467,585.5199,24.19751842,raw,1,0.022144739863690532
2,54.677544 55.733044 52.255608 59.231323 51.985233 51.64232  55.89851 56.896126 51.092953 54.20615  47.110294 60.726414,587.82513,24.24510537,raw,1,0.028394509882358865
3,52.668076 56.55105  54.128258 59.49954  51.54884  51.294117 55.77942 57.623512 49.04058  56.54287  45.51547  59.296665,568.5059,23.84336219,raw,1,0.1844830384032536
4,50.375496 49.459126 51.734802 60.811134 51.584164 52.960045 58.89927 58.210342 50.028534 54.72056  47.0528   57.339005,584.19464,24.17011876,raw,1,-0.08498949404648003
5,53.31681  48.363697 51.02314  60.72444  49.11108  53.428925 59.37679 55.20993  51.39017  53.60623  49.76843  59.619556,512.50757,22.63863,raw,1,-0.23638955682844032
6,51.19475  46.861816 49.90556  60.345562 48.658363 53.957615 59.958908 52.599297 54.631065 57.245667 51.220394 58.344894,423.84598,20.58751995,raw,1,-0.475850629516393
7,49.982445 48.12913  53.768414 60.752155 47.833424 53.163162 61.07204 55.415752 56.957775 55.72155  48.356464 60.905468,293.6159,17.13522412,raw,1,-0.39891354385550437
8,54.777428 47.00114  54.967148 62.898403 49.908417 54.044075 62.325542 54.672848 60.39885  51.842506 49.703766 61.17893 ,183.2241,13.53602991,raw,1,-0.2515217471183442
9,54.53716  50.012924 54.47175  58.39677  50.605827 55.580868 62.311718 55.314552 58.646458 52.768764 49.66259  58.602474,107.76594,10.38103741,raw,1,-0.30116110395523366
10,56.193424 47.883984 52.59518  57.360012 50.52568  54.88818  62.668 54.841938 57.887367 51.71641  51.400856 57.39497 ,69.3905,8.330096214,raw,1,-0.2908597906499589
11,54.712444 48.387108 49.026855 58.71819  50.152504 53.681866 62.572342 52.449905 56.66662  54.815437 51.501045 58.430145,51.893673,7.203726323,raw,1,-0.3336511228639581
