id,predict_data,mse,rmse,smooth,skip,result_corr
0,54.634174 54.166733 53.87533  55.683907 55.251507 48.970905 55.020126 51.02245  49.69093  54.87992  52.584404 51.229855,226.19928,15.03992287,rolling12,1,-0.4625343805326697
1,54.648613 53.79208  52.745502 54.876972 56.83523  48.634045 54.79802 50.78573  50.34675  54.843983 53.46384  50.537827,242.44563,15.57066578,rolling12,1,-0.35987187646459884
2,55.329147 53.358337 54.19257  54.77162  57.091305 50.08399  53.60269 50.691082 49.91057  55.771893 53.378685 50.92578 ,263.26358,16.22539923,rolling12,1,-0.4289348074509371
3,54.35928  54.12662  53.59795  54.449314 57.95528  50.780804 54.999653 49.886753 50.076958 57.33774  52.449886 50.2624  ,280.7272,16.7549158,rolling12,1,-0.29953156956615645
4,55.347095 53.906578 54.63761  53.520386 58.27233  50.67773  54.778324 49.995743 50.23831  54.50561  51.28391  50.326675,312.71698,17.68380559,rolling12,1,-0.4596385384092264
5,55.622307 54.916027 51.597233 54.171303 56.364243 49.75257  54.570396 52.858025 52.280407 54.61844  51.29142  51.65048 ,312.40927,17.67510315,rolling12,1,-0.3224812631138554
6,55.7992   54.525314 52.675144 55.373234 56.684273 49.883926 53.20911 53.36137  51.706997 55.583237 50.68812  51.680965,314.19775,17.72562422,rolling12,1,-0.14850235685451305
7,56.516193 55.203163 52.05636  56.095684 55.803425 49.034695 55.524857 54.488384 52.926785 55.408344 50.185158 51.927334,297.92276,17.26043916,rolling12,1,0.15511490919268206
8,55.4672   52.89656  53.20848  56.125164 55.51618  49.866917 52.003246 52.80429  52.6445   53.60387  49.272755 50.371395,309.86972,17.60311678,rolling12,1,0.4971420746877306
9,53.698154 52.99138  53.48334  53.19725  58.745228 50.468292 50.947803 53.135952 52.22621  53.566643 49.422028 48.14519 ,291.56454,17.07526119,rolling12,1,0.5947484064519483
10,53.952187 53.84039  55.327305 53.31312  56.594273 50.98688  50.64279 52.50972  50.731167 54.02013  50.178883 47.53079 ,254.49083,15.95276871,rolling12,1,0.6955290696223075
11,52.62126  54.60873  52.98048  52.97258  57.203976 51.04552  49.028404 51.940643 51.910095 53.064644 50.42404  48.432896,226.16296,15.0387155,rolling12,1,0.5876041571438457
12,52.564407 55.075436 50.650986 51.421814 56.76519  50.153606 49.06387 51.992382 52.48624  52.363632 50.828552 49.138496,196.76967,14.02746123,rolling12,1,0.4010992022198337
13,52.51692  54.015022 51.496014 51.761166 55.237404 49.851437 48.147877 53.807552 53.21408  54.64381  50.244045 51.14121 ,155.60373,12.47412238,rolling12,1,0.1482960571058987
14,52.343475 54.340256 52.368355 52.312984 55.287506 50.30826  49.652218 53.462948 51.913765 53.52361  49.649284 51.820526,106.633934,10.32637081,rolling12,1,0.34712281118363597
15,51.706055 55.22547  50.17929  51.9963   56.530605 51.459705 52.555786 53.43871  51.071037 52.475075 51.239384 52.385742,73.13058,8.551641777,rolling12,1,0.1237520164392416
16,53.15141  55.91485  51.165413 52.63228  56.16894  52.909832 53.256348 54.271515 50.417793 53.50208  51.934208 53.6409  ,38.905495,6.237426929,rolling12,1,0.20569764215380193
17,53.407196 56.76405  50.751488 54.119736 56.618816 53.205498 56.22782 53.79509  50.77292  54.017925 50.799183 54.548714,23.140493,4.810456672,rolling12,1,0.13749201420612744
18,55.69487  56.886936 51.68337  54.862133 56.53035  53.36337  56.678585 54.36906  50.188496 50.963768 50.59541  55.69082 ,12.506503,3.536453464,rolling12,1,0.3628959321743445
19,55.90719  56.135197 52.211468 55.45939  54.03498  52.95514  55.306507 55.95311  52.599678 52.14948  50.823647 56.606506,10.0978155,3.177706014,rolling12,1,0.33668893293333774
20,56.27249  55.034378 54.281612 55.49472  52.73735  51.65793  53.5696 56.92601  53.580944 52.03684  50.18549  56.30768 ,9.495887,3.081539681,rolling12,1,0.32404351157622246
21,56.589333 56.181576 53.585068 55.407215 52.308086 52.637012 57.0338 56.8856   52.953037 51.313442 50.06667  56.94039 ,14.452054,3.801585725,rolling12,1,0.021275326770355873
22,55.939705 54.921352 53.972595 54.323    52.011395 51.992004 53.833225 55.88108  54.05296  51.99216  50.09495  55.69449 ,10.594605,3.254935552,rolling12,1,-0.059963400137725525
23,56.330296 55.901752 53.535286 52.80686  54.395206 52.335415 53.57397 55.98715  54.405117 51.43162  49.70602  55.51835 ,15.217191,3.900921781,rolling12,1,-0.2908040082849609
24,56.101864 55.575542 54.58312  53.89084  53.383434 52.60345  53.632133 55.07658  53.382202 52.300255 50.769066 55.339222,15.962155,3.995266617,rolling12,1,-0.4454747916917341
25,55.509064 56.121696 53.290436 53.957195 53.912212 52.9308   52.08387 53.674442 53.56819  52.43971  51.797195 54.99327 ,16.21012,4.026179237,rolling12,1,-0.45773624219290077
26,55.54943  55.944756 53.23368  54.10578  53.513138 52.57457  52.679512 53.57843  53.56831  53.1279   52.105747 54.82776 ,16.555908,4.068895207,rolling12,1,-0.47112042948973976
27,55.745663 55.944065 53.27643  54.293705 53.393425 52.261524 53.022156 53.2221   53.35064  53.51867  52.378036 54.467804,18.073101,4.251246999,rolling12,1,-0.5774654124786511
28,56.00301  56.117092 53.003094 54.561028 53.317284 51.890793 53.57675 53.002525 53.371525 53.840218 52.750317 54.185875,19.312212,4.394566189,rolling12,1,-0.6247954078393823
29,56.15334  55.92629  53.082428 54.789967 53.21169  51.429718 53.352978 52.777515 53.38443  54.138878 53.061142 53.69134 ,21.214396,4.605908762,rolling12,1,-0.7145640111358517
30,56.24324  55.992374 53.04856  54.85641  53.27382  51.143936 53.787373 52.676243 53.380196 54.54927  53.184856 53.323105,22.195467,4.711206533,rolling12,1,-0.7140590444008676
31,56.397804 56.023914 53.126343 55.034943 53.00416  50.831272 54.061974 52.403526 53.214306 54.90962  53.38259  52.89361 ,24.211845,4.920553363,rolling12,1,-0.7279720721884971
32,56.418175 56.114864 52.920208 54.96251  53.18565  50.504288 54.082195 52.227707 53.463947 55.30582  53.48882  52.62211 ,26.329979,5.131274592,rolling12,1,-0.6733394004454363
33,56.479958 56.11488  52.87693  54.821358 53.072273 49.94755  54.101185 52.311386 53.68915  55.703106 53.478188 52.38289 ,29.597336,5.440343355,rolling12,1,-0.5006263225786254
34,56.510555 56.17604  52.70735  54.85146  53.10279  49.67651  54.302246 52.332047 53.69749  56.17753  53.212063 52.417343,32.41444,5.693368085,rolling12,1,-0.15698485983131616
35,56.56654  56.242264 52.56428  54.812046 53.237236 49.33494  54.377506 52.31187  53.762474 56.61322  53.02323  52.285057,36.44606,6.037057245,rolling12,1,-0.0033503755047683825
36,56.8171   56.398163 52.217964 54.735584 53.48504  49.00395  54.298183 52.39184  54.024715 56.958004 52.988235 52.220505,43.01646,6.558693499,rolling12,1,-0.0563328323659682
37,56.809914 56.19795  52.454956 54.690975 53.896492 48.824745 53.961987 52.279037 54.21641  57.399864 52.78699  52.044464,53.538315,7.316988098,rolling12,1,-0.12062691657194308
38,56.684654 56.31105  52.332043 54.322105 54.357212 48.700104 53.973743 52.005768 54.259197 57.498627 52.606205 51.771954,70.167564,8.376608168,rolling12,1,-0.16479534290500536
39,56.79133  56.48408  52.165657 54.053734 54.714203 48.829483 54.115993 51.87326  54.100227 57.455288 52.48061  51.76044 ,91.69895,9.575956961,rolling12,1,-0.18985743184391257
