id,predict_data,mse,rmse,smooth,skip,result_corr
0,28.844261 27.37937  23.276257 29.643978 29.170313 26.545721 25.262148 29.215572 31.45396  29.002823 28.462788 27.798471,1169.7529,34.20165098,weighted12,6,0.28987447086007295
1,27.57874  27.660883 24.373457 32.242462 28.693295 25.617746 26.188377 26.746994 30.167097 27.738363 27.24139  29.417006,1539.2338,39.23306978,weighted12,6,-0.12982103543487175
2,29.873798 28.612999 22.739721 34.09595  30.852955 23.161657 25.003973 27.455624 34.74105  29.127714 26.91756  29.422436,949.2493,30.80989011,weighted12,6,-0.026577645114650245
3,30.753311 25.989637 23.558666 36.46048  28.250328 21.51142  24.737226 26.950075 32.901775 33.260216 26.637505 30.309494,655.6733,25.606118,weighted12,6,0.020642728655124766
4,33.00531  25.985497 24.347755 35.30271  29.550072 22.531685 24.16177 28.18667  35.400692 28.69435  26.252794 32.60535 ,729.10626,27.00196775,weighted12,6,0.1512644398273612
5,32.808445 27.523787 23.125278 34.125492 28.66207  22.46677  22.011494 28.17354  36.555992 29.764189 26.482666 31.770964,858.5274,29.3006383,weighted12,6,-0.3207846629192598
6,30.55802  29.28229  20.315483 32.06802  28.989338 21.682692 21.66139 28.092678 36.112514 31.224316 26.67932  31.056684,1029.1298,32.08005238,weighted12,6,0.4012353187261557
7,29.407118 29.356411 19.67441  31.893305 28.558542 20.299593 21.47475 26.772318 34.50393  31.82618  26.241459 31.707888,1655.651,40.68969158,weighted12,6,0.173576769687276
8,29.316002 28.986814 19.383574 31.29097  28.239212 19.138601 21.802753 25.810884 34.614166 32.186768 25.156317 32.9701  ,2392.3206,48.91135407,weighted12,6,0.2385094211556738
9,30.521875 28.622746 20.354467 31.818579 27.866898 19.727633 20.763933 24.10012  34.287056 31.953487 24.784208 33.899296,2629.4055,51.27772926,weighted12,6,-0.4814227872769896
10,30.50185  28.840017 20.650145 31.379156 28.357933 20.435171 21.369104 24.749945 33.754623 32.02868  25.609554 32.75833 ,2537.4265,50.37287478,weighted12,6,0.5234996293837472
11,29.710459 28.737179 20.485922 30.819464 28.847454 20.669939 22.466158 25.490185 32.499474 31.270319 25.891762 31.204885,3390.497,58.22797498,weighted12,6,0.21523043964080177
12,29.684196 28.908451 20.540543 31.207588 28.784391 20.678986 23.244953 25.30516  32.170696 31.162573 25.816107 31.170103,5005.3203,70.74828841,weighted12,6,0.12225114998626382
