date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130102 00:00:00,34.06666667,276.5391667,34.76625,95299.52167,330.1540681,3.053106643
20130102 01:00:00,35.31083333,276.4925,35.25666667,95301.76583,18.3056132,2.913655963
20130102 02:00:00,36.79833333,276.4216667,35.88375,95305.40292,42.18180757,2.870886911
20130102 03:00:00,38.70125,276.3266667,36.61625,95310.355,47.33450644,2.866810623
20130102 04:00:00,41.06916667,276.1925,37.58125,95317.14167,48.17983012,2.896159542
20130102 05:00:00,43.73541667,276.01375,38.81625,95326.12833,48.71197376,2.920880021
20130102 06:00:00,46.37666667,275.8075,40.24916667,95338.49583,45.4053879,2.935712202
20130102 07:00:00,48.89041667,275.5783333,41.82083333,95353.47417,45.77327032,2.94311767
20130102 08:00:00,51.27916667,275.3279167,43.435,95374.50208,39.58493862,2.93741713
20130102 09:00:00,53.12333333,275.1425,45.0375,95401.33792,54.21102654,3.16175328
20130102 10:00:00,54.41458333,274.935,46.47458333,95432.83208,52.41194774,3.407424889
20130102 11:00:00,55.45041667,274.6970833,47.63666667,95469.1175,55.28495555,3.683768577
20130102 12:00:00,56.38333333,274.4391667,48.47541667,95510.6725,55.50330195,3.936865677
20130102 13:00:00,57.29708333,274.1616667,49.115,95554.73667,59.04990158,4.153986897
20130102 14:00:00,58.14166667,273.8666667,49.65875,95601.87542,54.05072168,4.34423495
20130102 15:00:00,58.90791667,273.5566667,50.14125,95651.76208,51.88394156,4.508111053
20130102 16:00:00,59.65041667,273.2320833,50.60708333,95705.21792,52.71050029,4.649321812
20130102 17:00:00,60.4,272.8891667,51.11916667,95760.90667,53.0920826,4.797503571
20130102 18:00:00,61.04833333,272.5245833,51.67208333,95818.91042,51.10803832,4.932638342
20130102 19:00:00,61.61666667,272.1570833,52.20958333,95878.51708,53.21507935,5.076825251
20130102 20:00:00,62.15916667,271.82125,52.5175,95939.27583,62.61649336,5.251814177
20130102 21:00:00,62.60333333,271.5079167,52.71791667,96001.64208,64.97444241,5.356190256
20130102 22:00:00,62.85916667,271.2120833,52.93833333,96064.88958,52.39792778,5.428784899
20130102 23:00:00,62.91166667,270.94125,53.06916667,96128.25417,48.91033781,5.502566356
20130103 00:00:00,62.77875,270.6891667,53.10583333,96191.41833,46.62812384,5.558026871
20130103 01:00:00,62.43416667,270.4558333,53.06083333,96253.53375,45.1465362,5.55648568
20130103 02:00:00,61.86041667,270.2454167,52.9425,96314.27042,41.51672853,5.44858637
20130103 03:00:00,60.96458333,270.05875,52.8025,96374.20958,35.80641775,5.305930446
20130103 04:00:00,59.66875,269.9041667,52.56375,96431.39542,39.27216468,5.137775461
20130103 05:00:00,58.15083333,269.7870833,52.18875,96485.32375,31.3902681,4.960219251
20130103 06:00:00,56.80708333,269.6975,51.71708333,96536.02042,16.73359422,4.77693754
20130103 07:00:00,55.80541667,269.6270833,51.18666667,96582.88667,10.59942372,4.60928082
20130103 08:00:00,55.16416667,269.5745833,50.6825,96628.98167,15.69779252,4.453835185
