date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130102 00:00:00,40.52336607,276.8580078,39.19163836,95274.26047,330.1540681,1.781473742
20130102 01:00:00,43.60909243,276.4359072,40.39315043,95293.01015,18.3056132,1.94051097
20130102 02:00:00,47.10147132,275.9698751,41.66355489,95316.76201,42.18180757,2.42166293
20130102 03:00:00,51.47733433,275.4667527,42.90998705,95345.2358,47.33450644,2.962153114
20130102 04:00:00,56.86166301,274.8935095,44.47151058,95378.27806,48.17983012,3.491181919
20130102 05:00:00,62.36265967,274.2331871,46.47384467,95416.96215,48.71197376,3.931598589
20130102 06:00:00,66.86609094,273.5318212,48.76771868,95467.66138,45.4053879,4.251063073
20130102 07:00:00,69.90734831,272.8359149,51.07754552,95524.64366,45.77327032,4.484852054
20130102 08:00:00,71.6810668,272.1429783,53.14009136,95585.46388,39.58493862,4.613852513
20130102 09:00:00,72.23510191,271.9387459,56.36030222,95653.41373,54.21102654,5.047250354
20130102 10:00:00,71.69429314,271.6766432,58.7795523,95724.79012,52.41194774,5.376403337
20130102 11:00:00,70.22851121,271.4705019,59.81445861,95797.05598,55.28495555,5.671085162
20130102 12:00:00,68.3001363,271.3779255,59.31735988,95865.61533,55.50330195,5.950946458
20130102 13:00:00,66.16406921,271.3705394,57.94613544,95925.16026,59.04990158,6.142577131
20130102 14:00:00,63.92166087,271.4028119,56.26269853,95982.82254,54.05072168,6.193461472
20130102 15:00:00,61.66319073,271.4670752,54.48775156,96038.10989,51.88394156,6.202706528
20130102 16:00:00,59.58357178,271.5260493,52.83557647,96095.25357,52.71050029,6.172744696
20130102 17:00:00,57.74598905,271.5297373,51.55664806,96153.99341,53.0920826,6.150456489
20130102 18:00:00,56.33168631,271.420464,50.74731858,96216.76054,51.10803832,6.093666245
20130102 19:00:00,55.34002065,271.2079484,50.26126505,96280.45213,53.21507935,5.98595701
20130102 20:00:00,54.62732241,270.9512014,49.9378177,96343.41834,62.61649336,5.787428316
20130102 21:00:00,53.96281335,270.6862794,49.58722297,96407.68353,64.97444241,5.511552383
20130102 22:00:00,53.39446705,270.4375242,49.32754915,96470.27658,52.39792778,5.145056406
20130102 23:00:00,52.97364124,270.2009041,48.99550918,96532.01897,48.91033781,4.784096448
20130103 00:00:00,52.7653307,269.976087,48.56531098,96586.14344,46.62812384,4.469164393
20130103 01:00:00,52.65525387,269.7566372,48.14285585,96632.18146,45.1465362,4.206892124
20130103 02:00:00,52.59904976,269.5463434,47.77003442,96673.91264,41.51672853,3.935628999
20130103 03:00:00,52.78076508,269.3468723,47.54845326,96714.64988,35.80641775,3.711406216
