date,pm25,u,v,temp,rh,psfc,wnd_dir,wnd_spd
20130101 00:00:00,30.37,3.59,5.15,275.43,37.25,95350.46,214.8798663,6.277786234
20130101 01:00:00,30.46,3.62,4.97,275.27,35.13,95340.69,216.06848,6.148601467
20130101 02:00:00,30.36,3.66,4.83,275.14,33.51,95358.41,217.1535378,6.060074257
20130101 03:00:00,29.61,3.6,4.8,275.01,32.11,95381.27,216.8698976,6
20130101 04:00:00,29.37,3.3,4.61,274.99,29.82,95395.44,215.5964186,5.669400321
20130101 05:00:00,28.39,3.24,4.74,274.92,27.76,95412.37,214.3543367,5.741532896
20130101 06:00:00,28.08,3.25,4.61,274.65,26.91,95447.83,215.1834215,5.640443245
20130101 07:00:00,26.21,2.51,4.99,274.53,25.99,95476.8,206.7026709,5.58571392
20130101 08:00:00,24.06,1.86,5.13,274.36,25.69,95413.71,199.9292824,5.456784768
20130101 09:00:00,31.01,1.4,1.48,275.27,35.54,95381.57,223.4088597,2.037253053
20130101 10:00:00,37.74,1.17,0.53,275.22,37.55,95360.16,245.6298799,1.284445406
20130101 11:00:00,37.33,-0.08,-0.65,276.05,37.6,95322.52,7.016501745,0.654904573
20130101 12:00:00,35.33,-0.86,-1.12,277.06,36.46,95244.45,37.51911382,1.412090649
20130101 13:00:00,32.51,-1.25,-1.54,277.99,35.07,95194.44,39.06583454,1.983456579
20130101 14:00:00,31.34,-1.19,-1.49,278.66,33.97,95168.08,38.61288297,1.906882272
20130101 15:00:00,30.87,-1.21,-1.98,279.26,33.16,95144.46,31.42956561,2.320452542
20130101 16:00:00,30.34,-1.51,-2.14,279.64,32.58,95126.21,35.20707998,2.6191029
20130101 17:00:00,29.66,-1.41,-2.03,279.78,32.24,95140.19,34.78312037,2.471639132
20130101 18:00:00,33,-1.03,-2.32,279.57,33.03,95169.58,23.93957066,2.538365616
20130101 19:00:00,36.25,-0.68,-1.81,278.86,34.69,95199.93,20.59072789,1.933520106
20130101 20:00:00,37.69,-0.28,0.41,277.6,40.77,95231.3,145.6697828,0.496487663
20130101 21:00:00,39.65,1.31,0.71,276.75,42.85,95264.16,241.5429834,1.490033557
20130101 22:00:00,44.13,1.21,-0.68,276.17,42.61,95296.44,299.335267,1.38798415
20130101 23:00:00,49.4,0.44,-0.93,275.4,44.03,95350.72,334.6803131,1.028834292
20130102 00:00:00,54.81,0.7,-1.22,274.79,45.32,95367.79,330.1540681,1.406556078
20130102 01:00:00,60.32,-0.88,-2.66,274.15,46.9,95394.55,18.3056132,2.801785145
20130102 02:00:00,66.06,-3.38,-3.73,273.44,48.56,95445.7,42.18180757,5.03361699
20130102 03:00:00,75.28,-4.34,-4,272.73,49.69,95500.12,47.33450644,5.902169093
20130102 04:00:00,86.2,-4.75,-4.25,271.77,52.98,95558.32,48.17983012,6.373774392
20130102 05:00:00,92.38,-4.76,-4.18,270.63,57.4,95628.05,48.71197376,6.334824386
20130102 06:00:00,91.47,-4.27,-4.21,269.7,61.3,95744.65,45.4053879,5.996415596
20130102 07:00:00,86.54,-4.13,-4.02,269.03,63.71,95836.28,45.77327032,5.76344515
20130102 08:00:00,81.39,-3.39,-4.1,268.35,64.43,95918.38,39.58493862,5.319971804
20130102 09:00:00,75.27,-6.02,-4.34,270.82,74,96025.63,54.21102654,7.421320637
20130102 10:00:00,68.73,-5.69,-4.38,270.24,72.04,96116.02,52.41194774,7.180564045
20130102 11:00:00,62.19,-5.99,-4.15,270.34,65.49,96193.37,55.28495555,7.287153079
20130102 12:00:00,57.72,-6.17,-4.24,270.87,56.59,96241.77,55.50330195,7.486421041
20130102 13:00:00,54.44,-6.17,-3.7,271.33,50.42,96251.98,59.04990158,7.194365851
20130102 14:00:00,51.61,-5.24,-3.8,271.58,47.02,96299.41,54.05072168,6.472835546
20130102 15:00:00,49.26,-4.92,-3.86,271.82,44.74,96341.74,51.88394156,6.253479032
20130102 16:00:00,48.16,-4.78,-3.64,271.85,43.76,96409.15,52.71050029,6.008161116
20130102 17:00:00,47.65,-4.82,-3.62,271.55,44.53,96476.72,53.0920826,6.028001327
20130102 18:00:00,48.56,-4.5,-3.63,270.82,46.3,96561.67,51.10803832,5.781600125
20130102 19:00:00,49.89,-4.32,-3.23,270.04,47.59,96630.49,53.21507935,5.394005933
20130102 20:00:00,50.71,-4.17,-2.16,269.54,48.16,96689.51,62.61649336,4.696221886
20130102 21:00:00,50.31,-3.62,-1.69,269.23,47.66,96760.95,64.97444241,3.995059449
20130102 22:00:00,50.27,-2.48,-1.91,269.07,47.9,96814.38,52.39792778,3.130255581
20130102 23:00:00,50.66,-2.11,-1.84,268.9,47.17,96871.47,48.91033781,2.799589256
20130103 00:00:00,51.62,-1.99,-1.88,268.74,46.2,96883.73,46.62812384,2.737608445
20130103 01:00:00,52.05,-1.96,-1.95,268.55,45.82,96885.32,45.1465362,2.764796557
20130103 02:00:00,52.29,-1.62,-1.83,268.39,45.72,96903.38,41.51672853,2.444033551
20130103 03:00:00,53.78,-1.45,-2.01,268.25,46.33,96938.66,35.80641775,2.47842692
