id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0, 6.91628695e+00  1.23164377e+01  1.55137634e+01  2.24908829e+01  2.51070213e+01  2.95020275e+01  3.46418381e+01  4.23533401e+01  4.88317184e+01  5.42035942e+01  5.95164757e+01  6.53303375e+01  7.04485626e+01  7.72801819e+01  8.46821442e+01  9.03722229e+01  9.81202545e+01  1.03038437e+02  1.08367813e+02  1.14585075e+02  1.18837646e+02  1.24365601e+02  1.28484528e+02  1.33476608e+02  1.39697449e+02  1.41832397e+02  1.45486801e+02  1.49217590e+02  1.52536972e+02  1.56491745e+02  1.56530487e+02  1.59094284e+02  1.59619507e+02  1.61402344e+02  1.61662964e+02  1.62404129e+02  1.60410080e+02  1.60936905e+02  1.64154892e+02  1.62355972e+02  1.60731308e+02  1.58440613e+02  1.54663864e+02  1.54427979e+02  1.52847702e+02  1.53706131e+02  1.51672607e+02  1.52456009e+02  1.49468384e+02  1.47997925e+02  1.43381393e+02  1.41004272e+02  1.41254730e+02  1.37498779e+02  1.35946457e+02  1.35615860e+02  1.35022919e+02  1.32905807e+02  1.29870178e+02  1.27509995e+02  1.26244972e+02  1.22459053e+02  1.21527367e+02  1.17630775e+02  1.17442535e+02  1.11914886e+02  1.11242249e+02  1.07610367e+02  1.05511841e+02  1.04016533e+02  1.00256165e+02  9.69660110e+01  9.42071991e+01  9.05771484e+01  8.53826675e+01  8.41463623e+01  8.10948563e+01  7.78922424e+01  7.55186005e+01  6.99206085e+01  7.01344910e+01  6.57764816e+01  6.17860374e+01  5.93571053e+01  5.87731552e+01  5.55727310e+01  5.30759811e+01  5.06182594e+01  4.91994629e+01  4.44007950e+01  4.37384338e+01  3.93018913e+01  3.82086258e+01  3.47274857e+01  3.58791466e+01  2.91301003e+01  2.50590858e+01  2.52919121e+01  2.21066723e+01  2.31803207e+01  1.75973930e+01  1.85275211e+01  1.33171520e+01  1.62800407e+01  1.34050159e+01  9.58119392e+00  7.22946024e+00  6.16324711e+00  5.26818132e+00  2.38281798e+00  2.81248593e+00  1.85368145e+00  8.93743277e-01  2.89050126e+00  3.91261792e+00  1.29918742e+00 -1.00000000e+00  9.88728762e-01  1.46780968e-01  1.52419841e+00,3031.511895,55.05916722,2.869541499,-0.054705734,raw,6,0.4216437345814007
1, -1.           2.551101     4.3409986   10.771168    11.674272  14.850566    18.68222     25.60967     30.487705    35.120373  38.480614    43.02914     46.72608     52.593925    59.427563  63.051365    69.23187     73.18277     77.5085      82.8135  85.947716    89.91567     93.67265     98.09491    103.35289 104.61339    108.048485   110.85655    113.8272     117.83259 117.584366   120.56948    121.03354    122.24955    122.57938 123.66076    122.24037    122.91842    126.72057    125.077995 124.37281    122.447464   119.62066    120.21262    119.35351 121.08958    120.034386   122.65764    120.55871    119.457504 115.93735    114.731094   116.13666    113.627914   112.62363 114.28915    114.90127    114.014595   111.01023    109.42393 109.4416     106.56834    107.178375   103.50797    104.549866  99.962875   100.57737     96.783325    96.35424     95.53763  92.07551     89.10817     86.86026     83.72696     79.42331  78.89884     75.90586     73.204414    71.4509      65.633736  65.67259     61.84592     57.830833    55.429085    55.602715  52.7038      50.708626    48.38283     48.227158    43.354557  43.296627    38.06888     38.62037     34.97705     37.01083  29.377106    25.453598    26.058449    23.22116     26.227213  19.326302    21.704437    14.697323    19.133099    16.191103  11.312552     9.141797     7.629215     6.387133     4.5858865   3.7048671    2.8407156    1.9916422    3.4176264    3.8245535   0.44035465  -1.          -1.          -1.          -1.        ,677.9292227,26.037074,1.424132233,-0.041642273,raw,6,0.726391158986288
2, -1.          -0.70638794   0.5400153    6.5503917    6.801723   9.470061    12.60295     19.027384    23.136494    27.410301  29.851377    33.816303    36.932648    42.30874     48.92347  51.477093    56.85667     60.47529     64.41093     69.229385  71.93016     75.13898     78.81928     83.07714     87.85947  88.78612     92.19195     94.47757     97.433014   101.43658 101.284134   104.53547    105.07135    106.01511    106.42597 107.672295   106.750786   107.48604    111.27863    109.86521 109.609985   107.91211    105.65401    106.52515    105.95278 107.8452     107.17326    110.27019    108.565445   107.51002 104.48031    103.64539    105.30222    103.250916   102.22093 104.605095   105.50149    105.00851    101.794205   100.34121 100.7178      98.1601      99.34778     95.62769     97.00812  92.90472     93.97656     89.97122     90.27718     89.655525  86.30483     83.47927     81.42073     78.50528     74.83035  74.55321     71.60308     69.10924     67.61267     61.975063  61.72563     58.324665    54.574253    52.278076    52.87179  49.993626    48.466618    46.247646    46.565952    41.95059  42.015594    36.810627    38.149357    34.639774    36.90538  29.321627    25.61305     26.38196     23.902264    27.683613  20.480288    23.456196    15.86667     20.888653    18.041521  12.897329    10.944714     9.256765     7.8991528    6.8303785   5.3307347    4.5497894    3.9287615    4.983557     5.1552877   1.6341766   -1.          -0.92816424  -1.          -1.        ,119.346663,10.92458983,0.82254921,-0.131870745,raw,6,0.8560190906310257
3,  1.0633559   5.0936503   7.0279655  12.435395   13.6699295  16.744043  19.8205     25.741608   29.886925   34.16007    36.55839    40.686977  44.139664   49.203316   55.251324   57.720314   62.519966   66.40076  70.253426   74.56474    77.18971    79.83784    83.6177     87.66778  91.67508    92.81149    95.964226   97.69858   100.53423   103.91268 104.368195  107.17928   107.86285   108.59274   108.90692   109.87938 109.45991   109.90967   112.39436   111.35546   111.05045   109.4525 107.65535   107.998314  107.316986  108.24063   107.380905  109.24165 107.607185  106.27237   103.800835  102.41404   103.163     101.26387  99.547714  101.24313   101.33247   100.568695   97.186714   95.3758  95.194626   92.73446    93.42796    89.84603    90.44882    87.18655  87.73377    83.761635   83.875626   82.85051    79.99171    77.43498  75.32921    72.53599    69.21414    68.74733    65.75111    63.821087  62.06094    57.088795   55.788532   52.780624   49.617832   47.360832  47.711754   44.91447    43.229332   41.00873    41.17799    37.226894  36.685158   32.39015    33.623905   30.491438   32.14487    25.885426  22.447645   22.97179    21.244463   24.19515    18.363201   20.792252  14.464104   18.640806   16.387432   12.33178    10.789229    9.099861   7.9482994   7.734748    6.3491864   5.6132708   5.6862526   6.801224   7.0734935   4.543857    1.9984183   2.977449    2.8930497   2.9065423,93.21100831,9.654584834,0.395264728,-0.105673183,raw,6,0.862618737582508
4, 19.028124   22.79644    26.772333   31.326818   35.36853    39.827778  43.489872   48.81629    53.724182   58.341904   61.362373   66.38176  71.004295   75.74153    80.41964    83.695175   87.74293    92.32406  96.09839    99.57535   102.146164  103.93861   107.814095  111.21884 113.59446   115.30438   117.63448   118.43346   120.61193   122.34333 123.7649    125.005104  125.715065  126.019615  125.81465   125.8338 125.7611    125.320816  124.87148   124.21305   123.28407   121.53711 120.13803   118.998245  117.80679   116.48622   114.88294   113.81025 111.994     110.06912   108.60769   105.81778   104.47951   102.78728  99.82999    99.44596    97.68016    96.22062    92.98749    90.550125  89.037605   86.7663     85.90045    83.04217    81.71713    80.20552  79.20262    75.765884   74.793655   72.76994    71.17844    69.23426  66.94131    64.31683    60.897995   59.946537   56.76071    56.243374  53.56536    49.64565    46.23233    43.605335   41.158756   38.725994  37.935776   35.72455    32.77561    30.407597   30.146029   27.21523  25.340939   22.638315   23.104574   20.45595    20.772358   17.042442  13.914221   13.803731   13.441288   13.914306   11.372093   12.096195   9.096605   10.893842    9.941886    8.582713    7.7611027   6.199327   5.6590247   6.6930404   6.180601    5.535247    6.8906994   8.813141   9.502062    9.273177    9.8779125  10.684868   12.300934   13.650394 ,147.7218132,12.15408628,0.180697532,-0.094887582,raw,6,0.8520283175408419
5, 44.88274     48.575573    54.96935     58.718384    66.03065  72.01282     76.49133     81.15058     87.1808      91.84613  95.69875    101.57759    107.30755    111.48716    114.112144 118.57352    121.661575   126.49754    129.71785    132.0548 134.19398    134.93886    138.27017    140.30281    140.60367 142.62053    143.40355    143.15305    143.96579    143.4179 145.33629    144.21892    144.56448    144.2557     143.279 141.72345    141.3442     139.7636     136.00026    135.35289 133.33984    131.2873     129.94246    127.04701    125.12509 121.436      118.98576    114.81534    112.63737    110.38403 110.077515   105.87835    102.43451    101.06751     97.22614  94.20148     90.581436    88.484085    86.13514     83.31544  80.51045     78.64111     75.8549      74.287674    70.850586  71.300316    68.46703     66.157646    63.594894    60.575645  60.442753    59.269844    56.779423    54.33866     50.307106  48.729706    45.24057     46.530895    42.565598    39.108723  33.58569     30.782373    28.440369    25.686762    23.124289  22.195013    16.927406    14.508046    13.852992    11.739446   8.726099     7.474028     6.7290306    4.446984     3.8253462   2.5904496   -0.19761813  -0.7663207    0.49158067  -1.  -0.5092701   -1.          -0.37919348  -1.          -0.39866108   1.6052054    1.6106007    0.6366415    1.1799527    3.1541362   4.4520764    3.9554398    6.7981515   10.3712635   11.836929  14.309897    18.849443    19.960054    23.52582     26.840889  ,393.1448307,19.82788014,2.213979788,-0.078323904,raw,6,0.8555517878604133
6, 63.67107     67.340126    74.25676     77.70459     85.65152  91.34293     95.93645     99.76351    106.54674    109.53418 113.84351    118.942924   124.04377    127.16293    127.89806 133.02573    135.4341     138.5943     140.34032    141.68127 142.78502    143.35028    144.55646    144.60155    144.1116 145.32585    144.11536    143.8725     143.10388    141.09265 141.82329    139.02745    138.54018    137.98466    136.82922 133.6298     131.75476    129.99104    125.42672    124.03812 120.87094    118.83885    116.67614    113.336845   110.817 107.04863    104.5119      99.87781     97.224655    95.99803  95.74071     91.569534    88.212746    86.74063     83.842155  79.297       75.728676    73.53983     73.01776     70.60234  67.873375    66.36993     62.79302     62.283447    58.571796  58.960884    55.744602    54.90974     51.159042    48.397167  48.20638     47.435837    44.99058     42.617264    38.040924  35.847782    32.291386    34.22062     29.829002    24.772356  19.885897    15.474151    12.133554     9.634278     6.113496   6.4753723   -0.69833755  -1.          -1.          -1.  -1.          -1.          -1.          -1.          -1.  -1.          -1.          -1.          -1.          -1.  -1.          -1.          -1.          -1.          -1.  -1.          -1.          -1.          -1.          -0.5647578   3.7201836    3.1587005    6.838817    12.188416    14.8573  18.382605    25.16158     27.384136    31.159575    36.15688   ,390.2521804,19.75480145,2.608651253,-0.035796223,raw,6,0.8710043875819089
7, 7.83826904e+01  8.17013855e+01  8.79351730e+01  9.11362000e+01  9.79778824e+01  1.02204758e+02  1.06109962e+02  1.08805984e+02  1.15926315e+02  1.16146065e+02  1.20589706e+02  1.23815231e+02  1.27264885e+02  1.29016403e+02  1.28423264e+02  1.33522736e+02  1.35475784e+02  1.36063828e+02  1.36133575e+02  1.36638245e+02  1.36745224e+02  1.37864670e+02  1.36301193e+02  1.34568176e+02  1.34435501e+02  1.34322876e+02  1.31391464e+02  1.31848740e+02  1.30052673e+02  1.27473557e+02  1.26469116e+02  1.22971840e+02  1.21724640e+02  1.21381844e+02  1.20597221e+02  1.16162941e+02  1.12642601e+02  1.11375755e+02  1.07576500e+02  1.05410393e+02  1.01302162e+02  9.97176971e+01  9.64860916e+01  9.35375214e+01  9.05105972e+01  8.78793182e+01  8.56749954e+01  8.16683960e+01  7.85549316e+01  7.89732132e+01  7.76567001e+01  7.43543320e+01  7.19983215e+01  6.96614304e+01  6.83225479e+01  6.27147560e+01  5.98516159e+01  5.75600624e+01  5.87012215e+01  5.66031113e+01  5.41421394e+01  5.25839272e+01  4.86268387e+01  4.84692497e+01  4.50533180e+01  4.39216385e+01  4.08094139e+01  4.12130585e+01  3.62467728e+01  3.40484390e+01  3.26858559e+01  3.19389858e+01  2.94707966e+01  2.69297047e+01  2.19331131e+01  1.90132332e+01  1.55024061e+01  1.68816776e+01  1.24842091e+01  5.08487988e+00  2.12337232e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -6.38934970e-02 -1.00000000e+00  6.63335037e+00  6.23896122e+00  1.03933010e+01  1.72864990e+01  2.16430035e+01  2.55068054e+01  3.34425468e+01  3.71371346e+01  4.02267189e+01  4.66308937e+01,257.8536409,16.0578218,4.517508484,-0.094209172,raw,6,0.8701266210518401
8, 9.30038300e+01  9.55083084e+01  1.00822212e+02  1.03369804e+02  1.08755783e+02  1.11939346e+02  1.14071098e+02  1.15848656e+02  1.21470253e+02  1.20686890e+02  1.23216042e+02  1.25014809e+02  1.26905617e+02  1.27491226e+02  1.26451614e+02  1.29215851e+02  1.29517426e+02  1.28986893e+02  1.28084854e+02  1.27434303e+02  1.26695198e+02  1.26294121e+02  1.23934692e+02  1.21777893e+02  1.20776184e+02  1.19299782e+02  1.16232277e+02  1.15507996e+02  1.13515320e+02  1.10823303e+02  1.09273346e+02  1.05930153e+02  1.04369522e+02  1.03496246e+02  1.02229782e+02  9.81524811e+01  9.48033066e+01  9.29600067e+01  8.95470810e+01  8.74233932e+01  8.38480988e+01  8.24247894e+01  7.97571640e+01  7.71357040e+01  7.43335342e+01  7.20505371e+01  7.03445969e+01  6.69054718e+01  6.44683304e+01  6.51085968e+01  6.36468544e+01  6.19077950e+01  5.97349586e+01  5.75838394e+01  5.66179123e+01  5.13335648e+01  4.85042038e+01  4.69724464e+01  4.78188210e+01  4.57582626e+01  4.29874840e+01  4.17916908e+01  3.77854233e+01  3.78948784e+01  3.37813683e+01  3.35894470e+01  2.97935028e+01  3.03087463e+01  2.49019089e+01  2.20395889e+01  2.12486019e+01  2.07729282e+01  1.82380085e+01  1.58025646e+01  9.77878094e+00  7.45201206e+00  3.63597178e+00  5.16817093e+00 -1.42784119e-02 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -2.17648268e-01  3.98880911e+00  8.74914646e+00  8.73978806e+00  1.68019028e+01  1.81754551e+01  2.21928062e+01  3.00223579e+01  3.51256638e+01  3.94666634e+01  4.69284286e+01  5.11360321e+01  5.51816063e+01  6.12234497e+01,264.559569,16.26528724,9.883117329,-0.095975525,raw,6,0.8551604290373478
9, 91.15319     93.91901     98.17213    101.53457    105.354195 108.85654    109.7796     112.750046   115.449905   117.68411 116.799576   119.255394   120.65125    121.56128    121.02079 120.77791    119.19431    120.23589    119.8966     118.66448 117.35932    113.28012    113.18762    112.344215   108.86629 106.239265   104.96268    101.14185     99.044556    96.66731  94.80995     91.53754     89.313805    86.64598     82.38965  80.34292     77.33714     72.265076    69.400604    66.532646  64.306046    60.872246    58.971313    55.850212    53.45709  50.434116    48.40766     45.99383     44.887615    43.23206  42.074158    42.590023    39.737392    39.022995    37.39811  34.94963     31.764648    32.631958    30.841404    29.268227  26.058598    26.218838    22.836906    23.95909     18.482908  22.948755    17.902409    17.927067    12.9737       8.014851  11.586931    12.653166    10.661897     9.168901    -0.74276185   0.7462618   -1.           0.87292045  -1.          -1.  -1.          -1.          -1.          -1.          -1.  -1.          -1.          -1.          -1.          -1.  -1.          -1.          -1.          -1.          -1.  -1.          -1.          -1.          -1.          -1.  -1.          -1.          -1.          -1.           1.7190448   7.801521    13.409487    15.107041    18.897882    23.477186  26.811787    31.961323    33.860218    42.332455    46.599316  50.702972    54.482372    58.591442    65.495186    69.08315   ,426.6022436,20.65435169,4.146813262,-0.128087428,raw,6,0.8206384655405068
