id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0, 27.654821   31.877571   35.573032   41.25706    42.723362   45.254234  51.42479    56.42099    61.02263    66.39515    71.42748    76.49652  82.05156    87.26747    92.63226    97.22223   102.9887    109.22228 114.680115  120.96093   126.18252   132.0677    138.21638   141.5841 147.63826   152.85875   157.08136   162.55473   166.50267   171.03929 173.57562   177.94342   178.61871   181.87471   183.30933   183.91551 186.27563   186.93954   188.96617   190.32625   192.42749   190.88664 189.18283   189.46819   189.1613    189.28523   187.78503   187.19563 185.83884   183.36888   181.93678   179.6056    176.97737   175.11314 173.04472   168.93452   164.95663   162.40562   157.70772   155.43167 151.19377   148.33437   144.83984   141.25816   138.30655   134.01259 129.5219    125.04722   122.40338   117.02241   114.7038    111.28655 107.34278   102.94094   101.146805   97.44482    94.089966   91.18032  89.52534    86.30021    85.622284   82.89656    79.552666   79.421776  76.03738    73.51221    70.60328    66.277885   65.14673    63.595165  59.49086    58.646057   59.86049    52.575188   54.657654   52.532936  49.61354    48.960587   47.657597   43.870903   42.2351     39.84462  36.969948   36.5656     33.956062   32.50255    30.902046   28.992044  26.920723   24.328354   21.989414   20.730791   20.387787   18.574896  18.121145   18.245468   16.337627   17.068455   15.344368   15.4639635,5586.990687,74.74617506,0.555236382,1440,rolling13,3,0.24338407787824615
1, 25.491125   28.245657   30.851328   35.136784   35.71989    37.08833  42.080135   45.97519    49.597042   53.880337   57.09414    61.699936  66.04876    70.14998    73.85715    77.61638    82.370895   87.16912  91.89391    96.26909   100.59312   105.30361   110.22952   112.609764 117.76711   121.933014  125.351006  130.23578   133.62817   137.13339 139.29181   142.73596   143.29218   146.25546   147.32008   147.5173 149.80984   150.3905    151.64479   153.26      155.06474   153.26552 152.22052   152.95311   152.71703   153.56415   152.7064    152.51869 152.14464   150.53299   149.81212   148.73093   147.0455    145.95058 145.2592    142.27602   139.55296   138.66199   135.06566   133.7316 131.23883   129.63953   127.569824  125.27529   123.70011   119.43781 116.147606  113.09972   111.313095  105.990395  105.29079   102.4398  99.11872    94.56602    94.01032    90.48835    87.60179    85.22769  83.88629    81.21993    81.1541     78.96924    75.78037    76.03784  72.56301    70.12774    67.36673    63.084637   61.790882   60.623463  56.45783    55.59225    57.507866   49.040237   51.83303    49.231125  46.800526   46.45511    45.262035   41.4304     39.959652   37.552704  34.32653    34.57525    31.834608   30.41965    28.573277   26.821245  24.75713    21.902609   19.64538    18.247625   18.211596   16.227444  15.228806   15.105684   12.492727   12.51904     9.435617    8.5595875,2672.039372,51.69177277,0.508059508,1440,rolling13,3,0.4696127286253853
2, 18.920792   21.14501    23.202023   26.676037   26.686813   27.40279  31.850393   35.042942   38.12136    41.8528     44.257484   48.452316  52.155872   55.718563   58.529858   61.931507   66.38316    70.33904  75.07947    78.3079     82.37263    86.60559    91.0309     93.26  98.07089   101.72053   104.97798   109.80712   113.24688   116.34335 118.60342   121.72489   122.566     125.61253   126.75719   127.03396 129.51428   130.27762   131.33954   133.22615   134.93582   133.21379 132.69794   133.73567   133.5341    134.79808   134.33888   134.29877 134.4215    133.25209   132.77837   132.37529   131.13168   130.33905 130.31534   127.88745   125.68519   125.614456  122.49795   121.57306 119.88793   118.9308    117.4843    115.81971   114.94646   110.67276 107.943634  105.54439   104.10077    98.935295   99.0124     96.40371  93.49797    88.78517    88.76259    85.31806    82.751755   80.59517  79.44581    77.142845   77.41467    75.65554    72.52439    73.11764  69.63194    67.22522    64.697014   60.49232    59.222862   58.50444  54.440056   53.80817    56.05393    47.004066   50.43286    47.753155  45.59604    45.453045   44.41145    40.51276    39.159      36.844063  33.068935   33.89178    31.113674   29.614342   27.588175   25.89742  23.748219   20.426786   18.125624   16.50367    16.931671   14.857288  13.455901   13.051131   10.086057    9.507686    5.6881123   4.1580143,1307.419623,36.15825802,0.47008809,1440,rolling13,3,0.6715938305038391
3, 16.165297   18.789963   21.041391   24.364082   24.384253   25.031723  29.58918    32.488514   35.417736   39.02629    41.335205   45.090637  48.630096   51.96581    54.192574   57.717766   62.202972   65.546486  70.89828    73.42823    77.41894    81.57086    85.81622    88.50141  93.21936    96.45871    99.9352    104.864914  108.64766   111.503395 114.16637   117.0781    118.376366  121.52292   122.85106   123.396225 125.99057   126.92438   128.00154   129.94173   131.42592   129.95111 129.62062   130.73312   130.28812   131.49364   131.12628   130.85445 130.94736   129.76904   129.13106   128.82397   127.542015  126.65385 126.64187   124.33654   122.19526   122.19564   119.05282   118.19458 116.53391   115.79576   114.39793   112.83187   112.24259   108.14834 105.36916   103.06535   101.56898    96.755974   96.67593    94.06439  91.25548    86.70876    86.39025    82.92572    80.53021    78.108215  76.60563    74.62985    74.633606   73.100395   70.21832    70.5177  67.28185    64.13051    61.81515    57.563698   56.055016   56.02133  51.536564   50.818146   53.671844   43.5283     47.927956   44.76681  42.81956    42.82513    41.960175   37.960148   36.695595   34.641777  30.095968   31.875961   29.182575   27.602018   25.568958   24.140728  22.070383   18.14481    15.87058    14.207909   15.674951   13.929576  12.491647   11.983497    9.470147    8.419109    4.7476835   3.0925076,853.1365925,29.20850206,0.421841681,1440,rolling13,3,0.7809412451521598
4, 10.837535   13.892628   16.346178   19.497665   19.42282    20.014788  24.710178   27.303612   30.092243   33.62579    36.023666   39.321827  42.77675    46.01159    47.825798   51.540672   56.173855   59.06631  65.07762    67.1811     71.19788    75.46483    79.77995    83.05773  87.849174   90.833664   94.69202    99.82457   104.07175   106.771324 109.94469   112.65741   114.45754   117.719955  119.23592   120.02229 122.699036  123.79283   124.81463   126.75956   127.9354    126.62226 126.38338   127.439285  126.62767   127.666     127.25186   126.60079 126.56945   125.23126   124.28187   123.961716  122.50297   121.42086 121.29315   118.987404  116.8043    116.77001   113.552216  112.58655 110.9556    110.331955  108.92744   107.36739   107.011475  103.04372 100.21042    98.037674   96.55288    92.05075    91.93113    89.35798  86.71603    82.319756   81.87917    78.40761    76.27933    73.76441  72.11675    70.47819    70.42987    69.16975    66.554474   66.84697  63.891846   60.302578   58.311638   54.14239    52.626423   53.29872  48.62664    48.034267   51.506676   40.58811    45.968468   42.553204  40.897934   41.119663   40.489544   36.475864   35.333115   33.562077  28.358269   30.985357   28.396214   26.755484   24.683554   23.454477  21.454306   16.960861   14.651601   12.928702   15.308838   13.798016  12.300321   11.606391    9.438015    7.87408     4.244606    2.3424056,488.1749185,22.09468077,0.371824806,1440,rolling13,3,0.865634348312337
5,  9.938276   13.669306   16.620579   19.914825   20.041216   20.839367  25.87865    28.414982   31.233124   34.831715   37.498604   40.412987  43.974495   47.182167   48.672604   52.693558   57.43156    59.962837  66.59626    68.47359    72.4209     76.82813    81.20415    85.03428  89.883804   92.57005    96.75361   101.96558   106.55026   109.032394 112.61752   115.004234  117.15661   120.359436  121.90655   122.8056 125.3682    126.45495   127.33254   129.08078   129.79967   128.56284 128.16286   129.00388   127.698     128.33083   127.68271   126.51044 126.12755   124.44248   123.06008   122.455246  120.650475  119.25934 118.777916  116.32464   113.9979    113.65678   110.229065  109.07199 107.23719   106.58141   105.01979   103.30417   103.04283    99.30804  96.233315   94.03659    92.47062    88.30732    87.81713    85.21684  82.579285   78.56115    77.73352    74.25035    72.31077    69.548225  67.53801    66.20514    65.87034    64.749886   62.53776    62.496357  59.946857   55.635178   53.870174   49.731155   48.078323   49.410973  44.27966    43.57265    47.825214   35.976025   42.296654   38.396175  37.03035    37.44696    37.028503   33.06097    32.040848   30.598097  24.961689   28.424223   26.03046    24.438332   22.453438   21.566574  19.799314   14.956652   12.74135    11.170852   14.530847   13.466562  12.172807   11.506737   10.031717    8.197889    4.9983616   3.1856198,362.880006,19.0494096,0.294226623,1440,rolling13,3,0.9007656330186076
6, 11.524473   15.708283   19.072535   22.5466     22.883867   23.891232  29.17121    31.755093   34.622215   38.2629     41.101887   43.78709  47.459545   50.631702   51.879234   56.088634   60.77602    63.05875  69.94749    71.72597    75.48934    79.9275     84.27844    88.31917  93.14214    95.54604    99.82918   104.95542   109.60949   111.82949 115.55843   117.53943   119.78131   122.7731    124.17031   124.97559 127.28881   128.22075   128.82956   130.30238   130.55943   129.23465 128.57744   129.1578    127.427315  127.661644  126.73248   125.124435 124.40877   122.4021    120.67429   119.762054  117.66048   116.03014 115.24001   112.65047   110.2412    109.6295    106.06486   104.75507 102.79572   102.091034  100.436356   98.60264    98.4042     94.86752  91.62757    89.444954   87.86163    83.91203    83.14951    80.548004  77.88177    74.25376    73.180145   69.72105    67.92306    65.01498  62.74881    61.637547   61.108753   60.055904   58.226025   57.893295  55.70036    50.89229    49.243862   45.156555   43.42579    45.155346  39.65326    38.80222    43.71232    31.272444   38.165627   33.880672  32.779533   33.367264   33.103985   29.270432   28.37321    27.187677  21.542292   25.488096   23.309072   21.869673   20.016262   19.45579  17.972225   13.130613   11.082051    9.770576   13.739698   13.069415  12.062239   11.549552   10.655092    8.798288    5.9890313   4.3686543,281.623645,16.78164608,0.2293156,1440,rolling13,3,0.9216833880446588
7, 16.106354  20.595957  24.346975  28.17119   28.816715  30.133886  35.616756  38.49481   41.52279   45.265965  48.29337   50.996574  54.876247  58.08594   59.311935  63.59204   68.088974  70.34547  77.052055  78.97604   82.46816   86.838394  91.08749   94.91205  99.622856 101.80204  105.896194 110.748535 115.12485  117.08616 120.59314  122.10909  124.104034 126.69974  127.73065  128.20944 130.10081  130.68497  130.92712  131.99594  131.78484  130.17955 129.10611  129.31622  127.2648   127.05454  125.72557  123.76268 122.6463   120.298874 118.267876 116.9175   114.52831  112.67702 111.54201  108.762726 106.240746 105.28842  101.60353  100.14843  98.02454   97.177315  95.39766   93.43797   93.165344  89.802376  86.42689   84.179085  82.58268   78.739655  77.69478   75.084984  72.32674   69.1552    67.89486   64.52634   62.78821   59.813126  57.42585   56.399338  55.754646  54.667732  53.19768   52.598026  50.729614  45.72029   44.031754  40.03276   38.345062  40.09504  34.36069   33.363834  38.673424  26.259628  33.137417  28.687654  27.76126   28.450031  28.260067  24.684574  23.89475   22.88766  17.844261  21.705853  19.816488  18.660227  17.01564   16.76686  15.62447   11.281982   9.507548   8.603941  12.667137  12.345152  11.781309  11.63493   11.227336   9.76147    7.400473   6.233565,256.3917731,16.01223823,0.208941159,1440,rolling13,3,0.9290750221634755
8, 20.092907   24.33708    28.054964   32.068153   32.83614    34.265533  39.619335   42.831116   45.960346   49.689228   52.60471    55.59564  59.541634   62.734035   64.05258    68.06657    72.17568    74.534676  80.46321    82.5088     85.67104    89.71075    93.64511    96.62889 101.05456   103.082085  106.579155  111.00754   114.7149    116.45693 119.30748   120.44598   121.88532   124.05374   124.617035  124.617386 126.11976   126.30979   126.19531   126.96978   126.52568   124.52643 123.18677   123.17103   121.16713   120.82498   119.26279   117.32581 116.08603   113.7035    111.68511   110.13916   107.788956  105.97588 104.84089   102.06894    99.60808    98.645195   95.09601    93.72544  91.71443    90.856346   89.16296    87.34365    87.03447    83.73123  80.52681    78.31616    76.82963    72.9324     71.98075    69.42984  66.669      63.776066   62.687      59.498383   57.754715   54.940285  52.787655   51.68087    51.21801    50.076595   48.73324    48.163815  46.36731    41.778606   39.867336   35.98765    34.52592    35.776207  30.21016    29.21596    34.321323   22.791151   28.84592    24.668274  23.729212   24.379147   24.11342    20.82069    20.068216   19.023003  15.07189    18.097      16.439802   15.578334   14.0827875  13.949761  13.009837    9.557419    8.059902    7.497042   10.882666   10.603906  10.36318    10.639799   10.178631    9.380048    7.0874867   6.358925 ,176.087978,13.26981454,0.166188209,1440,rolling13,3,0.9447811709511266
9, 32.069393  36.702606  40.999535  45.933037  47.429436  49.56345  55.235165  59.38835   63.02023   67.07643   70.39263   73.830505  78.26827   81.66425   83.40491   87.30152   90.96533   93.66117  98.683754 101.27107  103.97425  107.70248  111.27533  113.25078 117.31938  119.11241  121.81394  125.5664   128.29744  129.7851 131.66899  132.2232   132.79639  134.18805  134.00023  133.32669 134.05515  133.51875  132.98936  133.03633  132.07014  129.5424 127.417145 126.77815  124.65043  123.646706 121.39237  119.18341 117.23433  114.405106 112.04874  109.62546  106.93063  104.82526 103.1024    99.97193   97.20122   95.5472    91.77933   90.27949  87.73331   86.489174  84.41696   82.39008   81.63481   78.63322  75.19389   72.52334   70.85537   67.095726  65.44209   62.784294  59.761574  57.691963  56.13414   53.231083  51.365223  48.403065  46.203384  44.95691   44.277393  42.91175   42.008026  40.93135  39.551285  35.038467  32.752384  29.018387  27.761614  28.359072  22.684694  21.45714   26.419441  16.14725   20.995317  17.027885  16.013868  16.559692  16.210524  13.433216  12.744277  11.821424   9.658589  11.526563  10.436496  10.114425   9.068553   9.33648   8.908466   6.936621   6.014498   6.226715   8.918213   9.111427   9.784343  10.986396  11.171522  11.701272  10.372598  10.934967,256.9378808,16.02928198,0.18139211,1440,rolling13,3,0.9401796822625769
10, 41.300007   45.991592   50.538044   56.109898   58.10763    60.702766  66.379      71.3263     75.29238    79.458565   82.839836   86.6729  91.33893    94.72671    96.69442   100.15736   103.17979   105.997734 109.82724   112.576706  114.69129   117.781685  120.67539   121.25771 124.736725  126.14823   127.77043   130.75278   132.3063    133.46985 134.17508   134.1739    133.82893   134.4989    133.60869   132.30333 132.3799    131.19875   130.34464   129.8182    128.49144   125.525345 122.8683    121.85679   119.86332   118.50023   115.81627   113.607765 111.25317   108.30989   105.87467   102.87962   100.191284   98.06646  96.11914    92.926674   90.09086    88.12453    84.4339     83.103806  80.3367     78.98458    76.79798    74.91903    73.9391     71.32739  67.971085   65.01954    63.302773   59.796566   57.738506   55.06942  51.99248    50.734833   48.928734   46.445515   44.530724   41.53493  39.50054    38.15713    37.44332    35.97495    35.427235   34.02366  32.942394   28.813063   26.084513   22.547758   21.568686   21.314653  15.799789   14.445567   18.861809   10.299      13.543258   10.014224   8.827614    9.160819    8.650422    6.375709    5.6999226   4.808548   4.520281    4.920038    4.367954    4.5245366   3.8506      4.4130077   4.3807855   3.9531512   3.605708    4.4761834   6.2162037   6.744184   8.1796055  10.276165   10.819507   12.667816   12.0470705  13.810553 ,263.9457717,16.24640796,0.344050575,1440,rolling13,3,0.9442649091948656
11,5.59592628e+01 6.14160919e+01 6.67735443e+01 7.34236984e+01 7.63516769e+01 7.98001709e+01 8.58408966e+01 9.18240509e+01 9.63029709e+01 1.00724693e+02 1.04485603e+02 1.08492523e+02 1.13560333e+02 1.16925041e+02 1.19023430e+02 1.22194740e+02 1.24535110e+02 1.27281006e+02 1.30174011e+02 1.33000366e+02 1.34366302e+02 1.36766388e+02 1.38829086e+02 1.38193954e+02 1.40962540e+02 1.41695740e+02 1.42235428e+02 1.44309616e+02 1.44680740e+02 1.45391296e+02 1.44933746e+02 1.44180191e+02 1.42958878e+02 1.42733749e+02 1.41095673e+02 1.39232040e+02 1.38468262e+02 1.36534302e+02 1.35424484e+02 1.34058411e+02 1.32112122e+02 1.28839539e+02 1.25375084e+02 1.23808090e+02 1.21726234e+02 1.19597099e+02 1.16247177e+02 1.13724991e+02 1.10538033e+02 1.07196838e+02 1.04372581e+02 1.00354439e+02 9.73833084e+01 9.49817734e+01 9.23635788e+01 8.89116974e+01 8.57825317e+01 8.30113220e+01 7.91155930e+01 7.78422012e+01 7.43401184e+01 7.27112579e+01 7.00701599e+01 6.81076584e+01 6.67384186e+01 6.48503189e+01 6.12162056e+01 5.76349411e+01 5.55997200e+01 5.27231064e+01 4.95119324e+01 4.66957245e+01 4.34308434e+01 4.35061913e+01 4.07600822e+01 3.87841530e+01 3.68311958e+01 3.33995743e+01 3.10961075e+01 2.98134747e+01 2.85771942e+01 2.70105247e+01 2.72055817e+01 2.48832798e+01 2.45096951e+01 2.00789967e+01 1.69327183e+01 1.36115484e+01 1.27336588e+01 1.19054642e+01 6.15084839e+00 4.42912531e+00 8.63140774e+00 1.52399623e+00 3.40205836e+00 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01 4.07423347e-01 8.66087735e-01 2.68661857e+00 4.08295536e+00 5.47911263e+00 8.10355568e+00 1.13835688e+01 1.31268187e+01 1.64835396e+01 1.74257088e+01 2.09571133e+01,462.9851279,21.51708921,9.827929916,1440,rolling13,3,0.9398477780575216
