id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0, 28.779184   37.79508    39.692684   26.086973   33.046394   31.091257  36.44206    43.23131    47.95466    55.601044   56.0387     61.466805  68.25625    74.687225   80.89614    79.453766   84.3584     95.092834 107.13029   104.39963   109.2127    113.2977    121.19552   112.379456 120.08103   119.96318   131.60344   132.85112   139.45885   144.82863 153.59366   154.5113    157.17282   157.94524   161.24623   163.42639 162.47237   178.75772   182.82263   184.50356   182.42183   182.39485 181.6732    189.49965   196.46709   190.19351   191.66805   189.11798 184.7076    180.99986   187.17067   187.0928    187.40451   179.94058 182.35945   184.78874   180.85294   173.90082   158.1704    150.50296 155.76453   151.7162    149.73328   146.16286   143.52113   134.514 127.515686  124.8092    118.55315   118.27783   121.91304   114.8294 104.781235   99.424866   98.00269   100.82859    94.412094   92.50783  85.419044   80.11173    77.5004     80.1002     71.86369    71.28001  58.651234   58.260628   57.279278   60.138348   56.592857   51.320446  53.522045   46.481766   44.244495   40.589436   46.976215   33.82052  23.89496    21.488688   17.53295    17.552656   21.346966   23.526041  28.747734   22.542824   22.685228   27.34542    21.607279   20.893286  14.2251835  11.115661    6.0069427  14.690626   10.005001    8.577278  12.905054   14.025489   19.730772   22.524502   25.395653   22.828505 ,3934.095422,62.7223678,0.657117716,0.031623427,weighted3,13,0.5111760679913475
1,2.72170808e-02 8.07501411e+00 9.71071053e+00 6.89684689e-01 7.21483278e+00 9.85793114e+00 1.93675213e+01 2.46472569e+01 2.92072983e+01 3.63084412e+01 3.75519257e+01 3.95560608e+01 4.37071037e+01 4.86778984e+01 5.26495934e+01 5.10343132e+01 5.74197769e+01 6.77140656e+01 8.60553818e+01 8.73041229e+01 8.80765305e+01 8.65530319e+01 9.41186829e+01 8.45576172e+01 9.18910141e+01 9.14946976e+01 1.03114120e+02 1.02521820e+02 1.06984047e+02 1.17232567e+02 1.22762665e+02 1.24809349e+02 1.30877350e+02 1.27370628e+02 1.26998833e+02 1.27686882e+02 1.28623383e+02 1.45095779e+02 1.46128296e+02 1.48270844e+02 1.42664124e+02 1.41119507e+02 1.40248322e+02 1.46483002e+02 1.55483261e+02 1.52276367e+02 1.48523346e+02 1.44014542e+02 1.40366425e+02 1.33039276e+02 1.37553497e+02 1.37467804e+02 1.34651077e+02 1.28724884e+02 1.28531845e+02 1.35143707e+02 1.31216339e+02 1.28334671e+02 1.17108482e+02 1.10733627e+02 1.14802208e+02 1.09246773e+02 1.11319817e+02 1.05521339e+02 9.87302017e+01 9.00185699e+01 8.55030060e+01 8.08408890e+01 7.84399338e+01 8.26231613e+01 8.82882156e+01 8.53845291e+01 8.48799896e+01 7.85846024e+01 7.64738007e+01 7.72843094e+01 7.53983459e+01 6.65289459e+01 5.86565437e+01 5.65852814e+01 5.52280731e+01 5.77362938e+01 5.34080162e+01 5.80774574e+01 4.99370270e+01 5.24338150e+01 5.17101898e+01 4.89705315e+01 4.98906784e+01 4.53831596e+01 4.42686539e+01 3.65697937e+01 3.55888748e+01 3.40963898e+01 3.82419624e+01 3.02548466e+01 2.51455231e+01 2.42566700e+01 2.22152863e+01 2.04877872e+01 2.12979660e+01 2.27466888e+01 2.58001041e+01 1.93483677e+01 1.84856224e+01 2.16745472e+01 1.45767975e+01 1.49647446e+01 9.39880562e+00 9.39405823e+00 3.70251489e+00 1.15369949e+01 7.41646051e+00 5.29479122e+00 8.40125275e+00 4.00558805e+00 8.94391918e+00 9.16997719e+00 7.49479389e+00 3.42869163e+00,600.2035446,24.49905191,0.854163085,-0.057675113,weighted3,13,0.8756301715567704
2, 26.311846   35.343407   36.83597    34.692047   46.824905   50.220257  60.80516    63.632656   66.22158    74.70607    74.534294   81.206245  81.32182    89.62191    90.127144   87.23621    92.89054   104.04146 121.36062   122.963455  119.047226  116.84376   119.79861   111.86965 119.43479   113.98654   122.71309   120.78628   122.8735    127.98156 130.75655   130.09161   134.29536   127.7066    124.75527   125.660255 126.30574   140.88063   139.4756    134.08101   127.654755  121.940094 120.59041   122.42121   128.90112   122.005516  120.7651    115.94268 112.082535  104.78636   103.87189   103.50075    97.86389    93.56047  89.469574   98.39969    95.212845   91.06868    85.43729    83.03595  86.15321    83.23443    87.38793    78.62777    71.7551     65.29801  62.850697   59.706085   60.82585    62.491283   66.13816    66.31496  64.8305     60.44118    55.182262   55.828247   56.33912    48.91453  42.7367     41.609898   41.98971    45.658264   39.73958    45.6701  38.146526   42.         41.018715   37.029465   39.952957   37.250305  33.423405   28.117027   27.955128   26.853294   26.086325   20.488306  15.403877   14.694158   13.406999   13.713017   16.444313   18.7495  19.728476   15.054986   15.321436   17.841457   10.144509   11.627701   9.266972   10.043631    5.5581503  15.694501   15.04146    16.109053  18.093597   11.627594   18.20587    20.747059   17.868837   13.233754 ,384.5949541,19.61109263,0.245036488,-0.049288778,weighted3,13,0.8999681619681048
3, 66.83396   71.684074  72.893166  79.13756   94.58368   98.08744 109.88995  109.414536 110.08746  119.85897  119.630104 130.56535 124.48107  137.51807  132.43959  128.53809  131.95154  144.40852 158.2637   160.75388  152.03098  148.68047  146.6108   142.51956 147.68465  138.33116  141.71748  138.65582  137.5609   137.80849 137.33794  133.37146  134.52605  124.59117  119.40587  120.43693 122.91187  133.61403  128.9652   116.85267  108.11482   98.93841  96.652664  93.65175   96.758995  88.639336  87.24275   82.193306  78.73804   72.45647   66.358116  63.96297   56.17247   55.423817  45.216984  56.9543    53.500587  48.051636  47.85746   49.74405  50.816784  51.99282   57.71702   45.58556   38.84012   35.21896  34.932842  33.631996  39.145267  38.89793   39.096916  41.298847  38.958275  37.287754  28.984106  28.553679  32.40613   26.178358  22.442322  22.836256  26.509548  29.052504  23.379688  29.136263  23.449873  28.754642  27.921556  21.561045  29.15036   28.36963  21.438171  18.664362  20.401321  19.798332  12.755392  12.108213   7.469177   5.796319   6.03597    9.880046  15.320956  18.419832  16.916542  14.976992  16.564318  18.73354   11.53433   14.056329  15.733208  18.50111   15.903439  27.389582  31.003468  34.905384  35.513424  28.23438   35.83815   40.71104   37.40745   32.215973,586.1727527,24.21100478,0.325419258,-0.106837305,weighted3,13,0.8828073159550114
4,127.66695   130.34563   131.91014   128.88382   138.5019    142.87444 146.75027   144.1942    142.54126   147.84209   147.63304   162.57108 152.6387    162.835     157.85939   151.84618   151.16888   157.41425 164.14407   160.04915   156.31563   156.6583    155.37437   151.34537 148.14969   141.43506   139.14153   137.06741   132.85234   130.59045 129.18687   121.183464  114.81718   110.851654  112.394005  114.73223 116.80889   121.64947   117.067116  106.462074  100.0269     91.37322  89.76647    87.05121    85.27609    76.90494    78.42879    77.71992  75.09962    72.18978    63.46429    61.134605   60.785675   57.750027  52.897568   61.412064   57.993343   48.476387   43.378426   41.473534  44.081017   44.64836    47.83171    40.724186   37.931545   36.58273  34.121284   36.9349     38.18207    35.007935   31.906282   29.893913  15.961881   17.359879   12.316522   10.29421     9.924856   13.910813  13.717261   13.086389   15.37732    16.342377   11.596212   14.851968  11.015895   12.55686    14.184065   16.296442   20.577482   20.120626  15.929201   16.172058   18.82809    17.115295   13.278138   15.1356735  12.270636   13.777361   17.622152   22.935987   29.742783   34.024807  36.060444   37.76935    38.721066   45.15687    42.672234   47.22375  54.54411    62.263283   67.36797    79.37472    83.3442     84.23062  87.498825   88.607315   96.74675   102.06151    99.60949   101.92206  ,747.6560653,27.34330019,0.327808478,-0.027135224,weighted3,13,0.9442338366657581
5, 85.67469   85.87167   88.071945  83.33048   89.150314  86.0126  87.443115  82.39342   77.90524   82.173996  81.59765   87.53314  77.4997    77.23135   70.96552   66.64195   65.42091   66.243004  74.21828   70.949585  69.167114  64.850334  63.543865  57.281136  54.77601   52.61373   50.26633   46.85739   41.376373  44.13509  40.0699    33.03376   29.955503  28.632751  29.926825  30.890581  35.21522   38.026882  32.784496  27.512396  25.857685  17.986155  18.866793  19.209454  21.297834  20.100107  18.955643  18.199873  16.613443  13.876723   9.453296   7.164834  11.044729  10.503075  11.985845  20.270153  17.705282  15.022315  14.593026   9.285971  12.890434  15.068695  16.915699  14.016169   9.798176  14.302113  11.224969  14.778692  18.327484  22.051323  24.542404  23.071325  20.917246  18.896097  21.03539   17.957218  16.320297  18.58249  21.168892  23.777092  26.667068  29.250774  31.173903  40.445667  42.12362   44.622643  45.937862  49.35014   50.135815  49.884815  47.982933  50.444473  51.40477   51.741577  56.51547   57.001213  62.842514  69.26062   70.656105  72.022705  74.48048   76.14825  76.79867   77.37186   79.119125  80.20317   77.27151   85.82874  91.552216 105.2688   107.82171  116.75693  114.55468  114.1362 112.7922   115.486694 117.7387   115.67302  111.064644 111.71364 ,614.5379088,24.78987513,0.453746161,-0.123888955,weighted3,13,0.8814040965962978
6,1.18142044e+02 1.14242897e+02 1.14411743e+02 1.07792870e+02 1.09802246e+02 1.02008629e+02 9.88407211e+01 9.43926315e+01 9.20303268e+01 9.51024551e+01 9.51135941e+01 9.54619904e+01 8.89032211e+01 8.43776550e+01 7.71717834e+01 7.39056702e+01 7.01743011e+01 6.97449493e+01 7.24120407e+01 6.56883545e+01 6.57987518e+01 6.34049110e+01 6.47079697e+01 5.87296600e+01 5.49289093e+01 5.37555542e+01 4.99317513e+01 4.55912018e+01 4.32512131e+01 4.51410980e+01 4.04220352e+01 3.06299782e+01 2.57469139e+01 2.48044567e+01 2.68441925e+01 2.55673809e+01 3.00054436e+01 3.24292107e+01 2.65551929e+01 2.32356110e+01 2.32011681e+01 1.80160980e+01 1.77168217e+01 1.64895630e+01 1.59768648e+01 1.49567318e+01 1.21235361e+01 1.10052137e+01 9.03472710e+00 8.43060493e+00 7.18287468e+00 3.93036485e+00 6.88310528e+00 7.66433716e+00 1.03633585e+01 1.53683872e+01 1.11536112e+01 7.17406750e+00 1.61631572e+00 2.72170808e-02 1.89555490e+00 5.90619898e+00 7.44689274e+00 6.33529377e+00 3.07512045e+00 8.08616543e+00 7.02882385e+00 1.34109030e+01 1.68997211e+01 2.27563629e+01 2.39235458e+01 2.30774097e+01 2.28475914e+01 2.23669052e+01 2.62252808e+01 2.54311523e+01 2.52931080e+01 3.07252350e+01 3.62498779e+01 4.25771065e+01 4.73656540e+01 5.13297005e+01 5.58502617e+01 6.35472298e+01 6.59354019e+01 6.95985336e+01 7.35014954e+01 7.67354965e+01 7.85226212e+01 7.99276276e+01 8.23839951e+01 8.67944946e+01 9.09247437e+01 9.38616104e+01 1.00854378e+02 1.00304649e+02 1.06951965e+02 1.11849846e+02 1.12915726e+02 1.12597023e+02 1.13536308e+02 1.16096725e+02 1.20462280e+02 1.22767700e+02 1.27574783e+02 1.26275513e+02 1.26351585e+02 1.32962250e+02 1.36990158e+02 1.47548737e+02 1.46839050e+02 1.52094254e+02 1.49440765e+02 1.49636475e+02 1.46204315e+02 1.49354645e+02 1.50622345e+02 1.49882874e+02 1.47272919e+02 1.47040085e+02,192.0370598,13.85774368,2.972384337,-0.058343276,weighted3,13,0.9620332068432063
7,116.5547   113.151276 112.02824  106.529625 106.9831    98.99033  94.253914  89.331184  87.43158   89.626076  89.25963   91.736404  84.67479   81.15574   75.56906   72.026146  68.44861   66.642006  67.69774   60.37598   60.032257  58.74041   59.061096  54.794582  52.92939   50.05581   46.90674   44.303272  42.039413  41.74261  36.729034  27.393703  22.959734  23.054514  25.053669  24.249287  26.714083  29.77692   26.80567   22.439236  25.296682  19.7554  20.794762  20.282312  20.209982  16.800655  18.093666  18.45104  16.662552  16.851482  16.917118  15.242075  18.885967  19.642363  23.580603  29.379784  28.58011   26.346758  22.864655  19.171494  26.375834  30.539526  32.796585  33.094807  34.135983  39.248928  39.79824   46.93311   50.126297  55.925247  57.34852   57.669857  56.426773  55.64744   58.946846  58.64423   59.73359   66.532295  72.511894  76.03016   81.33315   85.84587   88.80825   96.15607  94.851265  95.7628    99.72265  103.79977  103.64858  105.68907 108.10988  111.75472  115.38705  116.911224 122.20224  118.4881 122.28906  125.048584 124.32433  123.07742  124.22387  125.98048 130.0908   132.20265  136.14206  132.72653  131.24556  136.92462 141.21172  146.81255  144.3263   147.70578  146.50371  147.925 144.49446  145.37129  146.98944  146.36884  144.62787  144.21042 ,751.097404,27.40615632,0.398098236,-0.070132195,weighted3,13,0.8739930194083723
8,5.64912605e+01 5.81371803e+01 5.67572327e+01 5.47586327e+01 5.32878609e+01 4.90989799e+01 4.63659019e+01 4.07617302e+01 3.83649521e+01 3.96021690e+01 3.95200195e+01 4.35463524e+01 3.36998596e+01 3.14786301e+01 2.81266689e+01 2.44208832e+01 2.38922348e+01 2.05521641e+01 2.60768147e+01 2.30513287e+01 2.04631405e+01 1.61789818e+01 1.43246536e+01 1.08313198e+01 1.34472609e+01 9.34599209e+00 9.29594994e+00 9.31007195e+00 4.81056261e+00 7.11491299e+00 1.59663796e+00 2.72170808e-02 2.72170808e-02 2.72170808e-02 2.72170808e-02 2.72170808e-02 2.72170808e-02 3.63293028e+00 3.97139668e+00 6.21882856e-01 5.16465664e+00 2.72170808e-02 2.58587790e+00 5.14932442e+00 1.01600409e+01 7.57014322e+00 1.18615723e+01 1.34605293e+01 1.25154219e+01 1.04253035e+01 1.13917122e+01 1.32165327e+01 1.76145821e+01 1.89002972e+01 2.39113388e+01 3.44769135e+01 3.93918610e+01 4.38228493e+01 4.83238220e+01 4.94905968e+01 5.40586662e+01 5.53041954e+01 6.03431778e+01 6.16006241e+01 6.54401321e+01 7.03409729e+01 7.26088715e+01 7.71767197e+01 8.22155762e+01 8.98783646e+01 9.58063354e+01 9.84759979e+01 1.01531891e+02 9.81457825e+01 1.00939659e+02 9.83893890e+01 1.02072083e+02 1.03640465e+02 1.07858681e+02 1.06781914e+02 1.11091682e+02 1.15562614e+02 1.17955879e+02 1.29218216e+02 1.24029793e+02 1.22289474e+02 1.24195862e+02 1.27197289e+02 1.25044945e+02 1.26719208e+02 1.25238060e+02 1.25655006e+02 1.26385040e+02 1.25576576e+02 1.26657280e+02 1.22250099e+02 1.24600174e+02 1.26192955e+02 1.23506660e+02 1.19911194e+02 1.19540565e+02 1.18767174e+02 1.18747353e+02 1.18230545e+02 1.18607040e+02 1.12214241e+02 1.06142319e+02 1.12355728e+02 1.16501289e+02 1.19210762e+02 1.14517120e+02 1.16235573e+02 1.15473938e+02 1.16907837e+02 1.13672729e+02 1.08747772e+02 1.09151810e+02 1.05082474e+02 1.00845612e+02 9.94580383e+01,419.7178093,20.48701563,25.35529339,-0.05534687,weighted3,13,0.9220993269203183
9, 31.293554   35.047356   34.867924   26.89013    21.716393   16.336792  13.416435   11.620522   11.215585   12.895641   14.77533    17.843143  11.73789    11.382987   11.5885725   9.43353     9.713268    8.846935  13.04885    10.61562    13.378824   11.919341   13.361002    9.797265  13.033052   13.590983   16.557608   19.5598     17.73896    23.172804  23.271362   21.185406   22.757322   26.836548   30.386745   31.434803  34.95064    40.9252     44.81634    48.1751     52.503254   51.024635  54.879868   62.782707   70.19424    70.884514   74.12003    76.49428  75.396255   74.42335    80.24534    81.93973    89.6385     89.6932  96.1902    104.095505  107.8101    111.203514  109.68597   107.9686 111.46555   110.51366   111.602425  114.66486   119.68058   121.0149 119.40147   121.56538   122.50185   128.73015   135.5959    132.12177 130.4055    125.79492   130.11919   127.48537   127.07287   127.76507 129.16133   124.11913   125.7075    127.267654  128.2467    134.77872 125.4158    121.506065  121.95023   127.33308   123.03759   121.68142 121.86718   118.83237   117.30214   113.97844   116.79564   110.12691 108.11765   107.28236   103.2311    100.48811   101.243256   99.990906 100.753296   97.80477    96.90155    93.22323    87.65582    92.020004  92.086174   93.13807    88.03752    89.38091    85.80266    84.56703  83.8393     83.37437    82.682816   78.27651    77.51071    76.719795 ,330.0756839,18.16798514,0.256692505,-0.030172357,weighted3,13,0.9442091122157622
