id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0, 52.228325   53.3953     47.295925   59.643696   64.70908    76.18872  81.03563    69.75587    78.432434   79.016464   92.570335  109.863686 107.74123   107.96884   114.31003   115.336845  123.247955  143.15309 141.06218   141.73367   144.93303   157.00081   160.43866   152.76073 156.69159   160.67766   171.25444   163.94234   185.99594   190.65761 198.00314   185.00261   175.832     175.53207   175.9148    174.90654 172.85718   172.25774   164.55908   179.37436   164.28174   157.62918 159.08484   162.21071   171.62186   164.492     155.66405   161.01611 159.95598   160.97879   154.51096   158.0696    141.01836   136.54413 144.56252   144.25902   134.2816    135.58942   124.525665  134.22118 128.76195   129.0134    122.35731   123.12145   113.89936   114.243996 105.14367   113.60644   101.87007    92.859566   84.72324    73.10971  77.4401     86.337814   74.79874    73.51063    65.92784    56.88197  59.795124   61.389076   53.684444   61.029026   43.401714   38.047077  25.337074   35.76604    38.124084   29.85083    47.11922    37.530544  33.502613   34.113625   39.519802   33.261868   24.459204   22.34357   9.554401   14.522448   13.783746   17.835276   11.203691   15.9900465  17.481483   11.714663    7.5616503  21.396599   25.765287   23.457172  27.16876     9.712608   15.400853   12.941544   16.331469   19.360157  15.2783575  24.37297     4.814515   10.943206   21.034391   23.839485 ,5376.208485,73.32263283,0.902974793,rolling13,13,0.194791323,0.019304398
1, 28.959503    23.319752    17.870714    34.169075    35.975414  49.09489     55.906803    41.034115    52.230354    52.738373  66.06637     73.82714     76.16581     72.00108     75.29633  83.57983     95.41417    108.3923     109.72971    118.41367 118.71489    127.71236    128.55382    123.91665    121.75446 127.84625    131.94258    131.65123    147.81418    160.14314 165.69089    159.8346     153.49597    150.56764    144.50055 144.96132    146.3391     146.87708    129.38686    147.02353 132.64153    127.33818    128.87923    138.78827    145.81322 147.40025    133.49187    133.436      134.4875     131.79558 128.72835    123.097534   112.571236   108.38417    113.074776 117.3093     106.14975    115.421036   104.72004    108.57311 101.957726   103.25805     93.63444     94.29319     85.07041  80.798485    75.55607     83.38196     85.15425     79.59383  78.559296    73.59518     71.6189      71.35534     57.66185  62.934116    64.882515    50.019268    50.40515     52.372444  49.478645    53.336994    36.018322    41.267       31.396267  43.423626    41.013237    28.93603     49.421185    36.79605  29.408335    26.052212    32.032005    30.382534    28.247417  17.260956    18.861906    20.396265    25.04028     24.037712  11.3612385   24.78027     24.498835    15.017487    10.120009  22.716606    28.24104     28.310162    24.536243    14.756627  20.720535    19.264027    19.001572    20.824383    21.554382  20.06594      0.40298897   4.739249    11.9500885   15.405818  ,1306.163833,36.14088866,0.504035923,rolling13,13,0.729134334,-0.069049463
2, 46.170105   40.82448    35.90488    55.6092     58.138924   69.32929  74.91223    58.77465    67.27125    69.012      82.11821    92.486  91.5661     89.62326    90.45453    98.89432   106.680786  120.188896 122.47163   128.22949   126.21591   135.24545   134.91216   129.81708 130.53137   132.29698   137.25067   135.7864    149.97372   161.12929 164.91028   157.61555   150.86613   148.46353   142.93538   143.70953 144.5249    140.3436    127.86948   139.86035   127.503525  120.540825 125.110634  131.54396   137.53433   136.8229    126.678024  126.47074 126.908615  123.91392   120.59686   115.952286  104.35636    99.353935 102.982475  109.616844   95.34748   104.09827    95.542175   98.1514  93.66319    94.90584    86.737656   85.372856   76.232704   75.73546  68.13903    77.534      74.9378     70.104355   66.00618    61.085056  59.355255   62.616226   50.326496   53.729374   53.799847   39.068165  41.690086   44.059464   41.790108   44.827766   28.425064   31.041552  21.536398   33.126705   30.871788   21.814621   39.404945   28.730984  20.563694   19.532534   24.549112   20.886244   18.19509    10.110981   8.347074   12.465522   16.578732   17.737844    5.2044687  15.504851  17.578915    8.78242     6.494384   19.656166   23.717926   24.193632  23.3229     12.294773   21.060211   19.902206   23.357931   25.907711  25.063955   25.802187    7.242662   10.52709    20.294384   23.929993 ,780.4059218,27.93574631,0.325155224,rolling13,13,0.852632842,-0.025281999
3,108.369606   104.75316     99.960495   129.86131    135.24489 139.09906    139.3859     120.23267    121.83924    123.03352 137.55763    160.08385    145.23438    148.9675     144.01608 150.89188    144.84312    161.95049    166.84877    163.21964 155.19688    162.85353    159.50665    155.13596    167.32013 152.13696    157.67651    151.62355    161.2835     168.38965 165.70003    155.20935    144.56737    145.80212    143.02715 143.25836    141.95247    125.9708     126.51051    121.03192 115.2841     104.25894    114.881996   109.78238    111.193184 103.69961    105.85795    105.906845   104.19773    102.388855  96.59602     94.505005    81.22442     74.05576     74.60431  86.417244    60.35071     66.52482     63.86344     64.030045  67.281586    67.16425     64.98762     57.17554     45.8786  59.91668     47.75706     58.09148     41.433586    35.82881  20.996813    16.0206      16.372208    31.279099    23.741714  23.983       14.10802      2.1638165   13.570008    17.969479  19.184069    18.012098     7.3154535    0.           0.   0.17830527   0.           0.           9.231247     5.257547   0.           5.3037543    7.6078625    0.           0.   0.           0.           0.           0.           4.685775   0.           0.           5.14633      0.704347     5.035723  20.292461    21.33381     22.48366     31.001242    18.554544  33.025932    35.58019     46.43546     50.597927    45.876774  54.60954     39.823338    40.823227    56.54794     60.869316  ,1093.663018,33.07057632,5.09E+15,rolling13,13,0.879951149,-0.028627668
4,141.70993    136.20763    129.79613    152.99081    157.82149 161.94359    157.43427    139.18178    137.68124    137.59305 153.34584    175.33926    158.33093    153.38885    150.51328 154.9154     145.69461    162.89409    159.48476    153.63727 151.80075    156.87624    152.62793    151.53964    155.29663 140.7551     139.25409    136.76714    140.55743    151.07709 145.86931    134.08391    121.31155    125.789856   123.20015 121.32564    123.097824   104.52327    102.49651     97.81536  94.201454    85.695465    93.921295    88.21027     86.81184  82.47157     83.48211     85.111305    82.67522     81.856964  76.98295     72.87007     66.34918     58.73018     63.109695  71.89506     42.29645     45.015026    43.368275    43.278374  45.362446    47.33905     46.65202     40.02974     24.91931  41.810394    32.532394    40.13837     10.200428     4.769738   0.           0.           0.           8.966055     3.0017235   2.9372866    0.           0.           0.           3.5916936   2.6564023    6.1308217    0.44661468   0.           0.   0.           0.           0.           5.000741     0.78565925   0.          11.895233    13.742326     7.76601      6.2455683  12.538013     6.013719    21.865852    19.029356    25.967253  18.524263    20.85259     33.657017    31.514767    33.788906  49.624516    57.607155    59.681793    67.462776    60.45339  72.2931      79.91876     84.69893     85.79046     84.28171  96.55449     82.805756    81.808       92.12611    101.27999   ,1176.502461,34.30018165,5.32E+15,rolling13,13,0.86621023,-0.027075957
5,105.649475  96.903046  88.97305  104.39852   99.16717  107.036095 103.529465  87.96091   84.37261   84.8029    99.820015 112.25805  94.88308   81.01807   81.76117   86.33322   82.57329   88.25124  84.13482   82.65657   84.66646   85.576195  81.05702   87.43718  81.53632   67.1869    61.59191   66.65691   62.99076   80.032974  72.89633   70.39911   61.49714   60.842518  56.74213   56.632233  63.755024  50.378002  40.822647  41.140846  43.375362  38.525288  44.409664  45.560913  45.957985  49.70757   47.393402  50.699512  48.482227  47.322636  48.07191   42.546463  45.495213  43.87448  48.37199   60.502773  35.8105    43.719074  44.121593  45.15754  39.45768   44.648605  43.1238    41.483356  27.30361   41.774426  38.141335  42.379307  31.032448  28.914007  21.438538  27.022041  23.777313  34.121807  30.488956  33.47266   24.28521   24.068003  38.704304  38.300827  41.094303  45.75925   41.090565  37.841652  37.447895  43.691414  44.6006    41.532322  49.686737  46.40691  46.2999    56.11239   51.57893   51.20602   54.55975   57.31146  68.134094  76.41287   73.89327   75.170006  69.75855   76.838264  80.758575  82.04565   72.85365   80.36476   94.313545 100.3697  99.47718   99.17035  102.318665 113.712906 108.973465 105.235344 110.32588  116.24203  100.547844  93.58744   93.86907  104.25745 ,802.4110037,28.32686011,0.449579798,rolling13,13,0.902647598,-0.099253628
6,131.53627   121.969315  112.622536  117.679306  113.34509   122.98162 115.48069   102.20607    98.0009     97.91914   113.07116   124.0597 108.831505   86.11206    90.30301    92.00982    88.30907    95.5645  80.9419     77.09558    87.1104     87.16074    83.6407     90.5944  74.42928    66.1206     55.90855    62.565395   56.833885   75.680786  68.22577    62.163948   51.651478   52.53666    49.07313    46.74  56.21592    43.186794   28.941856   34.218025   35.375267   33.31085  34.69964    36.15671    34.683125   41.303894   34.4654     40.93782  38.642227   38.861286   39.68956    33.354507   40.22363    38.357716  48.074192   54.411648   30.065601   33.13072    32.95379    35.640537  27.132113   34.740997   33.68997    34.757492   16.995258   30.365734  30.305302   32.628735    7.8138876   5.6910195   0.          3.6505826   3.0427787  20.36175    15.88547    18.431465    2.7157948  10.258663  27.142277   29.792568   26.610136   39.446594   36.59429    30.44636  34.51469    40.86294    44.997063   43.637543   50.74689    45.944763  52.267513   64.841225   61.657974   64.3837     70.6469     75.2928  91.28937   100.844315   96.54568    95.572586   95.02311   104.30754 107.983604  110.74561    99.25497   107.68124   128.88625   134.3554 132.67436   135.78557   135.01831   149.49483   138.53583   132.84335 140.05891   148.82327   133.68448   126.549355  120.97827   135.70486  ,971.3857942,31.16706265,2.96E+14,rolling13,13,0.813804979,-0.083742632
7, 96.231064  86.976616  77.40207   85.34786   78.16531   85.40453  79.77083   68.366585  65.796936  67.639694  80.00564   82.63065  69.35398   50.097153  52.996796  58.96039   56.71808   57.815968  46.315926  47.664165  51.848347  51.820087  46.772984  55.287132  43.100063  33.20819   26.04744   34.429123  28.289099  46.475613  38.077812  35.77363   30.281775  25.177738  20.565199  22.133148  31.37115   22.72653    8.504005  13.084416  18.174332  14.371097  16.878809  18.776556  18.306189  27.763186  22.436419  28.88435  28.72505   28.847048  31.332552  26.68637   33.466232  35.580395  41.15416   52.778202  34.98222   43.30171   44.382805  46.496548  37.38482   45.267677  44.28695   46.300587  35.086002  46.170834  45.92875   49.88275   47.319927  49.508385  46.31578   54.134502  53.375492  58.18529   53.309853  58.17829   56.24672   59.074738  71.7933    69.55913   72.084366  81.32515   77.0228    80.05677  78.32772   85.549644  86.32652   81.679115  88.23913   88.83519  88.60762   95.70874   88.31754   92.578415  97.18404   97.4256 115.94651  118.40524  116.52949  116.22606  112.81027  120.95922 118.728134 121.71119  107.816376 110.90491  128.04413  132.61736 129.1154   127.22993  125.09504  134.93086  129.52475  126.16141 131.56839  131.30031  116.49559  107.60043  102.32455  112.895454,1013.409895,31.83409957,0.473344749,rolling13,13,0.831908391,-0.096701581
8, 50.244316   43.19832    33.08146    43.637035   33.50536    39.580944  37.04429    28.014494   25.145117   32.059937   40.904358   30.2487  23.478765    9.197197   10.835571   21.650578   21.776115   16.924744   7.83087    16.880074   15.766268   17.118681   10.032876   18.480804   9.191927    1.6999303   0.         10.291802    3.548668   21.665508  15.228247   15.68148    15.591825    6.3906374   1.0502251   6.6273603  15.361025    9.606366    0.          5.07718    12.545318    7.3769984  13.868238   17.146809   20.332283   30.924353   27.43376    33.38947  34.375763   34.031128   38.98479    37.64814    43.217766   48.08009  51.568275   67.35283    58.889584   71.37461    72.59853    73.946495  63.22204    71.01166    68.953      72.54376    70.57       77.3876  73.13798    81.83314    96.72547   104.32988   108.677505  114.103424 111.91483   105.94904   101.28994   103.755     116.20378   112.60834 119.54747   110.79904   118.436714  123.796776  117.32934   127.86088 118.067024  126.97087   125.46306   120.04268   122.079185  126.92972 120.37844   119.53736   108.215164  111.46458   116.68757   109.764565 129.51538   123.7637    125.71197   126.45825   119.483315  126.9535 117.399     119.45733   103.66911   101.57819   113.13672   117.174866 111.82708   101.63484   101.38354   103.543434  106.43387   105.08294 108.61981   100.82222    85.075294   74.94605    72.715126   78.885345 ,539.6120863,23.229552,6.83E+14,rolling13,13,0.910209014,-0.102317902
9,  8.818275     5.1678214    0.           0.           0.   0.39802977   2.1397007    0.           0.           1.3424414  10.455659     0.           0.           0.           0.   0.           1.0780469    0.           0.           4.715873  10.1933155   15.450065     7.1515436   13.53101      0.   5.8746266    1.8477736   21.252382    14.834211    37.62745  41.864227    39.973755    40.51889     41.210278    36.11038  40.49344     49.90464     43.740788    39.456306    58.10092  58.82945     57.262413    68.250984    79.08091     91.308235  99.981964    93.710464    96.25992     94.80324     93.16446 101.16021    101.74497    108.59835    109.04448    121.08656 129.14307    129.06386    137.36055    131.15613    132.40909 118.11397    124.77857    117.07176    124.51652    129.2602 127.05504    113.84861    127.54669    127.21564    135.44 141.72214    141.26938    134.10428    132.36977    129.73058 120.38279    131.5228     124.45133    124.93298    112.33934 118.20653    122.71199    116.78533    118.51757    104.745285 115.07692    118.01109    118.499466   111.33379    108.75522 107.52642     97.97537     89.33234     88.35158    102.373535  84.47757    104.021576    95.43047    100.035965    99.42148  89.80667    102.211365    90.74581     86.65903     70.31363  70.99478     81.06895     85.674385    76.37455     59.7222  66.80785     61.32619     66.52691     61.41337     67.56801  65.352776    44.53181     37.28687     39.680088    46.822155  ,499.8199538,22.35665346,6.05E+15,rolling13,13,0.906427699,-0.094518073
