id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0,"[ 16.505136    22.054066    24.948647    31.197403    33.119904
  40.743008    46.389885    51.751278    56.335545    61.57713
  64.68361     72.06965     77.93673     80.69038     86.55473
  93.93286     97.860916   104.77155    110.69872    116.76108
 121.38862    127.08488    131.29558    135.24721    139.49333
 142.8455     145.87425    149.61928    151.97067    156.45967
 159.95059    162.29868    163.45776    165.33174    166.6318
 168.428      169.55154    170.7402     169.1955     168.49223
 167.91049    168.2419     168.69109    168.69165    168.1241
 167.02328    163.9693     162.41954    162.72209    161.51389
 158.97125    156.66833    153.64311    151.1109     148.55533
 146.61214    145.71727    142.13913    139.48502    138.42995
 136.67126    134.37976    133.69534    129.71284    125.91648
 122.644325   120.01409    117.53862    114.83773    110.25008
 106.557205   102.34598     99.427704    97.46389    100.61799
  91.844795    89.07568     85.46154     80.353355    83.33123
  77.65496     74.08349     71.532684    65.61448     63.76129
  62.616814    57.363068    53.209057    51.219147    46.52528
  44.144844    38.54285     35.99402     35.04957     32.859356
  28.355696    27.3699      24.73512     22.467264    14.970823
  13.307002     9.628714     6.665033     9.761633     8.864367
   6.419212     2.0463166    3.8079722    4.0102897    1.362178
   0.17777777   3.5147235    0.7445119    0.17777777   0.17777777
   1.2922539    0.17777777   0.5091947    0.17777777   2.7611163 ]",4338.483624,65.86716651,6.82585642,-0.037584,rolling9,6,0.307530202
1,"[  2.5503364    5.878233     5.673077     7.589219     8.331066
  11.66428     13.982971    15.807832    19.071793    21.834269
  24.240913    28.326096    32.38561     35.379322    39.115208
  43.08557     46.086708    50.8211      55.222897    61.89361
  66.16361     70.16898     73.09144     76.13581     80.72777
  84.8897      88.17951     90.842476    92.15456     96.37469
 100.299805   104.574455   105.39141    107.3139     110.54753
 110.62155    113.02531    115.09058    114.147964   114.020004
 113.55633    114.91657    117.420296   119.11677    118.48512
 117.93401    117.58629    117.99611    120.08586    121.11795
 119.76664    119.50349    118.44656    119.19421    119.13933
 119.930725   120.84835    117.92962    117.855736   119.253235
 120.18241    119.853065   120.08193    116.70369    114.15003
 112.566124   110.903404   109.3878     108.13669    103.47692
  99.04554     95.421715    93.12635     90.989655    92.24733
  85.2111      83.14397     80.908134    74.69584     75.73185
  72.458435    68.26249     68.20548     62.242493    62.7833
  60.16867     57.80529     51.811287    52.529324    45.196934
  46.71011     38.595104    36.183212    34.936134    33.600174
  28.195927    28.330738    27.43666     27.052841    16.782675
  15.332288    11.724914     9.05746     11.625634    10.549169
   8.238982     4.126748     6.224437     4.3717365    3.8553038
   1.1713539    2.8431208    0.9512708    0.19870596   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777]",704.2644177,26.53798066,7.362900186,-0.001872,rolling9,6,0.805810839
2,"[  0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   2.0552347    3.996225
   6.298474     9.343025    13.041646    16.309443    19.648832
  22.419886    25.423399    29.33056     33.371227    40.560246
  45.03748     48.761364    51.12255     53.975407    58.770218
  63.63078     67.0252      69.475784    70.32605     74.54305
  78.70338     83.76231     84.193535    86.27384     90.2895
  89.539406    92.360214    94.6512      93.45875     93.6982
  92.7952      94.425095    97.60897    100.24317     99.2165
  98.65588     99.52984    100.611855   103.27699    105.29823
 104.011734   104.82385    104.37914    106.36154    107.119736
 109.11372    110.804504   107.86047    108.859634   111.32753
 113.10995    113.58046    114.19738    110.91051    108.84626
 107.66393    106.24593    104.85226    104.2877      99.562485
  94.77784     91.49311     89.27169     87.10926     88.07876
  81.507454    80.062645    78.49425     71.75621     72.54648
  70.07346     66.04447     67.24703     61.28135     63.177452
  60.806507    59.15226     53.081978    54.7437      46.551178
  49.66589     40.772335    38.487747    37.23369     36.543705
  30.686153    31.379972    31.280159    31.549715    20.479368
  19.309597    15.795344    13.192295    15.396106    14.305869
  12.1556015    8.277501    10.6181555    7.5866876    7.90584
   4.8845515    5.6693892    4.0742917    3.170543     0.17777777
   0.95420545   0.17777777   0.17777777   0.17777777   0.17777777]",113.1332408,10.63641109,4.43962232,-0.09558,rolling9,6,0.975196656
3,"[  0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   1.3423405    3.3037248
   5.6293197    8.727943    12.53714     15.955858    19.429363
  22.169886    25.311714    29.161283    33.278313    40.58282
  45.16518     48.954872    51.257156    54.13557     58.912895
  63.893623    67.21507     69.65373     70.42062     74.60109
  78.73358     83.71968     83.99738     86.032036    89.94281
  89.06128     91.774345    93.916855    92.46322     92.62714
  91.46746     92.92526     95.94433     98.51465     97.23314
  96.472984    97.29754     98.21955    100.7378     102.71263
 101.223595   102.01282    101.40641    103.28507    103.91454
 105.90324    107.5453     104.411964   105.38227    107.843864
 109.56624    110.03563    110.65092    107.26509    105.14455
 103.897766   102.43304    100.97332    100.48771     95.72925
  90.92269     87.76379     85.584175    83.48909     84.53052
  78.08159     76.75606     75.35217     68.818214    69.62624
  67.3731      63.58001     64.98581     59.16322     61.340122
  59.25974     57.698936    52.026802    53.69345     45.675346
  48.95618     40.281834    38.092678    36.90505     36.449383
  30.657463    31.500303    31.575062    31.91134     20.962835
  19.985264    16.580996    14.032979    16.275457    15.268347
  13.189982     9.456698    11.923893     8.830184     9.227373
   6.147601     7.0632815    5.438163     4.628306     1.3029413
   2.3142657    0.17777777   0.17777777   0.17777777   0.17777777]",218.3558432,14.77686852,6.454748491,-0.055296,rolling9,6,0.944748419
4,"[  6.6987724   10.746102    11.072719    12.751537    14.070425
  17.512655    20.022675    22.293839    25.569204    28.346327
  30.554434    34.624996    38.616302    41.985146    45.522827
  49.202747    52.1831      56.61731     60.842827    67.32603
  71.19722     74.7597      77.46262     80.23754     84.37815
  88.101944    90.839264    92.88238     93.83549     97.49238
 100.84347    104.46753    104.90867    106.15729    108.463196
 108.21209    109.98866    111.39583    110.109886   109.167305
 108.32781    108.94017    110.59945    111.21917    110.12138
 108.96989    107.830765   107.49377    108.95194    109.39222
 107.952286   106.85954    105.208206   105.40489    104.96615
 105.3031     105.79129    102.57646    102.1256     103.19184
 104.20539    103.698296   103.84554    100.31427     97.478
  96.15191     94.52279     93.1878      92.010925    87.40908
  83.14812     80.05707     78.38342     76.543526    77.08637
  71.415085    69.10138     67.366135    62.511204    62.4515
  60.532593    56.819073    56.97752     51.685764    52.47624
  49.44393     48.483246    43.302383    44.027412    37.319702
  39.120304    32.00031     29.82816     28.552277    27.618523
  22.823175    23.218313    22.873354    22.780197    12.809044
  11.891384     8.676398     6.340659     9.442296     8.688303
   6.431476     2.844715     5.3046393    4.129963     3.8540509
   1.2765731    3.5065153    1.4774275    1.5588801    0.17777777
   1.0312166    0.17777777   0.17777777   0.17777777   0.17777777]",200.8332403,14.1715645,3.176477775,-0.17001432,rolling9,6,0.936737359
5,"[ 29.248283    35.977077    39.279583    42.678265    46.295544
  51.85922     55.91573     60.138397    63.68255     67.16952
  69.13852     73.93        77.708145    80.76237     83.62541
  87.69751     90.11723     94.67425     98.38678    103.19374
 105.41829    107.859436   110.608185   112.66099    115.47023
 116.98492    118.45106    119.27233    119.91838    122.33184
 124.222824   125.79435    126.21203    125.88857    125.8609
 125.897194   126.22984    126.635056   125.76768    123.02771
 122.585335   121.987434   121.91136    119.959404   119.32369
 117.73428    114.03231    112.19833    112.511536   111.2125
 110.30773    106.888596   104.21659    102.67525    101.330055
  99.808754    99.05549     96.13825     94.170975    93.68562
  94.304344    92.709656    92.42265     89.01227     85.54792
  84.539856    82.954445    82.03839     79.93334     75.76901
  72.36404     69.48347     68.664215    67.101204    66.65491
  62.277325    58.322655    56.076477    52.85484     51.816525
  49.686325    46.12421     44.47707     39.56974     38.310535
  33.38609     33.643658    28.449852    28.454609    22.858269
  22.938284    17.694939    15.50581     13.811897    11.968772
   8.514107     8.268627     7.462187     7.0584106    0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.6511191    2.426204     4.1707244 ]",204.5427121,14.30184296,8.857427332,-0.07462512,rolling9,6,0.953266689
6,"[ 56.441814    64.99296     70.34064     74.792206    80.07869
  86.524124    91.26883     96.134186    99.507996   102.90916
 104.67008    109.20779    112.31204    114.76798    116.31247
 119.42261    121.12301    124.759254   127.35107    130.21165
 130.57594    131.18893    133.2445     134.02219    135.25592
 134.7258     134.578      133.74158    133.33519    134.16797
 134.6306     134.30165    134.32603    132.22307    130.36612
 129.70569    128.73686    128.35631    127.73995    123.356384
 122.87771    121.20788    119.97969    116.44232    116.15583
 114.22225    108.788185   106.010284   105.76956    103.66404
 103.3137      98.64335     95.61802     93.322716    91.81553
  89.414825    88.06665     85.67117     83.05173     81.73722
  82.46954     80.31753     79.91083     76.8818      73.35012
  72.787025    71.43672     70.95525     68.147095    64.51724
  61.81925     59.12452     58.930855    57.461754    56.52246
  52.76123     47.401474    44.67654     41.377037    40.934185
  37.039646    33.954647    30.969906    25.890087    23.222702
  17.028872    18.13231     12.425127    12.840458     7.4205933
   6.8371625    2.8259244    0.81340235   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.75992113   3.056555     6.0460963    9.768851    12.607848  ]",335.582625,18.3189144,10.23265787,-0.051192,rolling9,6,0.953652673
7,"[ 73.45817     81.862015    86.99817     90.579384    95.97559
 101.1938     104.94188    108.48952    111.10275    113.3153
 114.70074    117.690956   119.592064   121.49441    121.40517
 122.404274   123.30231    125.28087    126.52676    128.19957
 127.37927    126.16922    127.15897    126.72159    127.02405
 125.659164   124.56224    122.41774    120.87496    120.60634
 120.4684     119.604385   119.305595   116.19288    114.12497
 112.26084    111.018974   110.5769     110.25119    105.287315
 104.69615    102.81604    101.79143     98.34264     98.19287
  96.304565    91.00303     88.45714     88.56941     86.95736
  87.07697     82.74459     80.305984    78.719025    77.96872
  76.064316    74.961205    73.1086      71.04403     69.99763
  71.455894    69.61173     69.384766    66.805626    63.76606
  63.763275    62.769455    62.72224     59.91007     56.61906
  54.03699     51.43718     51.51071     49.93866     48.623558
  45.130318    39.310123    36.62198     31.906216    32.521667
  27.198067    24.436222    21.57664     16.211367    13.675273
   7.024815     8.9570055    2.4118373    4.411        0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   2.4873154
   6.747922    10.498035    13.380618    18.24395     21.007452  ]",291.689244,17.07891226,11.82042175,-0.031248,rolling9,6,0.941228156
8,"[ 96.36882    104.20773    108.79066    111.6848     116.592125
 120.73248    123.66272    125.96327    127.74158    128.96686
 129.99504    131.85054    132.78928    134.20879    133.08011
 132.34575    132.79802    133.23375    133.37076    134.01506
 132.5161     130.08948    130.05426    128.71957    128.10367
 126.351105   124.49921    121.54747    119.08743    117.885056
 117.19408    115.8131     115.2064     111.39518    109.08964
 106.19013    104.555046   103.90352    103.441895    98.26163
  97.08349     94.87192     93.75493     90.6519      90.16112
  88.050064    82.94458     80.36236     80.249016    78.87022
  78.6513      74.738625    72.3537      70.81022     70.04615
  68.12869     66.72362     64.8948      62.90545     61.54412
  62.80046     60.782078    60.346035    57.768368    54.920807
  54.707596    53.461735    53.277325    50.321304    47.30399
  44.629337    41.94897     41.754097    40.008514    38.662983
  35.299534    29.366758    26.697308    19.867483    22.590513
  15.40385     13.553952    11.173711     5.6691523    3.5758963
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   2.084888
   4.1704617    8.51818      9.979465    14.751318    18.948364
  23.5946      28.25805     31.323706    36.92412     40.056126  ]",408.4074818,20.20909404,11.78724781,-0.09517608,rolling9,6,0.925792244
9,"[104.00149    110.64128    113.97942    115.226456   118.98228
 121.528786   123.11978    124.05909    124.93913    124.93807
 125.26139    125.757034   125.6567     126.80853    124.866295
 122.655945   122.59216    121.62965    121.022675   121.241936
 119.59882    116.45805    115.758736   113.944496   112.94652
 111.357635   109.319626   106.12564    103.35632    101.70687
 100.9304      99.54865     99.013885    95.20363     93.16942
  89.90836     88.42744     87.77777     87.39856     82.57942
  81.3524      79.23807     78.35907     75.67234     74.91371
  72.846016    68.44968     66.12281     65.97133     64.90271
  64.47528     61.08708     58.984074    57.668633    57.09095
  55.34708     53.796307    52.060246    50.35744     49.012913
  50.24912     48.48289     47.942127    45.548225    43.01906
  42.961834    41.807323    41.876324    39.344704    36.726154
  34.147152    31.813498    31.826298    30.37993     28.884235
  26.402254    21.063553    19.142435    12.337008    15.671527
   9.188048     8.097837     6.7945614    2.3660038    1.3424062
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   3.2237177    5.370122
   6.217823     6.917441    11.905331    16.557318    19.722586
  22.045574    26.128422    27.994797    32.812088    37.076736
  41.352406    46.077065    48.458656    53.90418     56.330853  ]",412.7753579,20.31687372,9.296978632,-0.15359616,rolling9,6,0.888604428
