id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0,"[  1.1443751   1.1443751   1.1443751   1.1443751   8.033726   10.505437
  13.998028   21.554585   25.820158   33.422096   43.142136   39.77709
  42.782944   60.203743   67.75954    69.859695   77.95645    84.92103
  85.325775   91.91954    98.89343    95.28492   110.41384   116.314415
 117.26695   106.333664  124.60399   115.0179    106.58466   115.727234
 120.92967   114.97537   117.10336   128.00252   113.76573   122.61077
 129.67767   120.17444   115.365036  129.39484   123.116295  122.517265
 130.27005   124.667114  115.05273   121.06743   115.303665  106.54925
 115.48397   119.16805   110.2775    125.01421   122.97529   111.97047
 113.7665    120.88438   108.69736   113.90007   119.330414  110.26036
 110.23085   108.623405  103.41815   105.22382    99.4906    105.87467
 102.471115  102.275475   98.45689    92.534134   94.512665   95.502174
  86.986984   87.24475    89.7915     77.25939    81.07066    82.89004
  72.83941    79.72403    83.881775   75.61235    75.26225    81.04473
  78.05604    78.232666   78.95286    77.52318    75.86596    76.68048
  70.73084    57.78444    61.23215    59.928806   52.39134    52.12629
  50.434002   46.832546   52.028088   48.96804    46.615772   38.46617
  36.74365    41.885017   35.68927    28.149767   35.506756   26.931044
  21.775156   29.677147   20.076689   16.520737   19.670902   15.702202
   8.952983   10.301577    9.604303    8.090794    1.1443751   1.8633378]",1927.608338,43.90453665,1.171870888,0.117918168,weighted13,3,0.425806638
1,"[  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   8.195118   17.147644   19.097845   28.155132   34.357754
  34.980045   39.583504   47.34489    40.70824    61.33827    66.62932
  64.515114   57.25293    78.94927    59.058865   53.476257   65.493
  64.48763    61.875866   66.854645   79.00671    67.61389    73.20499
  82.14531    75.043816   65.97297    81.60384    75.662254   76.74413
  84.545105   77.40428    66.50298    80.49356    70.48427    65.248924
  83.4034     84.398384   75.4581     96.542915   90.333336   81.00396
  93.75026    89.29756    82.77586    99.65773    97.604836   91.44345
  98.23701    94.90175    88.083176  100.83588    88.57892    94.797806
  91.44685    91.27778    88.37799    82.084526   86.82971    89.31994
  77.713585   78.91982    87.144806   73.12786    78.12625    84.09014
  70.034775   81.19192    92.13433    78.32969    81.08889    91.806175
  89.40228    90.21739    88.972435   92.12787    91.02749    99.08361
  92.7091     82.6214     85.48969    84.26415    80.61955    82.79
  77.52255    76.03089    82.21476    70.417984   70.54055    62.70475
  53.944595   63.053143   59.490753   42.726093   51.581375   41.875008
  34.697166   37.674168   29.72294    21.14358    19.434835   11.541358
   4.2399516   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751]",347.9699618,18.65395298,1.775168351,0.00094,weighted13,3,0.869766184
2,"[  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   9.264725   13.6341305
  15.023127   20.311829   27.042097   18.546135   44.178837   49.06028
  44.182125   39.763435   63.47346    37.484703   33.94069    48.21462
  43.298336   43.2823     50.412643   62.03312    52.527782   58.738937
  65.68582    60.39479    52.163883   65.91357    60.398594   65.14315
  69.502754   61.685944   54.43215    67.84843    55.535877   56.05457
  74.69376    73.452614   69.43872    89.62892    80.09006    76.536354
  91.25247    79.55588    78.690994   99.066444   90.336975   89.47921
  97.992195   90.141365   85.6771    101.49893    84.22783    91.71985
  87.10403    84.020615   83.99087    75.32515    78.67675    82.68637
  68.66603    68.67026    80.04793    64.32899    69.206276   77.14248
  60.825874   72.34894    85.39604    69.68142    71.634476   84.481415
  83.08473    79.56949    77.117035   85.07558    78.966576   89.308105
  85.76176    73.61261    75.72253    78.63746    74.5723     76.22254
  72.78926    70.61346    75.642296   63.79469    64.11763    55.16605
  46.941326   57.513554   53.170704   36.119534   45.663883   34.628086
  28.814705   30.561949   23.11575    13.727538   10.964975    1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751]",379.8993559,19.49100705,1.979696512,-0.04014193,weighted13,3,0.901707062
3,"[ 1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1496087  2.030607   1.1443751
  1.1443751 11.788703  18.361128  25.780493  32.69612   35.51076
 40.279854  43.75652   47.9709    43.94958   67.04034   67.64958
 66.95245   64.95871   82.45935   62.540268  63.73706   70.661545
 70.53398   73.572     75.21133   85.17926   80.92532   85.56282
 89.81625   86.094284  78.809555  88.33322   84.897865  90.37454
 89.03542   83.14871   78.319214  85.42196   73.3134    75.83876
 89.206665  84.27732   84.438934  99.09595   87.65643   87.622
 95.29729   83.694046  85.56586   97.93812   89.7434    92.080246
 93.88129   87.148895  85.55431   93.57373   78.34908   87.53024
 79.5995    74.905876  75.67601   64.25676   67.74683   72.29161
 58.166763  58.037483  68.642975  52.033154  56.19282   63.65238
 45.107132  54.254356  65.762596  49.62141   49.83667   64.483116
 58.758648  44.98152   47.865086  50.920544  38.666676  50.359673
 44.919765  29.734417  35.768276  35.90925   29.862038  34.326267
 34.124004  28.227146  36.493423  29.33639   25.35241   22.516558
 18.038084  22.658161  22.298855  12.897876  18.66539   11.448403
 11.195766  10.64284    6.2436814  4.358148   1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751]",515.2480482,22.69907593,1.889986642,-0.105496763,weighted13,3,0.869237062
4,"[ 19.213383   22.04237    15.260755   24.468561   25.46705    23.43458
  29.64621    29.781      29.048122   41.548878   41.72647    31.138588
  39.536526   48.044132   53.002163   63.28791    62.527195   64.59454
  73.06314    71.6161     73.37881    76.325615   91.21634    86.11618
  93.423836   91.664734   99.68353    90.68847    95.619286   90.80164
  99.898735  104.29843    97.089165  106.22022   107.29466   107.38813
 111.56719   108.73002   100.06891   106.79133   106.22292   109.384964
 103.81632   100.87896    95.21585    97.60256    87.35132    88.014
  97.29375    89.56464    90.80246   101.06838    89.83058    90.229065
  89.65174    82.63109    85.54245    87.20818    84.619385   88.112686
  80.77647    80.333244   80.493454   78.35044    69.21206    79.99402
  68.688934   65.27061    65.24737    52.50758    58.61819    62.98048
  50.335728   51.579586   59.98157    44.039364   47.185482   53.20405
  33.470425   39.940784   49.067673   33.621273   32.285923   48.303993
  36.54147    10.894534   20.912746   15.398035    1.1443751  10.423523
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751]",1106.934807,33.2706298,7.098021098,-0.046747722,weighted13,3,0.659683793
5,"[ 29.17198    36.098434   31.007658   37.63087    42.352783   41.63268
  44.4584     45.741936   46.99374    56.465046   57.072258   51.298706
  56.710663   61.826477   65.71187    77.37049    72.30393    73.8584
  82.59179    80.13442    79.66236    85.70733    93.87882    87.659004
  99.16713    93.90943    97.89464    97.15751    98.38739    88.763985
 105.17607   106.131874   96.02574   105.26877   104.251305  104.41896
 109.60153   105.561356   99.26387   105.39919   106.35522   108.82468
 102.21442   101.035355   97.54788    95.26842    89.132835   88.99893
  92.683235   87.6443     91.398636   96.69378    89.31281    92.288414
  83.00282    84.43076    87.40939    80.888985   83.37106    88.486046
  74.50747    76.93408    80.4112     70.629585   66.39536    78.66591
  67.02647    64.4072     65.0173     53.567165   57.3556     60.68597
  51.5245     52.538982   56.97613    43.82365    45.530468   47.598305
  32.48668    35.399967   38.468906   28.966974   24.152664   35.948685
  23.688437    1.1443751   1.7920394   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751]",1046.741294,32.3533815,7.491964669,-0.101718078,weighted13,3,0.672281631
6,"[ 25.14842    33.298294   30.618689   34.9833     43.063854   43.05806
  43.251328   46.466187   48.968697   56.26303    58.361477   56.792328
  59.194836   63.193703   66.39391    78.17953    71.97627    73.41412
  80.50512    79.45386    77.608826   84.031815   88.30816    83.32059
  95.89631    86.885475   90.3629     94.329475   89.991974   79.98789
 100.61827    97.13933    87.530655   96.89771    90.94552    93.39976
  99.54947    93.44263    90.63763    97.11714    98.27984   100.83178
  95.02825    94.21276    93.4863     87.63373    85.16309    84.69016
  83.43189    82.22712    88.1809     89.850006   86.4702     91.637634
  76.02972    85.09982    87.136734   75.84181    81.596054   87.48078
  70.04504    72.91805    79.24359    65.054665   63.931675   76.98149
  66.70475    64.55649    65.88175    56.85357    56.73859    58.944355
  53.42797    53.740204   54.450325   44.256084   45.23099    43.397972
  34.271313   34.617832   31.83426    28.849026   21.404821   27.833641
  17.442423    1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751]",770.9507092,27.76599916,6.392185683,-0.114928884,weighted13,3,0.773399847
7,"[21.257183  29.097866  27.975594  31.026918  40.243023  40.769833
 39.628223  43.53547   46.66754   52.581764  55.42807   55.64976
 56.290524  60.272438  63.46357   74.29666   67.93948   69.73413
 75.083115  74.80518   72.935356  78.589935  81.12235   77.44346
 89.60888   78.52993   82.73325   87.71651   80.05216   71.055435
 92.66888   86.62415   78.145996  87.4709    78.41497   82.19091
 89.09042   81.69433   80.408226  87.60907   88.536316  90.82932
 86.41981   85.43904   85.39681   79.021484  78.31549   77.06202
 74.429596  75.48305   81.45919   82.587524  81.39114   86.54541
 69.39364   82.10381   82.86578   70.83448   78.17892   83.36206
 65.69642   68.876236  75.654785  60.999516  61.237934  73.953384
 65.280876  63.872036  64.84719   58.050182  56.274666  57.5317
 54.27416   54.46128   53.305073  45.14531   46.074455  42.288197
 36.78503   36.598175  31.17008   31.630493  23.773424  27.196096
 18.632467   1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751]",584.3387953,24.17310066,5.419547967,-0.091376457,weighted13,3,0.871415702
8,"[20.212477  27.396889  27.188013  29.448282  38.767887  39.681637
 37.83807   41.805984  45.248104  50.258495  53.355396  54.24456
 53.823677  57.97494   61.33542   71.043076  64.71169   66.92128
 70.84394   70.84485   69.39017   74.069084  75.79121   73.09706
 84.43383   72.28512   77.34354   81.93326   72.45442   64.58784
 85.90451   78.49536   71.01281   80.09707   69.342834  73.83701
 81.08289   72.965294  72.28478   80.00057   80.65165   82.63647
 79.33614   78.12458   77.99742   72.031555  72.13521   70.163055
 67.467995  69.69208   75.059654  76.64357   76.53948   81.02741
 64.07895   78.37768   78.05981   66.588524  74.68069   78.87823
 61.98577   65.405815  71.78565   57.919296  58.732975  70.810776
 63.462685  62.692028  63.015026  57.919807  55.610992  56.154007
 54.292595  54.563877  52.52113   45.737286  46.81215   42.108322
 38.721535  38.731754  32.200787  34.46222   26.970194  28.798367
 21.712244   1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751]",542.5281778,23.29223428,4.755374733,-0.117811918,weighted13,3,0.928038692
9,"[25.791267  32.62286   32.3729    34.382317  43.999783  44.681057
 42.633675  46.786972  50.092556  54.70714   58.18393   59.34554
 58.410614  62.68608   65.76867   75.053696  69.16018   71.38589
 74.42041   74.79373   73.49694   77.401436  79.341064  76.8712
 87.198296  75.105484  80.4946    84.0341    74.45891   67.112366
 87.59089   79.94843   72.69719   80.81654   69.44732   74.55569
 80.9356    72.29451   72.22538   79.19813   79.39403   81.49666
 77.875114  76.06845   76.267494  69.47554   69.3284    67.523575
 64.01097   65.5522    71.2594    72.76854   72.11919   76.51424
 59.423145  73.624626  73.07361   61.368835  69.028786  73.13063
 56.53801   59.39309   65.99027   51.98307   52.803562  64.77648
 57.760742  56.886555  57.166122  52.428673  49.805004  50.457275
 48.974346  49.2031    47.22462   40.7208    42.198334  37.64137
 34.87113   35.09111   28.499334  31.437607  24.375765  26.085915
 19.634192   1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751]",549.2149654,23.43533583,4.283742017,-0.125155096,weighted13,3,0.932869462
