id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0,  3.3748505  10.998212   24.58412    38.63066    35.67845    41.74448  44.93144    53.03827    62.484875   64.40204    65.93684    64.97359  70.24696    76.30003    83.40503    85.50486    84.30035    90.46751  96.77493   103.331314  105.585625  112.01345   102.202614  116.64046 112.6222    115.27039   118.01046   127.42521   117.206085  124.08626 121.80279   131.31793   120.11189   134.81981   121.60588   129.31279 130.44788   139.24799   123.58197   131.82771   128.98157   127.34177 143.08696   142.09297   125.12673   135.00374   131.25218   116.285645 139.24846   144.35304   123.03117   133.98003   135.09251   117.98396 141.67262   139.18643   119.47009   130.79218   136.41223   126.83036 136.23631   138.06683   118.29002   120.7854    126.52524   133.55867 125.12574   118.96636   118.67976   110.39495   117.35858   120.82234 111.31434   110.4495    117.06415    95.53226    95.10085    90.48321  95.077034   98.87821   101.20716    82.8211     83.497185   76.577934  76.115135   85.40685    92.43299    73.64811    73.128716   73.50901  61.837463   62.8722     62.876293   49.725967   49.22703    42.702923  38.02591    38.71888    57.983444   38.796402   36.417545   23.32607  23.072489   29.472643   41.898506   27.855793   29.646515   17.345583  11.039293   17.439802   31.150272   12.93653    17.736227   18.54915   6.340328    4.120381   22.132532   18.919113   19.841679   16.151037 ,2151.619536,46.38555309,0.563587149,weighted3,6,0.582260367,-0.050595711
1,0.00000000e+00 0.00000000e+00 1.16396484e+01 1.47298231e+01 7.41366243e+00 2.07402802e+01 2.04683456e+01 2.52189579e+01 3.54017792e+01 3.21242752e+01 2.75831203e+01 3.40867195e+01 4.41451950e+01 4.45469437e+01 4.45035248e+01 4.15762939e+01 4.33064232e+01 5.10529518e+01 6.04227333e+01 6.03793755e+01 5.61131821e+01 6.13825798e+01 5.68159370e+01 7.07175751e+01 7.20549622e+01 6.91063461e+01 6.93414764e+01 7.59215317e+01 7.35705109e+01 7.74307556e+01 8.05987320e+01 8.90458679e+01 7.41952972e+01 8.41858292e+01 7.91981125e+01 8.63290253e+01 9.32983398e+01 9.82431030e+01 8.07223969e+01 9.02347183e+01 9.31896896e+01 9.38359451e+01 1.12655190e+02 1.13577057e+02 9.30149765e+01 1.04072884e+02 1.05721321e+02 9.57558289e+01 1.13081367e+02 1.18723732e+02 1.00370255e+02 1.08566833e+02 1.12950317e+02 1.00905266e+02 1.22639915e+02 1.17462303e+02 1.00323967e+02 1.08929893e+02 1.12833633e+02 1.07038681e+02 1.17615051e+02 1.18796249e+02 9.94805832e+01 1.01466286e+02 1.08246864e+02 1.14466827e+02 1.06674187e+02 1.00719658e+02 9.70609131e+01 9.10818863e+01 9.59582443e+01 9.78353500e+01 9.24433365e+01 9.64613266e+01 1.00117020e+02 7.96256332e+01 7.43599243e+01 7.38147659e+01 7.51964722e+01 8.14062042e+01 8.23727493e+01 5.97880020e+01 6.24830513e+01 5.29991837e+01 5.67842827e+01 6.28733559e+01 6.96129379e+01 4.65166588e+01 5.07623787e+01 5.48648186e+01 4.44127502e+01 4.11084785e+01 4.42464409e+01 2.73668270e+01 3.01424637e+01 2.51983719e+01 2.03650322e+01 1.95590591e+01 3.69297104e+01 1.58430662e+01 1.69028931e+01 1.01142368e+01 9.71672058e+00 1.30083046e+01 2.29578552e+01 6.50769234e+00 9.19701481e+00 5.51700401e+00 2.21873140e+00 6.10393190e+00 1.75774803e+01 0.00000000e+00 0.00000000e+00 7.05434203e-01 0.00000000e+00 0.00000000e+00 5.68282557e+00 0.00000000e+00 6.42764419e-02 0.00000000e+00,681.875445,26.11274488,2.85E+15,weighted3,6,0.808612269,-0.033134367
2,  0.          0.          9.92318    10.618326    2.7199612  17.327192  16.108725   19.670004   27.556625   24.418009   18.026922   26.416245  36.778095   36.84796    34.29364    30.991545   32.51979    40.527657  50.22054    50.01603    44.283455   49.20664    46.8704     59.44647  62.672462   59.904682   59.764397   64.59666    65.77429    68.41661  73.319786   81.512955   67.55386    75.09508    73.87229    80.95156  88.30515    91.54433    76.240974   84.84925    89.755226   92.02288 109.19074   109.522224   90.39694   100.90013   103.61693    97.23404 110.03758   114.482315   99.12014   105.17475   109.39287   100.193565 118.647675  112.66679    97.708466  104.25934   105.99537   101.22062 111.54871   112.59108    94.479126   95.01342   100.52824   105.21683  98.475845   93.929794   88.65366    82.63182    85.91238    86.969894  83.77076    89.19405    91.01157    71.598915   64.70893    65.75676  66.122986   73.096214   72.37245    49.915802   53.42149    44.33785  48.65293    53.699635   59.830402   37.042725   43.15378    48.340424  37.972973   34.10613    38.16662    21.89694    25.68857    22.343544  16.874199   16.505373   32.234924   12.772423   14.685067   10.738225  10.107933   11.937825   21.4855      6.317128    8.93246     8.320634   5.848674    8.843982   19.307589    0.          1.0831345   2.5253325   0.          0.          7.432824    0.5499593   1.4176912   0.       ,575.9017262,23.99795254,1.19E+15,weighted3,6,0.85381676,-0.017792616
3,  6.46676      6.253398    13.519281    14.058706     7.4130144  22.145199    20.925756    24.160507    29.037785    27.642904  21.909306    30.742548    40.39158     41.35122     37.082962  35.29325     36.63343     44.211304    54.0451      54.312702  48.535267    54.046303    53.319084    63.898262    68.22566  66.34523     66.089455    69.991425    73.33161     74.97178  80.74926     87.92471     75.89759     81.71812     82.44671  89.08931     95.49019     97.332466    85.17154     91.7433  96.76745     99.97382    113.902336   113.55464     97.19621 105.78335    107.7616     104.314865   112.594475   115.92988 103.95804    106.819855   109.69289    102.79392    117.67569 112.028595    99.65861    103.01456    102.91212     98.59409 107.91769    109.29895     93.47666     91.59392     95.3172  98.52566     92.59304     89.399734    84.44902     76.933136  78.79156     79.68365     77.68373     83.21458     84.774956  65.897       58.514423    60.206093    58.883183    66.11416  64.88629     43.89277     46.876617    38.600914    42.231777  46.020115    52.602055    31.981148    38.0229      43.335552  32.690716    28.791983    32.72744     19.05851     22.046047  19.790443    14.547233    14.822868    27.84386     12.384397  13.523121    10.853823    10.535964    11.7267065   20.384113   8.629296    10.612998    10.436406     9.002253    11.94882  21.366838     4.491403     4.906094     6.6378946    4.005624   2.86781     11.266274     6.763614     7.191067     0.56979066,612.3914269,24.74654374,0.632588091,weighted3,6,0.836933538,-0.067023223
4, 22.281923   25.970016   30.011093   27.969461   24.237064   40.379257  39.819157   43.59056    45.40289    44.824375   42.917953   53.55536  61.899803   62.838932   55.284336   55.9297     59.15723    66.31062  76.0347     72.73765    67.19452    74.89773    76.95188    83.28248  88.68849    83.74959    83.20448    87.44717    92.322784   91.79395  99.116196  101.780014   91.02872    95.139435   96.32438   100.83161 107.58462   107.171936   97.61321   100.50112   103.92748   106.555275 115.94587   118.242096  104.47546   107.54812   107.72935   107.32612 108.856995  113.32941   106.18075   101.67664   103.558975  100.28112 109.33066   105.648094   97.72662    94.095894   93.45454    91.25454  97.19767    98.82886    88.67945    82.59216    84.397194   87.06663  80.819176   77.81357    76.92596    67.25469    66.95746    68.709015  67.77792    72.7387     77.24304    58.59995    49.933693   52.018795  47.551483   55.49766    56.212654   37.968067   38.17121    30.056385  33.2498     33.759396   42.49547    26.473377   30.510712   35.096107  24.581898   19.165127   21.529116   13.380596   12.812069   10.430954   8.110629    8.003215   13.986499    6.957622    5.8935423   3.1993139   5.0280113   5.1035557   9.627124    4.851259    5.7687006   4.226757   6.469347    9.775936   16.119001    5.30972     4.3360944   6.845093   6.820254    7.3103337  11.542382   11.7660055  13.467371    7.350682 ,538.6192129,23.20817125,0.451210587,weighted3,6,0.853081762,-0.063342118
5, 56.97871     65.36392     66.735344    60.742702    60.902355  78.55398     78.98621     82.23544     80.69695     81.072014  83.92989     96.349464   102.61052    101.77523     89.38104  93.023636    97.56296    104.24469    112.73173    103.02032  97.28291    107.66932    111.60554    112.1519     118.219505 108.01265    106.92384    110.83633    115.640076   112.05439 120.822075   118.102264   107.84359    108.506386   108.61506 110.47458    118.16863    115.87721    108.8834     105.37484 106.276184   108.09191    111.86373    119.92831    109.16347 103.13138    101.58173    105.1375      97.73279    104.9441 104.51262     88.99458     91.316826    93.15337     93.88243  92.47954     91.561966    78.2196      77.891205    79.42215  79.7969      80.796326    79.04549     67.62237     67.50379  70.11799     61.672264    57.941483    62.65525     52.146263  48.593624    50.95005     50.996056    54.84623     62.939568  45.97629     33.71013     35.14337     25.23677     35.768837  39.523605    26.875391    20.21493     10.511088    14.724869  10.489313    22.928684    14.408649    14.22659     16.939835   8.516291     0.88249695   0.6620441    0.76106685   0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.           4.0072894    8.096421  11.298081     8.019966     6.6792603   12.17217     15.29271  18.015902    17.183949    24.433985    28.974825    25.14101   ,499.2562987,22.34404392,4.83E+15,weighted3,6,0.871110424,-0.056957093
6, 85.92145    96.581345   95.26759    86.35847    90.429214  107.55301 108.927986  110.35205   104.77612   106.5921    112.8268    124.39906 129.38058   126.63955   110.218636  115.95542   120.29162   125.22175 132.73204   118.2432    112.02157   123.42473   127.51899   123.261795 129.39265   116.96834   114.76932   117.23093   121.257195  115.08434 123.8285    118.36042   108.999374  106.101006  104.950005  105.42221 112.26668   109.734245  106.04158    95.663315   94.44391    96.47417  95.42789   107.74038   101.373405   87.82022    84.77668    91.948  78.27126    87.46977    93.30075    69.285645   72.68539    79.20995  73.97118    74.31363    80.21959    60.15828    60.06999    64.96361  61.44807    62.246037   67.80815    52.454533   51.419937   54.02344  44.115723   40.047867   48.49822    38.716766   33.199707   36.105938  37.066433   39.45129    48.14758    34.78002    19.622807   20.28049   5.9296165  18.52381    23.13405    17.611975    4.124617    0.   0.          0.          4.87568     4.1298227   0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.5665881   0.   6.7870607  12.241936   12.968706   15.097058   14.262772   23.054066  27.788704   32.63868    27.90586    40.63441    47.56546    46.758503 ,593.6986361,24.36593187,1.02E+16,weighted3,6,0.8602293,-0.058176716
7,107.89312    112.416664   109.62356    103.685555   107.9089 122.80135    122.73429    120.054535   112.26525    117.8301 120.777756   127.97843    133.26724    130.30656    112.86663 118.170815   117.76009    120.15391    128.10553    116.73874 109.213554   117.2009     116.93745    113.95149    119.28469 113.20564    109.71865    106.06585    109.29746    103.28101 108.85119    108.32732    100.55095     92.37071     91.20191  93.68729     95.562065    94.224785    93.935425    78.97858  77.41439     82.12162     79.0269      87.698654    85.19227  71.6969      67.886475    76.1891      61.952736    68.34896  77.063644    53.028484    56.037766    62.08525     58.937916  57.84708     66.06295     47.067577    45.021122    47.917736  47.16116     49.14352     54.345005    39.248795    38.922325  39.218018    29.923334    27.22556     33.219715    25.402813  20.856585    22.160366    23.572306    25.74829     30.050493  20.242376     5.9671907    5.0512757    0.           0.53193814   4.381648     3.9183886    0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.8046819    6.607438     1.4425514  16.875156    21.490448    18.75848     26.785496    34.329685  37.63026     37.567326    38.63606     50.453266    52.377895  57.93252     53.744072    68.04075     75.34724     76.60903   ,608.0447726,24.65856388,8.48E+15,weighted3,6,0.851354264,-0.031583591
8,117.568214  119.72079   115.01617   110.36027   115.5106    127.425 126.927666  122.35599   111.65431   119.07642   120.81595   124.34409 128.94308   126.91993   109.56871   114.39851   111.06177   111.27606 118.545975  109.618576  102.36065   107.60371   105.00281   101.79808 105.71758   104.36743   100.489136   93.37822    95.78657    89.777466  92.50162    94.52153    88.96035    78.413826   76.78501    80.42174  78.082245   77.91903    80.98451    62.709972   60.394135   66.55157  61.084064   67.406456   69.12236    55.375412   50.187645   59.19071  45.06588    49.839325   60.555935   36.97256    39.624664   45.90895  43.47433    42.35941    52.18046    34.878258   31.677423   33.70341  34.422573   37.431427   43.393642   28.733871   28.730145   27.881622  20.15205    18.670195   23.508247   17.482796   14.066343   15.23878  17.6373     19.008795   20.011154   13.853908    1.0365098   0.   0.          0.          0.          1.5299635   0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          7.896587    0.         11.580599    9.411625   10.610143  15.813456   24.551811   19.068665   36.695312   42.462166   39.37559  45.741795   54.80056    57.93613    57.816193   59.502792   72.839096  72.95851    79.12506    74.42636    89.57976    96.49551    99.44796  ,615.8683533,24.81669505,7.76E+15,weighted3,6,0.839852754,-0.085274778
9,127.95606   126.453575  121.60663   116.94163   120.40064   131.45613 129.09627   123.24833   111.82742   119.30068   117.99519   120.471954 124.352554  122.97826   105.70009   108.7457    103.13426   102.50438 108.79777   102.09511    94.47139    96.7755     92.69564    90.205414  93.12691    94.55134    90.94855    80.25598    82.79911    77.09854  77.863434   81.87825    77.59708    64.5155     63.548115   67.912735  63.316154   63.048935   67.696365   48.638798   46.520004   53.74217  47.17153    51.03606    54.430073   42.326176   36.66717    45.79155  31.51716    34.78201    46.47977    24.650898   26.847876   32.758823  31.448053   29.824263   39.76707    24.922346   20.608133   21.267212  24.052198   27.895922   33.24414    20.147562   20.732323   18.580164  12.652428   12.288609   15.781494   11.807248    9.321707    9.924332  13.480246   15.39997    14.252649   10.696752    0.          0.   0.          0.          0.          2.1396418   0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          2.1337507   0.          0.  14.370144   24.17145    10.75872    28.501738   26.89285    30.273441  34.90243    45.335915   40.292465   57.48598    63.864666   61.893894  67.11962    76.768425   79.73752    78.311226   79.83516    93.9083  93.08895    99.23818    93.713165  107.92012   114.06126   117.48645  ,553.1420204,23.5189715,6.56E+15,weighted3,6,0.85843757,-0.094165372
