id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0, 29.206863    31.579123    31.901339    29.529594    39.489815  42.528534    43.673153    50.61967     48.11075     58.03227  61.627796    73.85396     79.075226    88.038765    91.961815  90.23575     96.505066   108.58985    117.02175    117.70123 127.636024   132.60606    137.98645    140.13158    136.69003 155.07272    143.43594    152.93163    156.45264    160.30832 168.01253    168.41637    169.71257    175.45363    177.79301 174.02046    175.52658    179.2243     178.36725    182.8688 179.28111    178.61209    186.05174    185.64009    184.1608 184.65775    182.93115    180.65236    181.85529    182.079 177.20963    174.22932    173.18813    174.38022    168.14398 167.75136    165.07744    161.26222    156.965      161.51054 150.506      147.38892    142.64308    140.7134     136.51727 135.38783    130.0982     124.837654   127.07062    124.61064 119.29714    119.665855   112.6056     109.91968    106.531395 103.27723     97.569244    95.58806     89.47036     85.14139  82.28275     79.27292     74.60188     67.49571     62.54119  61.60467     59.795563    55.248947    62.768757    48.98273  52.163174    47.38736     44.22737     40.96155     39.867413  35.625835    37.756683    35.9875      28.546661    25.533062  25.083645    22.335352    24.301865    18.074507    13.961947  13.979945    16.521578    13.623938     9.072496     5.474534  -0.43548244   6.3547864    8.405856     9.332245     7.4299364   7.6875663    7.850501    12.087301    13.464834    14.245272  ,4002.933793,63.26874262,1.069259713,0.030090368,raw,13,0.4748315368027521
1, 11.2062435  12.643777   12.906274   10.897809   20.383049   24.199503  25.86407    32.374805   28.716768   39.638958   41.760693   54.291203  59.430298   67.625175   72.1253     70.921196   77.19957    86.73516  94.68992    95.77426   104.41942   109.35613   114.647865  115.607765 112.32321   128.62141   118.077675  126.08335   129.12375   132.78796 138.74977   140.57591   139.82733   143.9046    146.14822   142.49458 143.87527   145.87093   145.9488    149.01862   146.47408   145.64426 151.93843   150.49277   150.41624   150.37723   148.95654   146.5702 147.63965   148.83653   143.8934    141.72334   141.14702   141.85574 137.02882   136.4687    134.6692    132.03786   128.43376   132.64168 123.678215  121.040924  117.209114  115.863754  112.628624  112.003 108.595856  104.5722    107.36591   104.95829   101.01669   102.69258  96.83225    95.34689    92.86751    90.03639    85.25219    83.59292  77.967445   74.58017    73.025444   70.58333    65.94805    59.89412  55.723373   55.651524   53.491013   49.15359    57.300453   43.893093  46.665745   42.077816   39.254272   36.259804   35.503674   31.145197  33.40054    31.27385    24.385706   21.752884   20.422129   17.690926  18.844673   13.166036    9.385466    9.868865   10.965332    8.787502   5.021934    1.9433142  -1.          2.0852726   3.8950255   4.4251595   3.1326954   2.9703746   2.1026177   5.851689    7.621765    7.999295 ,693.4191062,26.33285222,0.569223716,-0.034678959,raw,13,0.8374355474292915
2, 35.60571    38.57864    40.659588   42.487553   49.33486    53.050526  55.314053   60.684494   61.78299    68.68571    71.76603    80.91552  84.920944   92.63213    95.526      94.78896    99.0627    106.74648 113.5326    113.58901   119.12186   122.77724   125.74499   126.77873 122.22302   133.75665   125.03486   128.91946   130.04233   131.50389 134.53691   135.4526    133.79462   135.03899   134.97089   131.09253 130.83194   131.72585   130.72212   129.75992   127.73774   125.8707 128.33742   124.91791   124.93882   123.316086  122.255646  118.722336 118.95149   117.90105   113.12873   110.71495   108.161736  108.23312 103.66713   101.7847     99.7123     96.92503    93.25279    94.70716  87.82838    85.50935    81.72821    81.03176    77.89891    77.69936  74.75367    71.34913    73.19158    69.71273    68.63779    68.386566  65.41907    64.54767    63.06062    60.698215   56.271732   54.9524  50.946056   48.235474   45.88934    44.52124    40.733437   36.193848  34.165432   34.204514   31.019463   27.755035   32.635666   25.900564  27.3341     24.859688   23.822735   21.634672   21.92923    21.667402  22.157864   21.872221   17.807774   15.882046   15.546528   14.091743  15.295005   12.80891    10.815004   11.768643   13.812813   11.759438  10.752983   10.132679    6.4169564  12.264104   15.667689   16.765472  15.976252   18.304384   18.988844   22.726131   25.91995    26.416092 ,248.4480519,15.76223499,0.205197668,-0.030453558,raw,13,0.8548099088347266
3, 83.33279    87.13067    91.11326    97.30992    99.71944   102.54071 104.92079   107.687126  112.61945   114.51325   117.48947   121.70373 124.305374  128.29617   129.05516   129.80397   131.13316   134.42783 138.07849   137.53409   137.94482   139.30124   138.27113   139.16132 134.66415   136.63322   133.41504   131.67847   130.21968   129.42648 127.471924  126.40569   125.765884  122.61229   120.161316  115.77155 114.434814  113.69995   111.29061   106.35848   104.365944  101.46318  98.0385     94.1928     93.39719    90.15875    89.63872    84.6931  83.27563    79.87542    75.99377    74.04624    69.06625    67.31052  64.20334    59.89376    57.501587   54.89884    51.256653   48.407673  45.19768    42.671642   39.559612   38.93464    36.622066   35.80055  33.843925   31.800787   31.359173   27.37952    28.875904   26.301495  27.025034   26.797462   26.593092   24.908459   21.638172   20.52891  18.360647   16.814243   14.378703   13.829557   11.463197    9.817162  10.741003   11.373053    6.81444     5.7969427   4.212022    9.943574   9.117659   10.480245   12.208216   11.801826   13.483228   18.716938  17.315493   19.436905   20.051481   20.067228   20.72117    21.726475  23.312687   25.250906   26.138994   28.221657   30.632208   30.309692  32.943996   35.780025   37.172886   41.005478   45.84856    47.86962  48.847466   53.920273   56.08398    60.09518    64.68802    65.7276   ,313.0540233,17.69333274,0.253785869,-0.063295127,raw,13,0.8511403269971912
4, 93.1821    95.2344    97.60087  101.9246   102.683556 102.874664 103.31962  103.83978  105.98263  105.43221  105.875145 108.02621 108.16523  107.507935 107.24319  110.246506 109.262215 109.22777 108.26584  108.59681  107.31968  106.78586  102.773895 103.77934 102.986206  95.70083   99.68564   96.63812   94.59254   94.334694  89.449745  84.53551   88.25423   84.25266   81.936035  76.1374  74.952736  74.69528   72.75897   68.78422   66.202545  63.100185  57.132397  56.38018   53.81048   52.475677  53.0791    48.777554  46.931564  43.06618   42.70403   41.934235  37.446198  36.410713  35.70669   31.249357  29.207592  28.424528  26.109743  22.903301  21.62372   19.372707  17.865866  17.299356  16.876781  16.087534  15.441591  15.538273  14.620535  13.542845  15.162396  13.112435  15.330233  16.907236  18.07923   17.944122  16.463009  15.564108  16.128788  16.095264  15.568041  16.011538  16.974861  16.391417  19.04194   19.420425  18.986393  20.098467  19.867144  26.206024  26.717329  28.906866  32.70887   34.713417  36.313015  42.108166  41.60537   45.090405  48.422462  48.844547  49.61213   51.422546  51.99892   55.525177  58.015335  59.21513   62.54374   63.796597  66.72291   69.97397   74.10715   76.12202   79.60924   81.459366  82.894875  86.272194  88.42882   91.293076  93.36941   94.86284 ,182.7011614,13.51669935,0.238593449,-0.117349827,raw,13,0.859292062464269
5, 96.69873   97.06682   97.389435  98.90314   99.207794  97.19683  95.66112   94.77048   94.02575   92.07257   90.64505   91.97308  90.24279   86.940186  85.871956  89.30766   86.94914   85.52836  81.616745  82.154976  80.67545   78.860535  73.42636   74.18868  75.86772   64.22436   71.58467   68.83337   66.77318   67.07809  61.23361   53.771084  59.471355  56.514763  54.16817   47.823574  46.68061   47.295704  45.95088   43.485584  40.424324  37.457043  31.533218  32.725697  29.359982  29.749176  30.769375  27.47897  26.043604  22.732878  24.639595  24.50215   21.501041  21.69571  22.268383  18.523079  16.948378  17.616737  16.370028  14.357058  13.542572  11.759966  11.398844  11.13991   12.117406  11.854645  12.085188  13.64915   13.146274  14.983941  15.938075  15.14997  17.653158  20.562412  22.756897  23.862928  23.74431   23.256618  25.720545  26.785414  28.10126   29.565062  32.915985  32.701893  36.023582  36.222668  39.753883  42.254078  45.498566  48.775875  51.444527  53.443954  58.27097   61.901764  63.3727    68.34481  69.448265  73.52187   77.762276  78.12263   79.0538    80.94211  80.96535   84.44395   87.34782   87.627304  91.77271   93.80179  95.861404  98.36302  103.39733  104.45774  106.4852   107.97253 109.11745  110.37887  112.146454 113.97899  113.59651  115.010864,230.2646562,15.17447384,0.250090807,-0.108194452,raw,13,0.9057326297713333
6,108.61823   107.56154   105.97585   103.53908   105.08577   101.1902  97.08471    95.78529    91.96672    89.42612    86.24802    87.77873  84.60601    80.32237    77.83534    79.352036   76.24295    75.0174  69.90171    69.20915    68.22963    65.09446    59.011364   58.778706  60.912487   49.567993   55.622757   54.03995    51.71783    51.65686  46.424095   37.19249    41.58866    41.469215   37.751896   31.167881  29.887077   31.202765   29.92472    28.729702   24.906225   21.78934  18.326046   19.863317   16.001596   17.18991    17.338335   15.135147  14.630311   12.409565   15.208467   15.595756   14.032633   15.7437315  16.561388   13.32946    12.303593   13.79912    12.941003   13.360426  11.6546335  10.432641   10.939847   11.180354   13.566191   13.677345  14.332177   16.979675   17.520805   22.232618   22.38056    23.481365  25.27079    29.266268   32.446323   34.53366    35.392284   36.158062  39.74023    42.02621    45.27982    47.724865   53.066486   53.062057  56.555973   57.32464    64.25835    67.8484     74.97373    74.57052  80.152466   82.00367    87.488495   92.36711    94.21222    97.939644 101.267815  105.90297   109.939026  110.43947   111.952774  113.73556 114.07984   116.74074   119.261154  119.152855  124.417595  126.75522 127.3514    128.54736   132.66536   134.33328   135.36868   136.51239 136.9396    136.25685   137.27068   138.82637   136.52612   137.45757  ,145.3030049,12.05416961,0.208920758,-0.089773439,raw,13,0.9133331753127738
7, 84.66475     82.03854     79.22861     75.61836     76.279526  72.66987     68.50853     66.60369     61.372135    60.128616  56.10074     57.62201     54.568783    51.060383    48.661907  47.970406    45.1455      43.17281     39.286987    37.68188  36.182888    33.359318    28.900948    27.444307    28.93473  21.014318    24.700916    23.503475    21.694141    20.948227  16.888348    11.254171     9.478149    12.020716     6.965075   3.9129589    3.2484186    4.30901      5.1167364    3.0182593   2.3648932    0.9386193    0.8017751    0.25040072   0.9202598   2.093762     2.750776     2.6373458    4.365299     5.539415   8.201711     9.8063965   11.055374    14.017414    15.637649  15.307569    16.332455    19.160166    20.130299    22.58515  22.657053    23.207167    24.835903    26.886677    30.303385  32.633904    35.26381     38.88283     41.366356    46.238045  47.713654    50.69148     53.070652    57.766415    61.429356  63.91896     65.419975    67.08699     70.55742     73.12833  77.54893     80.7182      85.53254     85.888664    88.7349  89.86882     96.64012     99.686676   107.68494    104.77274 109.60833    110.40952    114.17584    117.645386   118.99969 120.538124   124.0107     126.95643    129.11104    128.3093 128.43295    128.7213     127.85583    128.95338    129.8187 128.94598    131.40742    132.39124    131.59645    131.11392 132.3926     133.40976    133.16461    132.82841    131.82626 129.82124    128.89905    128.76787    126.05107    124.7593    ,260.3535473,16.13547481,1.06495145,-0.103137428,raw,13,0.8948539277814981
8, 35.612183   29.94188    27.120758   24.672926   22.29724    21.546864  19.777597   17.587309    7.8595276  13.046749    6.694847    9.298015   9.143391    4.908636    5.984459    5.333923    4.4869204  -1.  -1.         -1.         -1.         -1.         -1.         -1.  -1.         -1.         -1.         -1.         -1.         -1.  -1.         -1.         -1.         -1.         -1.         -1.  -1.         -1.         -1.         -1.         -1.         -1.  -1.         -1.          2.148363    3.6970255   6.092366    7.9892035  10.870168   17.148508   19.522362   23.261908   27.874943   28.832481  32.70656    35.842995   39.013103   43.20795    47.15598    49.0502  53.68187    55.242813   58.123653   60.884525   64.80451    68.068405  73.71052    77.665855   80.938095   82.53753    85.172104   90.33532  92.98869    96.985725   99.31901   100.98821   103.149895  103.87515 104.54465   106.08433   111.38709   112.84711   113.5987    115.48092 116.35796   117.63846   119.85637   121.33319   123.670135  124.52032 123.25752   123.827675  123.73083   124.17783   124.21181   121.86088 124.12084   123.06896   122.8181    120.93162   117.54936   115.997406 113.26418   112.692665  111.750046  110.47004   105.80124   106.674355 105.19348   103.48471   101.86697   100.53237    98.39751    96.36618  96.07643    93.036964   89.19512    86.84278    85.11296    81.86087  ,301.0258562,17.35009672,2.943771926,-0.10003246,raw,13,0.9090423825323837
9, 13.471904    8.082928    6.193352    5.686155    1.7115442   1.4760152   1.5458992   0.2777099  -1.         -1.         -1.         -1.  -1.         -1.         -1.         -1.         -1.         -1.  -1.         -1.         -1.         -1.         -1.         -1.   1.71607    -1.          4.947776    4.9712324   6.869859   12.070204   8.226419    9.427069   14.115212   13.401995   17.998533   17.384579  22.576937   22.63363    28.42989    29.9479     33.776814   36.569187  34.07655    39.439266   43.611042   48.584988   53.470913   55.093456  56.137627   60.06134    65.452415   68.30944    72.18288    71.63739  75.59325    79.78593    80.9187     84.08253    88.91428    87.940956  92.32384    92.44577    94.08023    94.693886   96.43392    98.20854 101.84582   103.66143   104.834274  103.48476   104.47505   107.25342 108.683525  110.633125  110.06498   110.70136   111.6924    109.08458 108.77918   107.68207   110.24538   109.05076   108.22576   108.723305 108.10649   105.994316  107.99238   108.523285  107.079384  108.86309 104.00974   104.059235  102.56509   102.29519   100.24546    96.45091  96.94632    95.21278    95.136856   91.83521    87.991455   85.86555  82.09635    81.95715    81.709015   78.30479    73.89871    74.87449  73.543465   72.05935    74.0179     69.482506   66.70739    65.13932  65.904724   63.026623   61.33083    57.88699    55.163136   54.021103 ,394.0376621,19.85038191,2.451393932,-0.080490415,raw,13,0.8914328132203923
