id,predict_data,mse,rmse,mape,shap,smooth,skip
0,"[1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01
 1.38461530e-01 1.38461530e-01 6.35164785e+00 1.80332680e+01
 1.78346786e+01 1.70777569e+01 2.58929424e+01 3.35722466e+01
 4.19866257e+01 5.19417801e+01 5.56249466e+01 5.50071793e+01
 5.70705490e+01 7.57083359e+01 6.99263611e+01 8.41480408e+01
 9.56261673e+01 8.74775696e+01 1.00574684e+02 1.14753578e+02
 1.13003136e+02 1.21519524e+02 1.25028061e+02 1.20820312e+02
 1.30904785e+02 1.31752487e+02 1.24883339e+02 1.30438354e+02
 1.36695099e+02 1.39580688e+02 1.35178940e+02 1.39536804e+02
 1.47042526e+02 1.44302750e+02 1.46331696e+02 1.49507080e+02
 1.44213074e+02 1.42470367e+02 1.31516724e+02 1.28532318e+02
 1.28138092e+02 1.29107132e+02 1.18418953e+02 1.16549278e+02
 1.20003563e+02 1.19864624e+02 1.06219284e+02 1.06947960e+02
 1.12930267e+02 1.09338501e+02 1.09335121e+02 9.79588623e+01
 1.06911392e+02 1.04712036e+02 1.06046043e+02 1.09450653e+02
 9.36215057e+01 8.43049774e+01 7.95333328e+01 7.60325089e+01
 7.92834702e+01 7.93744659e+01 7.54179535e+01 8.44790649e+01
 8.01075821e+01 8.25362625e+01 8.55766830e+01 9.28421707e+01
 9.05093689e+01 8.40215759e+01 8.83915405e+01 8.04096375e+01
 7.68511963e+01 7.78556747e+01 7.16731415e+01 8.10205154e+01
 7.39785690e+01 7.60506973e+01 6.63633957e+01 6.56914291e+01
 6.62795181e+01 5.58112488e+01 5.11397285e+01 4.97055817e+01
 5.57139969e+01 5.24026985e+01 5.40012627e+01 4.10427971e+01
 3.56773109e+01 4.20377884e+01 2.41651611e+01 1.58202953e+01
 1.14266224e+01 8.69565904e-01 1.38461530e-01 1.38461530e-01
 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01
 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01
 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01
 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01
 1.38461530e-01 1.38461530e-01 1.38461530e-01 1.38461530e-01]",2890.686366513972,53.765103612975324,63.06579611343238,-2.466184639404587,rolling13,1
1,"[  0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   1.5751009   12.672098    12.591715    11.521641
  19.48432     27.121498    35.847298    44.94739     48.28283
  47.666977    48.880215    66.55873     61.01002     74.41262
  85.48881     77.649864    90.32246    103.776215   101.924034
 109.81009    112.81676    109.24585    118.96384    119.3627
 112.77319    118.59461    124.88416    127.55274    122.80173
 126.94835    134.6189     131.91345    134.35455    137.8082
 132.68056    131.17647    120.95102    118.270805   118.31468
 119.67253    109.71367    108.14838    111.77946    111.82046
  98.926506   100.13272    106.59301    103.89015    104.314896
  93.41979    102.6558     101.16919    102.75116    106.49522
  90.96366     82.04659     78.10054     75.3692      78.76639
  79.36479     75.54783     84.69217     80.51734     82.91905
  85.97113     93.28229     91.04129     84.64454     88.4291
  80.878075    77.42486     78.10577     71.61937     80.88777
  74.03053     75.82455     65.606186    64.71919     64.920906
  53.93202     48.96731     47.442314    53.345253    49.554672
  50.70761     37.734932    31.970322    38.200195    20.015446
  10.670611     6.385503     0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",2266.8143019764584,47.61107331258621,63.14916377972046,-9.653813219453674,rolling13,1
2,"[  0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   7.999718     8.0665       6.809736
  13.767203    21.661396    30.741169    38.94159     42.08359
  41.72835     42.27964     58.771816    53.437904    66.05573
  76.8815      69.30711     81.723206    94.52132     92.74904
 100.16384    102.45545     99.68928    108.92402    108.96619
 102.529495   108.71545    114.975105   117.26435    112.18727
 115.9613     123.64096    120.99236    123.85474    127.76549
 122.5698     121.28778    111.56808    109.234116   109.527275
 111.34312    102.008675   100.61661    104.31984    104.61815
  92.35726     94.015816   101.01536     99.21277    100.0744
  89.37644     98.87984     98.137314    99.84258    103.93165
  88.41998     79.82401     76.87308     74.715744    78.198006
  79.187614    75.39635     84.45906     80.384964    82.77475
  85.766495    93.33699     91.254196    84.804146    87.80203
  80.73644     77.43249     77.84806     71.12084     80.41374
  73.879524    75.54828     64.82391     63.890392    63.763252
  52.35126     46.98015     45.4995      51.31982     47.288307
  48.04965     35.05904     28.89753     35.174217    16.924164
   6.4853106    2.3949375    0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",1805.715230194909,42.49370812479077,59.916466639210526,-5.693428488739535,rolling13,1
3,"[  0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   7.1319857    7.113018     5.4825225
  11.951424    19.670591    28.757933    36.43763     39.175446
  38.56759     38.410336    54.422306    49.096584    61.190727
  71.51219     64.03912     76.003944    88.38745     86.34018
  93.25858     95.40294     92.88209    101.99922    101.72534
  95.50708    101.75742    108.07303    110.388435   105.263954
 109.015686   116.848785   114.3417     117.468376   121.49176
 116.64384    115.61103    106.51       104.35015    105.23645
 107.42233     98.527534    97.60237    101.46008    101.81124
  90.09566     92.12054     99.26056     97.905914    98.89012
  88.68085     98.30396     97.89108     99.893654   103.94207
  88.77054     80.47199     77.53363     75.840546    79.33821
  80.40047     76.69612     85.843025    81.651054    83.78071
  86.643364    93.96862     91.56435     85.417336    87.88542
  80.91378     77.5184      77.51352     70.561806    79.60942
  72.99681     74.36361     63.227566    61.930565    61.526985
  49.836205    44.314796    42.82101     48.53074     44.134983
  44.610294    31.7009      25.370556    31.519169    13.198767
   2.3503747    0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",1520.3563705694398,38.99174746750189,60.49703510816449,0.7613625674068274,rolling13,1
4,"[  0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   8.511273     8.3499775    6.6430087
  12.461774    20.451895    29.514917    36.64194     39.2294
  38.755035    38.24418     53.606647    48.16555     59.839687
  69.89233     62.315605    74.05457     86.12408     83.92827
  90.67777     92.288315    90.170685    99.03941     98.55445
  92.17379     98.519615   104.83944    106.81919    101.72649
 105.19838    112.89183    110.47605    113.78209    118.058235
 113.21343    112.417595   103.4371     101.47638    102.650375
 105.214554    96.49773     95.788055    99.657745   100.18376
  88.67525     90.997665    98.36315     97.470375    98.57614
  88.410774    98.155014    98.006645   100.1072     104.16904
  88.91676     80.8251      78.0477      76.4782      79.923294
  80.80166     77.0672      86.1093      81.71198     83.641426
  86.272545    93.71021     91.04069     84.92151     86.66901
  79.732506    76.316414    75.9184      68.84131     77.72945
  71.224144    72.54775     61.07972     59.69161     59.200768
  47.3986      41.549656    40.16567     45.80018     41.491356
  41.87294     28.980883    22.487385    28.86316     10.872928
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",1357.3108228869382,36.84169951138164,60.9831042287746,-7.2584257875272264,rolling13,1
5,"[  0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   1.2902137   11.034373    10.7652445    8.902549
  14.138054    22.275028    31.229485    37.87876     40.237442
  39.750565    38.814396    53.596077    48.123333    59.361145
  69.04654     61.364838    72.79614     84.56689     82.16121
  88.61881     89.761215    87.88608     96.493       95.77924
  89.235176    95.59565    101.84748    103.52912     98.43134
 101.634544   109.15089    106.82109    110.255135   114.70528
 109.86833    109.28068    100.4442      98.61833    100.08197
 102.966194    94.40116     93.93491     97.808105    98.45115
  87.168015    89.74548     97.25438     96.74178     97.91387
  87.90319     97.72705     97.809525   100.11289    104.079895
  88.81415     80.926414    78.16877     76.83961     80.258644
  80.9266      77.195984    86.20044     81.5794      83.29621
  85.68949     93.22324     90.26766     84.34935     85.47532
  78.64104     75.19517     74.44265     67.34721     76.03236
  69.67114     70.91814     59.164917    57.617237    57.12524
  45.23954     39.162983    37.90713     43.44729     39.17686
  39.45313     26.582788    19.996828    26.517288     8.8663435
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",1220.3244160974116,34.933142087384745,56.67341592473625,10.56427469054233,rolling13,1
6,"[  0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   3.7380629   13.269074    12.889832    10.917546
  15.565173    23.902887    32.769054    38.97326     41.141026
  40.74257     39.452305    53.64605     48.15077     58.995636
  68.39689     60.61873     71.8152      83.31863     80.76805
  87.01167     87.65971     86.09339     94.42428     93.53121
  86.80963     93.23837     99.44701    100.79325     95.69065
  98.620514   105.9451     103.69388    107.263435   111.9114
 107.056625   106.6566      97.90308     96.21206     97.896454
 101.071655    92.61793     92.351875    96.18753     96.949615
  85.85046     88.64062     96.30203     96.158966    97.3716
  87.41775     97.31133     97.609055   100.05939    103.91918
  88.58795     80.86175     78.13347     77.00429     80.3689
  80.80854     77.04178     85.98105     81.13613     82.651794
  84.81291     92.482895    89.264244    83.51737     84.02633
  77.30492     73.86228     72.82478     65.76457     74.29331
  68.124664    69.343056    57.35406     55.725822    55.247086
  43.307045    37.007317    35.905865    41.397675    37.235363
  37.446644    24.604965    17.961449    24.655493     7.4094634
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",1102.5183636030886,33.20419195829178,52.838676872014624,-14.739076651862582,rolling13,1
7,"[  0.13846153   0.13846153   0.13846153   0.13846153   0.79690844
   0.13846153   5.9417596   15.24309     14.791638    12.727694
  16.770794    25.320066    34.12378     39.894787    41.89557
  41.615105    39.992718    53.56489     48.09197     58.539894
  67.6897      59.836494    70.82752     82.06445     79.42148
  85.44534     85.58113     84.3448      92.36888     91.30576
  84.42376     90.944115    97.09546     98.08565     92.94355
  95.57666    102.69848    100.51241    104.217224   109.081184
 104.172874   103.92753     95.24188     93.68362     95.52739
  98.9714      90.632675    90.525085    94.29609     95.172485
  84.25955     87.238815    95.06538     95.28492     96.54833
  86.62349     96.57796     97.108795    99.69077    103.45076
  88.02782     80.43354     77.80063     76.88473     80.2023
  80.4452      76.63226     85.49118     80.436005    81.77324
  83.714195    91.5629      88.1358      82.54999     82.45799
  75.89804     72.479324    71.19797     64.18657     72.59396
  66.667175    67.87526     55.672005    53.993237    53.546253
  41.55828     35.057514    34.128628    39.580563    35.53768
  35.683117    22.873774    16.186104    23.045439     6.2125077
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",996.0975090796479,31.561012485020946,49.098538677797144,-6.4845911118932325,rolling13,1
8,"[  0.13846153   0.13846153   0.13846153   0.3012615    4.1944966
   3.1498637    8.994071    18.174597    17.554016    15.345624
  19.008926    27.574726    36.196995    41.70467     43.460705
  43.118835    41.159073    54.424786    48.901405    59.069798
  67.90252     59.92643     70.6526      81.70922     78.84244
  84.65866     84.52155     83.41477     91.28884     90.07572
  83.08018     89.58954     95.7545      96.546776    91.46224
  93.96139    100.96807     98.85881    102.63843    107.56133
 102.794945   102.69887     94.13125     92.635956    94.75784
  98.3969      90.10807     90.25855     93.994484    94.89545
  84.13185     87.24667     95.090645    95.49846     96.68974
  86.90082     96.86176     97.453964   100.21355    103.7423
  88.37788     80.89401     77.98184     77.2485      80.49317
  80.450554    76.61881     85.47536     80.162415    81.24208
  82.96577     90.782715    86.98053     81.67625     81.13604
  74.57429     71.10218     69.54225     62.578968    70.776215
  64.93543     66.06558     53.709534    51.88048     51.47801
  39.48921     32.91385     32.11224     37.539196    33.562027
  33.70026     20.966991    14.336863    21.279581     4.8313785
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",915.5031258545058,30.257282195440254,45.415182135619496,-10.04620042921589,rolling13,1
9,"[  0.13846153   0.13846153   0.13846153   4.8992033    8.72951
   7.5795145   13.316444    22.463102    21.616495    19.35149
  22.712793    31.321682    39.687096    45.0146      46.584595
  46.183594    44.008675    57.0963      51.446194    61.42513
  69.97664     61.770897    72.26462     83.20992     80.07901
  85.78363     85.37206     84.3016      92.06684     90.727516
  83.51231     89.93379     96.119286    96.671074    91.70924
  94.06122    100.89925     98.835106   102.604546   107.53065
 102.88321    102.91248     94.314       92.846886    95.18968
  98.97034     90.616486    90.969       94.64372     95.55957
  84.803535    88.0014      95.815895    96.31378     97.39243
  87.66925     97.60968     98.14835    101.04847    104.32566
  88.96242     81.54564     78.2425      77.56414     80.72444
  80.28985     76.43697     85.27454     79.67073     80.4919
  81.976875    89.78053     85.562096    80.487816    79.54998
  72.87404     69.324715    67.455536    60.53301     68.49739
  62.71532     63.813046    51.36049     49.4046      49.13388
  37.220486    30.592573    29.917538    35.31934     31.517452
  31.742573    19.079319    12.550699    19.647612     3.6675847
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153
   0.13846153   0.13846153   0.13846153   0.13846153   0.13846153]",867.8880191425602,29.45993922503168,42.42554187211362,-3.1822857915067506,rolling13,1
