id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0, 30.809046   30.874537   34.54954    30.465792   39.235725   40.230152  54.06876    48.034737   64.358376   64.79719    64.549866   75.182945  87.00273    94.31302    98.36686    97.22839   121.06563   121.166016 122.89647   127.808464  125.505775  130.6269    138.92056   130.7358 140.4777    134.24178   144.91884   136.72435   153.9305    154.00278 168.31601   176.46848   169.715     162.58043   152.06912   151.85722 149.76926   173.21796   152.49417   164.32712   148.0918    164.1517 158.33374   158.61368   161.62393   151.22328   147.03676   149.56627 154.29764   146.08342   148.57086   152.66356   131.44379   129.56541 121.89069   122.1935    123.37749   122.90435   120.384834  121.23265 116.77312   106.46685   111.97091   120.305595  118.81083   106.05387  90.646126   81.534355   92.603485   82.514435   89.37341    66.85162  74.633606   78.366264   80.395355   76.922      65.32505    68.6638  58.374413   61.673405   64.34493    65.82929    53.466484   47.162975  38.883823   52.1209     45.363422   40.36374    57.58936    51.163776  39.211044   24.921082   42.400368   49.64306    36.010834   25.036793  17.599127   30.636229   27.26625    20.681944   24.318398   31.79217  27.758102   21.054598   27.735386   25.710308   16.993717   20.829636   9.796421    8.22002     3.138085    0.          4.9189954   9.749646   7.0336323   6.3570213   0.         17.102482   13.5045      4.215403 ,3771.942467,61.41614175,9.01E+14,rolling6,13,0.318520244,0.018432859
1,2.75653386e+00 0.00000000e+00 1.34279490e+00 0.00000000e+00 8.01532078e+00 1.29790440e+01 2.76098633e+01 2.17169075e+01 3.27821846e+01 3.76025352e+01 3.44399757e+01 4.07277412e+01 5.42106361e+01 6.37936249e+01 6.34641571e+01 6.64696503e+01 9.40981369e+01 9.03685379e+01 9.13473129e+01 1.00186348e+02 9.45025482e+01 9.79000320e+01 1.09874565e+02 9.86298141e+01 1.05341042e+02 1.01936684e+02 1.18571274e+02 1.05396736e+02 1.20379616e+02 1.24630386e+02 1.36779236e+02 1.51867966e+02 1.48003708e+02 1.32329041e+02 1.19357887e+02 1.25709251e+02 1.17354660e+02 1.44685272e+02 1.24822540e+02 1.43114319e+02 1.18920280e+02 1.39393845e+02 1.36257141e+02 1.38433640e+02 1.40339905e+02 1.36760956e+02 1.27330513e+02 1.33962692e+02 1.38260178e+02 1.24355385e+02 1.32767532e+02 1.36342453e+02 1.15103035e+02 1.15009628e+02 1.08558853e+02 1.13595963e+02 1.16814163e+02 1.28170685e+02 1.26279770e+02 1.21435127e+02 1.11186394e+02 9.95067291e+01 1.07552170e+02 1.23947990e+02 1.15094177e+02 1.02724098e+02 8.96351089e+01 7.95674515e+01 9.67271194e+01 8.64591293e+01 1.01950089e+02 7.84149551e+01 8.75316010e+01 8.59686432e+01 8.18372345e+01 8.05922852e+01 7.86425781e+01 7.87194443e+01 6.35985069e+01 6.69513855e+01 6.77251129e+01 7.30769653e+01 5.99783516e+01 6.33030128e+01 6.41256485e+01 6.88985214e+01 6.27601891e+01 5.35814323e+01 6.55507507e+01 6.40956955e+01 4.74463158e+01 3.10999966e+01 4.57953682e+01 5.54881592e+01 4.79614792e+01 3.10733318e+01 4.05765762e+01 4.09453926e+01 3.88396034e+01 2.92595978e+01 2.66566696e+01 3.75307236e+01 3.86988602e+01 2.31224442e+01 2.32746582e+01 2.14002094e+01 1.78882751e+01 1.56252747e+01 3.56968260e+00 3.65050220e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.48352072e-01 1.00777769e+00 0.00000000e+00 0.00000000e+00 1.51867414e+00 0.00000000e+00 0.00000000e+00,829.3009012,28.79758499,2.49E+15,rolling6,13,0.829037844,-0.024560012
2, 34.07263     30.967918    34.623547    36.410652    51.123837  54.074512    68.223145    62.547405    69.61103     79.25816  71.543274    83.64646     89.27802    102.87667     99.60689 103.794846   126.060844   128.76492    129.05894    131.94176 124.14505    125.72183    137.06499    125.60112    136.49254 125.57293    140.06116    125.50091    143.40668    141.34229 153.96826    163.73053    158.28273    145.96498    132.1868 134.85428    129.6165     153.58615    131.40543    142.2283 123.530426   138.63547    133.99062    133.757      134.00081 126.637344   120.2472     125.12969    129.58229    118.16712 120.843765   126.59293    101.97609    103.13212     92.54933 100.70509    101.87023    107.477715   106.41995    105.47062  98.19559     86.56678     95.554565   105.41105    100.33053  90.20908     75.725914    65.72677     82.2245      69.5347  78.15501     56.69975     65.7962      65.80585     64.809616  65.071236    58.414104    57.419136    47.435246    52.73793  56.14338     57.647896    41.289318    40.91692     36.644714  47.610813    38.18423     34.407505    52.866825    47.39963  33.69783     18.786703    35.396202    43.08621     28.761698  17.497084    12.843441    25.80811     22.970713    17.632025  20.98089     30.740044    22.567028    15.760109    23.213135  19.481953    11.212929    15.441518     5.532685     5.1248116   0.25481898   0.           4.3051505    9.516935     5.7244267   1.7920873    0.          14.416682    12.028263     5.0635505 ,795.3210822,28.20143759,4.17E+14,rolling6,13,0.857997596,-0.018799454
3,105.43782   104.40839   106.27322   119.91307   137.48854   132.55142 139.60944   132.12927   134.05162   145.36916   139.93472   153.2461 140.43002   167.38943   159.08372   156.44397   161.19072   172.44691 176.7801    173.34985   155.7174    153.61885   163.81746   156.4792 167.81581   145.35895   156.16763   142.10678   160.53564   145.70381 160.133     156.90947   143.8246    148.62122   136.44162   136.63625 133.45575   140.23068   132.97868   119.69689   115.32652   119.01701 123.26662   110.01685   113.36786    95.29486   107.302505  104.41707 101.56071   102.125984   97.05353   106.012405   85.30777    86.81529  68.19145    87.57839    76.37979    74.8224     78.92341    83.14774  79.138176   70.631966   76.52378    77.629684   81.4564     83.00973  61.090164   60.875164   65.61873    49.03458    41.57906    21.701445  21.082779   32.110744   44.567844   39.56572    26.262169   17.49418  19.070683   25.936052   32.265175   26.785227    7.970632    0.   0.          0.          0.          0.         16.79227     4.1599636   0.          0.          7.068373    1.3226315   0.          0.   0.          0.          0.          0.          2.3242342   0.   0.          0.         12.625752   11.843012    0.         12.733746   7.7293034   8.038743    7.0018954  10.767193   22.25362    33.482918  22.956602   26.463358   30.816017   48.91721    52.96173    41.43425  ,1218.762742,34.9107826,5.64E+15,rolling6,13,0.876508149,-0.040556471
4,133.97119   129.44049   130.56215   140.46664   151.82185   150.42664 147.12816   142.60124   141.07646   151.19339   147.53374   155.09787 136.95247   160.31279   153.10818   144.55254   145.67319   152.0279 156.96223   153.30707   140.97052   137.73558   145.20284   141.6886 139.42677   124.09286   128.41548   118.84672   135.0286    121.119514 131.31795   127.05395   109.24392   125.60931   113.96629   112.68797 113.29193   109.220566  107.45241    92.167435   93.93298    95.52401 101.75478    83.2829     87.57325    70.41853    85.79152    81.01496  75.1036     81.51607    76.49159    79.276855   70.36825    69.76149  54.74815    68.42523    54.598545   39.435516   47.230644   48.07383  50.759987   50.122696   52.91379    43.906914   56.061073   61.282898  44.4961     43.842293   41.60122    34.67133    18.573973    4.4959555   1.7139134  17.496494   34.27124    27.10933    12.648855    1.8939753  10.346728   20.008856   22.811892   22.526754   12.164913    0.   0.          0.          0.          1.7282768  16.734688   13.603191   5.3247585   4.098847   17.034584    9.998205    0.          9.209408   0.          3.1419728   4.7807384  11.937895   24.132006   18.979828  17.884617   29.617413   39.083595   39.615547   31.206442   49.14487  48.396935   45.58117    47.758705   55.54269    60.38786    69.23782  60.50357    69.09714    75.3389     91.48102    88.41794    82.88235  ,1029.525642,32.086222,2.04E+15,rolling6,13,0.848674807,-0.053806998
5,108.68001   98.802216  97.55514  103.83536  100.56474  109.35264 101.69975   94.09167   89.75902  100.30573   94.37908   95.4921  82.60203   91.68356   90.01738   78.78188   87.851326  79.403725  87.437874  85.99493   81.9957    78.371544  84.256836  80.23625  68.31428   59.6278    61.17189   55.74324   69.46793   61.39683  62.83981   70.21088   55.126366  70.91198   57.649776  54.112274  62.06588   58.221676  48.161148  44.488186  47.788082  48.830334  54.30194   36.022633  47.38442   37.861675  46.00907   41.785107  39.256     44.482616  43.221386  39.590225  39.277584  39.405293  29.840559  36.512325  26.769085   5.261692  14.458996   9.877182  14.644585  18.839703  20.433748  12.336385  24.171337  31.289944  21.77568   18.504963  22.057262  22.121527  19.301676  13.483882  10.805522  23.581451  39.50772   29.623459  15.364082  15.768636  24.926031  32.933197  34.782185  44.40313   47.305798  39.593216  37.39603   41.366215  29.652636  38.470573  48.04192   54.8259  51.214207  44.920513  50.792976  54.37535   45.13559   63.66056  49.98471   70.78012   70.12727   65.92107   67.21621   68.4368  85.19643   80.30102   81.384224  76.01418   81.21276   95.0095  88.801285  91.619705  90.06445   97.339066  91.67634   96.63807  87.58105   98.34758  101.25777  115.336945  98.03474   91.30708 ,720.7368555,26.84654271,0.42859858,rolling6,13,0.887451634,-0.108369025
6,140.68507   129.74274   129.76195   127.63696   120.82893   133.30571 117.39239   115.70213   112.17284   121.875435  112.287415  111.98767 101.57471    97.755905   99.06433    88.1174     99.19689    85.04746  89.67658    85.78281    93.780975   90.245964   90.06995    89.35124  66.543304   65.710915   57.22485    56.872288   72.4823     62.625732  60.221844   68.230896   50.023956   69.88703    56.41702    47.323353  64.05593    56.148098   36.96021    39.03843    45.5835     47.15985  42.184      23.493917   31.160791   23.916449   26.60757    22.402771  21.573149   30.11928    27.739145   16.637894   21.312304   21.82312  14.992263    7.2152524   0.7545439   0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          3.8091795  20.931059   13.629154    0.          0.  17.74063    28.988396   26.094263   44.81488    55.037918   45.09648  56.307434   52.377285   48.680943   52.2978     62.30045    79.16173  76.74237    68.958466   76.34954    86.61234    81.78216   102.32988 100.19991   115.60542   113.93474   108.49695   104.36755   112.04641 146.7664    127.87261   127.380844  120.09687   142.71028   145.78082 145.46727   141.763     139.53714   149.33363   135.73483   138.93253 130.64879   145.14761   149.07916   164.09631   136.98294   130.61256  ,815.2666879,28.5528753,6.66E+15,rolling6,13,0.852075615,-0.060639411
7,107.58764   96.45334   93.23651   94.51524   87.4253    98.47675  84.47366   81.42304   72.42541   88.602135  78.584854  78.954926  63.94909   64.091225  65.15829   56.068577  65.41266   53.536137  54.70346   51.80622   56.870174  53.30995   56.868706  54.69249  36.293667  32.335995  29.84284   28.638702  42.02018   37.2439  33.850353  43.284325  29.896534  47.354618  32.330746  25.67752  40.84186   36.46541   18.645088  23.796442  30.183685  30.473791  30.481712  16.1076    25.363277  22.056774  23.743921  21.709284  23.18415   27.320057  28.159721  20.89373   25.183575  25.835573  21.167225  20.322601  17.915592   0.         0.         0.   0.         7.236578  10.397659   0.        13.617233  19.453505  17.865166   8.917127  15.959172  23.628313  22.710812  22.498049  27.285664  35.594677  49.148266  43.11232   28.042019  35.14263  46.149868  56.135273  58.227978  71.184875  82.17702   78.77021  88.16639   81.54598   77.70381   76.97287   84.57926  100.58505 102.76714   89.10146   90.68183  103.281166 104.0143   116.207756 118.75706  129.29552  126.55194  118.22017  113.6189   123.10842 151.2751   129.9891   128.44865  117.35428  135.80801  140.26529 134.79994  133.52011  127.67809  137.58955  124.656815 127.87995 118.316765 130.43074  134.9499   142.34598  119.259766 109.68015 ,1125.371304,33.54655428,2.23E+15,rolling6,13,0.783752554,-0.078683203
8,5.69716873e+01 4.40809441e+01 3.94403648e+01 4.36090851e+01 3.81376762e+01 4.52062378e+01 3.69173889e+01 3.06356277e+01 2.07980061e+01 3.76368523e+01 3.11302071e+01 3.07986965e+01 1.30622873e+01 2.42192726e+01 2.35531216e+01 1.40009193e+01 2.31082001e+01 1.32927313e+01 1.27148857e+01 1.65071907e+01 9.64772892e+00 6.44098997e+00 1.81920624e+01 1.26468849e+01 6.70023784e-02 0.00000000e+00 4.32778263e+00 0.00000000e+00 6.33590460e+00 8.26379299e+00 6.48304653e+00 1.69998493e+01 1.01395226e+01 1.99838238e+01 4.85862303e+00 6.83018303e+00 1.08830853e+01 1.31180277e+01 4.47228956e+00 1.15124979e+01 1.27800598e+01 1.41428623e+01 2.50048046e+01 1.54796858e+01 2.61259670e+01 2.74274883e+01 2.97915344e+01 3.13532505e+01 3.15651932e+01 3.05174103e+01 3.74398804e+01 3.77963715e+01 4.05732155e+01 4.23145752e+01 3.85680389e+01 5.24313660e+01 5.15441170e+01 4.76994324e+01 5.39725380e+01 4.70982780e+01 4.57088165e+01 4.83669052e+01 5.26425056e+01 5.56632576e+01 6.53427048e+01 7.30338516e+01 6.58856583e+01 6.32543678e+01 7.60592422e+01 7.96644897e+01 8.82022018e+01 7.97578735e+01 8.66603012e+01 8.90755310e+01 9.48487473e+01 8.92634201e+01 8.65301743e+01 9.08016281e+01 8.75859451e+01 9.53952255e+01 1.00252647e+02 1.05765388e+02 1.12562378e+02 1.19597961e+02 1.22275024e+02 1.15179115e+02 1.08533257e+02 1.05972855e+02 1.07180550e+02 1.21889282e+02 1.21268600e+02 1.04561531e+02 9.85727158e+01 1.09584740e+02 1.11511848e+02 1.16616089e+02 1.22975243e+02 1.22062286e+02 1.21467407e+02 1.12414787e+02 1.09142754e+02 1.14348717e+02 1.32422165e+02 1.13068275e+02 1.05295464e+02 9.51860886e+01 1.05337997e+02 1.09204842e+02 9.75828629e+01 9.79547729e+01 9.14161911e+01 9.66548309e+01 9.20078278e+01 9.44397049e+01 8.57614059e+01 8.94734039e+01 9.12925110e+01 9.40937347e+01 7.68643723e+01 7.17571869e+01,788.9291031,28.08788178,5.44E+14,rolling6,13,0.877989564,-0.109546864
9, 16.589823    2.8878875   1.3005615   0.          0.          5.3988943   3.708439    0.          0.          5.9632773   6.2042055   3.547436   0.         11.600746    9.845138    0.9364722  15.465415    7.683027   6.164191   17.890762    7.074484    6.6271515  22.966364   15.430453   3.9998426   4.833329   23.668783   13.262446   18.81975    29.338585  32.878967   44.38799    39.205257   41.356953   27.879093   38.53808  28.98933    38.93735    38.995384   51.098377   39.866978   51.05095  65.655685   61.61857    67.897606   71.11565    71.3914     77.301765  75.05816    68.37808    81.03573    83.24762    83.75234    82.37093  82.178215   97.61995    97.3979    111.0519    114.99696   104.322845  95.588005   94.207954   98.29441   111.410706  113.53062   114.729515 105.02099   102.58916   114.15377   117.52147   125.463196  107.19485 115.55337   115.769844  113.41545   109.27331   116.46703   111.79308  96.78125   104.202446  105.155846  108.63777   108.51225   117.116234 120.141205  111.99673   108.19976   103.769875   98.46718   113.34255 102.44966    85.29442    81.96496    88.15318    91.45293    87.6532 101.46885    88.32822    90.42309    82.216965   77.517555   82.022896  99.61357    76.80283    63.196438   60.80157    70.68125    64.82238  53.45697    50.28774    48.88094    46.589928   50.210865   48.58177  48.81856    44.945705   40.19166    44.613743   32.495564   42.17436  ,603.169745,24.55951435,2.25E+15,rolling6,13,0.909553488,-0.069166458
