id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0, 22.972546  39.31448   41.273205  39.957     40.393204  63.021084  50.09043   61.445534  78.356346  73.4327    79.8662    77.80748  85.90771   77.248436  97.730095  98.258354  86.74207   99.28713  95.21649  112.70502  111.481316 110.18684  106.638985 135.02286 131.08774  131.95616  146.78217  139.63187  143.98975  141.00238 141.24318  136.59378  136.20697  134.36925  126.03909  117.65241 130.83371  127.04151  130.8374   134.96634  138.93135  133.05989 118.980865 121.967064 119.408455 128.44377  121.17551  117.67505 112.78262  126.559204 118.05081  123.80039  117.1226   117.52902 115.27973  115.48159  123.512344 111.94622  101.37545   89.55017  88.80527  104.22875  109.55909  111.566376 104.8997   108.300934  98.589935 118.909546  97.19027  104.10022  103.36369  112.11215 103.02061   90.709564  83.669304  89.82224   86.34273  106.26731 106.38726  104.63101  105.606224 107.535675  93.6512    84.95723  87.539894  87.01687   77.383606  88.89654   72.10691   71.052025  58.2274    67.485825  70.71297   81.265236  73.61044   70.21681  79.6824    72.9388    50.30418   55.705887  51.863026  43.23075  39.950077  48.741314  37.98148   42.27619   32.970814  21.590322  13.671779  20.264236  13.561691  16.480824   8.206964  12.566783   6.247432  10.295675   8.767131   5.58278   12.707048   9.940735,2545.598514,50.45392467,0.565672107,weighted13,1,0.445968826,1440
1, 14.831635   30.673603   31.256237   29.13556    28.192389   50.348217  36.43674    46.299526   62.04057    55.063744   62.11583    58.355797  66.23882    56.815136   76.47168    76.26595    64.423515   76.294525  70.88355    89.82502    87.84046    85.18215    82.160904  111.045135 107.8188    107.847275  124.4939    117.02991   122.16799   119.62952 119.98743   115.44826   115.65836   115.0617    107.293884   98.942955 114.27796   111.32607   116.540764  121.43873   126.17009   120.12035 107.28753   111.202995  110.029854  121.77904   114.878235  110.934685 106.06238   121.19066   113.37687   120.14643   114.137596  116.51331 115.88111   116.35235   125.84201   115.32812   104.044586   92.419624  92.296814  108.33233   114.02727   117.98652   111.444374  116.87052 106.74967   128.61243   106.41305   113.81048   113.34599   124.01489 114.352356  100.6886     94.318985  101.33374    98.0131    117.99074 119.354355  118.57842   119.192154  119.847015  106.09756    95.634315  98.95589    97.71243    87.93411    99.01792    80.4442     77.909676  64.10233    72.86113    76.99702    86.29847    77.75617    73.50833  82.63508    74.6665     51.146706   56.210716   51.951675   41.375988  38.59033    47.047813   35.09897    38.508656   29.238935   17.218824   8.093186   14.987882    7.367605    9.27535     1.4581733   5.1389446   0.          2.532241    1.3731818   0.          4.4976797   1.3262947,1544.158903,39.29578734,1.77E+15,weighted13,1,0.668675259,1440
2, 10.59201    25.273975   24.226305   21.250528   19.707188   40.994434  26.753937   35.89933    49.919422   41.46436    48.435688   43.282238  50.60056    41.143276   60.204098   58.81626    47.023422   58.449314  52.24966    71.72254    69.210556   64.94767    62.378296   90.97042  88.18342    88.071915  105.381256   98.00757   103.60753   101.32279 101.154      96.54302    97.21104    97.50695    90.74186    81.64146  98.43154    96.12022   102.33686   107.54555   113.00204   107.00213  94.92457    99.87446    99.524025  113.24114   106.284805  102.479836  97.82482   113.68076   106.85681   114.506615  109.05827   112.716675 113.536545  114.199814  124.2172    114.547295  103.40048    91.64737  92.040504  108.84789   115.338486  120.37768   113.91512   120.27654 109.82652   132.36526   109.930214  117.55037   117.56317   129.20764 119.1394    105.018814   98.53337   105.65738   102.497536  122.106224 124.19915   124.09725   124.455185  124.30965   110.76369    99.385506 103.07555   101.832954   92.25477   103.15497    84.23275    81.33438  67.12802    76.1714     80.642395   89.35832    80.63725    76.24173  85.68698    77.05676    53.363518   58.396305   54.034622   42.90627  40.215893   48.65871    36.208076   38.92445    29.83109    17.44695   7.4757     14.53611     6.358494    7.50357     0.          2.610308   0.          0.          0.          0.          1.4672884   0.       ,965.6063534,31.07420721,4.51E+15,weighted13,1,0.787044729,1440
3, 10.72362    24.880573   23.13398    19.74557    17.52603    37.884304  22.91273    31.113846   44.34043    35.109272   41.960087   35.816853  42.865032   32.729076   51.01328    48.939274   36.926735   47.44772  40.813286   60.369507   57.117237   52.073513   49.70697    77.92174  75.100525   74.50275    92.274734   84.8948     90.630066   88.37774  88.27961    83.87323    84.788      85.3876     78.92948    70.08521  87.62574    85.62508    92.4873     97.8689    103.219124   97.44182  85.793365   91.09893    91.3287    106.22356    99.65916    95.73774  91.380295  107.805664  101.20105   109.260635  104.043465  108.92808 110.42868   111.28859   122.11399   113.11338   101.80519    90.82817  91.428345  108.355286  115.00003   120.86914   115.09514   122.369736 111.85573   134.81735   112.63966   120.42724   120.751236  133.35674 123.200516  108.77131   102.81238   110.12916   107.283195  126.79245 129.40732   129.75458   129.96046   129.39052   116.12772   103.881004 107.92902   106.464264   97.16412   107.615685   88.14039    84.55864  69.92123    78.35363    83.036736   91.220634   81.80614    76.78711  85.961395   76.84313    53.187946   57.828804   53.26469    41.585888  39.284782   47.256203   34.366463   36.70195    27.863155   15.138676   4.8885546  11.999509    3.7138255   4.446958    0.          0.   0.          0.          0.          0.          0.          0.       ,793.3105354,28.16576886,5.67E+15,weighted13,1,0.814388538,1440
4,  5.019496   18.655725   15.873132   11.7387085  10.467944   30.484583  15.806156   24.972906   36.81202    28.223484   34.53585    28.583666  34.500015   24.940773   43.71011    41.17377    28.864082   39.87773  33.569378   52.554      49.610977   43.376      41.301      68.898125  65.59199    65.8088     82.770706   75.71899    81.91584    79.86733  78.96068    74.92812    76.38032    76.89492    71.16745    61.33239  78.89554    77.57154    84.38188    88.921074   95.62854    89.573586  78.02939    83.939285   84.37851    99.61024    92.30406    89.06555  84.81601   100.82632    95.41083   103.612595   98.479675  103.69768 105.846535  106.81791   117.21885   108.94087    97.97031    87.09356  87.80563   105.60305   113.432816  118.73812   113.28931   120.41317 109.93252   132.7215    110.58514   118.85456   119.48447   132.26569 121.75065   108.08792   101.61784   108.90994   106.507996  127.08327 129.51903   129.56871   129.97955   129.60666   115.49004   102.85346 106.74768   105.68994    96.5299    106.56338    87.1637     84.71517  69.21713    77.81621    81.30312    88.64605    79.40917    74.6353  83.298      73.78472    50.090046   54.369827   49.21219    37.65778  34.14372    42.25378    29.052837   30.721766   21.44233     8.292903   0.          4.3137083   0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,684.3343821,26.15978559,8.71E+15,weighted13,1,0.822152753,1440
5,  7.49709    21.27354    18.750608   14.701535   13.431323   32.970684  17.856447   26.823074   38.81433    30.739567   36.789837   30.979643  36.805305   26.776642   45.286934   42.77803    30.249048   40.820194  34.854805   53.23292    50.057903   44.056667   41.94083    69.187035  65.39997    65.487076   82.20185    75.31085    81.3908     79.2815  78.74063    75.12384    76.69386    76.823006   70.952484   61.75283  78.895996   77.564445   84.283966   88.62447    94.8882     89.08565  77.42514    83.052124   83.42426    98.29747    91.33706    88.087776  84.07642    99.97404    94.270004  102.19888    96.90135   102.34036 104.11472   105.15211   115.74264   107.580376   96.539406   86.51102  87.0042    104.45144   112.05283   117.092094  112.32366   119.43818 109.14777   131.64113   109.99327   118.27161   118.91485   131.77995 121.44648   108.02781   102.019646  109.277885  107.09423   127.90228 130.16383   130.00371   130.47032   130.3281    116.1603    103.353935 107.29153   106.10327    97.118805  106.736755   87.19801    84.61842  68.89859    76.69728    79.86071    87.0072     77.28283    72.06581  80.187355   70.69741    47.268246   51.12902    45.781845   34.337475  30.850538   38.553986   25.351522   27.079205   17.91427     4.696229   0.          0.9154867   0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,677.1370287,26.02185675,7.41E+15,weighted13,1,0.822301575,1440
6,  6.515629   19.818104   16.907671   12.615512   12.70316    31.840477  17.326843   27.55867    38.674923   31.827988   37.061794   31.957094  37.01359    27.822605   46.98476    44.142563   31.724771   42.91262  37.902752   55.06449    52.363136   45.980686   43.920097   70.30383  65.959236   67.17195    82.51876    76.26348    82.38281    80.31529  79.11703    75.81905    77.71866    77.43402    72.2509     62.215206  78.615555   77.4958     83.739265   87.23694    94.15674    88.51614  76.4036     82.18166    82.19713    96.326294   88.71623    86.34693  82.61734    97.71928    92.717026  100.48126    95.007484   99.90946 101.48794   102.53103   112.06855   103.97688    93.61774    83.532135  83.784004  101.548996  109.89937   113.46771   108.81968   114.70416 104.50114   125.91364   104.401024  112.56732   113.3437    125.25876 114.833534  102.46871    95.529594  101.952286   99.91604   120.77208 122.230896  121.27222   121.79584   122.23548   107.37808    95.02766  98.45877    97.96074    89.22228    98.733795   80.253136   79.13183  63.388405   71.54169    73.437096   80.68484    71.521095   66.938774  75.05055    65.9381     43.10529    46.938637   41.461296   31.358286  26.85591    34.950066   22.268438   24.0627     14.768055    1.6749309   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,667.2420455,25.83102874,8.34E+15,weighted13,1,0.815295023,1440
7,  6.8030734  20.269127   17.610641   13.388136   13.957562   32.78048  18.062098   28.561178   39.734333   33.75572    38.66559    34.054928  38.914165   29.594276   48.9314     46.19117    33.612633   44.828964  40.470818   56.888622   54.259445   48.193176   46.096382   72.16447  67.34729    68.867035   83.76074    77.847      83.97682    81.975586  81.04786    78.29733    80.50048    79.84817    74.72518    65.065926  80.94488    79.917725   85.91811    89.05711    95.90938    90.49789  78.16317    83.633545   83.52872    97.061035   89.528725   87.379456  83.872086   98.65846    93.5478    101.02124    95.289246  100.08873 101.11717   102.197525  111.520546  103.421745   93.02839    83.52278  83.44237   100.90676   109.17784   111.92189   107.69248   113.12158 103.06186   123.88151   102.60554   110.66038   111.35453   122.94656 112.5753    100.55257    93.670654   99.78477    97.9006    118.88702 119.897095  118.36085   118.847336  119.64397   104.365295   91.976135  95.22572    94.722206   86.07945    95.24926    76.802795   75.94246  59.9864     67.49332    68.75472    75.86037    66.46474    61.715096  69.278465   60.343987   37.793175   41.297215   35.57195    25.91696  21.117504   29.105417   16.59429    18.587887    9.27243     0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,643.9546613,25.37626177,8.52E+15,weighted13,1,0.820293189,1440
8,  4.4421487  17.62087    14.607279   10.115672   11.791406   30.408068  16.086323   27.634836   38.14482    33.195713   37.542267   33.603115  37.797348   29.128704   49.10979    46.201435   33.61278    45.477043  41.89297    57.426605   55.291588   48.947655   46.935123   72.48869  67.22766    69.700554   83.634346   78.245735   84.55588    82.713  81.3767     79.040504   81.67208    80.732      76.17005    65.89183  81.23483    80.51107    86.14261    88.582886   96.156944   90.754585  78.16036    83.73144    83.396385   96.325096   88.23751    86.74245  83.37462    97.50533    92.971794  100.26215    94.35129    98.705666  99.5272    100.59441   109.05347   101.02118    91.03883    81.45069  81.155235   98.89009   107.78456   109.31656   105.14323   109.66621  99.68681   119.74002    98.485855  106.52973   107.286446  118.22171 107.72869    96.49238    88.960304   94.584335   92.870605  114.20944 114.62311   112.40033   112.96139   114.23048    98.22493    86.0795  88.95115    88.87802    80.35123    89.36022    71.50727    71.80626  55.63018    63.30715    63.480614   70.4416     61.436226   57.119144  64.4648     55.74234    33.47922    36.879112   30.883806   22.09714  16.333832   24.634975   12.400276   14.361805    4.800596    0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,611.0843547,24.72012044,7.24E+15,weighted13,1,0.826893526,1440
9,  7.4188304  20.619947   18.027061   13.864448   15.661108   33.760693  19.198572   30.55943    41.31799    36.80254    40.8842     37.150078  41.571983   32.693367   52.53161    49.60526    37.193886   48.788834  45.79239    60.65757    58.389668   52.66284    50.58642    75.81226  70.37551    72.94475    86.6915     81.71208    87.82006    85.96918  85.10171    83.13677    85.91451    84.76678    80.31093    70.62582  85.52846    84.64767    90.1968     92.68985    99.57783    94.7372  81.83819    87.01371    86.478775   98.81484    91.11085    89.73015  86.68857   100.69468    95.705635  102.77268    96.655945  100.7944 100.91094   101.97448   110.2634    101.93388    92.01331    82.86442  82.19643    99.28745   107.7251    108.576515  104.65043   108.5778  98.64567   117.92955    96.90946   104.48965   105.13088   115.48492 105.176704   94.02097    86.51709    91.49335    89.68524   110.15332 110.1142    107.43704   107.749825  109.22037    93.28573    81.35251  84.091064   84.02502    75.67493    84.58033    67.10135    67.27728  51.48881    58.65488    58.70196    66.08302    56.894073   52.46028  59.80256    51.527363   29.838717   33.18093    27.369879   19.380915  13.897726   22.14402    10.43563    12.945662    3.7870347   0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,583.9381417,24.16481206,6.44E+15,weighted13,1,0.835111178,1440
