predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
53.160618 55.934708 46.96017  49.432415 25.545261 85.7912   62.294548 44.89623  59.801685 52.449833 64.75528  68.55821 ,700.48663,26.46670802,0.25325596,raw,1,0.047301035,0
54.679977 52.577457 55.22214  52.437153 29.613567 88.72915  52.630352 60.212563 52.67307  49.201145 81.23781  53.24038 ,714.6838,26.73357022,0.27378348,raw,1,-0.077404711,0
62.37243  53.76247  46.26417  65.00599  36.911175 92.08352  51.34252 62.443096 51.75261  54.633526 81.89914  35.116253,683.2463,26.13898003,0.28698024,raw,1,0.039370998,0
67.46818  60.525337 42.972767 67.99717  49.39793  86.61428  53.23952 59.74333  52.02808  50.84706  70.990456 23.236986,576.2198,24.00457847,0.27051058,raw,1,0.289223405,0
67.80216  70.12625  54.687782 68.21426  61.201714 48.00729  60.933758 55.000195 60.162933 51.40031  73.26262  -5.41756 ,604.95416,24.59581596,0.29459804,raw,1,0.459799069,0
70.15731  59.345543 38.446552 76.47894  66.00448  30.325201 44.09407 52.46275  59.167206 62.892673 62.27392  22.729845,562.0423,23.70743127,0.28078678,raw,1,0.306055388,0
55.885868 66.1352   54.06378  73.58207  71.22799  45.14625  29.263288 45.22398  67.52568  74.53979  58.01166  35.488007,396.746,19.91848393,0.26975462,raw,1,0.244068776,0
51.217407 60.164734 55.52465  66.72675  49.06574  59.146854 16.261543 50.491417 82.70146  83.00543  60.730553 65.11897 ,541.9211,23.27919847,0.32808927,raw,1,-0.190444439,0
65.22927  93.2644   70.28205  50.663467 25.414465 60.44627  23.892044 63.994995 83.58048  53.67243  59.726646 72.52939 ,392.79016,19.81893441,0.30811417,raw,1,0.272161435,0
52.953022  79.715256  64.65721   59.840237  31.357897  65.80245  5.7457542 86.595795  74.53721   70.98718   53.763683  80.872795 ,573.7512,23.95310462,0.38431022,raw,1,0.021691197,0
48.156837 79.73455  68.72348  60.160877 45.649113 74.71964  27.61501 72.44966  75.627235 99.72117  60.52358  56.201458,496.04276,22.27201731,0.36028382,raw,1,-0.078779143,0
 46.500027  56.783432  55.66319   55.148533  37.946262  71.259964  33.6821    56.02129   67.90203  103.80014   47.069744  44.25374 ,363.5952,19.06817282,0.2589763,raw,1,-0.06235783,0
 40.680683  54.528038  57.98511   49.425488  40.461853  70.954735  34.629253  53.752636  60.739883 105.86774   54.179886  48.418354,362.49548,19.03931415,0.23842151,raw,1,-0.136793311,0
 33.343243  50.796143  72.269226  45.53544   49.622166  68.1009  24.448162  52.192158  69.60013  114.649155  57.392204  54.022   ,548.762,23.42567019,0.31261536,raw,1,-0.198403789,0
