predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
39.926888 69.90752  69.63999  49.63677  68.633224 16.800303 73.6217 52.167294 60.73868  58.416702 56.959175 59.751392,779.9797,27.92811621,0.26063943,rolling24,1,-0.145123345,0
41.52329  72.112465 77.24711  52.932858 73.66278   4.068306 70.624306 59.94841  70.44877  62.14666  51.362724 56.52121 ,865.6845,29.42251705,0.23129107,rolling24,1,-0.112377473,0
36.3734   65.501175 71.450165 55.85721  74.54839  17.271416 61.53907 54.440758 67.98687  56.17044  55.610027 48.645782,709.63324,26.63894217,0.24186599,rolling24,1,0.14061432,0
28.931944  57.5185    65.703926  66.45558   68.26822    1.9183284 50.494637  60.20693   79.93599   65.04079   58.26969   52.59675  ,1002.36035,31.66007504,0.3044185,rolling24,1,-0.101249075,0
29.173437 60.976696 53.466534 71.2967   52.63095   9.10919  55.354122 66.75724  75.588806 61.83562  85.09618  37.758167,1078.8776,32.84627168,0.36843726,rolling24,1,-0.257589482,0
38.23422  59.24943  60.867424 71.65496  74.84909  29.026302 59.954563 69.44077  58.53114  66.01574  80.93132  65.38467 ,663.89514,25.76616273,0.29431567,rolling24,1,-0.360086793,0
44.755295 43.285816 60.518356 61.422897 57.233772 34.935257 49.104156 78.80968  55.02666  63.410496 82.98249  54.480457,641.2355,25.3226277,0.32276917,rolling24,1,-0.454208353,0
54.000645 50.25419  57.91245  62.112717 51.8791   43.487225 58.930855 84.84903  56.181313 54.550323 92.52029  53.570793,494.53333,22.23810525,0.29519987,rolling24,1,-0.361746726,0
53.763695 51.811703 65.06597  50.32535  61.244724 49.523224 60.662865 86.99679  54.132576 66.33934  79.63048  33.46453 ,385.87088,19.64359642,0.28944573,rolling24,1,-0.252015334,0
55.556946 63.94348  67.20958  39.592876 81.22151  46.76968  66.3326 65.982605 71.23994  78.49156  68.40013  60.436626,333.7264,18.26818026,0.30858073,rolling24,1,-0.292710659,0
56.457333 69.013954 68.10498  43.35096  75.425896 63.139748 66.55089 56.567417 70.80622  58.59841  72.63287  70.43452 ,255.16064,15.97374861,0.28742847,rolling24,1,-0.183774467,0
50.457184 68.5608   72.42369  48.929947 74.53777  56.703495 65.67067 48.05685  65.40474  62.337208 74.74835  69.82632 ,248.19287,15.75413822,0.2710744,rolling24,1,-0.150195866,0
59.301968 76.4336   72.18295  52.593235 70.558365 56.207626 78.807434 44.904526 53.99542  47.04692  64.85701  76.96898 ,280.13705,16.73729531,0.26702774,rolling24,1,0.093262644,0
55.26639  75.335335 83.82447  63.354168 73.39356  43.52853  67.01231 43.37427  43.61971  49.24795  65.86365  92.27844 ,412.85312,20.31878734,0.322072,rolling24,1,-0.005229961,0
41.554386 69.99889  82.6987   52.771004 70.24736  38.188877 63.522514 52.485577 43.16475  45.66125  65.111565 72.990555,268.54306,16.38728349,0.27676928,rolling24,1,-0.230077484,0
36.111065 77.54703  90.0871   56.405167 82.58027  26.719564 62.40122 65.73256  54.681137 57.55606  59.122936 75.91464 ,465.6654,21.57928185,0.3656335,rolling24,1,-0.264953352,0
26.806702 81.36736  71.176865 62.991657 88.99659  42.51959  53.324955 60.21444  56.749123 61.426826 64.31648  65.19967 ,357.7043,18.9130726,0.31336898,rolling24,1,0.085866971,0
23.218412 83.43891  55.251133 68.97786  88.5547   28.841293 47.335743 67.65491  73.00162  71.75449  68.27865  55.024273,449.49722,21.20134955,0.35892805,rolling24,1,0.244285641,0
33.70893  85.18846  45.769447 82.126915 87.77384  41.83932  53.943344 57.77736  80.25651  69.31933  86.62104  48.669464,507.99854,22.53882284,0.3620317,rolling24,1,0.145239927,0
52.34727  73.48558  56.677364 79.7262   85.90503  45.198334 52.89696 55.81181  76.81266  71.57801  87.15748  64.81431 ,378.06482,19.443889,0.2911855,rolling24,1,0.210430263,0
55.001045 53.07962  65.25585  71.62705  74.78459  46.997997 42.478508 69.28666  64.798805 62.80283  86.25029  52.03976 ,214.18341,14.63500634,0.23297876,rolling24,1,0.165288167,0
