predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
 24.78704   25.077639  62.6635    44.883305  15.241646  37.481865  32.870003  30.292418  60.561188  35.039406 -16.848328  81.63402 ,2289.9666,47.85359498,0.55362195,weighted24,12,-0.076539046,0
36.10449  36.211987 17.747772 49.594578 23.3084   65.610954 34.66735 44.852913 72.20637  26.593866 12.094203 65.71885 ,484.46155,22.01048722,0.3836846,weighted24,12,-0.143593862,0
16.338171 28.397955 49.356644 70.85499  31.055233 44.134407 32.072487 29.900846 76.19978  63.38424   4.194571 49.831703,721.48505,26.86047368,0.37365386,weighted24,12,0.202523361,0
 23.907873  34.697617  71.110565  62.91073   38.52601   49.44415  23.226757  25.658957  78.281075  51.134705 -11.033245  69.52808 ,1186.1378,34.44035159,0.3982621,weighted24,12,-0.067161217,0
 7.60278   40.66234   58.771603  69.623665  29.904974  53.099205 20.619572  18.903742  82.729744  46.117638  -4.7180414 77.767166 ,2348.3308,48.45957914,0.4898034,weighted24,12,-0.012955676,0
 2.8681693 41.40797   53.143486  66.90869   30.055767  48.182137 21.502651  14.511264  83.42756   50.153294  -5.9690785 74.18565  ,2309.9316,48.06174821,0.48594114,weighted24,12,0.056723701,0
-1.1328086 36.13191   53.5651    62.572784  21.564022  47.40087 14.805594  10.466438  72.609924  46.42221    1.3017205 70.08301  ,5720.277,75.63251189,0.65638465,weighted24,12,-0.11537499,0
 26.991537  51.57372   42.82447   52.987698  38.911503  40.904972  41.49394   22.08666   62.02942   27.698242 -13.018841  71.835075,2879.8047,53.66381171,0.5325158,weighted24,12,-0.209218488,0
 2.1027167  7.943472  39.379063  33.26422    2.7474287 37.356155 28.578445  12.821427  62.93518   42.965313  28.217623  74.59194  ,7997.3306,89.42779527,0.73426104,weighted24,12,0.008729822,0
 10.241287  48.206554  36.567024  50.33155   43.34291   27.544792  36.789516  13.88656   57.842953  13.561815 -15.883661  75.03111 ,5724.281,75.65897674,0.6563682,weighted24,12,-0.172995582,0
18.7173   21.963766 28.09346  30.473839 33.357445 70.82792  20.032785 30.547401 68.21948  70.49891  43.064117 76.89084 ,7150.7344,84.56201497,0.63068897,weighted24,12,-0.614445869,0
 15.521095  33.234245  45.06676   43.296192  55.82119   31.447752  44.007893  28.930342  58.288143  20.828268 -14.249869  81.13882 ,3837.7158,61.9493004,0.60201806,weighted24,12,-0.094388558,0
28.072247 23.953867 40.6443   23.957386 39.608593 44.957756 42.81464 34.9836   60.15245  48.48639  22.656958 71.83551 ,7238.063,85.07680641,0.672934,weighted24,12,-0.016046124,0
 22.072163   33.89863    50.53229    42.63588    61.943314   17.405663  36.420563   20.495562   56.663483   32.467094  -13.6817665  85.65138  ,3462.6182,58.84401553,0.5813498,weighted24,12,-0.318374922,0
43.59341   19.652376  47.551327  31.322445  34.927795  46.2993 38.211323  43.38732   58.35785   52.924606   5.7427397 85.68858  ,13872.659,117.7822532,0.7169656,weighted24,12,0.12645296,0
 13.054994  18.435093  54.03421   28.473282  50.88088   26.18234  40.98137   16.993738  46.97596   39.382782 -11.736007 104.512596,9962.438,99.81201569,0.72733504,weighted24,12,-0.015169613,0
19.830616 24.745375 37.519054 17.142073 16.884377 52.963223 35.488068 39.33112  81.48388  53.12686  31.218683 96.0134  ,12455.591,111.6046183,0.7172113,weighted24,12,-0.246064305,0
12.96427   21.8597    24.711205  35.455147  14.2123165 66.96995 22.331635  45.2446    75.27309   62.623356  44.88784   63.85375  ,5296.717,72.77854627,0.6269102,weighted24,12,-0.024965066,0
 6.2477903 39.520138  51.911953  33.014614  23.305311  58.529247 37.521202  44.42878   64.01368   77.15524   50.97118   45.813602 ,9548.484,97.71634651,0.6856341,weighted24,12,0.3153405,0
19.80928  28.16692  54.895187 47.15454  49.884033 46.494312 35.682735 41.063644 55.97712  46.59671   4.863883 69.386215,1308.2328,36.1695008,0.3725032,weighted24,12,-0.392703599,0
31.772804 29.256142 54.328793 34.651054 49.22369  46.013226 29.668375 23.87094  50.857353 58.988094  9.340793 78.14465 ,768.60785,27.72377768,0.3460419,weighted24,12,0.087610923,0
26.44544   17.771606  56.51715   28.132483  38.80939   43.587315 21.942104  32.11939   63.69488   60.528786   5.7279944 94.949745 ,985.1641,31.38732425,0.39338195,weighted24,12,0.404976718,0
19.066717 23.730764 33.917053 44.719646 20.980076 59.06513  29.955456 51.01366  67.89717  74.172165 28.85627  71.26771 ,3601.2922,60.01076767,0.5757105,weighted24,12,0.542629625,0
26.584118 24.749386 37.20671  51.030514 38.862247 40.070362 37.39383 42.742233 57.27523  34.54172  -5.375857 80.84338 ,6678.231,81.72044394,0.671097,weighted24,12,0.201040365,0
23.183184  17.788603  45.244778  11.126822   6.9895473 46.570923 34.252666  27.131287  52.4797    52.413696  29.961842  71.483246 ,19596.924,139.9890132,0.8016913,weighted24,12,0.426857215,0
10.557196  39.459435  55.60627   52.10109   28.571026  32.200607 51.796837  38.34176   40.982494  45.46181    4.3021064 63.09582  ,20415.275,142.8820331,0.7607105,weighted24,12,-0.034479359,0
34.88821   17.579165  73.023605  -6.9052086  3.7558572 63.435593 41.3136    43.15384   50.623512  58.78242   56.754005  56.684315 ,35480.043,188.3614689,0.8097444,weighted24,12,-0.407411988,0
25.996866 42.647762 43.457687 29.657236 32.699337 54.824654 46.32368 34.457344 49.702576 45.710205 27.189198 45.47361 ,1341.5334,36.62694974,0.31783617,weighted24,12,-0.407290185,0
30.159925 27.63589  62.04837  18.767113 36.98887  40.72671  27.785418 25.90703  51.16974  67.38367  27.136057 55.040436,944.67303,30.73553375,0.40898636,weighted24,12,0.195771614,0
36.574665 19.340845 62.58822  26.962978 43.627823 41.655502 25.820322 36.459896 51.407753 60.35228   5.408542 86.79821 ,780.6541,27.94018815,0.32004228,weighted24,12,0.280676846,0
 4.014488   6.2487288 47.650784  46.099857  25.155024  43.78467 14.830382  26.394274  60.771503  47.21771   -8.699062  95.90793  ,21598.887,146.9655971,0.8108158,weighted24,12,0.272390266,0
47.374012  74.46902   36.871487  36.801384  44.7622    58.612732 71.20168   42.21011   72.93491   40.53322    4.2009687 97.003426 ,3676.5388,60.6344689,0.48838043,weighted24,12,-0.011708032,0
-1.3177763 26.14655   74.44696   26.137978  34.40834   25.398026 39.79614   21.995031  75.39375   73.99459   12.176656  88.64953  ,6772.045,82.29243539,0.65630573,weighted24,12,0.350535935,0
 8.316637 28.820408 57.260853 38.822166 56.94765  54.07458  32.14436 25.396072 80.91938  75.16159  16.53976  43.185555,4462.3203,66.80060114,0.5791705,weighted24,12,-0.007390094,0
 6.8410444 17.20385   55.051918  31.514343  56.44634   45.626465 38.66183   35.353935  66.01707   56.646965   9.58467   98.100586 ,9530.313,97.62332445,0.68314713,weighted24,12,-0.221657558,0
20.671711 49.611355 31.711405 30.715029 44.352478 59.02491  38.559624 33.3382   81.19177  60.5775   38.991898 52.723663,5484.1353,74.05494753,0.6175553,weighted24,12,0.327650439,0
24.268581 27.279476 43.752647 24.173359 18.800587 49.451694 46.558937 41.198215 67.84241  53.78125  38.9806   67.43441 ,5718.7163,75.62219455,0.6432399,weighted24,12,0.603001623,0
23.299988 41.75279  29.32045  48.73131  54.793568 57.474792 38.027752 21.73044  34.69164  46.730328 25.438696 32.71107 ,7408.386,86.07198284,0.6863411,weighted24,12,-0.652155453,0
26.821796 34.297783 74.93588   4.103734 51.570667 45.199303 79.29392 27.497858 41.99211  64.34097  56.558044 44.336792,6210.4707,78.80653972,0.6185313,weighted24,12,-0.109954878,0
29.31491  45.084385 44.970097 38.23646  59.00613  57.760838 55.542744 50.533455 55.442738 50.624413 50.581295 46.89743 ,426.14368,20.64324773,0.251131,weighted24,12,-0.626300982,0
32.053886  15.49767   49.668037  -2.1095238 59.25261   62.615253 24.596746  38.449314  74.72807   49.19005   46.89537   36.72568  ,9283.618,96.35153431,0.6881607,weighted24,12,0.430847821,0
31.500616  52.14246   34.735023  63.04382   52.680843  48.689262 53.602715  25.845715  49.286804  31.35865   -6.2530537 96.210686 ,9588.7295,97.92205825,0.6734907,weighted24,12,-0.341878834,0
19.320662 32.676193 46.59443  21.811676 24.519289 56.90125  66.479004 33.211567 59.9236   63.57373  42.84013  51.09613 ,4104.476,64.06618511,0.4992679,weighted24,12,-0.625038211,0
15.71814  38.37146  59.464157 36.65102  40.358044 50.677174 39.78624 48.69467  58.67182  63.45343  23.088924 63.33177 ,260.57516,16.14234075,0.24698097,weighted24,12,0.14514341,0
27.70001  30.31822  46.111046 28.453558 40.496758 50.811954 54.39847 50.876072 54.789448 77.017975 49.829563 44.728416,493.54297,22.21582699,0.7037018,weighted24,12,-0.327678388,0
31.533232 38.17832  48.724705 61.56375  44.460102 42.1416   36.23531 62.79429  65.13985  63.358696  5.90062  55.84165 ,1328.5096,36.44872623,2.77915,weighted24,12,0.138503223,0
 50.11076   13.687632  51.277576  57.326447  53.192368  36.44075  24.130472  34.21574   55.343143  55.9306   -15.733685  92.2793  ,794.9409,28.19469663,0.6531174,weighted24,12,-0.085935848,0
 30.633553  26.39133   56.17042   53.560894  35.980137  42.996014  24.725073  23.377123  58.26418   46.978714 -28.113754 125.403656,1268.5082,35.61612245,0.79006815,weighted24,12,-0.122213982,0
 31.745308   22.719856   15.64141    47.057045    6.5754952  65.19303  33.527306   57.298687   76.31799    59.060135   33.79957   105.08675  ,747.4816,27.34011025,0.55929565,weighted24,12,0.272419811,0
30.4487   30.42291  23.489988 56.680054 27.339464 51.14821  32.74658 56.793346 72.2279   50.433468 12.445433 78.13644 ,739.49896,27.1937302,1.1090149,weighted24,12,0.270333092,0
 41.526665  17.103142  33.58662   42.00374   35.064827  41.10146  12.952622  37.988815  66.91791   38.25195  -13.584403 112.060715,6941.3745,83.3149117,0.69428605,weighted24,12,-0.396344128,0
 47.105953   22.683952   25.359724   34.248142   27.047237   31.74251  31.190886   21.077913   65.38809     8.3126335 -27.23383   130.43776  ,1946.9044,44.12373986,0.4717097,weighted24,12,0.24401126,0
 23.733465  18.391249  30.81071   12.252315 -14.08109   47.318497  27.0351    26.005615  68.098045  57.01893   33.119137  90.00849 ,8162.9883,90.34925723,0.7189447,weighted24,12,0.38466186,0
22.591246 30.077234 16.317144 49.875645 30.833017 60.59536  19.674555 42.221977 64.98252  64.77839  18.793575 67.98739 ,2790.239,52.82271305,0.48947105,weighted24,12,-0.458377393,0
  5.85326   26.952736  51.689804  37.679375  33.00501   43.349762  51.02081   34.72855   49.762623  53.654633  12.240311 108.3369  ,2563.222,50.62827198,0.55876744,weighted24,12,0.161345492,0
37.69187  45.79768  47.924644 37.777763 51.412834 55.0623   39.651333 47.079357 57.200974 60.347244 33.72152  48.54699 ,598.4743,24.46373447,0.2949997,weighted24,12,-0.041599344,0
37.55954  23.137022 56.005695 17.773676 17.639828 52.409916 41.05605 47.15968  55.722347 63.510338 42.810028 61.720516,5513.9644,74.25607285,0.6279947,weighted24,12,0.536310769,0
