id,predict_data,mse,rmse,smooth,skip,result_corr
0,25.816118 26.430502 28.407272 27.53719  24.195587 30.57241  33.89451 27.859964 25.15332  23.679861 27.638927 24.502275,2420.1838,49.19536399,raw,6,0.4632437270704732
1,27.467663 30.200497 24.467482 29.0291   24.17082  24.673977 34.547287 24.439508 27.075264 24.30061  26.758533 22.233904,1650.6445,40.62812488,raw,6,0.2635535980013984
2,25.285515 20.169756 24.378746 26.14275  26.645529 34.97552  35.288296 21.000628 35.56128  28.882465 30.758505 23.286875,579.6043,24.07497267,raw,6,-0.46147343595521256
3,25.615103 25.205124 26.596516 30.207384 26.839783 40.727917 38.90245 28.307934 33.637096 20.409096 30.525295 22.005781,559.342,23.65041184,raw,6,-0.21117330845725024
4,25.10864  26.517197 22.52291  32.32861  21.895046 36.701378 34.918694 30.004568 28.591377 26.142836 31.0116   28.205702,948.91943,30.80453593,raw,6,0.16676243809823393
5,29.118526 28.86499  22.533072 29.41746  21.001978 35.136417 36.583088 30.230766 25.89974  26.540783 27.19167  29.239767,977.38184,31.26310663,raw,6,-0.31273985015950256
6,30.469553 27.660736 25.868256 28.235252 22.063065 33.11178  35.88859 30.94191  26.49531  27.688234 27.293173 27.386055,1354.8795,36.80868806,raw,6,0.012163064682559663
7,28.457933 27.510197 25.464304 24.5564   21.601986 35.596546 37.80613 29.29669  24.451374 26.992348 26.473    26.718697,2433.0981,49.32644468,raw,6,-0.02678034743570954
8,25.568857 23.370127 26.27248  25.084953 22.96395  34.67179  36.29769 27.378252 22.814455 27.71698  27.966597 28.69565 ,3001.2256,54.78344263,raw,6,0.15813101572500582
9,27.539234 25.674051 23.498203 24.89408  20.326765 36.56078  37.607594 30.081766 22.56146  26.614346 26.526735 28.266811,2587.9802,50.872195,raw,6,-0.1662055005790884
10,27.326519 24.984608 26.127632 23.925385 22.42934  33.3533   36.549854 28.57389  23.980675 26.225485 27.253475 27.430857,2785.6228,52.77899964,raw,6,-0.10143586531315207
11,27.860174 23.554022 25.695957 23.73918  21.802347 34.12518  34.390205 28.620113 23.691042 28.460808 27.576572 27.94498 ,4819.317,69.42130001,raw,6,0.23155627607583673
