id,predict_data,mse,rmse,smooth,skip,result_corr
0,32.028694 29.189734 24.239454 24.650883 26.918669 23.352905 23.308813 24.574627 25.131395 22.769133 21.290218 25.114624,2578.138,50.77536745,rolling3,6,-0.689608864982207
1,21.395126 28.57819  25.577776 26.040136 29.727373 23.903608 26.73022 19.31232  25.362091 24.378061 21.784603 26.703897,2080.6418,45.61405316,rolling3,6,0.2542523356040326
2,29.58534  34.242565 24.27431  28.302027 28.532318 19.211123 25.35974 19.329515 27.761076 22.806025 21.251646 32.586597,686.0928,26.1933727,rolling3,6,0.5222518346860775
3,29.111994 29.688591 26.888863 25.202    36.611687 16.844398 28.419497 23.383257 29.117464 24.337852 23.128199 32.095695,605.6986,24.61094489,rolling3,6,-0.047392803768109476
4,33.874763 31.527102 26.561184 24.417324 35.627213 12.588202 29.033285 27.392635 27.42534  20.899305 19.657728 32.653267,1062.5846,32.59730962,rolling3,6,-0.30872827964465804
5,30.607653 30.324495 24.725658 22.638113 30.686073 16.62186  27.24125 22.167902 26.858131 19.237242 22.557846 30.112236,1152.1277,33.94300643,rolling3,6,0.01775330102110273
6,29.936451 33.116234 24.441868 23.712313 28.198355 15.671761 26.177788 22.129211 26.29753  19.752148 21.530664 28.184015,1513.5245,38.90404267,rolling3,6,-0.16041991086314616
7,29.208338 34.739147 24.814142 23.868738 29.844435 14.555572 24.974577 22.301855 26.222229 21.608727 20.753832 28.638151,2560.5005,50.60138821,rolling3,6,-0.524236746171346
8,31.82733  36.35952  26.184027 23.88207  31.782976 11.983211 24.252455 24.53223  26.314444 22.756783 20.223562 29.281597,3173.3167,56.33219906,rolling3,6,-0.3907118562022712
9,31.150127 33.94552  26.769018 23.11121  34.286304 13.736559 23.202805 22.071596 26.645061 23.007616 25.265686 32.988853,2818.5662,53.09017011,rolling3,6,-0.08096468995975781
10,29.902079 35.754528 24.716534 25.436897 32.411564 13.387919 24.485847 23.134827 26.651598 23.463505 23.238293 30.737637,2750.0469,52.44088934,rolling3,6,0.23212075456097936
11,29.78164  34.092907 25.61665  23.456902 31.162096 14.467689 23.160078 22.157726 26.051823 23.547966 22.348509 28.560913,4705.5337,68.59689272,rolling3,6,-0.43910412641119184
12,29.99828  34.291515 25.279493 23.449417 31.911324 15.190517 24.513859 23.807037 26.139923 23.278473 22.135683 30.22002 ,6659.207,81.60396456,rolling3,6,-0.5312470267643764
13,25.547035 32.71318  24.838398 25.357761 34.6759   18.478226 25.478678 21.43512  28.609142 23.256397 26.580418 31.728794,5070.189,71.20525939,rolling3,6,0.10854785592148752
14,25.574057 33.97797  23.013212 29.413841 28.610867 17.896914 25.81234 16.896252 27.107956 22.725979 22.01563  33.032307,3647.3743,60.39349524,rolling3,6,0.18455691380445868
15,26.862465 29.278214 22.614788 21.614346 28.41889  17.084394 26.740717 19.56685  27.91443  20.897902 21.42326  28.073406,6169.3286,78.54507377,rolling3,6,-0.2205796326249561
16,32.441074 29.91573  28.037369 25.637356 34.307545 16.799095 23.713587 26.928148 29.511562 21.715569 20.851763 30.974602,8299.507,91.10162916,rolling3,6,-0.42503487271839724
17,24.686062 31.380516 23.731262 24.692547 33.643475 19.294178 22.636927 19.3745   31.875443 21.232203 30.52099  33.17528 ,6760.9224,82.22482814,rolling3,6,-0.10243266584667182
18,21.540733 30.868525 21.921585 24.807564 25.638151 19.606724 27.544796 15.295442 27.888287 20.504436 24.996046 33.4145  ,5796.207,76.13282493,rolling3,6,0.37641195030799024
19,26.18239  27.11267  25.433065 25.55656  29.478298 23.65958  26.810852 19.697878 28.68746  19.462965 21.667217 29.45972 ,9474.678,97.33795629,rolling3,6,-0.2568659940049982
20,31.638044 28.785976 27.976599 26.450142 33.969418 23.54746  17.328505 21.786804 29.855137 18.397902 25.569082 33.41231 ,9564.106,97.79624965,rolling3,6,0.1533562613321077
21,20.876925 28.531132 22.251972 25.497091 32.74073  19.11899  27.682568 20.643768 30.110538 22.429676 28.605762 30.828522,6123.693,78.25402783,rolling3,6,-0.30092826528231553
22,22.195896 31.619278 22.315084 27.54014  26.835842 23.439634 25.934374 17.11973  26.69292  20.815792 24.286297 31.794744,4776.2046,69.11009036,rolling3,6,0.16965283912209408
23,23.489552 31.44775  23.842188 28.318413 28.079185 28.160185 22.744638 16.753525 29.011534 19.659883 24.64024  29.343403,6638.42,81.4764992,rolling3,6,-0.14582440003587457
24,30.23771  30.694967 24.385784 29.2505   28.78233  23.074446 23.44551 23.753832 27.899714 22.6488   21.759275 28.42607 ,9429.587,97.10606013,rolling3,6,-0.6794661026811643
25,23.176384 25.565292 23.726917 25.598537 32.702873 24.137596 23.128136 20.432133 29.956606 22.134829 29.47901  29.313646,7736.3223,87.95636569,rolling3,6,-0.14594662974815364
26,21.6652   32.550564 21.688305 27.69834  27.846537 20.497255 27.54753 20.860092 26.924791 21.66263  23.69613  30.501108,4561.813,67.54119475,rolling3,6,-0.0913002113849963
27,24.593979 28.90465  21.830908 25.432976 25.93213  25.743443 23.370129 18.230528 29.838232 18.114529 25.13647  30.17561 ,6654.549,81.57541804,rolling3,6,0.18317342394459024
28,24.920725 27.48802  21.95323  26.406221 27.454529 24.181425 27.207445 20.263773 27.762526 18.687893 21.644209 29.778078,16507.713,128.4823447,rolling3,6,-0.22505129859208767
29,26.39151  27.35859  22.554672 24.397762 31.955322 21.39233  22.601822 21.697609 30.845982 18.302523 28.891304 29.360073,18384.662,135.5900517,rolling3,6,-0.07353719925555124
30,23.938585 31.866867 23.821123 26.629787 27.30429  23.059393 22.894365 17.069815 28.667881 21.976585 22.319077 28.648767,11933.699,109.2414721,rolling3,6,0.3143107639904126
31,24.586079 30.241419 23.45322  26.409262 27.699677 24.024675 25.336273 18.897392 26.740076 22.390903 20.325201 26.470713,12934.185,113.7285565,rolling3,6,-0.4354129923032559
32,29.464495 32.466747 25.096216 30.364534 29.475565 26.305487 19.847075 20.450037 28.212442 21.949738 20.128178 29.58085 ,15571.774,124.786916,rolling3,6,-0.6969676906314045
33,23.617613 30.71703  25.130203 27.798677 37.023888 18.23621  26.348309 20.764103 29.361721 22.741869 24.536676 31.456043,12161.434,110.2788901,rolling3,6,0.1079915211379391
34,29.675554 35.39394  21.445478 27.006905 26.14689  21.026817 20.050186 17.826336 29.033934 21.034105 21.730076 32.027508,7577.6294,87.04958009,rolling3,6,0.6111840654773424
35,26.576979 29.852325 25.302643 25.493896 31.231909 20.220917 24.561563 23.374636 29.744907 22.23343  22.341627 27.35161 ,9882.036,99.40843089,rolling3,6,-0.2734713404198441
36,30.431236 33.236732 23.840601 23.285551 31.932795 18.690115 20.96543 24.078583 30.782997 19.347294 27.946255 32.686844,12842.399,113.3243108,rolling3,6,-0.3197828562292004
37,26.082241 30.870174 22.132685 22.430033 31.85001  17.930105 24.381426 21.084421 31.093128 19.95668  29.965136 33.955936,8786.115,93.73427993,rolling3,6,-0.31946568912850093
38,23.814482 30.998005 21.28065  25.44918  27.703001 22.671179 25.938442 19.428299 28.791145 18.016075 25.132465 32.89709 ,2732.4934,52.2732571,rolling3,6,0.0725222518161272
39,25.56027  31.068602 22.37731  26.025955 26.095274 28.408762 21.368038 18.618433 29.329748 17.612267 24.04208  27.865099,991.0914,31.48160367,rolling3,6,0.29225793468952604
40,24.270617 27.884968 22.60589  26.793821 26.653276 29.394009 25.661592 20.627932 28.495338 17.418665 23.73089  28.861017,1315.2694,36.2666432,rolling3,6,-0.2279053914873757
41,25.482275 29.370806 21.148325 27.382872 27.022743 26.100067 27.389894 20.782587 26.942959 19.072615 22.420609 29.62552 ,1529.0015,39.10244832,rolling3,6,0.1252321225925342
42,26.79038  29.761015 25.076174 28.357227 31.487682 24.575169 22.366852 22.293356 27.155071 23.600735 25.126837 26.9728  ,1428.401,37.79419269,rolling3,6,0.10410661121377808
43,26.203299 32.048    22.899876 28.435867 26.86574  23.326809 25.595737 22.112278 23.532372 26.413467 19.854956 24.83981 ,3041.3699,55.14861624,rolling3,6,-0.54988993736901
44,33.33006  32.115868 25.153069 22.376328 31.515406 20.307732 18.779745 26.608002 26.568539 20.133127 25.979368 29.113197,5399.52,73.48142636,rolling3,6,-0.4031717694115753
45,24.557426 30.104073 23.01327  24.067123 28.253126 23.224045 24.801224 21.129778 27.213865 23.36586  26.074318 29.379232,6893.5396,83.02734219,rolling3,6,-0.10307103559161304
46,24.658623 31.098133 23.262142 26.869204 27.55649  25.994516 24.534569 19.51787  26.269947 20.473564 24.964428 31.575449,8295.053,91.0771801,rolling3,6,0.0810620022209308
47,26.393702 31.018787 23.32358  29.421822 26.740187 29.223394 22.446238 18.958826 27.184929 23.589643 21.543728 25.810259,13120.887,114.5464391,rolling3,6,-0.469114035337688
48,30.563572 27.943308 25.51257  27.215364 30.796139 23.71098  22.273993 25.463936 28.800344 22.363794 22.070837 26.871527,21030.518,145.0190249,rolling3,6,-0.5505153985388095
