id,predict_data,mse,rmse,smooth,skip,result_corr
0,25.762676 27.738499 23.792252 28.60696  26.670296 27.044495 26.355732 20.537884 25.80098  26.82224  31.412764 32.4107  ,1902.424,43.61678519,weighted6,6,-0.008679227083732144
1,27.213001 29.134037 21.706661 29.124224 26.7295   28.818293 24.202883 22.31968  28.94311  27.778515 29.156576 30.51625 ,1895.0381,43.53203517,weighted6,6,-0.28806534962182606
2,29.170822 28.81792  23.27563  30.296179 21.497173 27.506477 25.792215 25.576893 29.450191 29.585896 32.798412 32.561264,794.57806,28.1882611,weighted6,6,-0.13838714670457644
3,27.053741 24.462996 22.588818 30.856842 18.89337  24.112497 27.566853 26.8525   30.166838 28.744396 34.340973 34.411663,591.2173,24.31496011,weighted6,6,0.7739769293949901
4,28.909771 23.46496  22.981113 30.72563  17.577925 27.68993  29.72898 23.373987 27.967028 28.746046 32.414963 32.028908,867.408,29.45179146,weighted6,6,0.5053185995456327
5,25.770182 22.881292 23.221334 29.636963 19.290483 28.498219 30.286198 20.03966  28.753483 28.711445 31.438728 32.53906 ,1031.168,32.1118042,weighted6,6,-0.3518360535412633
6,23.82052  23.725021 21.742052 28.141438 20.79923  29.495838 28.906492 21.66421  28.643496 31.045345 30.70124  31.538092,1221.0166,34.94304797,weighted6,6,0.6147228836584657
7,23.789026 22.761065 19.787245 27.723871 20.581444 29.979177 29.083626 22.328629 29.34682  31.960835 30.24015  31.632572,2061.9429,45.40862111,weighted6,6,0.645404677905085
8,23.880302 22.408756 19.851156 28.654776 19.942568 30.531725 30.306925 22.838049 27.518196 32.569477 28.329168 28.552322,2881.2532,53.67730595,weighted6,6,0.6027052057057556
9,25.409254 22.629988 20.437246 27.871313 19.664434 30.260893 30.690147 22.031889 28.071194 32.999546 29.039272 29.282785,2832.6719,53.22285106,weighted6,6,-0.46506957595457354
10,25.245132 25.064674 20.256565 27.601063 21.56057  29.444372 30.496368 21.693861 26.67333  32.09496  28.902544 31.013977,2651.6829,51.4944935,weighted6,6,0.3288829958380355
11,26.502045 24.265629 19.48559  27.131163 21.604246 30.619692 29.865469 22.616013 28.596035 31.681839 29.313099 31.171608,3923.3352,62.63653251,weighted6,6,0.5888029009866952
12,26.882168 23.082924 20.198643 27.859058 20.414398 29.181599 30.900349 23.963305 27.395737 31.191883 28.531607 29.09799 ,5955.158,77.16967152,weighted6,6,0.48613751049356
13,19.980633 30.470312 21.349327 28.511103 28.838938 27.453295 32.50873 15.63082  21.674587 29.948692 25.907894 30.330189,5355.1045,73.17857946,weighted6,6,-0.008819016388919194
14,25.833275 33.579548 21.389952 26.402529 25.87373  28.576044 29.734936 19.485897 25.349497 32.293312 30.013166 33.76287 ,3602.335,60.01945485,weighted6,6,0.41768092378079685
15,25.139112 29.860794 22.567085 27.43856  25.49172  23.505405 30.393652 22.928875 24.710312 30.512976 29.336063 33.89042 ,5091.098,71.35193161,weighted6,6,0.45223747411378057
16,25.773626 26.338898 19.110296 27.63519  23.346394 25.35939  29.431253 23.423439 26.049507 31.40204  28.743717 29.459135,7696.228,87.72814843,weighted6,6,0.34717683563376855
17,20.23083  33.735313 21.664377 27.024532 29.817478 24.432247 33.069485 16.886557 21.189259 29.929583 27.473545 30.718277,6987.016,83.58837307,weighted6,6,-0.06655041078392362
18,25.454567 34.1105   20.941252 27.092913 27.14982  26.925661 29.483347 18.681707 24.65479  30.860775 29.020714 31.25157 ,5455.078,73.8585007,weighted6,6,0.41904956269169585
19,27.86409  31.241388 21.485495 26.278254 26.946526 25.568447 30.219547 19.753242 24.521612 28.25621  32.287594 33.805042,8077.097,89.87267198,weighted6,6,0.15564384766973283
20,29.339558 31.300049 22.975676 28.036665 27.559454 26.410374 30.49184 20.188026 23.852026 26.626629 35.46455  30.446053,9193.423,95.88233858,weighted6,6,-0.2540522875962662
21,22.360947 28.783178 21.478443 27.900337 26.463844 26.902042 30.581612 19.859182 24.021217 32.121487 29.720596 25.414467,6754.2573,82.18428879,weighted6,6,-0.26619056582085604
22,30.730726 32.70315  20.823286 25.17268  27.664974 28.849712 29.726929 18.29315  25.101282 28.587952 31.481216 32.36967 ,4688.8687,68.47531418,weighted6,6,0.41271739310641997
23,29.791306 31.40073  23.87023  26.992418 28.08727  28.421583 29.469353 18.820995 26.090673 25.18204  30.776154 32.10833 ,5801.761,76.16929323,weighted6,6,0.07185673713333388
24,26.45918  28.668026 21.614994 25.528467 26.79996  27.467161 27.418907 21.95193  26.23432  29.96785  33.46419  28.679962,8502.157,92.20714303,weighted6,6,0.3018871689682327
25,26.389555 32.60012  21.619192 25.168308 31.446579 26.492083 28.632929 18.953613 24.326628 28.25383  33.08309  30.940203,7732.558,87.9349652,weighted6,6,-0.20337920313332247
26,31.360287 33.671227 22.617548 27.321651 27.980211 28.783949 26.504715 19.835747 25.016903 29.018936 32.006554 28.387928,4818.8013,69.41758617,weighted6,6,0.3439635205332418
27,26.689365 35.328224 22.308529 25.603422 30.975368 25.82177  30.240702 17.482727 23.818127 26.94939  32.335632 33.60597 ,5575.033,74.66614496,weighted6,6,0.3520810427165274
28,30.53921  31.331411 21.032084 25.195631 26.274054 28.111284 26.91093 21.723955 27.138851 30.218433 34.178856 30.56895 ,13054.727,114.2572823,weighted6,6,0.2109089063970006
29,27.724407 31.96301  23.002594 27.707329 30.9269   26.50966  29.836782 16.601526 21.668024 24.42293  31.36652  30.400438,16974.383,130.2857736,weighted6,6,-0.036626776562146836
30,29.617989 32.017975 21.074545 27.230988 27.249601 28.017471 27.21543 19.369507 25.399149 27.999107 31.555182 28.613869,12587.864,112.1956517,weighted6,6,0.269308850845168
31,29.538029 30.168694 21.659863 26.845179 28.340172 28.65972  29.729342 17.32124  24.291279 27.363592 32.35053  32.128933,12091.71,109.9623115,weighted6,6,0.1751016372423169
32,27.090168 31.07834  21.903915 26.755087 29.533606 27.11405  29.874569 18.41222  23.241968 29.046818 33.65059  30.883825,14534.897,120.5607625,weighted6,6,0.018667195995185792
33,28.389204 29.596527 20.38775  29.105267 25.075764 25.723316 28.384499 20.76967  25.553251 29.956572 31.84891  30.633911,12661.509,112.52337,weighted6,6,-0.4142805172276921
34,28.190153 30.612734 21.439491 27.704536 24.558804 25.02463  29.889906 20.210403 26.075022 29.546543 30.405457 33.30585 ,8230.774,90.72361553,weighted6,6,0.06334061317658399
35,25.101637 25.146816 17.8585   25.382765 23.331797 26.772293 27.64023 24.475712 30.864828 33.33933  31.394983 31.729372,8920.756,94.44975309,weighted6,6,0.8191884035544035
36,28.39193  28.063538 19.712572 25.89457  23.683765 26.592741 31.432865 21.373041 26.410084 31.323278 30.877174 32.218285,11790.465,108.5839069,weighted6,6,0.08393612696046104
37,26.83065  29.682865 20.275133 26.95094  23.800734 25.676603 30.7443 21.222633 25.481455 31.516668 30.264343 28.965704,9290.924,96.38943836,weighted6,6,-0.44662420969597033
38,31.055796 31.75125  20.41285  25.68831  26.185188 26.46588  29.914238 19.4709   25.863802 27.832354 31.598753 32.22111 ,3533.6035,59.44412095,weighted6,6,0.061866965737182436
39,30.102064 33.722816 22.61419  26.398705 29.814823 27.301237 29.69909 16.23164  24.561337 24.556334 33.053047 33.286324,1103.0526,33.21223588,weighted6,6,0.17611124886687904
40,29.564547 30.155441 21.529419 27.46588  27.796656 28.304161 27.579174 17.91115  25.83048  26.907303 32.501476 30.156208,1098.2897,33.14045372,weighted6,6,0.28409392253813526
41,30.570253 27.835127 22.758593 28.234438 26.7379   27.38527  26.204695 20.832674 25.280315 27.375006 34.0215   27.826864,1335.8666,36.54950858,weighted6,6,-0.47834053210322713
42,29.997396 29.355753 22.542988 28.806705 28.731218 28.670889 24.79115 19.56884  25.594357 27.054073 35.177475 29.00188 ,1281.744,35.80145274,weighted6,6,0.52915694988985
43,33.94266  25.318735 21.052734 27.38235  23.300934 32.312313 22.738895 23.58173  29.569937 30.52815  33.760826 28.38878 ,2305.1956,48.0124521,weighted6,6,0.2643754017422797
