date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130102 00:00:00,37.47083333,277.8725,37.52666667,95221.10833,330.1540681,1.798609574
20130102 01:00:00,39.78833333,277.5525,38.5125,95237.78417,18.3056132,1.866803621
20130102 02:00:00,42.68166667,277.1175,39.72833333,95260.91917,42.18180757,2.127364848
20130102 03:00:00,46.3825,276.5733333,41.10583333,95290.5575,47.33450644,2.425841227
20130102 04:00:00,51.0375,275.9175,42.80583333,95326.56667,48.17983012,2.738730518
20130102 05:00:00,56.26416667,275.155,44.9025,95367.22167,48.71197376,3.060662622
20130102 06:00:00,61.13666667,274.3325,47.25833333,95415.14417,45.4053879,3.348833454
20130102 07:00:00,65.3275,273.5133333,49.67666667,95468.17333,45.77327032,3.667993874
20130102 08:00:00,68.96916667,272.7425,51.64833333,95525.43,39.58493862,4.069950886
20130102 09:00:00,71.9375,272.2483333,54.24416667,95588.88583,54.21102654,4.564224809
20130102 10:00:00,73.9875,271.7541667,56.69666667,95657.18417,52.41194774,5.046939801
20130102 11:00:00,75.05333333,271.3325,58.485,95727.405,55.28495555,5.568466366
20130102 12:00:00,75.29583333,271.0058333,59.42416667,95800.23667,55.50330195,6.07512178
20130102 13:00:00,74.80583333,270.7708333,59.7175,95871.68917,59.04990158,6.441170172
20130102 14:00:00,73.60166667,270.6158333,59.58916667,95942.83167,54.05072168,6.561105052
20130102 15:00:00,71.43333333,270.54,59.17666667,96012.96667,51.88394156,6.59038088
20130102 16:00:00,68.26333333,270.5466667,58.40833333,96083.86917,52.71050029,6.559913107
20130102 17:00:00,64.53583333,270.6233333,57.33583333,96154.59167,53.0920826,6.534344519
20130102 18:00:00,60.96,270.7166667,56.08583333,96222.67667,51.10803832,6.516443229
20130102 19:00:00,57.90583333,270.8008333,54.7425,96288.86083,53.21507935,6.485656628
20130102 20:00:00,55.34916667,270.9,53.38666667,96353.12167,62.61649336,6.433677468
20130102 21:00:00,53.26916667,270.7675,51.19166667,96414.39833,64.97444241,6.148155702
20130102 22:00:00,51.73083333,270.67,49.18,96472.595,52.39792778,5.810629997
20130102 23:00:00,50.77,270.55,47.65333333,96529.10333,48.91033781,5.436666345
20130103 00:00:00,50.26166667,270.3725,46.7875,96582.6,46.62812384,5.040931962
