date,pm25,temp,rh,psfc,wnd_dir,wnd_spd
20130102 00:00:00,37.25820516,276.8760466,37.09153932,95277.18856,330.1540681,2.29115731
20130102 01:00:00,39.34151042,276.629787,37.97759428,95287.7905,18.3056132,2.337285275
20130102 02:00:00,41.73045445,276.3445829,38.92378456,95301.90945,42.18180757,2.578368721
20130102 03:00:00,44.70220536,276.0244105,39.87743415,95319.46654,47.33450644,2.872784238
20130102 04:00:00,48.34673342,275.6507685,41.02816202,95340.44375,48.17983012,3.180257369
20130102 05:00:00,52.18391386,275.2132449,42.45484919,95365.50655,48.71197376,3.455155049
20130102 06:00:00,55.58313208,274.7362128,44.08542089,95398.31184,45.4053879,3.675036947
20130102 07:00:00,58.24430346,274.2456848,45.77242515,95435.96127,45.77327032,3.854564544
20130102 08:00:00,60.22220064,273.7418737,47.36679345,95477.18598,39.58493862,3.979789762
20130102 09:00:00,61.50112292,273.4935418,49.63036704,95523.79859,54.21102654,4.272287715
20130102 10:00:00,62.11245893,273.2183943,51.52551832,95573.88193,52.41194774,4.518236572
20130102 11:00:00,62.11898665,272.9760796,52.70110419,95626.03291,55.28495555,4.75133503
20130102 12:00:00,61.75020535,272.7995201,53.02712292,95677.65214,55.50330195,4.980626148
20130102 13:00:00,61.13970735,272.6767959,52.80939397,95725.61605,59.04990158,5.165502442
20130102 14:00:00,60.34663796,272.5855197,52.32759627,95773.36761,54.05072168,5.274299682
20130102 15:00:00,59.42696169,272.5220171,51.69817802,95820.51614,51.88394156,5.355526111
20130102 16:00:00,58.49507931,272.4664351,51.04161697,95869.20162,52.71050029,5.409505088
20130102 17:00:00,57.60051416,272.3908422,50.50450097,95919.31327,53.0920826,5.460522251
20130102 18:00:00,56.85664913,272.2615913,50.15854927,95972.1672,51.10803832,5.486940948
20130102 19:00:00,56.28472906,272.079212,49.9476868,96026.21155,53.21507935,5.479311541
20130102 20:00:00,55.8280336,271.8711935,49.80123511,96080.55058,62.61649336,5.415158918
20130102 21:00:00,55.37685014,271.6552356,49.62615646,96136.18362,64.97444241,5.299044114
20130102 22:00:00,54.96002302,271.4442257,49.48526554,96191.53881,52.39792778,5.122025039
20130102 23:00:00,54.60961814,271.2368991,49.29659671,96246.94577,48.91033781,4.932771907
20130103 00:00:00,54.36635917,271.0337316,49.04463311,96298.75957,46.62812384,4.75415605
20130103 01:00:00,54.17813934,270.8319116,48.78260989,96346.42157,45.1465362,4.592507152
20130103 02:00:00,54.02490784,270.6337389,48.5340645,96391.6214,41.51672853,4.418148284
20130103 03:00:00,54.00505532,270.4405103,48.35540048,96435.96498,35.80641775,4.260912225
20130103 04:00:00,54.09371872,270.2477479,48.26589043,96476.03274,39.27216468,4.105208399
20130103 05:00:00,54.24388508,270.051352,48.2767394,96512.13655,31.3902681,3.940848636
20130103 06:00:00,54.64607405,269.849183,48.41440355,96548.44535,16.73359422,3.751462569
20130103 07:00:00,55.28033635,269.646548,48.62159434,96581.76782,10.59942372,3.588996639
20130103 08:00:00,56.14537291,269.4402442,48.92084873,96617.50756,15.69779252,3.427626747
20130103 09:00:00,57.40534434,269.3499076,51.49803776,96648.2526,34.96512077,3.291936676
20130103 10:00:00,58.0842748,269.266103,53.32271979,96676.01755,34.1458198,3.22334146
20130103 11:00:00,58.05735193,269.2205084,52.82234043,96698.74484,27.89727103,3.165131053
20130103 12:00:00,57.71706044,269.2277123,51.48025781,96711.59588,27.22867918,3.096836186
20130103 13:00:00,57.22328777,269.2850212,49.91936114,96716.37217,18.27490516,3.029844312
20130103 14:00:00,56.73889058,269.3899685,48.32386528,96715.92486,20.23527117,3.004744498
20130103 15:00:00,56.34588779,269.5346675,46.8307697,96704.97336,26.37842063,2.983937275
20130103 16:00:00,56.12122194,269.6998254,45.56992509,96690.01325,30.22698675,2.969221408
20130103 17:00:00,56.17413976,269.8653135,44.61805338,96672.70006,39.72828367,2.959447302
20130103 18:00:00,56.70058162,269.9941714,44.01996756,96655.57427,40.89816131,3.007575249
20130103 19:00:00,57.94482529,270.0203279,43.81686987,96642.27286,39.04793502,3.154796671
20130103 20:00:00,59.43075292,269.9697412,43.89256038,96628.57719,43.0136593,3.294545922
20130103 21:00:00,60.85805816,269.8839114,44.03597409,96615.84907,46.92338918,3.334477096
20130103 22:00:00,62.16572453,269.7729004,44.15501579,96603.67726,44.87124566,3.319409121
20130103 23:00:00,63.41074195,269.6467568,44.23882154,96591.06553,35.16214903,3.25233895
20130104 00:00:00,64.59417198,269.5099052,44.29905269,96574.79531,35.15417763,3.200447344
20130104 01:00:00,65.72981255,269.3688179,44.36246105,96552.36319,32.84234967,3.124216619
20130104 02:00:00,66.77744264,269.2294443,44.46886883,96528.47218,28.54424732,3.039863833
20130104 03:00:00,67.83872527,269.0940492,44.62122894,96504.83177,36.36036363,2.958457072
20130104 04:00:00,68.87972202,268.9615095,44.79020573,96479.78285,35.94760208,2.89065201
20130104 05:00:00,69.88765393,268.8291905,44.94722445,96454.39259,30.76854168,2.820366984
20130104 06:00:00,70.89883499,268.6930677,45.09885544,96432.43493,24.79358144,2.768267677
20130104 07:00:00,71.91942202,268.5502412,45.22550756,96412.19928,26.91655462,2.721700479
20130104 08:00:00,72.94866868,268.4068547,45.32117854,96394.10383,36.22218261,2.65958194
20130104 09:00:00,74.26538803,268.3174104,45.41878899,96370.6864,49.30446896,2.552215297
20130104 10:00:00,75.07295419,268.2551561,45.35562352,96345.21354,34.82448916,2.460018466
20130104 11:00:00,75.55315397,268.2659534,45.12216161,96318.11505,25.48071795,2.376574887
20130104 12:00:00,75.6081476,268.3623577,44.7640895,96286.67557,14.03624347,2.321640861
20130104 13:00:00,75.40493959,268.5407062,44.33943591,96248.05104,23.80594352,2.314280614
20130104 14:00:00,75.10593296,268.7808195,43.8231159,96207.99463,32.97472039,2.324637075
20130104 15:00:00,74.65796687,269.0713429,43.22647844,96164.2626,31.22840028,2.376330716
20130104 16:00:00,74.0177463,269.3858237,42.65281679,96117.43997,30.48443883,2.432263918
20130104 17:00:00,73.43200404,269.6887246,42.10428938,96073.1892,29.83326654,2.49501532
20130104 18:00:00,73.40783147,269.9337508,41.58448288,96036.32819,30.27702494,2.615994965
