id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0,  0.          0.          0.          0.          0.          0.   1.0931975  14.919995   26.915655   37.536156   45.84328    55.252834  65.63507    75.70448    85.85265    96.529564  103.71369   109.46111 117.96059   125.359665  131.97122   141.79823   147.3338    155.6126 159.57867   160.86154   165.17711   168.27365   173.98274   176.09796 180.12587   183.71492   186.1217    189.43124   191.13835   192.69264 193.71828   196.15578   199.27136   201.82431   202.05742   204.30893 208.57271   210.22571   211.33514   215.55688   216.85811   220.42746 221.93205   222.52402   227.4428    225.62177   226.35231   231.26804 229.16527   229.73747   228.62451   227.75429   227.06776   220.3697 220.52078   217.73389   215.89883   213.90047   209.83138   205.1182 201.1159    197.29813   194.38982   191.13548   187.61664   184.43617 180.42725   176.19      171.62334   167.4426    162.08537   158.94794 153.30077   148.34514   141.33873   134.85956   129.52838   123.45216 119.0826    111.66649   106.01648    98.568855   92.40091    85.018906  77.67996    73.239395   67.51809    56.82456    49.665936   42.499363  34.907715   27.566917   20.630632   11.934451    5.467166    4.6720757   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.       ,7420.419749,86.14185828,1.74e+16,1440,raw,3,0.6553249672520782
1, 44.81965   56.065784  64.60878   67.52485   82.74462   91.78147  98.589905 113.61718  126.54329  136.78424  142.37308  149.32635 157.40764  164.58015  171.76811  178.99768  181.69025  182.95 186.75192  188.37378  189.64354  193.62675  192.77809  194.32326 191.33551  185.86676  183.703    181.22607  181.9338   177.44759 176.42676  174.99991  171.89857  169.25793  167.11801  164.8248 162.39836  161.64062  161.84898  162.16348  161.08154  162.22054 166.18832  168.54028  170.30963  176.55936  179.34238  184.98753 188.08568  190.86855  199.05028  199.29025  202.56686  210.77638 210.05275  212.84344  213.05267  214.61127  216.91075  210.76254 213.57819  212.0588   211.7904   211.0458   208.47035  204.63785 200.95444  198.34503  196.0208   192.07225  188.49838  182.37979 178.66676  175.48346  170.5562   165.37424  160.14261  158.31723 153.18243  151.18282  146.41078  142.10405  140.33887  137.39888 135.99515  131.80363  129.51164  123.74677  120.910194 117.29515 114.071396 114.907036 114.61263  107.52115  105.43446  103.74303 101.27032   99.66849   99.4629    97.28765   96.23935  102.07814  92.85195   90.65822   88.33017   85.612595  81.596054  79.33234  81.337906  78.388885  79.5496    80.55503   77.7988    80.317215  82.221375  82.6434    84.53475   87.83719   89.30179   90.62956 ,9149.913039,95.65517779,0.601934971,1440,raw,3,0.5692492965481398
2,  0.           0.           0.           0.           0.   0.           0.           9.065886    18.378359    25.906425  30.78392     36.462868    43.14064     49.587875    56.154633  63.193245    66.84943     69.56706     75.13512     79.445076  83.2556      89.90737     93.23355     98.65404    100.63195 100.58235    103.10417    105.00358    108.97234    110.57862 113.23067    116.65463    118.37631    121.00917    122.53195 123.71551    125.05088    127.36258    130.8828     134.13011 135.00226    137.63495    142.68562    145.55722    147.53905 153.34479    156.2147     161.22914    164.24486    166.42168 172.41147    172.11336    174.53351    180.78958    180.1002 181.95825    182.07616    182.52553    183.16139    177.8515 179.10281    177.6929     177.46799    176.47354    173.66376 170.26016    167.11212    164.4796     162.54138    160.05803 158.05469    155.02853    151.9848     148.24356    144.37054 140.7764     135.95924    134.69435    129.33864    126.29312 120.93865    115.6147     111.99868    107.41349    105.0189  99.23707     95.77838     89.91799     85.50855     80.15757  75.05138     72.78386     69.22706     60.55291     55.540123  50.885197    45.888268    40.850464    36.306343    30.239697  26.261644    27.54158     15.780477    11.33913      5.9893837   0.40557566   0.           0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.        ,2036.137384,45.12357903,1.13e+16,1440,raw,3,0.8450331995429896
3, 43.995544  52.797657  58.986813  59.35993   72.50806   78.56692  82.59936   94.72796  105.04456  112.64832  115.83099  120.04839 125.34786  130.03333  134.76408  139.58327  140.19835  139.80774 142.06271  142.28021  142.28424  144.78426  143.44179  144.05907 140.85913  135.61955  133.36113  131.0528   131.29189  127.87284 126.67085  126.30141  123.8779   121.94566  120.426346 118.57352 117.15359  116.850815 118.00802  119.35059  118.87458  120.45447 124.94741  127.91129  130.05386  136.81633  140.29099  146.34773 150.07758  153.37599  161.26114  162.08826  165.91644  174.11212 174.09755  177.22368  177.91747  179.77197  182.2117   176.9982 179.86282  178.97008  179.40761  178.9916   176.9103   173.7043 170.45131  168.35912  166.50735  163.20168  160.71184  155.19966 151.99931  148.80452  144.41235  139.74463  134.7589   133.97386 128.84515  127.48066  123.355774 119.386925 118.04128  115.4868 114.97299  111.24532  109.939545 105.02047  102.78531   99.88923  97.520615  98.860825  99.05285   92.73265   91.203766  90.31672  88.84854   87.84725   88.120445  86.69046   86.567444  92.6788  84.75662   83.51208   81.99075   80.11631   76.83942   74.521126  77.085945  74.567795  76.018616  77.32434   75.09116   77.689735  79.51706   79.98862   81.66129   84.31101   85.53474   86.44481 ,4350.155021,65.95570499,0.535574615,1440,raw,3,0.7368467725810282
4,  0.           0.           0.           0.           0.   0.           0.           0.           0.           3.2331338   6.9999676   11.425135    16.843506    22.07145     27.466578  33.395676    35.97861     37.982594    43.004883    46.660114  49.810562    55.635094    58.748264    63.520203    65.424545  65.55156     67.92817     69.85255     73.43818     75.41873  77.79308     81.50727     83.34587     86.21503     87.847466  89.00768     90.629776    92.94643     96.670265   100.14241 101.20847    103.883125   109.03459    112.02284    113.9911 120.01144    123.15809    128.3725     131.69011    134.18365 140.17258    140.21251    143.00829    149.443      149.22636 151.40836    152.01149    152.90004    153.93898    149.39462 150.97176    150.14809    150.69229    150.26294    148.10965 145.48192    143.03752    141.13918    139.89893    138.32185 137.5443     135.41702    133.25294    130.06233    127.10721 124.44348    120.35165    120.18938    115.28205    113.11956 108.60467    103.91096    100.996155    96.992165    95.51221  90.317566    87.69659     82.589905    78.83487     74.11834  69.6597      67.965996    64.76165     56.597782    51.944485  47.74893     43.251217    38.540287    34.17995     28.408424  24.851263    26.141188    14.831973    10.749798     5.6502376   0.27144772   0.           0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.        ,980.0640057,31.30597396,9239890000000000.0,1440,raw,3,0.8327039824150078
5, 24.710716  31.974375  36.94497   35.948933  48.146168  52.758926  55.576294  66.59526   75.96498   82.55339   85.18871   88.734375  93.33183   97.3658   101.553375 105.94105  106.12549  105.68744 108.109566 108.41186  108.38886  110.731186 109.9767   110.730095 108.31692  103.98153  102.320175 100.73784  101.17855   98.939766  97.93095   98.608215  96.99243   95.924324  94.946465  93.41981  92.72572   92.665184  94.35441   96.2111    95.996796  97.796715 102.43368  105.32026  107.318924 113.95653  117.36291  123.26397 126.953476 130.14154  137.55495  138.30252  141.94946  149.71901 149.75993  152.66914  153.36763  155.11546  157.29955  152.42644 154.98674  154.01439  154.53313  154.13916  152.07722  149.0409 146.03946  144.09918  142.42627  139.7315   138.05038  133.3345 130.6235   127.62197  123.9853   120.06421  115.56604  115.40937 110.46464  109.38131  105.615616 101.89347  100.71742   98.27089  98.27572   94.60735   93.69257   89.160255  87.20504   84.45325  82.20685   83.634254  83.54754   77.20894   75.529175  74.50178  73.037155  71.81278   71.5972    69.79456   69.699104  75.41023  67.40407   66.27137   64.55727   62.484177  59.068676  55.898746  58.092228  55.432564  56.787746  57.68512   55.281513  57.753372  59.171566  59.420246  60.931408  62.98684   63.976055  64.8832  ,1958.930741,44.25980955,0.456440335,1440,raw,3,0.7906301669658184
6, 12.147755  17.752583  21.551645  20.035986  30.554108  34.123837  36.07743   45.161797  53.0296    58.480495  60.870335  63.93839  67.973175  71.81704   75.86251   80.27106   80.9372    81.30642  84.44054   85.862495  86.91253   90.29716   91.169136  93.53129  93.01295   90.63959   90.72508   90.69285   91.99037   91.968575  91.961044  94.26024   94.19421   94.68826   94.57882   93.75475  93.962814  94.32628   96.513306  98.6722    98.29956   99.764305 103.60462  105.55354  106.61464  111.648766 113.999275 118.37647 120.88233  122.69533  127.739914 127.41114  129.66655  135.30391 134.64015  136.26971  136.1228   136.58832  137.23935  132.44087 133.61073  132.0454   131.8868   130.87724  128.26225  124.85608 121.73556  119.45561  117.54421  115.186226 113.77251  110.05213 107.39785  104.16585  100.96588   97.565025  93.3642    93.14155  88.44115   86.71054   82.77329   79.00032   77.20346   74.37414  74.18449   70.24242   69.12802   65.026535  62.85708   59.868626  57.316334  57.85266   56.890648  50.639652  48.219036  46.426514  44.383522  42.42934   41.105198  38.382618  37.708584  41.726025  34.021782  32.750595  30.568575  28.139282  24.65432   20.685413  21.89257   19.202     20.123426  20.381784  17.84323   19.962334  20.751617  20.93711   22.276875  23.762976  24.767883  25.856453,749.8977052,27.38426017,0.333923224,1440,raw,3,0.8473001709104466
7,  1.9939513   6.9340096  10.343575    8.707856   18.599659   21.826141  23.630775   32.18779    39.6453     44.845825   47.436653   50.646748  54.7897     58.76005    62.949085   67.60472    68.71331    69.65853  73.317      75.3407     76.93675    80.76523    82.32067    85.16377  85.38764    83.74212    84.38469    84.77024    86.21398    86.64061  86.85483    89.24821    89.40333    90.198044   90.05618    89.20257  89.31343    89.501144   91.34945    93.033165   92.31554    93.25239  96.33194    97.53841    97.90245   102.062195  103.80719   107.42042 109.33117   110.58236   114.770645  114.07414   115.87591   120.8474 120.06998   121.41605   121.27808   121.60487   122.079994  117.78583 118.851944  117.528015  117.67104   117.00918   114.79458   111.900826 109.44629   107.70771   106.322525  104.81619   104.23729   101.72142  99.83725    97.23086    94.880005   92.44768    89.10272    89.31299  85.33317    83.80957    80.27794    76.97173    75.34311    72.69709  72.636536   68.93665    67.87094    64.1998     62.126503   59.165577  56.51286    56.73204    55.378742   49.26507    46.42373    44.132103  41.562817   39.14604    37.140404   33.728115   32.434162   35.249863  27.380611   25.67449    22.968512   19.992746   16.097586   11.58703  11.799734    8.7687645   9.019545    8.513512    5.701859    7.323808   7.510532    7.284247    8.2328415   9.2255      9.920229   10.91744  ,800.0298195,28.28479838,0.520575775,1440,raw,3,0.7722382611015329
8, 15.397881  19.934864  23.011608  21.173218  30.51017   33.178993  34.651974  42.459846  49.39989   54.03487   56.12643   58.779415  62.339363  65.76782   69.449585  73.592476  74.26506   74.88534  78.06397   79.64509   80.86434   84.16942   85.43537   87.8765  87.85155   85.965614  86.33556   86.52437   87.5121    87.87455  87.69258   90.06145   90.04614   90.51025   90.12401   88.94929  88.91949   88.711754  90.26569   91.692345  90.64002   91.215904  93.80243   94.63225   94.65526   98.33372   99.780396 102.95725 104.51858  105.43331  108.9868   108.11318  109.60261  114.006996 113.063416 114.07531  113.658035 113.689354 113.80756  109.57662 110.31379  108.763405 108.66858  107.79153  105.41367  102.32327  99.739     97.88918   96.298485  94.66881   93.99512   91.29661  89.33974   86.70821   84.370514  81.870445  78.61124   78.7967  74.97013   73.46873   70.12609   67.11472   65.71269   63.35385  63.56714   60.24856   59.581192  56.335358  54.700127  52.239758  50.094807  50.763813  49.914043  44.504555  42.204674  40.47253  38.52437   36.801056  35.467964  32.756824  32.175602  35.3625  28.66214   27.73513   25.779774  23.56998   20.565632  16.817083  17.783998  15.480976  16.364277  16.440035  14.387892  16.557728  17.316996  17.704111  19.196976  20.629116  21.83713   23.301323,808.4865755,28.43389835,0.417026497,1440,raw,3,0.7700770295331008
9, 41.405582  45.362103  48.144382  46.793655  54.923134  57.159946  58.603485  64.89267   70.776535  74.63761   76.37502   78.53401  81.50517   84.58192   87.8847    91.69172   92.49657   93.34123  96.26615   97.95364   99.39991  102.71666  104.19413  106.877945 107.089836 105.35068  105.91488  106.083885 106.58906  107.09219 106.63625  108.814156 108.65559  108.749596 107.8098   106.08415 105.49682  104.45306  105.03531  105.35534  103.13996  102.37254 103.0899   102.33743  100.93569  102.50912  102.54278  103.84365 103.87293  103.26466  104.44735  102.58824  102.770325 105.18262 103.57042  103.49664  102.30604  101.3295   100.337585  96.4067  96.237495  94.38277   93.83429   92.66036   90.14558   86.89089  84.414116  82.60432   80.91987   79.48011   78.83247   76.62252  74.79898   72.37123   70.32287   68.10319   65.362434  65.29807  62.212715  60.336273  57.163303  54.69564   53.294834  51.19904  51.394695  48.587135  48.103584  45.637684  44.32535   42.313725  40.54221   41.082634  40.43803   36.11595   33.985245  32.393482  30.626003  29.340652  28.32112   25.95003   25.603054  27.94465  23.05932   22.788017  21.491476  20.019588  18.109713  15.432573  16.645653  15.29639   16.528418  16.963806  15.951557  18.556166  19.819818  21.034317  23.17127   25.196188  27.228619  29.486792,641.9105802,25.3359543,0.374603334,1440,raw,3,0.8517816375849336
