id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0, 43.620438  48.79792   62.56822   63.896946  67.35134   71.80685  81.695755  84.60237   91.480675  95.45145  102.95488  110.96975 118.327866 127.01184  133.89838  133.73398  141.52515  149.4731 159.89328  157.10103  169.27827  167.48677  176.60434  182.50845 182.0272   193.55177  195.50888  200.68416  196.86705  205.36235 203.36656  207.71622  214.13503  207.45514  211.58522  212.88501 211.43463  210.1719   213.72115  209.04216  208.94112  207.69183 208.75685  198.7968   202.28152  193.52258  192.70866  191.28473 188.24182  185.35312  182.17436  177.9805   173.28444  171.3539 168.21674  165.64607  156.8238   157.58095  153.4461   145.99467 142.08072  141.87013  133.77731  133.07176  128.22076  126.51427 117.82452  119.3378   113.67524  110.66742  108.261    105.94021 102.07333   98.90635   97.811226  92.66682   88.49243   89.44284  85.08205   82.61599   79.03143   77.17909   75.881165  73.545074  68.02465   69.530846  64.655594  58.942795  53.90912   52.614246  51.82582   49.10884   44.794327  43.1501    39.49614   36.389847  31.536488  34.683014  36.177124  33.235893  33.297726  30.680424  30.085737  28.94385   26.144302  25.015438  22.566967  24.2583  26.208866  22.061916  21.699331  21.766348  24.375813  24.063644  28.706652  27.850832  28.13143   29.614607  33.50586   31.871216,7564.427735,86.97371865,0.583594432,0.073812696,rolling6,1,0.16153900896353648
1, 42.697147  47.981316  60.90983   62.48645   65.93027   70.413246  79.90599   83.29001   89.89353   93.25737  100.488785 108.06162 115.18027  124.27188  130.3658   130.09766  137.5942   145.53105 155.35149  152.91714  164.46367  163.11952  171.33824  176.81238 176.59058  187.4117   189.11108  194.23016  191.21603  198.75192 196.65164  201.28152  207.16136  201.10646  204.61093  205.65677 204.7331   203.36848  206.45058  202.04901  201.83917  200.35735 201.63054  192.29759  195.11037  187.01866  186.37996  184.79881 181.88689  178.6935   175.85924  171.71898  167.24657  165.0159 162.02487  159.66786  151.10332  152.05444  148.02328  140.68225 136.8914   136.92548  128.87015  128.36557  123.682236 122.334946 113.728745 115.33646  109.611374 106.919044 104.56865  102.10267  98.41177   95.59492   94.55335   89.39425   85.467384  86.572655  82.454124  79.87796   76.36286   74.44328   73.35564   71.00568  65.466034  67.19671   62.414562  56.618446  52.05086   50.43794  50.330917  47.156563  42.732925  41.17124   37.81979   34.57465  30.448029  33.5253    34.972134  31.660486  31.81002   29.584358  28.736063  27.754301  25.02787   24.388126  21.572092  23.21623  25.29932   21.002987  20.894236  21.279875  23.34183   23.00595  27.583576  26.735203  27.326195  28.455061  32.070053  31.579227,6740.284333,82.09923466,0.568764383,0.014834029,rolling6,1,0.20411529546067925
2, 41.891235  47.206993  59.150314  61.011032  64.485695  69.00389  77.98853   81.79485   88.111946  91.037575  97.97145  105.0666 111.927704 121.183975 126.67652  126.41923  133.61255  141.38965 150.61661  148.5685   159.40628  158.52141  165.91783  171.00592 171.05072  181.07419  182.59895  187.5776   185.34595  191.96353 189.91534  194.643    199.95648  194.61092  197.52936  198.37425 197.88191  196.48541  199.08678  195.02321  194.70612  193.06174 194.41098  185.7901   187.95213  180.54889  180.00273  178.28145 175.481    172.09055  169.5238   165.4815   161.23445  158.76097 155.88103  153.67014  145.48517  146.46898  142.55556  135.45628 131.78455  131.92332  124.074554 123.66025  119.17141  118.06528 109.73059  111.278076 105.61648  103.16902  100.861374  98.285286  94.77954   92.244484  91.19705   86.140205  82.44301   83.564545  79.716515  77.04967   73.61329   71.65114   70.67855   68.34383  62.862995  64.67973   60.05523   54.22798   50.127926  48.210835  48.671684  45.10814   40.63294   39.13252   36.092686  32.750565  29.340467  32.29153   33.647015  30.062277  30.258722  28.409143  27.352535  26.515993  23.911898  23.6823    20.642195  22.191875  24.302805  20.021313  20.120207  20.763142  22.331285  22.002054  26.412117  25.624144  26.477146  27.324661  30.66692   31.122921,5963.365194,77.2228282,0.556991481,0.084635908,rolling6,1,0.24726278174958405
3, 40.24832   45.523876  56.3907    58.46343   61.97085   66.609116  74.9007    79.22842   85.21406   87.54097   94.148254 100.597435 107.16902  116.77941  121.635765 121.17273  128.14258  135.82463 144.51102  142.83243  153.05545  152.63756  159.07018  163.8811 164.11952  173.5098   174.8336   179.72453  178.34453  184.04337 182.09727  186.9653   191.83736  187.23557  189.45996  190.30452 190.27777  188.93803  191.07135  187.39224  187.03494  185.32175 186.93494  179.07254  180.65106  173.97554  173.61195  171.78972 169.16325  165.58577  163.35399  159.45564  155.46568  152.81003 150.08037  148.07742  140.20427  141.37212  137.57883  130.7753 127.1635   127.48711  119.79518  119.54976  115.22698  114.37594 106.32261  107.85111  102.25086   99.96194   97.70179   94.94466  91.6688    89.36171   88.30941   83.35915   79.823875  81.0947  77.54301   74.712364  71.22527   69.3476    68.426254  66.16563  60.89014   62.57815   58.135036  52.462654  48.721428  46.453373  47.546047  43.512714  38.93143   37.55      34.792274  31.514975  28.748821  31.4332    32.617046  28.689098  28.946278  27.493706  26.30296   25.494015  22.940989  23.083141  19.721817  21.270523  23.436777  18.949251  19.24434   20.19139   21.150225  20.745964  25.096737  24.23986   25.25183   25.736933  28.873247  30.267473,5153.300558,71.78649287,0.544865423,0.079921586,rolling6,1,0.29908131305592733
4, 38.232243  43.436584  53.034702  55.37901   58.914356  63.60157  71.14203   75.96436   81.578674  83.387794  89.613556  95.42189 101.66364  111.49545  115.666145 115.2198   121.888374 129.41104 137.45058  136.29962  145.76256  145.92584  151.43698  155.92848 156.50133  165.09827  166.311    171.09053  170.66159  175.42387 173.69528  178.67242  183.03159  179.34016  180.95332  181.76389 182.25824  181.03177  182.70145  179.51756  179.14626  177.3871 179.18784  172.26567  173.2113   167.40648  167.19273  165.29594 162.87245  159.1713   157.27548  153.5649   149.87733  147.03548 144.45969  142.64308  135.23418  136.448    132.80257  126.36468 122.85854  123.262825 115.85153  115.67742  111.56767  110.91573 103.24671  104.62462   99.14953   97.02015   94.7819    91.873116  88.79951   86.70902   85.6001    80.81487   77.445854  78.71258  75.50061   72.494675  69.00827   67.16419   66.24328   64.05262  59.02164   60.502934  56.31433   50.80115   47.484184  44.87464  46.49618   42.052624  37.423428  36.11318   33.651615  30.384186  28.29785   30.66192   31.628744  27.421417  27.672777  26.589897  25.205315  24.446535  21.980207  22.464981  18.854744  20.286753  22.406351  17.872522  18.327671  19.49749   19.85548   19.393703  23.518196  22.644539  23.80304   23.951353  26.774622  29.006985,4362.572123,66.04977004,0.534840197,0.078732696,rolling6,1,0.35556537286789736
5, 35.731606  40.799355  49.016613  51.624523  55.206688  59.96581  66.63579   71.958824  77.1805    78.50762   84.3303    89.4329  95.32955  105.33237  108.89687  108.47449  114.869255 122.19179 129.61409  129.01128  137.71838  138.48015  143.08913  147.33101 148.23541  156.06189  157.21564  161.8738   162.41574  166.28769 164.88676  169.90953  173.79953  171.08286  172.09746  172.97565 173.96652  172.93172  174.15317  171.52116  171.17155  169.43936 171.42932  165.51561  165.87178  160.96762  160.89354  158.95369 156.75017  152.99225  151.41705  147.93459  144.5634   141.58626 139.16075  137.51715  130.61362  131.83571  128.34499  122.3532 118.932335 119.36512  112.302216 112.160576 108.2684   107.75365 100.56306  101.71634   96.43084   94.389565  92.16414   89.103325  86.24238   84.30845   83.11046   78.55572   75.3103    76.53963  73.701866  70.49673   66.973816  65.2229    64.22217   62.145935  57.47421   58.57185   54.698204  49.457165  46.522556  43.574547  45.661415  40.834362  36.176216  34.941216  32.76096   29.5806  28.12242   30.072266  30.760376  26.309025  26.523233  25.791761  24.252558  23.487543  21.10014   21.857456  18.036655  19.343603  21.357134  16.786163  17.359018  18.713266  18.45982   17.918522  21.781622  20.865007  22.090174  21.91075   24.429024  27.351213,3607.425503,60.06184731,0.518656707,0.028625686,rolling6,1,0.4174161863937137
6, 33.907852  38.829     45.580452  48.576077  52.23374   56.93451  62.82729   68.45719   73.31688   74.553566  79.96814   84.54607  90.11053   99.78448  102.95766  103.01925  109.023544 115.920166 122.655945 122.70388  130.45161  131.84766  135.85902  139.77557 141.16145  147.92018  149.18246  153.58698  155.0165   158.08832 157.16414  162.0063   165.26662  163.61452  164.27245  165.04323 166.41777  165.57759  166.36076  164.32764  163.95235  162.2298 164.04349  159.223    158.95024  154.96086  154.83252  152.84904 150.79128  147.11234  145.70189  142.45665  139.38245  136.26862 133.91705  132.30145  126.14809  126.99381  123.67745  118.214455 114.96045  115.147385 108.69445  108.34299  104.74154  104.20067  97.68714   98.36544   93.42011   91.48487   89.24198   86.16753  83.45389   81.65291   80.28834   76.09809   73.02146   73.86468  71.41996   68.10972   64.72728   62.938015  61.806297  59.81456  55.451283  56.210785  52.730087  47.6301    45.206234  42.014534  44.297874  39.30285   34.76756   33.498055  31.627108  28.376448  27.585232  29.191479  29.623344  25.146404  25.226461  24.766298  23.00864   22.350727  20.171257  21.125074  17.376705  18.350212  20.06978   15.931148  16.553175  17.915346  17.255138  16.75204  20.053955  19.299314  20.624886  20.298477  22.390696  25.702824,2991.596869,54.69549222,0.50770549,-0.04667014,rolling6,1,0.47207124272235895
7, 31.90586   36.602848  41.99509   45.267868  49.0425    53.833523  58.82781   64.7977    69.322235  70.43043   75.484634  79.419106  84.68624   94.11502   97.14107   97.36375  103.14719  109.63038 115.90239  116.38845  123.41007  125.285225 128.6843   132.47134 134.1091   140.08969  141.4213   145.58217  147.76053  150.15881 149.73866  154.31361  157.13731  156.39824  156.60548  157.50806 159.11751  158.52878  158.901    157.3942   157.01697  155.40915 157.15259  153.25833  152.52629  149.27249  149.11525  147.10886 145.1797   141.61682  140.33258  137.33359  134.50984  131.36938 129.07742  127.493164 121.93516  122.53882  119.369026 114.48098 111.288086 111.28691  105.38876  104.90185  101.5283   100.92635  95.11361   95.380646  90.80371   88.840065  86.604324  83.47686  80.97259   79.20789   77.696014  73.904335  70.913216  71.53622  69.47178   66.04041   62.654133  61.010628  59.67709   57.85407  53.941204  54.164116  51.067772  46.30113   44.204216  40.764584  43.271072  38.074265  33.61001   32.38243   30.76762   27.67124  27.386904  28.565592  28.700695  24.174313  24.163498  23.97637  22.169823  21.480278  19.44241   20.499054  16.796593  17.598396  19.066755  15.144604  15.788879  17.207981  16.122574  15.594849  18.526005  17.811033  19.10835   18.621893  20.474096  24.039232,2446.507013,49.4621776,0.493897437,-0.001631851,rolling6,1,0.5283853234709962
8, 29.599842   34.058002   38.108578   41.62924    45.513985   50.402767  54.485302   60.80169    64.99129    65.94577    70.64501    73.92608  78.90114    88.13416    91.01153    91.35689    96.94775   103.050674 108.89311   109.8048    116.15384   118.49744   121.29557   124.98988 126.86611   132.14133   133.54839   137.49399   140.41293   142.18066 142.27072   146.60289   149.04391   149.20123   148.97112   150.05235 151.90202   151.58656   151.57828   150.59825   150.24261   148.77383 150.49193   147.50768   146.35895   143.82599   143.66269   141.65273 139.86636   136.43071   135.28432   132.53888   129.96838   126.82162 124.59873   123.060074  118.06862   118.46787   115.44333   111.125694 107.98344   107.814255  102.44736   101.84306    98.688126   98.02749  92.898384   92.77285    88.55869    86.546974   84.32062    81.13523  78.84091    77.09679    75.44378    72.0469     69.119095   69.55416  67.873085   64.30617    60.89129    59.42199    57.872864   56.23633  52.8153     52.443172   49.740833   45.358982   43.5485     39.868652  42.58013    37.187042   32.785755   31.606562   30.223978   27.314276  27.48324    28.200634   28.018507   23.43619    23.32558    23.390972  21.546251   20.789179   18.863733   19.99357    16.312008   16.953398  18.168682   14.405869   15.0534315  16.516703   14.993166   14.412984  16.990744   16.275597   17.503489   16.84125    18.462008   22.229937 ,1954.605857,44.21092464,0.473220812,0.033712274,rolling6,1,0.587465756349004
9, 27.37531   31.605896  34.33069   38.13132   42.124165  47.05156  50.296078  56.889526  60.764435  61.686115  66.04104   68.763145  73.46299   82.37088   85.14107   85.774574  91.138794  96.823906 102.22365  103.59892  109.236885 112.06006  114.38825  117.96456 120.14468  124.64845  126.19179  129.90555  133.52988  134.72589 135.35478  139.41095  141.43608  142.49902  141.9456   143.13535 145.20697  145.15955  144.80025  144.35277  144.01187  142.66774 144.25598  142.18839  140.6232   138.80463  138.58237  136.5749 134.91127  131.63972  130.58763  128.08995  125.763824 122.60317 120.42837  118.894424 114.52963  114.61188  111.73491  107.98115 104.921455 104.506485  99.726204  98.931335  96.01333   95.25141  90.82856   90.2471    86.42183   84.37759   82.14827   78.954  76.83229   75.10591   73.29364   70.3135    67.45925   67.59897  66.300476  62.624725  59.244987  57.89353   56.122566  54.65738  51.702404  50.76163   48.47452   44.42719   42.937275  39.06099  41.871056  36.365047  32.07471   30.900139  29.743973  26.950296  27.560255  27.846193  27.357864  22.788902  22.538374  22.809208  20.88695   20.09895   18.313883  19.486717  15.901112  16.303473  17.207134  13.742412  14.363486  15.797746  13.909758  13.307505  15.430969  14.773528  15.938764  15.155704  16.49146   20.349712,1545.500359,39.31285233,0.455422217,-0.055682895,rolling6,1,0.6431969904795879
