id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   3.309303   11.447118   16.47593    21.48483    28.104765  34.81474    41.82399    47.626625   53.04247    57.12305    62.431736  67.07286    72.39122    76.67621    82.79395    86.781265   90.87027  95.09598    98.68722   102.8486    105.63139   107.67254   111.20003 112.66128   113.494644  114.70341   116.33987   117.54221   118.418 120.72948   123.10045   125.502716  126.355225  127.717804  128.11858 129.08345   128.09496   126.878296  126.50798   126.440506  126.25436 126.24612   125.88497   125.40148   125.0844    123.37337   121.618034 120.40314   118.634     119.16384   119.37661   118.9478    119.22505 117.1598    116.84838   116.33102   116.94043   116.47224   115.82238 114.039116  113.26375   113.97417   113.38804   114.11933   113.55293 112.54075   110.68589   110.52461   108.24459   105.980804  103.366165 101.682014  101.61452   100.28884    97.78708    96.29056    94.97861  92.64379    91.41677    89.598434   87.51411    86.06992    84.41942  81.419266   79.93682    78.68811    76.83471    76.75414    74.31097  69.49293    66.05712    62.819504   56.054203   52.694992   51.024967  47.961636   42.98628    39.693108   36.255108   33.009087   27.756933  24.121359   18.587343   17.047672   16.614286   14.93948    14.434928  14.299555   14.040448   13.917895   13.721122   14.12161    15.620611 ,1409.734488,37.54643109,1.044661286,1440,weighted13,1,0.6640248410628355
1,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.7251754   6.175795   10.599741   16.688631  22.708942   29.173468   34.31947    39.14325    42.65334    47.23464  51.128887   55.832874   59.569088   65.09886    68.60671    72.19875  76.01996    79.16755    82.85466    85.16502    86.8095     90.10538  91.22494    91.7895     92.8602     94.47828    95.53214    96.27082  98.56313   100.95864   103.522736  104.487144  105.99967   106.53795 107.685135  106.89609   105.955696  105.88636   106.14228   106.32621 106.68018   106.865906  106.887436  107.201485  106.02469   104.93727 104.38315   103.31322   104.51184   105.55198   105.88269   106.92431 105.58729   106.10455   106.283134  107.70981   108.10772   108.38121 107.337326  107.316765  108.726715  108.8027    110.46283   110.55258 110.113075  108.77237   109.10602   107.13095   105.20053   102.89614 101.63985   102.128456  101.391975   99.437256   98.45135    97.601585  95.74181    94.75203    93.18895    91.5408     90.721855   89.42582  86.84191    86.09835    85.33819    83.49854    84.021706   81.70425  77.14162    73.82982    70.61141    63.51776    59.99593    58.318195  55.122025   49.869488   46.407185   42.689537   39.07766    33.50845  29.426977   23.466965   21.618736   20.661852   18.48233    17.264994  16.521435   15.398187   14.545478   13.616799   13.1725235  13.81429  ,604.1163375,24.57877819,0.955819252,1440,weighted13,1,0.826250935017367
2,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.7580057   7.3195825  12.661013   18.607595   23.153906   27.432453   30.407576   34.328403  37.55826    41.7171     44.979805   49.998486   53.09504    56.272274  59.736237   62.504234   65.80317    67.69621    69.04362    72.169075  73.05444    73.44365    74.483795   76.18987    77.22126    77.91886  80.279076   82.76281    85.5098     86.63279    88.34043    89.04548  90.42187    89.88641    89.264084   89.53616    90.12713    90.705956  91.42727    92.14384    92.656204   93.57046    92.920494   92.47366  92.565384   92.11007    93.900536   95.672455   96.6613     98.35053  97.6403     98.86696    99.60756   101.692825  102.792305  103.81178 103.35933   103.910576  105.85865   106.433014  108.75781   109.322044 109.27406   108.26182   108.92713   107.09017   105.325554  103.19394 102.17422   102.99631   102.64703   101.09582   100.456184   99.8806  98.29845    97.36271    95.893936   94.50315    94.106316   93.00219  90.6535     90.427246   89.958084   88.10213    89.06057    86.80338  82.47437    79.24921    76.01625    68.7009     65.06786    63.375088  60.102264   54.643932   51.0512     47.134167   43.25906    37.453537  33.037827   26.814749   24.77423    23.406477   20.848576   19.075912  17.891434   16.06799    14.643386   13.126057   11.97047    11.8652725,231.0746741,15.20114055,0.91471615,1440,weighted13,1,0.9247254319648841
3,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.464797   6.205061   11.728999   15.811609   19.66803    22.214693   25.623829  28.344664   32.08807    35.011635   39.66895    42.481174   45.373665  48.560307   51.045303   54.068645   55.62338    56.77952    59.7808  60.51374    60.7913     61.856014   63.682137   64.7391     65.413086  67.83611    70.37872    73.20092    74.38407    76.19055    76.94416  78.444466   78.06406    77.64554    78.13538    78.93257    79.77645  80.72107    81.79788    82.64662    83.9893     83.74747    83.77382  84.38628    84.339516   86.54255    88.850876   90.31882    92.46398  92.21896    93.97713    95.08987    97.62218    99.20863   100.75221 100.72072   101.63442   103.9519    104.870476  107.5802    108.458984 108.65584   107.82459   108.720375  106.93522   105.2602    103.26268 102.3876    103.418434  103.35302   102.1658    101.82224   101.47956 100.11526    99.22539    97.84797    96.66431    96.58567    95.62803  93.43244    93.57288    93.29591    91.53674    92.84304    90.67301  86.661064   83.58301    80.41862    73.10318    69.50401    67.87546  64.66262    59.1642     55.54097    51.567703   47.59264    41.67041  37.070328   30.785963   28.686876   27.038597   24.235277   22.093342  20.663195   18.344759   16.51435    14.540957   12.821088   12.101347 ,134.2324554,11.5858731,0.845519389,1440,weighted13,1,0.9525522534470839
4,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.763056    5.4814453   9.017333   11.24199    14.256648  16.582623   20.025007   22.772127   27.210075   29.890394   32.66116  35.717785   38.08285    41.007427   42.38094    43.552498   46.610283  47.396175   47.760597   49.061943   51.242477   52.557888   53.41201  56.09142    58.844643   61.885338   63.28851    65.354294   66.27823  68.044365   67.95776    67.88698    68.714264   69.78426    70.98159  72.20234    73.68128    74.90777    76.712204   76.89028    77.40244  78.567696   78.86932    81.416565   84.21705    86.099785   88.610344  88.789474   90.97839    92.36032    95.24474    97.22962    99.19962  99.52451   100.67647   103.26688   104.46644   107.42156   108.54038 108.89114   108.15215   109.213326  107.39166   105.69231   103.74329 102.88698   103.98453   104.1099    103.29697   103.207855  103.06375 101.86067   100.999565   99.66614    98.58972    98.73542    97.810745  95.61336    95.93106    95.57346    93.76584    95.20181    92.95581  89.13311    86.06186    82.811356   75.4132     71.74055    70.05525  66.801575   61.166073   57.416462   53.317413   49.19462    43.089058  38.26573    31.910479   29.733253   27.781765   24.71739    22.190054  20.514103   17.695917   15.490979   13.043487   10.757534    9.403612 ,159.0122894,12.61000751,0.84207113,1440,weighted13,1,0.9440002154181304
5,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.309895    4.644769    6.618868    9.364505  11.438852   14.691497   17.351967   21.692469   24.31913    27.03938  29.9637     32.222202   35.08177    36.25331    37.44258    40.497498  41.31043    41.711678   43.20221    45.664448   47.182716   48.120045  50.94425    53.784115   56.80572    58.202057   60.302383   61.16314  62.981915   62.993824   63.059864   64.02034    65.18487    66.55687  67.870735   69.56176    70.99418    73.07872    73.59397    74.46416  76.10559    76.60159    79.37931    82.529526   84.70989    87.4646  87.9559     90.46555    91.96439    95.01993    97.198555   99.38431  99.89517   101.06739   103.754364  105.04958   107.92135   109.07862 109.39149   108.531876  109.60292   107.590775  105.74836   103.77421 102.80473   103.798485  103.95608   103.4106    103.458534  103.38515 102.19375   101.23983    99.87907    98.80074    98.99407    97.99834  95.64654    95.946815   95.402374   93.70617    95.22075    92.950874  89.46785    86.50995    83.321655   76.150505   72.62404    71.032295  67.98335    62.45659    58.76472    54.77759    50.748898   44.651157  39.848717   33.73082    31.716835   29.676409   26.57764    23.953684  22.349182   19.327497   16.999226   14.301677   11.667841    9.878332 ,234.4124262,15.31053318,0.878834327,1440,weighted13,1,0.9200535356090849
6,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   3.8277333   5.7203283   8.417012  10.443505   13.652329   16.361742   20.738474   23.41498    26.196012  29.085123   31.356955   34.28609    35.436638   36.78396    39.909214  40.877186   41.455864   43.19413    45.95777    47.766304   48.88196  51.87275    54.80142    57.77097    59.173923   61.312313   62.13174  64.00222    64.12943    64.32546    65.3901     66.60312    68.085236  69.430115   71.19518    72.70937    74.89391    75.612915   76.64028  78.54251    79.015625   81.79944    84.990875   87.19243    89.90944  90.45857    92.92709    94.26597    97.17012    99.19537   101.21264 101.61699   102.50273   104.97442   106.08793   108.46246   109.34224 109.353775  108.15655   108.983406  106.62748   104.46455   102.2936 100.9789    101.5865    101.454414  100.90182   100.79518   100.51937  99.04305    97.801834   96.2448     94.87935    94.762985   93.46724  90.69413    90.54101    89.42972    87.73292    88.956635   86.556  83.23056    80.27077    77.07669    70.254776   66.91691    65.4163  62.63605    57.311405   53.78523    50.086678   46.35086    40.462498  35.96467    30.337383   28.699512   26.873215   24.076475   21.742458  20.541483   17.749136   15.719961   13.21841    10.690344    8.892936 ,222.7056917,14.9233271,0.887634323,1440,weighted13,1,0.9272702638412438
7,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   2.938899    4.8139095   7.5288844   9.57498    12.807339   15.633121   20.117737   22.924692   25.851616  28.802462   31.181366   34.262577   35.488247   37.070976   40.344685  41.5303     42.344006   44.367332   47.452473   49.5726     50.902596  54.1004     57.1588     60.130985   61.576916   63.77722    64.56865  66.48549    66.692696   66.96812    68.07892    69.28579    70.80636  72.100845   73.838005   75.32861    77.49645    78.25915    79.27597  81.259445   81.55706    84.18904    87.27573    89.352745   91.88874  92.35323    94.66977    95.75522    98.41529   100.214745  102.01063 102.25075   102.823784  105.06622   105.99395   107.92135   108.56456 108.32586   106.857475  107.51155   104.90834   102.51368   100.22469  98.67066    99.0045     98.70493    98.22859    98.09179    97.77346  96.19752    94.88676    93.2983     91.82562    91.57919    90.16266  87.17945    86.76899    85.31183    83.72385    84.79368    82.36998  79.27365    76.40547    73.29412    66.83793    63.729553   62.35489  59.831493   54.751038   51.389927   47.953278   44.49013    38.78885  34.52979    29.31758    27.973902   26.303247   23.7152     21.592346  20.694359   18.072803   16.241505   13.830385   11.341256    9.498837 ,220.0931662,14.83553728,0.912429783,1440,weighted13,1,0.9289447316130777
8,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.694319    3.563026    6.305497   8.387953   11.6651     14.623175   19.23102    22.182777   25.27124  28.298632   30.794842   34.036682   35.334953   37.149837   40.5783  41.979546   43.013783   45.320786   48.729443   51.15797    52.697254  56.110916   59.310734   62.30461    63.80558    66.07628    66.84613  68.8171     69.10317    69.45737    70.62244    71.83106    73.40232  74.659615   76.38511    77.86585    80.03473    80.84471    81.87108  83.95094    84.09663    86.5993     89.61415    91.5925     93.974945  94.37263    96.57604    97.440186   99.891785  101.50022   103.11743 103.22004   103.51109   105.559845  106.327324  107.86019   108.30469 107.84321   106.12112   106.6257    103.7832    101.16433    98.75947  96.978096   97.049225   96.60038    96.20533    96.047554   95.68956  94.02401    92.6438     91.01685    89.44161    89.078156   87.53526  84.33856    83.686935   81.89248    80.38209    81.30229    78.82503  75.91892    73.10815    70.03853    63.870476   60.93226    59.63461  57.310844   52.412903   49.162605   45.91861    42.662216   37.086285  33.002      28.131565   27.028599   25.46242    23.022493   21.050196  20.399992   17.893587   16.20613    13.828745   11.335066    9.411537 ,226.6762094,15.05576997,0.995971303,1440,weighted13,1,0.9272981366803803
9,  1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   4.4717717   6.3505626   9.153464  11.3091345  14.645745   17.710075   22.431314   25.493223   28.706017  31.766      34.331562   37.68412    39.01556    40.981026   44.47136  45.99973    47.15803    49.62574    53.202454   55.806454   57.43607  60.934044   64.163414   67.04871    68.47429    70.681366   71.32268  73.22446    73.471      73.77229    74.87589    75.998604   77.51604  78.658676   80.27185    81.651245   83.71686    84.505      85.44922  87.52417    87.466255   89.79931    92.660706   94.48284    96.66881  96.93102    98.97171    99.58858   101.7823    103.13609   104.50751 104.41423   104.39599   106.21605   106.77126   107.85336   108.048386 107.33671   105.33807   105.65777   102.5806     99.75348    97.234344  95.22825    95.02374    94.3741     93.95869    93.7076     93.232574  91.40657    89.894966   88.19338    86.47322    85.91443    84.22229  80.79548    79.85106    77.75048    76.37353    77.137856   74.65389  71.93711    69.21343    66.23989    60.43488    57.726624   56.553135  54.491554   49.846527   46.774082   43.791965   40.814796   35.44427  31.630655   27.169264   26.367699   25.002615   22.807753   21.113817  20.816284   18.570478   17.136969   14.936105   12.587898   10.737542 ,198.3533876,14.08379876,0.937955034,1440,weighted13,1,0.9346777363913807
