id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0,"[  7.1422067  12.010129   16.36803    18.16188    20.045902   22.586136
  27.76685    34.09554    37.82762    39.825462   42.683964   45.587337
  49.27552    56.343025   58.3291     62.574474   67.30217    73.66404
  80.40331    86.58732    92.723236   99.10791   103.557     107.71257
 111.64227   117.390076  122.83265   128.15987   132.5582    135.76367
 139.76733   144.88914   149.19797   152.7319    153.03099   153.53632
 153.2112    153.47685   154.1317    155.5487    156.32275   155.0271
 152.73076   152.46294   154.20963   153.7115    154.00781   151.45122
 149.2259    144.44089   139.97263   136.36237   138.31511   137.27315
 134.80586   131.09181   133.4347    135.22003   134.58693   132.84235
 131.6717    128.81757   124.78118   121.3047    119.68327   117.38298
 113.57074   112.005394  109.67222   109.11495   111.32751   110.183525
 113.2557    116.22998   114.09832   113.19522   113.113     110.61922
 107.5598    102.38845    99.34892    95.841965   93.650314   93.04954
  91.72111    90.43305    88.56963    86.641525   84.47476    79.50003
  73.75773    69.97707    64.65436    61.402203   61.215397   57.897488
  55.053486   54.755756   54.692368   51.025356   48.95109    47.266193
  42.183907   37.039207   33.457203   33.698936   29.223906   27.875597
  25.85251    25.709026   22.744255   21.44523    19.839241   14.847378
  11.606883   10.265797    6.5713816   5.4714866   5.235175    5.9785857]",2444.190697,49.43875704,0.514526587,0.050653733,rolling9,1,0.567248851
1,"[  1.8069785    6.6684227   10.825426    12.362189    14.06134
  16.589214    21.674955    27.868164    31.408398    33.120247
  35.740345    38.507397    42.061436    49.024258    50.787174
  54.917484    59.600708    65.98485     72.75856     78.97727
  85.15016     91.61038     96.11036    100.31256    104.28677
 110.06667    115.58952    120.98227    125.46037    128.7286
 132.85258    138.18494    142.58904    146.24623    146.6366
 147.24092    147.06932    147.55522    148.39914    150.08989
 151.11456    150.02141    147.94073    147.95717    150.03958
 149.79964    150.52577    148.22488    146.14677    141.42722
 137.08842    133.58762    135.94545    135.16542    132.91908
 129.29335    131.97202    134.04897    133.53976    131.84944
 130.75587    128.01663    123.99376    120.51904    119.06755
 116.90744    113.1928     111.8739     109.67564    109.33613
 111.66481    110.5773     114.03081    117.15807    114.84568
 113.946884   113.80939    111.37887    108.32203    102.97991
  99.96202     96.37126     94.1158      93.68408     92.31608
  91.13718     89.122154    87.12934     84.90149     79.7187
  73.689354    69.6969      64.06887     60.716137    60.555527
  57.22971     54.428364    54.152874    54.07351     50.273617
  48.091022    46.254364    40.85259     35.45355     31.49923
  31.477833    26.586407    24.939589    22.646494    22.28998
  19.040312    17.42381     15.502083    10.078363     6.572161
   4.957568     0.8112254    0.17777777   0.17777777   0.17777777]",1969.757625,44.38195157,3.947108126,0.022720347,rolling9,1,0.651139501
2,"[  0.17777777   1.9354078    5.7604733    6.8531804    8.145585
  10.475837    15.269122    21.148548    24.311625    25.546103
  27.779112    30.254555    33.522884    40.21121     41.567116
  45.429615    49.912704    56.17763     62.84561     68.9971
  75.10568     81.55501     86.07069     90.27393     94.27935
 100.067986   105.668564   111.11898    115.64657    118.97751
 123.23461    128.81905    133.32924    137.14378    137.68835
 138.5063     138.62148    139.50375    140.68703    142.83205
 144.29228    143.61461    141.96466    142.47675    145.06064
 145.25235    146.59953    144.69193    142.88565    138.3299
 134.23022    130.89622    133.76814    133.31865    131.30154
 127.808136   130.8593     133.25777    132.84096    131.16362
 130.12675    127.48127    123.41366    119.8606     118.48324
 116.32152    112.561455   111.35471    109.227425   109.01185
 111.348305   110.20054    113.99424    117.210365   114.67784
 113.797134   113.56762    111.233665   108.19082    102.65441
  99.714615    96.044586    93.73098     93.536674    92.127846
  91.106224    88.95171     86.95996     84.74346     79.40055
  73.1112      68.94607     63.06084     59.725574    59.73815
  56.5334      53.949722    53.852844    53.88763     50.13255
  47.99018     46.132828    40.487995    34.933292    30.685352
  30.498886    25.206469    23.30758     20.777061    20.225243
  16.725067    14.810822    12.581313     6.7457275    2.9837575
   1.0769801    0.17777777   0.17777777   0.17777777   0.17777777]",1465.973489,38.28803323,5.519408163,-0.052871792,rolling9,1,0.736402626
3,"[  0.17777777   2.8241725    6.3163757    6.9950085    7.820945
   9.983968    14.455305    19.977625    22.687874    23.412003
  25.200762    27.347807    30.228914    36.569893    37.39007
  40.86187     44.98209     50.958305    57.338993    63.222065
  69.08514     75.31387     79.67986     83.70846     87.534096
  93.15745     98.69211    104.00629    108.462814   111.712814
 115.936264   121.557465   125.96398    129.77478    130.27197
 131.17877    131.46434    132.60387    133.977      136.44814
 138.24826    137.96355    136.6845     137.62119    140.5802
 141.11615    142.94157    141.32608    139.68564    135.17572
 131.1927     127.89807    131.08617    130.83728    128.84312
 125.36371    128.5958     131.17398    130.69707    128.9109
 127.839325   125.1683     120.92033    117.14975    115.675385
 113.29174    109.24758    107.8972     105.71108    105.42784
 107.66702    106.361374   110.19609    113.34906    110.635254
 109.702255   109.3057     107.12512    104.10187     98.41817
  95.63564     92.00216     89.756996    89.816696    88.514565
  87.7342      85.58401     83.72437     81.62517     76.30771
  69.969635    65.807755    59.921276    56.817406    57.191715
  54.315487    52.186165    52.508244    52.903168    49.46649
  47.62442     46.04589     40.48822     35.07674     30.878502
  30.837421    25.444633    23.609138    21.134615    20.68635
  17.218409    15.316817    13.112534     7.2374477    3.5286524
   1.6660352    0.17777777   0.17777777   0.17777777   0.17777777]",1125.655937,33.55079637,5.360699176,-0.029888866,rolling9,1,0.780929524
4,"[  0.17777777   3.802865     7.112168     7.5803185    8.156751
  10.340566    14.668276    20.002602    22.438986    22.856266
  24.349913    26.332365    28.987562    35.152367    35.629726
  38.863224    42.767906    48.59384     54.815304    60.51645
  66.222916    72.2972      76.53702     80.43488     84.092834
  89.56691     95.02577    100.20199    104.6129     107.77137
 111.928246   117.517395   121.784645   125.53376    125.90532
 126.77855    127.08711    128.28806    129.68274    132.2807
 134.20457    134.08553    132.94878    134.06311    137.18857
 137.86221    139.92165    138.42326    136.792      132.21799
 128.21759    124.878525   128.2173     128.06052    126.04148
 122.51068    125.83842    128.52995    127.98997    126.11221
 125.00494    122.30547    117.91255    113.98186    112.47932
 109.973335   105.75041    104.353355   102.15393    101.85857
 104.09025    102.72207    106.60975    109.74745    106.91345
 105.92375    105.40044    103.35192    100.34511     94.56338
  91.88396     88.30636     86.14817     86.37714     85.20787
  84.62677     82.49311     80.71588     78.68818     73.39243
  67.03509     62.881012    57.005325    54.061188    54.674824
  52.028107    50.213425    50.823357    51.469364    48.22006
  46.56351     45.17162     39.671482    34.345802    30.170692
  30.212238    24.748857    22.96029     20.532997    20.188038
  16.742346    14.856542    12.703825     6.811197     3.1714146
   1.4009507    0.17777777   0.17777777   0.17777777   0.17777777]",913.7555934,30.22839052,5.085330659,0.039862323,rolling9,1,0.808306025
5,"[  0.22326963   5.0261607    8.258062     8.598581     9.004084
  11.25597     15.4761      20.685263    22.933857    23.135126
  24.417068    26.304607    28.827282    34.88168     35.11426
  38.19472     41.947933    47.68177     53.78707     59.35393
  64.93267     70.87941     75.00036     78.79343     82.30638
  87.64046     93.005455    98.05866    102.40581    105.44932
 109.515076   115.04243    119.15366    122.801414   123.043396
 123.85337    124.13657    125.34694    126.72273    129.3909
 131.36658    131.32935    130.24976    131.43465    134.64491
 135.38255    137.58313    136.14516    134.48703    129.85115
 125.82518    122.45189    125.91607    125.840805   123.82523
 120.27076    123.69835    126.51986    125.94962    124.03392
 122.93457    120.24847    115.76593    111.74527    110.28234
 107.73048    103.40763    102.06638     99.9178      99.65746
 101.93135    100.57042    104.5599     107.71667    104.80872
 103.80172    103.18654    101.265205    98.27932     92.42806
  89.82246     86.29719     84.220245    84.57042     83.515526
  83.08453     80.932365    79.18208     77.18709     71.87888
  65.48037     61.302414    55.40909     52.556553    53.314465
  50.806026    49.200996    49.989925    50.769844    47.613724
  46.046333    44.742004    39.223038    33.905357    29.69493
  29.743763    24.176525    22.37406     19.94142     19.622936
  16.13902     14.207431    12.05598      6.090011     2.453676
   0.72255003   0.17777777   0.17777777   0.17777777   0.17777777]",765.7501703,27.67219128,4.597699109,-0.019494683,rolling9,1,0.832387336
6,"[  0.17777777   3.033384     6.213745     6.4443407    6.732679
   9.036978    13.162234    18.274462    20.38852     20.429602
  21.549932    23.379646    25.852926    31.853804    31.952396
  34.9602      38.66414     44.414524    50.50926     56.053715
  61.613266    67.54857     71.64587     75.45126     78.9619
  84.26666     89.61819     94.665504    99.02625    102.04372
 106.10856    111.68114    115.74967    119.3772     119.60846
 120.42205    120.73845    122.01863    123.4512     126.241844
 128.28993    128.32458    127.326355   128.58656    131.91191
 132.7315     135.10374    133.75482    132.10957    127.48851
 123.50073    120.1583     123.81246    123.86758    121.96137
 118.45184    122.0563     125.063644   124.54634    122.662704
 121.62155    119.01524    114.53172    110.51212    109.19191
 106.71979    102.447525   101.30589     99.27825     99.15329
 101.52742    100.227615   104.49108    107.75179    104.780464
 103.80799    103.16573    101.33953     98.381134    92.462166
  89.87046     86.34114     84.277565    84.70278     83.67786
  83.327576    81.08546     79.28259     77.266014    71.86398
  65.34183     61.063175    55.038334    52.169666    52.94454
  50.443787    48.896122    49.70171     50.45314     47.23734
  45.604946    44.2185      38.509796    33.041626    28.622927
  28.503609    22.687712    20.6918      18.08014     17.608795
  13.931637    11.783694     9.455178     3.2353075    0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777]",603.3284902,24.56274598,6.161433034,0.000493297,rolling9,1,0.86636442
7,"[  0.17777777   2.0579414    5.135856     5.166736     5.2123504
   7.4593925   11.368556    16.281853    18.158792    17.94172
  18.82558     20.508587    22.849447    28.696083    28.557028
  31.401474    34.953278    40.62168     46.601       52.04305
  57.501797    63.34973     67.37908     71.15309     74.63484
  79.87634     85.18613     90.20495     94.53755     97.50454
 101.55105    107.1619     111.167206   114.76623    115.0088
 115.878      116.289116   117.72513    119.28913    122.29177
 124.506165   124.72744    123.9252     125.36568    128.88333
 129.87444    132.50977    131.32417    129.76344    125.22328
 121.34508    118.07569    121.975685   122.20427    120.4177
 116.994064   120.79379    124.01002    123.53666    121.67729
 120.69918    118.17218    113.667465   109.61937    108.397835
 105.92864    101.63091    100.6212      98.68466     98.637566
 101.04931     99.75153    104.2486     107.56705    104.5251
 103.59469    102.90373    101.192345    98.26641     92.27275
  89.721176    86.192795    84.14757     84.669716    83.6707
  83.41021     81.07713     79.24569     77.237404    71.7654
  65.135735    60.77353     54.648148    51.8225      52.678246
  50.241       48.833614    49.728477    50.50667     47.328426
  45.710976    44.3149      38.465343    32.907707    28.341417
  28.117577    22.078796    19.927382    17.166473    16.554764
  12.7147665   10.376342     7.892384     1.455505     0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777]",456.8946182,21.37509341,5.624194713,-0.005481637,rolling9,1,0.896327669
8,"[  0.17777777   0.17777777   2.672984     2.4932985    2.294796
   4.4639115    8.150105    12.8522625   14.479786    14.004565
  14.642393    16.172052    18.38308     24.079514    23.720276
  26.400213    29.818132    35.42965     41.320324    46.68134
  52.07365     57.866543    61.8628      65.64789     69.15531
  74.37847     79.68707     84.7193      89.071625    92.039246
  96.11362    101.811844   105.8042     109.42214    109.72378
 110.68413    111.22849    112.85409    114.5891     117.8371
 120.239105   120.66766    120.10104    121.75312    125.490944
 126.676186   129.60143    128.5993     127.140854   122.708305
 118.95872    115.77391    119.927124   120.33561    118.68661
 115.35556    119.357216   122.77924    122.36048    120.5227
 119.60021    117.15104    112.63173    108.55626    107.439865
 104.98042    100.68027     99.80351     97.94573     97.982574
 100.42708     99.111916   103.87861    107.26682    104.14528
 103.2541     102.52711    100.914825    98.02057     91.94839
  89.41337     85.86751     83.81733     84.41843     83.42218
  83.2352      80.80305     78.93135     76.926506    71.378044
  64.63617     60.185593    53.943798    51.156036    52.076706
  49.688923    48.40316     49.364166    50.152843    46.99737
  45.37875     43.956554    37.947544    32.283657    27.54453
  27.186798    20.901896    18.55923     15.60879     14.82599
  10.79912      8.241484     5.569492     0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777]",329.4745451,18.15143369,6.422763725,0.003406264,rolling9,1,0.921871095
9,"[  0.17777777   3.145791     6.0093207    5.6728888    5.188501
   7.3105955   10.742301    15.204874    16.531343    15.791096
  16.155806    17.512926    19.525927    25.015799    24.33649
  26.755163    29.890524    35.28777     40.910404    45.999844
  51.14453     56.673367    60.467175    64.09577     67.42865
  72.46265     77.61575     82.47706     86.716576    89.52845
  93.45772     99.023834   102.791435   106.25859    106.43391
 107.366      107.9262     109.60764    111.37511    114.74773
 117.241425   117.848404   117.45043    119.226524   123.05414
 124.345055   127.411514   126.49756    125.049545   120.633545
 116.917404   113.71803    117.94629    118.42511    116.744896
 113.42222    117.45669    120.97219    120.48292    118.579865
 117.65237    115.187294   110.54252    106.33178    105.18209
 102.53851     98.02999     97.079704    95.189224    95.12795
  97.50598     96.090485   100.845695   104.14638    100.98464
 100.0618      99.22149     97.74763     94.877914    88.76495
  86.29361     82.82227     80.86958     81.53018     80.65384
  80.57811     78.143715    76.30979     74.3716      68.88726
  62.20392     57.80008     51.65909     49.072353    50.18704
  47.99792     47.010612    48.217968    49.195538    46.28386
  44.874393    43.671005    37.783943    32.269207    27.667227
  27.446148    21.19022     18.940235    16.066776    15.368449
  11.407311     8.909683     6.3576317    0.17777777   0.17777777
   0.17777777   0.17777777   0.17777777   0.17777777   0.17777777]",273.5560656,16.53953039,5.568190291,-0.009944118,rolling9,1,0.928066757
