id,predict_data,mse,rmse,mape,shap,smooth,skip,result_corr
0,"[ 18.821796   31.396948   32.90419    31.891369   32.227028   49.63923
  39.689068   48.42684    61.439743   57.650993   62.60159    61.017395
  67.250534   60.587208   76.347885   76.75439    67.89258    77.54603
  74.41366    87.87112    86.92948    85.93337    83.20329   105.04474
 102.016655  102.68492   114.09357   108.591385  111.94478   109.646
 109.83129   106.25357   105.955925  104.541794   98.13172    91.678154
 101.82119    98.90308   101.82402   105.00126   108.05233   103.53423
  92.70039    94.99828    93.02943    99.98213    94.389175   91.69557
  87.93084    98.531944   91.98472    96.409035   91.270454   91.583206
  89.85237    90.0077     96.187386   87.287224   79.15299    70.05341
  69.48021    81.34862    85.450325   86.994934   81.86491    84.48217
  77.00954    92.64552    75.93249    81.24971    80.68295    87.41491
  80.418945   70.94557    65.528076   70.26278    67.58529    82.91729
  83.0096     81.65816    82.408585   83.893295   73.20917    66.51914
  68.50651    68.104034   60.69122    69.55045    56.63079    55.819057
  45.95048    53.07486    55.55815    63.678143   57.787766   55.17636
  62.46015    57.27093    39.853546   44.01017    41.05308    34.41053
  31.886044   38.650917   30.371202   33.67599    26.515486   17.758173
  11.664837   16.737747   11.580125   13.826402    7.459651   10.81454
   5.951787    9.066918    7.8907003   5.4403358  10.922475    8.793791 ]",1729.756104,41.59033666,0.683090258,0.004754067,weighted13,1,0.276640512
1,"[ 12.557349   24.747776   25.196114   23.564247   22.838478   39.887436
  29.182522   36.771957   48.884724   43.51604    48.942635   46.049282
  52.115288   44.86374    59.98949    59.831184   50.718407   59.853172
  55.689415   70.264915   68.73779    66.69222    64.36736    86.59384
  84.11117    84.13308    96.94269    91.19913    95.1529     93.19954
  93.474945   89.982056   90.14373    89.68459    83.70724    77.28119
  89.081505   86.81002    90.82274    94.59173    98.23252    93.57724
  83.702354   86.71531    85.81258    94.8536     89.54342    86.50885
  82.7596     94.40084    88.388115   93.597305   88.97349    90.80161
  90.31513    90.67775    97.980064   89.8896     81.2069     72.26147
  72.16696    84.50633    88.888596   91.93525    86.901054   91.076485
  83.28847   100.1119     83.029434   88.72178    88.36435    96.5741
  89.138756   78.62446    73.72303    79.120895   76.56566    91.9385
  92.9878     92.39072    92.86299    93.366905   82.78667    74.735176
  77.29114    76.3343     68.80985    77.338875   63.046352   61.09603
  50.471252   57.211166   60.393738   67.55123    60.977913   57.709187
  64.73224    58.6004     40.50187    44.398636   41.121296   32.983284
  30.839712   37.347767   28.153105   30.776867   23.643797   14.394296
   7.3720994  12.677581    6.8137627   8.281775    2.2664423   5.098804
   1.1443751   3.0929396   2.2010412   1.1443751   4.605349    2.1649613]",1019.988917,31.93726533,1.279801591,-0.010631695,weighted13,1,0.575526123
2,"[  9.294948   20.592752   19.786568   17.4967     16.309097   32.68968
  21.731586   28.768986   39.557472   33.051285   38.415737   34.45015
  40.08161    32.804214   47.471554   46.40361    37.328995   46.121246
  41.350597   56.335022   54.402042   51.121742   49.144604   71.1463
  69.0017     68.9159     82.23547    76.5614     80.87058    79.11247
  78.98259    75.434425   75.94847    76.17618    70.97042    63.967648
  76.88765    75.10908    79.89281    83.900894   88.09968    83.482735
  74.18903    77.99798    77.728325   88.28367    82.930756   80.00282
  76.42078    88.621956   83.37091    89.257454   85.06495    87.8801
  88.51099    89.02137    96.72977    89.28876    80.71126    71.66722
  71.969734   84.90305    89.897575   93.775246   88.8023     93.697426
  85.65611   102.99972    85.7359     91.59963    91.60948   100.56992
  92.82239    81.956566   76.96601    82.447945   80.01644    95.10537
  96.71588    96.63747    96.9129     96.80091    86.37726    77.62173
  80.46122    79.50504    72.13461    80.52234    65.961655   63.73135
  52.799526   59.75843    63.198864   69.90579    63.19491    59.812546
  67.08068    60.439716   42.207714   46.080456   42.724133   34.16084
  32.090588   38.587353   29.006565   31.09682    24.09946    14.5698395
   6.896942   12.329942    6.0372496   6.918388    1.1443751   3.1530123
   1.1443751   1.1443751   1.1443751   1.1443751   2.2734563   1.1443751]",607.3502088,24.64447623,1.67085136,-0.059917877,weighted13,1,0.757885355
3,"[  9.396223   20.290028   18.94602    16.338633   14.630692   30.296425
  18.775768   25.086544   35.26443    28.161034   33.43275    28.705517
  34.129105   26.329468   40.3992     38.803246   29.559574   37.655495
  32.550285   47.598835   45.096207   41.21505    39.393993   61.105316
  58.934387   58.474392   72.14998    66.4711     70.8844     69.15123
  69.07572    65.685005   66.38892    66.85031    61.880775   55.07509
  68.57256    67.03305    72.31354    76.4547     80.57171    76.12606
  67.16255    71.24519    71.422      82.88362    77.832306   74.814766
  71.4617     84.10106    79.0188     85.220665   81.20603    84.96475
  86.11948    86.78117    95.11134    88.185356   79.48368    71.03684
  71.49868    84.523994   89.63714    94.15343    89.71033    95.308136
  87.21759   104.886604   87.82083    93.813385   94.0627    103.762665
  95.94743    84.844124   80.25871    85.88899    83.69901    98.711426
 100.72357   100.99079   101.14922   100.71065    90.5049     81.081024
  84.195984   83.06885    75.91237    83.954865   68.96859    66.212425
  54.948906   61.43766    65.04131    71.338844   64.09437    60.23222
  67.29185    60.275326   42.07261    45.64376    42.131664   33.144802
  31.374098   37.50812    27.58944    29.3866     22.58513    12.793617
   4.9061284  10.378022    4.0021715   4.5663185   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751]",421.0474683,20.51944123,1.861394734,-0.012723475,weighted13,1,0.846828845
4,"[  5.006888   15.499994   13.358783   10.177335    9.19948    24.602324
  13.307244   20.361078   29.4713     22.862404   27.719784   23.139565
  27.69221    20.336351   34.779396   32.827675   23.355345   31.830374
  26.97608    41.58479    39.320126   34.522297   32.92558    54.161625
  51.61755    51.78438    64.83661    59.41029    64.17879    62.60245
  61.90478    58.801723   59.91919    60.315178   55.907875   48.339775
  61.854656   60.83584    66.07641    69.56932    74.730736   70.071434
  61.188152   65.73583    66.073814   77.79466    72.17255    69.680504
  66.41047    78.73044    74.56321    80.87448    76.92469    80.93996
  82.593506   83.34098    91.34452    84.9746     76.53273    68.163055
  68.71099    82.40614    88.43116    92.5136     88.32073    93.80257
  85.73767   103.27384    86.23987    92.6032     93.08792   102.92309
  94.83176    84.31825    79.33952    84.9508     83.1025     98.93522
 100.80954   100.84777   101.16392   100.876976   90.014206   80.29033
  83.286934   82.473      75.42433    83.14511    68.217026   66.33287
  54.407104   61.024113   63.7073     69.3577     62.2499     58.576393
  65.242355   57.92187    39.68877    42.98207    39.013256   30.122114
  27.418036   33.658745   23.500593   24.784838   17.644293    7.5257816
   1.1443751   4.463783    1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751]",369.0924408,19.2117787,2.315153251,0.054462725,weighted13,1,0.887193399
5,"[  6.9134016  17.514408   15.573007   12.457236   11.479806   26.515387
  14.884948   21.784786   31.012083   24.798536   29.454231   24.983274
  29.466133   21.749056   35.992764   34.06216    24.42108    32.5556
  27.96522    42.107216   39.664036   35.046074   33.41793    54.38394
  51.469788   51.536816   64.39887    59.096233   63.77477    62.151657
  61.735455   58.952328   60.16046    60.25984    55.742462   48.663307
  61.85501    60.830376   66.00106    69.341095   74.16104    69.69596
  60.723183   65.053154   65.339516   76.784485   71.42843    68.9281
  65.841354   78.07461    73.68534    79.78663    75.71017    79.8955
  81.26087    82.05914    90.20858    83.927704   75.43165    67.71478
  68.09429    81.51997    87.36926    91.24699    87.57767    93.0523
  85.13382   102.4425     85.784424   92.15462    92.6496    102.54933
  94.597694   84.271996   79.648705   85.23393    83.55361    99.56545
 101.30572   101.1825    101.54156   101.43211    90.52997    80.67544
  83.70543    82.79107    75.8775     83.27853    68.24342    66.25843
  54.161983   60.16309    62.597355   68.0966     60.61367    56.59917
  62.848713   55.54618    37.517387   40.488262   36.3736     27.567131
  24.883928   30.811747   20.652424   21.98188    14.929442    4.758133
   1.1443751   1.8488439   1.1443751   1.1443751   1.1443751   1.1443751
   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751   1.1443751]",361.0425965,19.00112093,2.331665169,-0.301045256,weighted13,1,0.892809426
6,"[ 6.1581655 16.394447  14.154862  10.852037  10.919483  25.645687
 14.477417  22.350828  30.904808  25.636078  29.663502  25.735426
 29.626411  22.553926  37.299244  35.11217   25.556652  34.165726
 30.310621  43.516617  41.43792   36.52661   34.940983  55.243324
 51.900146  52.833332  64.64273   59.82928   64.53812   62.94716
 62.025093  59.487297  60.949043  60.730015  56.741592  49.019108
 61.639206  60.777554  65.58192   68.273384  73.59818   69.25773
 59.937107  64.38334   64.39524   75.26766   69.411705  67.588524
 64.71859   76.33956   72.49032   78.46492   74.25283   78.02491
 79.239555  80.04222   87.381355  81.1548    73.18342   65.42253
 65.61634   79.28654   85.712166  88.458015  84.88135   89.40946
 81.55822   98.03519   81.48118   87.76517   88.36259   97.53125
 89.50902   79.99426   74.654594  79.59687   78.029976  94.07874
 95.20131   94.46359   94.86653   95.204834  83.77203   74.26836
 76.9086    76.52537   69.80111   77.12024   62.89933   62.036484
 49.921883  56.19585   57.654373  63.23152   56.180008  52.6539
 58.895935  51.883884  34.313984  37.263756  33.048927  25.274641
 21.810053  28.038523  18.279985  19.660673  12.508424   2.4332378
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751]",409.2836646,20.23076036,2.403008856,-0.010098216,weighted13,1,0.890779991
7,"[ 6.3793545 16.74151   14.6958    11.446573  11.884748  26.369022
 15.043196  23.122261  31.720026  27.11947   30.897625  27.349714
 31.088905  23.917233  38.797188  36.688576  27.009367  35.640358
 32.286755  44.920288  42.897133  38.229122  36.61564   56.675083
 52.968254  54.137703  65.59844   61.047802  65.76471   64.22476
 63.51087   61.394333  63.08966   62.587704  58.645557  51.212738
 63.43163   62.641228  67.25854   69.674     74.946846  70.782684
 61.291096  65.500565  65.4199    75.83304   70.03692   68.38305
 65.68412   77.06227   73.1296    78.880424  74.46965   78.162865
 78.954254  79.78558   86.95966   80.72762   72.72991   65.41533
 65.353455  78.792336  85.15695   87.2685    84.01396   88.19167
 80.45069   96.47146   80.09955   86.29777   86.831924  95.75201
 87.77131   78.51978   73.22414   77.928955  76.47909   92.62818
 93.40544   92.2233    92.59765   93.210655  81.45368   71.920204
 74.42077   74.03331   67.3827    74.43888   60.244286  59.582253
 47.304035  53.08062   54.051277  59.519085  52.28913   48.63427
 54.4543    47.579197  30.226301  32.92267   28.517063  21.087528
 17.394339  23.541054  13.913715  15.447793   8.27953    1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751]",418.8668983,20.46623801,2.441923555,0.057973888,weighted13,1,0.891443666
8,"[ 4.562618  14.7036705 12.3847065  8.928406  10.217886  24.543447
 13.522833  22.40944   30.496895  26.688545  30.033228  27.00204
 30.229515  23.558973  38.934464  36.696476  27.009481  36.139053
 33.381104  45.334267  43.691364  38.809696  37.26105   56.924576
 52.876198  54.7791    65.50118   61.354633  66.210304  64.7922
 63.763916  61.96621   63.991215  63.26782   59.75739   51.848278
 63.65475   63.097813  67.4313    69.3091    75.137344  70.98022
 61.288933  65.57589   65.31806   75.26674   69.04332   67.89287
 65.301315  76.174934  72.68636   78.29631   73.74789   77.098595
 77.73076   78.55199   85.06125   78.88039   71.198944  63.82085
 63.593494  77.2405    84.08482   85.263695  82.05231   85.53275
 77.853584  93.28457   76.92945   83.119225  83.70152   92.11623
 84.04183   75.39546   69.59952   73.92722   72.6085    89.02878
 89.3471    87.636665  88.0684    89.04497   76.72866   67.38273
 69.59247   69.5362    62.97481   69.90726   56.16937   56.399445
 43.951916  49.85936   49.99284   55.349335  48.419678  45.097675
 50.75017   44.038223  26.906704  29.522928  24.909529  18.148169
 13.713292  20.10104   10.686413  12.195813   4.838444   1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751]",447.015006,21.14272939,2.376925139,-0.029012262,weighted13,1,0.89693635
9,"[ 6.8531804 17.011467  15.016236  11.813096  13.19563   27.123299
 15.917716  24.65992   32.938652  29.464006  32.604855  29.731436
 33.1341    26.30199   41.56756   39.315723  29.765148  38.687485
 36.381714  47.820503  46.075344  41.66854   40.070732  59.48207
 55.29848   57.275513  67.85367   64.021996  68.72209   67.29784
 66.63032   65.11829   67.25577   66.37259   62.943798  55.49109
 66.9587    66.28093   70.551     72.469406  77.76972   74.044846
 64.11903   68.1016    67.68997   77.1826    71.254364  70.19192
 67.85141   78.62914   74.79006   80.228165  75.521324  78.70588
 78.795555  79.61395   85.99229   79.58271   71.948814  64.908714
 64.39469   77.54628   84.03906   84.69423   81.673096  84.69521
 77.05242   91.89141   75.71641   81.54938   82.04281   90.010254
 82.078064  73.49371   67.71945   71.5487    70.15736   85.907585
 85.87748   83.817406  84.05809   85.189674  72.92794   63.745304
 65.85262   65.8018    59.376392  66.22912   52.779     52.914383
 40.76512   46.279427  46.315655  51.9954    44.924484  41.51267
 47.162567  40.79479   24.10533   26.67717   22.205553  16.05803
 11.838704  18.184244   9.174613  11.106089   4.058506   1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751
  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751  1.1443751]",448.2968779,21.17302241,2.275199247,-0.025768619,weighted13,1,0.894090807
