id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0, 44.254837  49.545887  46.927685  54.81968   58.79423   64.11982  66.94105   85.893295  80.080154  88.91578   89.868614  98.8972 109.50582  120.518074 115.997055 123.59428  138.14848  143.27711 148.74532  155.83171  157.43793  158.63051  174.4436   178.21844 176.26712  187.90686  179.34288  187.55815  194.11613  192.34647 195.00616  196.14893  191.47241  195.96324  194.77635  195.11906 196.21774  191.27773  185.67804  194.88239  188.74432  185.30676 188.72144  180.0553   171.03893  175.1919   166.42287  164.72449 168.92499  167.37067  158.01027  154.96521  151.01353  148.7894 145.35551  144.57515  136.64551  123.09905  123.002785 120.20173 118.77894  121.04144  115.45512   99.6624    97.79875   93.46922  90.09527   86.56098   84.58738   71.9912    71.13495   70.93701  60.44676   70.59227   69.63395   54.759083  45.297817  57.500748  43.19307   46.843258  53.947304  36.425182  24.537683  32.96165  28.754875  34.72433   43.74888   24.706585  20.285841  26.629736  20.25736   21.37152   32.10561   25.155888  15.344321  16.135422  11.877051  15.603082  25.574171  31.16557   22.744686  19.93937  19.831985  22.794428  25.34869   33.495132  25.386253  16.098309  22.24811   23.660124  27.478907  37.68417   26.96524   25.828064  27.666706  25.898893  24.89681   33.44342   33.0059    31.629007,6486.576365,80.53928461,0.923205446,weighted6,6,0.109592636,-0.032608469
1, 33.79204   33.24634   31.983816  39.789967  39.53701   45.11135  48.898163  65.896484  59.984882  67.73368   64.61082   72.46608  83.644745  96.36173   90.70167   93.444626 102.39103  107.74205 115.08326  124.50101  121.77859  120.51374  130.19626  136.69757 138.34691  148.27202  138.09587  144.32056  150.27861  151.59326 153.99727  155.44928  146.20027  151.68843  151.48732  153.3079 154.97395  147.02716  137.84517  150.26974  145.94609  141.27596 151.99106  139.47064  126.06314  134.76839  129.16762  124.38695 137.83594  135.73692  121.13077  121.23685  121.665115 117.9639 122.61957  123.54541  109.97832   98.42155  101.61495   98.85787 101.470604 106.11313   97.67649   81.14678   83.541245  82.590416  78.23495   75.24151   70.685394  58.170765  61.89228   63.698948  53.916958  60.17744   62.716946  47.177097  40.740654  53.539917  44.606712  45.64984   53.59664   34.941162  26.62526   37.55818  38.588196  45.002865  53.04575   31.158247  25.899416  33.64999  32.15588   33.031155  42.251595  33.135372  25.786682  23.66878  19.664188  24.368338  35.696083  36.309574  30.27542   28.228941  26.082996  30.713106  34.792046  36.95448   30.528969  22.169266  26.094082  27.554312  32.714764  36.941704  27.186617  28.405254  28.01403   25.074045  23.815496  27.74766   24.349073  26.012114,2647.137965,51.45034466,0.648248502,weighted6,6,0.411203668,-0.104077933
2, 25.652431  22.371744  21.29514   29.755304  25.51065   30.514168  36.25843   51.737827  45.250957  51.503014  45.57757   52.232563  62.846146  77.48068   71.4092    70.80335   74.023544  80.01328  87.586006  98.799644  93.192215  92.19195   94.70759  103.58757 110.013725 116.899315 106.46415  112.19059  116.887085 121.68182 124.45656  126.2417   113.91202  120.588    120.69332  124.703896 126.79192  117.744446 106.013535 120.81852  118.4546   113.18437 128.73349  114.15706   98.152336 110.75322  107.30273  100.78222 120.4798   118.03199  100.270256 102.33603  107.02388  101.059135 112.3997   112.892715  96.31516   86.981926  91.85376   89.19099  94.77054  100.25247   90.573494  73.20108   77.73556   80.043594  74.14803   71.94751   65.1263    52.717224  59.163357  62.9548  53.49454   55.75666   61.938656  45.42406   41.5044    53.467365  50.10381   48.375412  56.414246  36.08182   31.479784  43.043396  48.749866  54.485313  61.17343   36.73897   32.06245   40.64327  42.20256   42.74725   51.06448   38.36043   34.550293  30.727554  25.747261  30.611813  43.34496   37.973682  34.749367  35.642918  30.818485  35.919697  41.919735  37.87008   34.073338  27.09946  28.658533  29.867577  36.56977   34.761066  26.294895  29.614609  27.256517  24.340017  23.06779   23.028337  14.699896  19.771835,1000.94117,31.63765431,0.463791929,weighted6,6,0.70498084,-0.084203132
3, 24.643759  20.081345  19.33819   27.934647  22.483335  27.058874  33.7874    47.804115  41.063625  46.804066  40.145634  45.97879  56.309093  70.47811   64.174644  62.775555  63.243374  68.98305  76.903114  87.82089   80.934616  80.35109   79.4164    88.66425  97.34041  102.76672   91.996124  97.58244  101.42614  107.40114 111.00265  113.08718   99.44392  106.15511  106.49849  111.32751 113.73447  104.98416   92.420105 107.328514 106.09252  101.11453 117.81432  103.58361   87.02257  100.24299   98.13676   91.941826 113.21647  110.89772   92.61969   95.112885 101.846245  95.96283 109.04175  109.37185   92.591415  83.82872   89.40254   87.76368  93.94122   99.38204   89.872345  72.197685  77.37196   81.00466  74.53319   72.522644  65.04425   52.939167  59.988174  64.52178  55.29865   55.415234  62.763885  46.572914  43.01987   54.178078  53.054176  49.497356  57.316578  36.83558   32.72964   43.012394  50.66963   55.308514  60.930874  36.484356  32.257298  40.335464  43.417637  43.818977  51.100742  36.899475  34.702766  30.254665  25.136683  30.217188  42.69994   35.061085  33.50886   35.532574  29.88895   35.274574  41.789318  35.099476  32.89927   26.698624  27.5628    28.767403  36.132645  31.752277  24.375042  28.880009  25.78025   23.358038  22.383015  20.61807   10.811252  17.578053,627.1557227,25.04307734,0.364297944,weighted6,6,0.825481098,-0.077245856
4, 37.68927   34.477596  33.304817  40.318974  36.90936   41.554268  48.794975  61.546104  53.921448  58.645508  54.759666  60.20948  69.99984   79.888176  73.5759    73.47697   74.41032   79.04091  87.21602   93.82026   87.55928   87.172615  86.59037   93.56271 101.71738  105.94591   94.920616  99.94439  103.07104  107.01604 112.28051  113.87878  100.64188  104.93704  104.92555  108.83943 110.74268  104.11906   92.586395 103.29319  102.04693   97.791626 110.44212   99.826645  85.446945  94.360565  92.17177   87.520874 104.46702  102.77464   87.16853   88.15143   93.87957   90.12008  99.559456  99.65518   86.30821   76.233086  80.68532   81.307594  85.777794  90.064735  83.37731   65.72372   69.631325  72.4304  66.91049   64.52133   59.037037  47.450245  53.55503   57.46594  49.023834  48.342323  55.264717  41.10165   37.07698   46.53846  45.337845  40.85774   48.496407  29.523777  23.815754  29.485373  36.980328  39.330376  44.0237    23.596764  21.782017  28.144415  31.054785  31.347195  37.40915   23.76553   22.561625  19.65841  15.712666  20.84927   30.724245  25.308535  25.118988  27.768385  24.28531   29.538313  34.41992   29.455875  28.418076  22.835407  26.310474  27.808214  33.15379   30.576483  25.503254  30.24116  28.666748  27.947252  26.057781  26.147966  18.530642  25.4674  ,582.1882031,24.12857648,0.368837165,weighted6,6,0.846357135,-0.121154552
5,6.33953133e+01 6.24899521e+01 6.10200310e+01 6.43485184e+01 6.63902359e+01 7.16828156e+01 7.85930252e+01 8.92675781e+01 8.05071869e+01 8.40515518e+01 8.60259247e+01 9.11506729e+01 1.00625732e+02 1.01419930e+02 9.50191574e+01 9.81200562e+01 1.02178268e+02 1.04151459e+02 1.13517075e+02 1.11456970e+02 1.06936386e+02 1.05708252e+02 1.09050652e+02 1.10858635e+02 1.15668434e+02 1.19521301e+02 1.07554626e+02 1.11199631e+02 1.13786522e+02 1.12324623e+02 1.20455544e+02 1.21113670e+02 1.09366409e+02 1.08619469e+02 1.08245155e+02 1.09239677e+02 1.10199532e+02 1.07379547e+02 9.84795837e+01 1.00709122e+02 9.87179642e+01 9.59750290e+01 1.00012383e+02 9.64861526e+01 8.66446915e+01 8.61343231e+01 8.35253143e+01 8.21700287e+01 8.95895844e+01 8.92191772e+01 7.91642151e+01 7.71100159e+01 7.93408966e+01 8.10951843e+01 8.14213333e+01 8.22083206e+01 7.55319901e+01 6.21220741e+01 6.45018082e+01 6.95149918e+01 6.99474792e+01 7.23460388e+01 7.07823105e+01 5.37349739e+01 5.52676697e+01 5.53008156e+01 5.24846725e+01 4.89985542e+01 4.79303780e+01 3.73847733e+01 4.12813034e+01 4.32571449e+01 3.64212532e+01 3.58983803e+01 4.01815300e+01 3.05309658e+01 2.47675037e+01 3.18870373e+01 2.82518730e+01 2.32564487e+01 3.05011997e+01 1.54415760e+01 5.05406046e+00 2.47938251e+00 7.95279837e+00 6.71408701e+00 1.00489321e+01 0.00000000e+00 5.69394343e-02 2.95265675e+00 5.05981207e+00 5.34456301e+00 8.94150448e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.95383883e+00 6.09577036e+00 7.64828014e+00 8.74011803e+00 1.03338594e+01 1.22008162e+01 1.75140553e+01 1.83025475e+01 1.90634651e+01 1.87619553e+01 1.36157866e+01 2.29048309e+01 2.51675625e+01 2.60441799e+01 2.91711407e+01 2.77912769e+01 3.22126541e+01 3.41231194e+01 3.61269112e+01 3.25447121e+01 3.73083229e+01 3.67252808e+01 4.23781471e+01,647.5006928,25.44603491,1.80E+15,weighted6,6,0.827210742,-0.098399095
6, 93.79549    95.536674   93.117546   93.324615   98.6351    103.86821 111.32314   119.53933   109.28466   110.67822   117.25314   121.60895 129.34854   122.34376   116.09788   121.226524  125.403046  125.44208 134.27406   124.345184  121.2635    119.936516  123.256096  120.892685 124.1656    125.88386   113.88465   115.87039   116.48467   111.62119 122.27215   122.24693   111.84529   105.964714  104.828415  104.16841 103.61637   104.94455    98.32594    92.438484   90.2924     89.03749  84.98201    88.308876   83.05877    74.36645    71.569016   73.08351  71.83681    72.50464    68.14642    63.157192   63.35326    68.80868  61.916103   62.29231    62.312126   46.92162    46.851707   55.918755  53.023445   53.27623    57.06771    40.793507   39.617188   37.931465  36.775185   32.84618    35.621857   26.917913   28.631212   29.151115  23.970516   22.008034   25.63395    20.75389    13.846983   17.27152  14.05108     7.3628387  14.344935    2.8812575   0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          1.6926147   7.5370364  12.623396   10.475747   14.745434   16.829239   13.1083555  26.999397   29.976809   27.17721    33.822544   36.721645   41.885605  46.445034   51.75951    46.44743    54.530907   57.776707   63.840508 ,720.7525608,26.84683521,8.20E+15,weighted6,6,0.824317138,-0.068840931
7,106.00942   106.8439    104.57567   102.49509   109.28494   115.020035 120.748665  127.628654  117.89128   118.41784   125.59662   129.94301 136.94725   126.60222   120.3004    125.19013   129.30241   127.98682 137.29706   124.54006   121.77213   117.929214  122.23216   118.35146 118.98583   121.85783   109.40609   109.35995   109.52688   102.852104 113.6205    113.84513   104.03623    95.69137    94.90371    92.90296  91.51508    93.467186   88.04282    79.31206    76.899055   76.29481  69.830574   75.053825   71.412834   59.577095   57.331417   59.487362  55.703823   56.80892    54.29126    49.22712    47.7941     55.974277  45.90134    48.183186   49.526775   33.826824   33.384914   44.03045  40.461136   40.96739    45.644234   31.199886   29.946297   27.33638  27.663      23.788849   27.771492   20.978209   22.212624   21.862204  18.064796   16.340548   18.376324   16.80446     9.580992   12.343432   9.0467825   2.452798    9.184697    0.7462001   0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          2.9448593   4.1253242  12.043767   17.909075   13.898471   20.516615   22.20623    18.909847  34.339424   37.916016   33.400967   42.219982   46.062237   51.46193  56.885414   62.40338    56.41256    65.3523     72.28868    77.39393  ,691.1593724,26.28991009,7.25E+15,weighted6,6,0.832677847,-0.108215003
8,117.17042   117.741135  115.07746   111.32855   117.68736   123.27494 127.8973    133.6636    124.273346  123.204735  129.85994   133.86418 139.10017   127.2965    121.35857   124.99573   126.87981   125.01944 133.31964   119.254776  116.709305  111.30019   113.66056   109.39181 109.037796  111.84278    99.91169    98.16487    97.04954    90.43578 100.90618   101.66149    92.63774    82.48529    81.833824   79.643654  77.21       79.930626   75.39597    65.060875   62.857376   62.815334  54.846996   61.325287   59.20328    46.08634    44.455154   46.76737  41.57208    42.84802    41.99394    37.2477     35.407948   44.414215  33.17939    36.258976   38.526608   24.053312   22.979239   34.492847  30.972685   31.5957     36.90927    24.513508   22.896978   20.392159  21.224699   18.073708   22.379318   17.913803   18.71312    18.060383  15.563778   13.196871   15.008082   16.388317    9.546395   10.774257   9.576247    2.6986036   8.844528    2.7763224   0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          1.1028749   0.          6.968863   13.38706    14.764125  23.139898   29.328714   24.588978   31.457426   33.752254   31.507322  46.953896   50.927193   45.57283    54.46122    59.206715   65.37114  70.74904    76.71392    70.1649     78.68439    86.11508    91.35913  ,638.4457939,25.26748491,6.41E+15,weighted6,6,0.840121727,-0.117621252
9,1.26389038e+02 1.25139305e+02 1.22770294e+02 1.17955956e+02 1.23400276e+02 1.29074966e+02 1.31136642e+02 1.36301605e+02 1.28378860e+02 1.26981659e+02 1.31220520e+02 1.35405594e+02 1.39314255e+02 1.27863586e+02 1.22114258e+02 1.24097504e+02 1.24313118e+02 1.22130035e+02 1.29372971e+02 1.16159294e+02 1.13763832e+02 1.05360428e+02 1.07164513e+02 1.03326027e+02 1.00315514e+02 1.05259949e+02 9.36928024e+01 8.97322540e+01 8.78246155e+01 8.16861343e+01 9.03097763e+01 9.20903244e+01 8.40703735e+01 7.26818771e+01 7.25366287e+01 6.99583435e+01 6.64298630e+01 6.84558334e+01 6.47742081e+01 5.46375275e+01 5.21435356e+01 5.24870796e+01 4.46468353e+01 5.04133644e+01 4.88838081e+01 3.59472809e+01 3.49745827e+01 3.69181709e+01 3.18448029e+01 3.29344444e+01 3.27978439e+01 2.89988708e+01 2.63343754e+01 3.60785904e+01 2.40376320e+01 2.91277885e+01 3.05153713e+01 1.74253311e+01 1.64077148e+01 2.75866852e+01 2.45454273e+01 2.62342663e+01 3.03597832e+01 2.07063847e+01 1.94984150e+01 1.66346264e+01 1.79301815e+01 1.55014296e+01 1.94792309e+01 1.76797810e+01 1.80419712e+01 1.67085114e+01 1.51681366e+01 1.35705013e+01 1.43212957e+01 1.86473331e+01 1.13954277e+01 1.25471439e+01 1.21472082e+01 5.92690659e+00 1.19793243e+01 8.68911171e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.79322410e+00 4.31335497e+00 8.65766481e-02 3.30957800e-01 1.84850729e+00 5.64455509e+00 9.36202812e+00 1.70192947e+01 1.17362232e+01 2.43832264e+01 3.11404781e+01 3.06128197e+01 3.90884781e+01 4.61575699e+01 4.11096840e+01 4.90361862e+01 5.04296494e+01 4.85436211e+01 6.29233360e+01 6.74549713e+01 6.23263550e+01 7.18918152e+01 7.57258682e+01 8.24225616e+01 8.70952072e+01 9.21402054e+01 8.57894745e+01 9.33087845e+01 1.02136513e+02 1.06555038e+02,546.0533902,23.36778531,3.40E+15,weighted6,6,0.863308033,-0.119317809
