id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0, 26.950155   25.7401     20.886534   28.376577   35.38275    44.144936  50.781727   60.25093    59.108505   71.77906    71.755264   76.96996  88.97069   101.573524   99.76303   101.864746  113.72236   114.0593 117.64233   133.94342   132.84973   134.2764    147.98827   150.76128 154.4936    159.7304    154.3044    163.30753   164.29543   167.46577 172.2077    179.70912   178.87767   187.06802   188.82419   189.33865 186.05057   179.84299   177.53609   188.00821   180.4648    185.7019 189.3869    181.19313   173.90218   183.45978   174.78256   171.04707 178.39594   174.68991   170.83632   167.84068   162.9573    158.99414 158.34773   158.65411   149.04773   147.38379   140.23358   137.66197 140.76103   137.12561   130.29047   130.20515   121.6975    125.15113 115.349396  121.2422    121.18021   103.92185   104.93081   108.403946  96.62991   101.208176   96.021065   81.824005   82.74223    92.57831  78.83396    84.176      82.307686   69.85026    58.157837   66.71729  56.00921    52.55375    64.977615   57.490856   41.699055   47.676758  39.893192   38.090527   41.909557   38.28807    32.83317    35.071587  35.286724   36.448036   36.89882    29.29188    23.05539    22.187057  24.16339    19.764517   24.44822    22.831118   20.89726    17.36922  15.029006   21.933067   15.847565   17.414957   16.315205   12.618136  11.347715    3.6794753   4.178231   20.99173    19.589249   14.199427 ,4756.972823,68.97081139,0.714146305,rolling3,6,0.381115566,0.001922079
1,  9.593074    6.261506    3.0072825  11.337851   12.615667   20.929152  30.761034   42.261948   35.758537   45.399002   36.948082   45.32191  60.208157   73.03938    66.80792    63.767155   72.337425   75.871056  79.30168   100.86184    90.32958    92.5598     98.64358   105.07782 112.293144  121.79122   106.84092   118.131775  117.58866   118.17516 127.46666   140.18188   126.788605  138.38493   145.38603   141.77422 147.09882   138.7775    130.90236   144.31064   142.17711   141.05109 159.42691   145.88516   131.38164   149.65057   147.12936   133.17665 154.1301    147.44438   138.4165    140.7558    140.95844   134.96147 138.49632   137.57144   127.444725  128.89777   122.42484   121.91769 124.78356   121.50219   118.47406   114.42469   108.06777   114.71345  98.60932   108.272095  112.00634    90.289505   91.90452    97.981834  87.068924   92.36651    91.51779    70.75514    68.85213    81.330696  73.9745     78.7657     80.41532    64.38225    50.423866   61.10451  52.896194   49.12285    67.193405   54.238216   33.80142    42.01599  38.151054   38.40625    47.586567   37.68279    31.536407   35.887825  36.70735    39.912632   41.921165   30.004555   20.3332     24.319946  26.702314   19.101204   26.347754   21.33085    18.43548    21.686903  13.61622    18.842043   15.248099   11.087847    8.680838   10.669814   5.618174    0.          0.         11.904032    4.158994    0.       ,1483.05349,38.51043352,1.38E+15,rolling3,6,0.709383161,-0.027928172
2,  6.5415926   2.3900104   1.1879573  10.622268    8.248212   15.922354  27.461136   40.055984   31.15246    39.1198     26.537252   36.88373  51.898636   64.03656    55.553925   50.392162   56.919598   62.87623  64.71175    88.15415    72.08127    75.49442    76.44474    84.936615  93.244     104.17147    83.55945    96.400635   93.66714    93.30776 104.9749    119.526535   98.55884   111.90921   120.748116  115.26721 125.56189   117.02076   104.28036   118.14159   118.97502   114.16356 139.90417   124.93464   105.71275   127.765305  129.22044   109.40295 137.92998   129.93108   117.232994  121.86599   125.59255   118.3283 123.67224   123.35028   111.70485   114.15489   109.48441   110.64637 112.648834  109.08666   108.00745   101.54193    96.90631   104.92582  85.525566   95.98441   102.08225    79.11675    81.1483     87.9062  77.76625    82.66735    84.58669    61.196365   57.553318   70.365105  66.39491    71.74411    75.293884   57.940956   42.960663   54.00774  47.442127   44.190983   65.11862    49.115597   27.146498   35.769497  33.818523   36.36076    48.021633   34.52059    28.01959    32.853306  34.241898   38.478233   42.100723   27.924948   17.163517   23.920116  26.632687   17.314194   26.645407   19.918375   16.695036   23.794455  13.084893   17.87328    16.266481    9.38616     6.718323   12.226645   5.157662    0.          0.         10.318082    0.          0.       ,616.541754,24.83025884,1.81E+15,rolling3,6,0.834735929,0.007562102
3, 12.446306    7.964543    7.246802   17.628437   14.705289   21.836487  34.310646   46.840195   36.600918   44.07547    31.49906    42.632343  57.10012    67.750275   57.700706   52.480927   59.04515    65.6998  67.436356   89.22992    70.19703    74.995895   74.41689    82.965256  91.41213   101.5587     78.17044    91.66481    88.15306    87.33612 100.04051   113.42229    89.65916   102.90082   111.45473   106.12554 117.78155   110.29899    95.24281   106.99227   108.52899   102.71259 128.78333   115.31335    95.10313   116.51848   119.26313    97.944664 127.80997   120.01528   106.63361   110.63133   115.41703   108.450966 113.4524    114.68197   102.62725   103.51563   100.46474   102.99093 104.15231    99.876076  100.67548    92.42214    88.47085    96.268166  76.29416    85.51724    93.20889    70.81518    72.93043    78.86221  69.3434     73.39026    76.37566    53.110348   48.57268    59.944244  55.8738     62.58271    66.74745    50.117558   34.193287   43.81313  37.633785   34.90964    57.156773   41.007248   18.518919   26.328186  24.070826   29.452806   40.672356   26.400185   18.932281   23.343084  25.805603   29.879242   34.312424   20.85004     9.939096   18.149675  21.355667   11.535527   21.543474   15.756034   12.535635   20.642542  10.300088   15.634796   14.687578    8.358856    6.0256777  12.694944   5.774147    0.          0.         11.727151    1.4175574   0.       ,463.4837731,21.52867328,1.35E+15,rolling3,6,0.868613221,-0.044888736
4, 30.820719    26.173962    24.086203    35.57549     35.536274  41.9404      55.15751     66.23209     54.667053    62.58645  54.521168    65.36495     78.90672     86.17333     74.29415  70.94778     79.92787     85.27171     89.21414    104.50592  83.51506     90.573425    91.59052     97.793724   105.860916 112.37607     87.62845    101.21534     98.317726    96.90036 109.951996   118.379486    95.35174    106.45276    112.449646 109.19948    119.087234   114.50861     99.20745    104.99182 105.059204   100.476425   119.630646   111.46019     94.263985 109.946465   111.5104      92.549736   117.81942    112.2266 101.52017    101.411995   105.00519    100.71152    102.84991 107.28052     96.751884    92.50011     91.4743      96.054146  95.79445     90.22259     94.599075    84.12891     80.07772  86.23086     68.03616     73.49356     83.45533     63.507366  65.38206     68.9242      59.776493    62.099003    65.1431  44.802254    39.775635    47.3181      39.140537    48.407185  52.397335    39.206596    21.324183    26.813414    19.860825  17.422277    40.311115    27.50346      4.136319     9.473427   4.423624    14.840194    21.827475     9.737371     0.   2.426829     7.496142     9.966318    14.059306     5.36245   0.           3.5935628    7.8824916    0.           7.7217145   6.5088706    3.5048761    9.979621     3.3563848   10.591549   8.785339     6.7916236    5.5889173   11.385874     7.0343766   0.           0.80387324  16.168589    10.181485     7.8579364 ,496.4025453,22.28009303,2.33E+15,rolling3,6,0.864014669,-0.042682223
5, 58.87057    53.76205    48.369736   60.84465    66.12087    71.657646  85.493195   93.951      80.47537    89.27049    88.52636    98.38802 111.00767   113.62534    99.309784   98.6304    111.665245  114.14956 122.31804   127.836784  105.314705  114.81684   119.7241    121.87557 129.26488   130.49373   105.455284  118.03907   117.28022   114.96959 127.73169   128.77765   109.14415   116.06952   118.33626   118.71396 124.255104  123.73224   110.40598   107.08982   104.28668   102.674034 109.57086   108.98931    97.9991    104.445465  102.9293     89.23817 105.33916   103.13364    97.89293    91.29504    91.72011    91.95018  89.44316    97.895874   90.7002     78.7568     79.56674    86.42127  84.65626    77.422195   86.77456    73.68404    68.81287    72.07546  57.524883   57.638355   70.1031     53.9401     55.320698   55.119034  46.731842   46.87499    49.053505   33.544556   28.320824   30.362242  15.594502   28.22916    31.320234   23.703144    3.3476286   2.794322   0.          0.         15.278272    8.6219225   0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          5.3326254   1.5068706   6.601579    7.094663   10.757135  10.832471    7.437558    7.782585   24.61787    25.683788   25.948456 ,598.0043504,24.45412747,1.20E+16,rolling3,6,0.856500291,-0.07059
6, 88.745346   83.111275   75.12319    87.40546    96.929115  101.13666 114.898575  120.20005   105.02497   113.49565   118.752785  127.279976 138.3999    135.79343   120.077095  120.87158   136.43231   136.05159 146.89397   143.37497   120.07908   130.82542   137.86096   136.28493 142.34778   138.76257   114.224434  124.868645  125.29759   122.15707 134.02196   128.67227   112.19467   114.565056  113.38607   117.09921 118.21606   121.98609   111.10365    98.75076    93.608955   94.62804  90.42743    96.86051    91.90357    89.94318    85.73631    77.183334  85.03988    86.394485   86.11278    74.322174   72.12821    77.45425  70.7102     82.77125    79.13891    61.242176   64.017586   73.17167  69.69337    61.58469    75.53369    60.779633   55.93569    56.91195  46.077293   41.366135   55.871017   44.32127    45.68053    42.251534  35.445316   33.409363   34.627422   24.583927   19.412346   16.70008   0.         12.271354   13.997799   12.592195    0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          8.180213    2.4720616  13.082563   15.567902   17.734894  21.449629   22.750608   21.569246   38.691135   45.912056   49.269554 ,703.974263,26.53251332,1.32E+16,rolling3,6,0.852028915,-0.057886865
7,105.40535    96.56014    84.32003    94.10763   105.47083   109.09884 121.80671   124.59177   106.69848   113.45117   117.71838   125.14597 137.50049   133.74255   117.325195  114.53349   129.68156   126.82606 139.67793   135.54524   113.414345  119.94175   127.977585  125.03648 130.18338   127.75381   106.971504  111.14701   114.892166  110.767456 119.59796   114.92371   102.93615    99.35196    99.57459   105.52124 101.059975  104.916405  101.79174    84.695496   78.855385   82.75394  72.94271    78.46156    78.617355   74.58141    67.42445    63.175423  64.90879    66.28003    70.63627    58.102154   52.148575   60.840412  52.686207   62.5537     63.339436   44.9907     44.607113   51.930927  50.077557   42.76442    57.611683   43.53336    37.76025    36.88307  28.951132   24.743097   36.85108    27.268522   28.815596   23.498453  20.51104    18.62814    17.147371    9.279757    5.1650686   1.8544412   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          4.198207    5.666802    7.1562514  13.096814   25.947624   18.85781    30.372269   34.562275   36.751316  42.289124   45.93359    40.68458    58.71817    67.92451    71.531555 ,614.7333502,24.79381677,1.04E+16,rolling3,6,0.856539471,-0.095755181
8,121.23764    110.335175    96.835365   103.60886    114.377335 116.85208    127.51578    127.963585   109.422966   113.72838 115.36564    121.363686   133.08136    128.0318     113.28284 106.91296    119.195724   114.9903     125.76506    122.83909 103.47669    105.29771    111.2799     108.08206    111.16418 110.16462     93.80444     92.29118     96.157       92.06356  97.505394    94.92577     86.213295    78.145935    79.29428  86.41434     77.88543     82.24758     84.68085     64.88902  59.227905    64.860344    52.788937    57.051193    60.144196  55.720623    47.23295     46.037277    44.691433    46.32582  52.750713    41.493645    34.043884    45.440605    36.677135  44.52258     47.900898    32.076237    29.927334    35.781086  34.45261     28.699152    42.52838     30.9116      25.678095  24.32242     18.448719    15.09979     24.39656     17.686796  19.861912    13.857137    14.429825    12.428022     8.858034   3.730663     0.66134787   0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.   0.           0.           0.           0.           0.   0.           4.6212254   12.435268    10.558206    10.548416  25.249254    29.4768      32.413074    37.7829      50.497395  43.12575     52.804874    58.72637     61.88361     67.29801  72.09433     65.021194    81.71486     90.912605    95.560234  ,631.5177787,25.13001748,8.33E+15,rolling3,6,0.839677978,-0.105680767
9,130.8706    119.26836   103.67681   107.55504   115.91197   118.05743 126.31382   125.479904  106.36224   109.06017   107.38434   112.889244 123.46316   120.22873   106.01144    96.35034   105.86533   101.444984 109.955215  110.55582    93.76858    90.88872    96.13501    93.60225  94.94933    96.638626   84.55401    77.570114   82.31598    78.89992  81.37023    81.89437    76.602554   64.904564   67.91072    75.872284  64.18952    67.56839    74.88509    54.949158   50.17319    57.034595  44.258602   45.024906   49.953514   46.989765   37.56079    38.732494  34.593597   34.864662   42.612198   33.56964    24.210625   35.626873  27.101982   32.110394   36.57436    24.379814   19.130724   21.987972  22.278587   18.06101    29.383871   20.926468   15.139008   12.727966   9.075676    7.6026196  13.269711    8.676741   10.625396    3.6878514   8.178034    7.773545    2.6297162   0.          0.          0.   0.          0.          0.          0.          0.          0.   0.          0.          0.          2.5789409   0.          0.   0.          2.612311    0.          1.5394212   0.          1.3359238  12.093048   17.508587   12.359081   22.353382   19.474813   32.843193  39.874878   38.67309    38.27055    52.40119    57.736347   62.658478  66.81595    78.35712    70.73212    79.42666    84.653725   88.9603  93.73487    98.836235   88.9344    105.047356  111.965     116.182884 ,512.626728,22.64126162,6.71E+15,rolling3,6,0.870827997,-0.091627791
