id,predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
0, 15.543727   29.810392   39.339367   42.43943    49.594635   51.671135  53.636086   65.590385   72.78044    70.24251    74.0317     91.68785  97.83643    90.71295    94.909966  114.53191   117.69762   125.0092 116.70739   122.32103   133.46576   138.5512    138.44225   130.91736 135.37476   150.2896    147.10371   136.67546   145.86737   154.12297 159.99538   161.40852   161.56453   156.32484   167.03833   172.09332 160.9367    166.48347   173.81873   169.81982   178.47589   180.70721 165.09422   172.09636   170.22401   175.45833   167.73616   171.23132 169.69882   158.27464   156.56282   151.9712    159.41794   160.55084 158.86876   154.04797   151.00043   142.18816   146.9202    144.06932 119.13647   126.898346  129.41183   140.25034   127.347725  113.41876 110.16744   120.49022   115.588196  113.54325   100.32975   107.59291  94.20758    95.54007    98.679085   90.20235    79.14533    79.40602  72.802216   74.37081    71.98106    73.96168    63.693584   66.337395  62.104336   53.554916   52.90269    58.843544   50.619286   58.988316  54.666866   39.6837     36.647964   43.81281    30.932554   20.254158  34.851402   32.2638     28.319847   28.262472   24.965414   22.869398  24.476395   15.28253    17.327684   13.91737    15.82009    15.851747  21.049078   23.316132    7.1947355  12.870486   13.895504   22.425783   8.115867    8.004243    9.70488     7.253678    9.616301   20.661459 ,4151.576996,64.43273233,0.652360292,weighted3,1,0.385522171,1440
1,  9.839592   23.417997   31.530115   33.475563   39.829113   41.42318  43.06569    54.021885   60.41714    58.378986   61.441998   78.00863  83.88383    76.27925    80.17319    98.88238   102.00529   109.60988 101.184074  106.70529   117.602     122.0732    122.60031   115.53024 119.91185   134.16098   131.35446   121.48414   130.62587   138.2656 144.14325   146.01689   146.25516   141.15266   152.24315   157.3445 146.59402   152.11908   160.08078   156.73589   165.48822   168.12485 153.94193   161.37656   159.35533   164.74313   157.26234   161.31886 160.40959   149.93279   148.17006   144.10051   151.72015   153.37283 151.2681    147.0643    144.21405   136.109     141.52281   138.99216 114.35317   122.284195  125.345764  136.10529   123.76779   110.43532 107.45894   117.62954   113.36399   110.705536   98.038635  105.74384  92.39895    94.372314   97.33843    89.47662    78.17042    79.361725  72.80228    74.16695    72.422134   74.30529    63.389996   65.8828  61.55682    52.941837   52.082886   58.894547   50.700245   58.528507  54.58218    39.20256    36.22677    43.87146    30.624338   20.918  34.935646   32.38331    28.205719   28.643026   24.27698    21.830215  23.52305    14.236535   15.990818   13.275372   14.783452   14.425444  19.47816    21.091074    5.089947   10.098347   10.993478   19.12472   5.1990438   4.682267    5.266876    2.46375     4.891527   14.385771 ,3026.497877,55.01361538,0.737155255,weighted3,1,0.486335401,1440
2,  5.615475   18.67702    25.760891   26.848845   32.665424   33.90108  35.339535   45.600315   51.460194   49.836277   52.38829    68.25636  73.95652    66.06595    69.73158    87.8112     90.95028    98.84714  90.36395    95.89291   106.64398   110.697     111.70997   105.028046 109.40832   123.16521   120.622635  111.16301   120.32885   127.49734 133.33      135.51968   135.84863   130.85995   142.18216   147.32227 136.8016    142.26825   150.63445   147.66006   156.40851   159.27356 146.05937   153.70352   151.57811   156.98914   149.64647   154.04123 153.52843   143.6762    141.79282   138.04503   145.69716   147.64331 145.21967   141.4109    138.63553   130.99236   136.87018   134.54982 110.057274  118.12008   121.520836  132.19019   120.22332   107.29021 104.4859    114.49133   110.6945    107.59126    95.32575   103.3179  90.02831    92.50274    95.33654    87.939285   76.489204   78.390114  71.9162     73.17688    71.94875    73.792755   62.49951    64.92554  60.60483    51.9777     51.056873   58.57816    50.444065   57.93174  54.28231    38.68407    35.84667    43.88351    30.408245   21.487886  35.125374   32.656845   28.294529   29.15321    24.017324   21.326084  23.136557   13.813967   15.387186   13.116791   14.368521   13.710327  18.7333     19.817644    3.9197917   8.49007     9.242997   17.11797   3.4250097   2.6532      2.3716946   0.          1.7666649  10.123025 ,2300.240658,47.9608242,1.29E+15,weighted3,1,0.569093911,1440
3,  3.6687858  16.358953   22.808695   23.335838   28.893759   29.877533  31.20745    41.038174   46.616585   45.316387   47.524536   63.0792  68.65114    60.652676   64.1477     81.82826    85.03183    93.16886  84.67785    90.28315   100.9265    104.72713   106.044205   99.682144 104.06342   117.48165   115.04888   105.83863   115.06506   121.89776 127.58128   129.88025   130.25601   125.337105  136.68858   141.84766 131.34996   136.68266   145.19548   142.24358   150.86665   153.73538 140.97171   148.57484   146.37144   151.66461   144.38824   148.8545 148.51477   138.9478    136.86461   133.26295   140.81496   142.81548 140.2359    136.61119   133.81415   126.42337   132.52782   130.32921 105.92183   114.08782   117.587166  128.1957    116.43762   103.74348 101.01472   110.8433    107.38501   104.07792    92.07879   100.23847  87.04263    89.85344    92.61542    85.553215   74.10982    76.49131  70.17457    71.45781    70.61922    72.50958    61.13885    63.57708  59.38255    50.82188    50.000275   58.044277   50.004417   57.353977  53.893517   38.315777   35.693      44.004448   30.451675   22.171663  35.625668   33.291264   28.795202   29.991999   24.431002   21.60272  23.59703    14.285564   15.821521   13.6742525  14.828899   13.95851  19.109344   19.758911    3.967134    8.353286    8.943273   16.729975   3.14065     2.2890809   1.3826932   0.          0.6510547   8.292035 ,1932.579725,43.96111606,7.96E+14,weighted3,1,0.609403569,1440
4,9.16107967e-02 1.24209480e+01 1.79075489e+01 1.76417618e+01 2.28452396e+01 2.35946102e+01 2.48028927e+01 3.40609741e+01 3.91071777e+01 3.82799950e+01 4.00533409e+01 5.53879967e+01 6.06634521e+01 5.27589722e+01 5.60474052e+01 7.32361832e+01 7.67848206e+01 8.51827850e+01 7.67637329e+01 8.25317764e+01 9.31677322e+01 9.68157120e+01 9.85071106e+01 9.25615311e+01 9.69757004e+01 1.10123131e+02 1.07889626e+02 9.90362625e+01 1.08375381e+02 1.14860832e+02 1.20421997e+02 1.22878838e+02 1.23295715e+02 1.18468727e+02 1.29769577e+02 1.34955688e+02 1.24550278e+02 1.29670212e+02 1.38257507e+02 1.35314056e+02 1.43894211e+02 1.46779007e+02 1.34443069e+02 1.42065369e+02 1.39669754e+02 1.44869156e+02 1.37582520e+02 1.42111313e+02 1.42127228e+02 1.32962021e+02 1.30746094e+02 1.27452843e+02 1.35060593e+02 1.37189575e+02 1.34474792e+02 1.31170700e+02 1.28322128e+02 1.21248566e+02 1.27643135e+02 1.25723190e+02 1.01487808e+02 1.09823128e+02 1.13729477e+02 1.24399811e+02 1.12976158e+02 1.00689445e+02 9.81979065e+01 1.07915131e+02 1.04979576e+02 1.01580368e+02 8.98680801e+01 9.83420181e+01 8.50749130e+01 8.83396606e+01 9.11807938e+01 8.45078278e+01 7.29543762e+01 7.59351883e+01 6.98003235e+01 7.11625290e+01 7.07495728e+01 7.26588745e+01 6.11308937e+01 6.35091286e+01 5.93875732e+01 5.08958855e+01 5.00813599e+01 5.86695442e+01 5.06593018e+01 5.77260971e+01 5.43933868e+01 3.86374969e+01 3.61531487e+01 4.47517052e+01 3.10440636e+01 2.33391228e+01 3.65253906e+01 3.42538567e+01 2.95427380e+01 3.09569645e+01 2.47410946e+01 2.17500019e+01 2.37395401e+01 1.43981743e+01 1.57519369e+01 1.37525978e+01 1.47813158e+01 1.34352160e+01 1.87632904e+01 1.87933979e+01 2.96281075e+00 7.11659384e+00 7.40736437e+00 1.49549990e+01 1.39174402e+00 3.97215754e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.27903700e+00,1501.382538,38.74767784,1.73E+15,weighted3,1,0.66918868,1440
5,  0.          10.760509    15.9050665   15.264123    20.333124  20.987661    22.159931    31.179476    36.085777    35.557484  37.13156     52.371544    57.534504    49.674896    52.88483  69.86946     73.55058     82.14463     73.80033     79.65359  90.260185    93.86469     95.71066     90.02573     94.47245 107.413704   105.22342     96.48681    105.98781    112.22857 117.63848    120.113396   120.54691    115.75261    126.96774 132.15082    121.66258    126.64868    135.28247    132.14978 140.6075     143.43053    131.25317    138.79054    136.30524 141.35594    134.04126    138.53995    138.64964    129.59392 127.16213    123.90355    131.45544    133.60086    130.76764 127.54202    124.621826   117.67586    124.22874    122.36182  98.12173    106.59346    110.56639    121.21705    109.919556  97.78825     95.40545    105.02275    102.40972     98.93932  87.383156    95.96454     82.70481     86.23777     89.05571  82.56841     71.00561     74.3205      68.35434     69.73713  69.606544    71.534996    60.03316     62.414173    58.409405  49.910847    49.24376     58.133625    50.178917    57.16578  53.887722    38.150257    35.795925    44.600647    30.803299  23.455519    36.57421     34.34276     29.517742    31.159136  24.626728    21.554474    23.638975    14.264646    15.586929  13.578272    14.55156     12.98165     18.448206    18.140163   2.316319     6.3955965    6.487925    13.967326     0.45032603   0.           0.           0.           0.           2.2769241 ,1316.474229,36.28324998,2.45E+15,weighted3,1,0.69572428,1440
6,  0.          11.195095    16.28024     15.473993    20.568428  21.174599    22.338837    31.259514    36.195183    35.86907  37.32096     52.61982     57.688538    49.89967     53.06008  69.94407     73.70805     82.40978     74.1339      80.04834  90.58394     94.19576     96.05671     90.55397     94.971954 107.77055    105.50542     96.76565    106.40699    112.48171 117.67068    120.01526    120.40347    115.59984    126.61305 131.77968    121.08904    125.91546    134.47093    130.9607 139.23085    141.86696    129.56862    136.9016     134.35497 139.19878    131.86305    136.19186    136.25967    127.11958 124.43852    121.12016    128.5587     130.60368    127.76899 124.50196    121.50339    114.59667    121.16838    119.2914  95.06291    103.647484   107.50054    118.15111    106.89863  94.833496    92.49222    102.00884     99.63118     96.23083  84.75171     93.375374    80.17396     83.83499     86.64343  80.2561      68.793015    72.27583     66.50968     67.95907  68.0148      70.013985    58.699577    61.113308    57.286434  48.8163      48.37871     57.417892    49.533516    56.55603  53.251686    37.70961     35.49873     44.413628    30.61096  23.544748    36.70442     34.530823    29.640997    31.462961  24.86266     21.769838    24.018572    14.626344    16.033073  13.820152    14.827956    13.133323    18.812212    18.255291   2.470653     6.6193433    6.538893    14.070719     0.58049625   0.           0.           0.           0.           2.0508158 ,1190.102852,34.49786736,1.70E+15,weighted3,1,0.717752283,1440
7,  0.          9.904201   14.624785   13.432249   18.405764   18.9712  20.088942   28.758957   33.469254   33.451805   34.686504   50.01294  54.83719    47.234444   50.337833   67.007935   71.0397     79.84455  71.68904    77.6849     88.21005    91.87838    93.81513    88.57231  92.9752    105.654755  103.40997    94.75654   104.56983   110.44905 115.46653   117.760284  118.10107   113.31165   124.11593   129.25797 118.46918   123.10319   131.60297   127.79827   135.98157   138.50853 126.17444   133.43204   130.72324   135.44032   128.04358   132.26349 132.49667   123.43441   120.57784   117.35634   124.85083   126.930275 124.07214   120.92732   117.855774  111.075714  117.78134   116.02266  91.87202   100.63094   104.66234   115.42663   104.33856    92.493164  90.34602    99.8402     97.85845    94.56097    83.20015    91.9976  78.699036   82.60549    85.50228    79.27521    67.768326   71.5433  65.965775   67.48965    67.773285   69.792755   58.518696   60.89013  57.150467   48.66954    48.346367   57.558475   49.680588   56.583168  53.231228   37.64816    35.4846     44.551113   30.636244   23.793234  36.899784   34.692272   29.676203   31.594969   24.694561   21.55647  23.78189    14.3260355  15.66679    13.363614   14.355234   12.335935  18.20996    17.279688    1.4152598   5.549801    5.2149334  12.639891   0.          0.          0.          0.          0.          0.       ,1010.654772,31.79079696,2.32E+15,weighted3,1,0.750329625,1440
8,  0.          7.9602103  12.335646   10.748609   15.540947   16.100777  17.166206   25.587769   30.057049   30.350979   31.383514   46.65267  51.239704   43.798027   46.88594    63.3531     67.62364    76.52624  68.50421    74.53536    85.06043    88.80822    90.81015    85.81829  90.221176  102.768814  100.569565   91.98557   102.00473   107.67348 112.56472   114.85346   115.15508   110.37933   121.028366  126.13271 115.27916   119.76951   128.30254   124.264725  132.40895   134.90344 122.62456   129.89995   127.02179   131.66812   124.20258   128.38979 128.83435   119.90119   116.88385   113.755005  121.371025  123.57472 120.624954  117.6327    114.5069    107.86984   114.78646   113.12474  89.00577    97.96327   102.23296   113.11198   102.19566    90.57265  88.66302    98.179184   96.61986    93.36143    82.12518    91.09691  77.653404   81.836464   84.79554    78.70644    67.08354    71.167656  65.74546    67.27779    67.79081    69.776886   58.46171    60.763855  57.051846   48.47677    48.23395    57.586967   49.68965    56.430927  53.03143    37.30593    35.1213     44.36881    30.269556   23.571392  36.61116    34.300694   29.158539   31.17478    23.903044   20.70887  22.8481     13.289719   14.514013   12.212952   13.142047   10.792154  16.779112   15.517089    0.          3.6028867   3.026964   10.2912245   0.          0.          0.          0.          0.          0.       ,873.4901818,29.55486731,2.81E+15,weighted3,1,0.775282028,1440
9,  0.          8.670598   13.17908    11.529373   16.32326    16.911596  17.957172   26.34303    30.90037    31.334587   32.296886   47.532978  52.03091    44.605095   47.72623    64.14622    68.40058    77.32538  69.37899    75.35241    85.7772     89.58295    91.49197    86.612236  90.95035   103.358505  101.05424    92.36487   102.55651   108.07505 112.78215   114.92719   115.14668   110.3333    120.803345  125.86279 114.80356   119.20899   127.75796   123.35196   131.36116   133.73636 121.35016   128.53357   125.59793   130.11446   122.63898   126.717575 127.134315  118.107216  114.85538   111.620575  119.22315   121.43267 118.44004   115.402565  112.24908   105.65034   112.64488   110.90384  86.753845   95.85422    99.99924   110.898056  100.00657    88.415344  86.5883     96.084366   94.76125    91.54352    80.35132    89.33832  75.9009     80.17346    83.081535   77.00389    65.41696    69.5979  64.33147    65.829605   66.46999    68.462074   57.270462   59.561176  55.950237   47.273293   47.23515    56.580147   48.710117   55.468586  51.985416   36.38459    34.214306   43.560898   29.372196   22.783531  35.89455    33.52392    28.349428   30.519577   23.204035   20.0047  22.241919   12.601101   13.8956585  11.443402   12.3754425   9.953953  16.049595   14.666296    0.          2.8088567   2.1084676   9.4022255   0.          0.          0.          0.          0.          0.       ,841.4396416,29.00757904,3.48E+15,weighted3,1,0.779602764,1440
